Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,30.15,31.80,29.50,29.50,11800,29.50
2014-12-22,33.50,33.50,31.00,32.75,2400,32.75
2014-12-19,33.50,35.85,33.00,33.50,5100,33.50
2014-12-18,41.00,41.00,32.15,32.95,13800,32.95
2014-12-17,41.00,43.85,38.00,38.70,4400,38.70
2014-12-16,44.50,44.50,44.50,44.50,000,44.50
2014-12-15,40.30,44.50,40.30,44.50,200,44.50
2014-12-12,46.75,46.75,46.75,46.75,000,46.75
2014-12-11,45.90,46.75,45.90,46.75,000,46.75
2014-12-10,38.10,47.80,38.10,47.45,400,47.45
2014-12-09,40.00,45.00,40.00,44.05,300,44.05
2014-12-08,46.50,48.95,46.15,46.15,800,46.15
2014-12-05,49.00,49.00,48.90,48.90,000,48.90
2014-12-04,44.55,44.55,44.55,44.55,000,44.55
2014-12-03,45.05,45.05,44.55,44.55,100,44.55
2014-12-02,43.05,43.05,43.05,43.05,000,43.05
2014-12-01,43.05,43.05,43.05,43.05,000,43.05
2014-11-28,46.10,46.35,46.10,46.35,300,46.35
2014-11-27,45.35,49.00,45.00,47.35,2800,47.35
2014-11-26,49.00,49.50,49.00,49.45,1000,49.45
2014-11-25,46.10,53.70,46.05,50.85,1400,50.85
2014-11-24,46.85,46.90,46.85,46.90,500,46.90
2014-11-21,47.40,47.40,47.40,47.40,000,47.40
2014-11-20,47.40,47.40,47.40,47.40,000,47.40
2014-11-19,47.10,49.90,47.05,47.40,7800,47.40
2014-11-18,48.80,52.90,47.85,48.50,2100,48.50
2014-11-17,46.55,46.60,46.55,46.60,300,46.60
2014-11-14,45.00,47.85,44.75,47.70,200,47.70
2014-11-13,44.40,45.35,44.05,44.15,300,44.15
2014-11-12,46.00,48.95,45.70,45.95,200,45.95
2014-11-11,47.05,47.05,47.05,47.05,000,47.05
2014-11-10,47.05,47.05,47.00,47.05,8100,47.05
2014-11-07,46.05,46.05,46.05,46.05,000,46.05
2014-11-06,45.25,45.25,45.25,45.25,000,45.25
2014-11-05,46.00,48.00,45.25,45.25,1100,45.25
2014-11-04,48.20,48.20,48.20,48.20,000,48.20
2014-11-03,51.85,52.00,48.15,48.20,700,48.20
2014-10-31,47.50,48.15,47.50,47.85,200,47.85
2014-10-30,48.05,48.05,48.05,48.05,000,48.05
2014-10-29,46.85,47.60,46.85,47.55,400,47.55
2014-10-28,45.70,50.00,45.70,50.00,1200,50.00
2014-10-27,51.00,51.00,51.00,51.00,000,51.00
2014-10-24,51.00,51.00,51.00,51.00,000,51.00
2014-10-23,51.00,51.00,51.00,51.00,000,51.00
2014-10-22,53.75,53.75,45.60,51.00,500,51.00
2014-10-21,50.80,50.80,50.00,50.00,000,50.00
2014-10-20,40.15,53.00,40.15,49.05,700,49.05
2014-10-17,46.05,51.45,46.05,49.55,400,49.55
2014-10-16,46.10,46.25,46.10,46.25,000,46.25
2014-10-15,47.55,47.55,47.55,47.55,000,47.55
2014-10-14,47.50,48.00,47.50,47.55,300,47.55
2014-10-13,52.00,52.00,51.80,51.80,000,51.80
2014-10-10,49.95,52.00,48.25,49.85,800,49.85
2014-10-09,49.00,50.00,49.00,50.00,100,50.00
2014-10-08,41.10,50.00,41.10,49.85,3200,49.85
2014-10-07,43.70,47.40,43.70,46.05,1100,46.05
2014-10-06,47.35,47.35,47.35,47.35,000,47.35
2014-10-03,47.35,47.35,47.35,47.35,000,47.35
2014-10-02,47.35,47.35,47.35,47.35,000,47.35
2014-10-01,46.30,52.00,46.30,47.35,300,47.35
2014-09-30,50.00,50.00,50.00,50.00,000,50.00
2014-09-29,50.00,50.00,50.00,50.00,000,50.00
2014-09-26,49.90,49.95,49.90,49.95,2300,49.95
2014-09-25,48.60,49.50,45.35,45.45,200,45.45
2014-09-24,49.00,49.00,45.00,48.90,1200,48.90
2014-09-23,50.00,50.00,48.90,49.00,2700,49.00
2014-09-22,54.20,54.20,54.20,54.20,300,54.20
2014-09-19,53.80,53.80,49.80,50.05,1000,50.05
2014-09-18,48.95,50.75,48.95,50.75,2100,50.75
2014-09-17,45.85,46.15,45.85,46.15,300,46.15
2014-09-16,47.00,50.00,45.25,50.00,4100,50.00
2014-09-15,45.00,49.00,45.00,49.00,2600,49.00
2014-09-12,39.40,47.95,39.40,45.00,5400,45.00
2014-09-11,47.20,47.20,43.60,43.60,000,43.60
2014-09-10,42.75,47.25,42.60,47.00,700,47.00
2014-09-09,42.05,46.90,42.00,44.90,700,44.90
2014-09-08,40.55,42.75,40.55,42.75,200,42.75
2014-09-05,45.05,49.00,44.95,44.95,2300,44.95
2014-09-04,49.90,49.90,49.90,49.90,000,49.90
2014-09-03,47.30,52.15,47.30,49.90,1100,49.90
2014-09-02,49.70,49.90,49.70,49.75,100,49.75
2014-09-01,47.50,47.80,47.50,47.80,400,47.80
2014-08-29,45.55,45.55,45.55,45.55,000,45.55
2014-08-28,45.70,48.90,45.55,45.55,2100,45.55
2014-08-27,48.00,48.00,43.70,47.90,500,47.90
2014-08-26,45.85,46.00,45.85,46.00,700,46.00
2014-08-25,44.85,48.90,44.85,48.20,1400,48.20
2014-08-22,49.00,49.00,47.10,47.10,200,47.10
2014-08-21,49.45,49.45,49.45,49.45,000,49.45
2014-08-20,47.10,49.45,47.00,49.45,200,49.45
2014-08-19,44.75,49.40,44.75,49.40,1900,49.40
2014-08-18,47.05,47.05,47.05,47.05,500,47.05
2014-08-15,49.50,49.50,49.50,49.50,000,49.50
2014-08-14,44.85,49.50,44.85,49.50,400,49.50
2014-08-13,47.20,47.20,47.20,47.20,000,47.20
2014-08-12,47.20,47.20,47.20,47.20,000,47.20
2014-08-11,47.20,47.20,47.20,47.20,100,47.20
2014-08-08,49.55,49.55,49.55,49.55,000,49.55
2014-08-07,52.15,52.15,52.15,52.15,000,52.15
2014-08-06,52.65,52.65,52.15,52.15,200,52.15
2014-08-05,50.15,54.00,50.15,50.20,1000,50.20
2014-08-04,53.00,53.00,50.35,52.75,2500,52.75
2014-08-01,52.50,53.00,50.05,53.00,600,53.00
2014-07-31,54.00,54.00,51.30,51.30,100,51.30
2014-07-30,54.00,54.00,54.00,54.00,000,54.00
2014-07-29,54.00,54.00,54.00,54.00,000,54.00
2014-07-28,54.00,54.00,54.00,54.00,000,54.00
