Date,Open,High,Low,Close,Volume,Adj Close
2014-07-18,30.50,30.50,30.50,30.50,000,30.50
2014-07-17,30.50,30.50,30.50,30.50,000,30.50
2014-07-16,39.95,39.95,30.50,30.50,152400,30.50
2014-07-15,33.80,34.10,33.50,33.85,158400,33.85
2014-07-14,41.00,41.00,41.00,41.00,000,41.00
2014-07-11,41.00,41.00,41.00,41.00,000,41.00
2014-07-10,41.00,41.00,41.00,41.00,000,41.00
2014-07-09,41.00,41.00,41.00,41.00,000,41.00
2014-07-08,41.00,41.00,41.00,41.00,000,41.00
2014-07-07,41.05,41.05,41.00,41.00,8400,41.00
2014-07-04,44.35,44.35,44.30,44.30,6000,44.30
2014-07-03,41.00,49.20,41.00,49.20,20400,49.20
2014-07-02,44.15,45.00,44.15,45.00,151200,45.00
2014-07-01,49.00,49.00,49.00,49.00,000,49.00
2014-06-30,49.00,49.00,49.00,49.00,000,49.00
2014-06-27,49.00,49.00,49.00,49.00,000,49.00
2014-06-26,49.00,49.00,49.00,49.00,000,49.00
2014-06-25,49.00,49.00,49.00,49.00,000,49.00
2014-06-24,47.00,49.00,46.35,49.00,144000,49.00
2014-06-23,45.00,51.45,43.20,51.45,158400,51.45
2014-06-20,48.00,48.00,48.00,48.00,000,48.00
2014-06-19,48.00,48.00,48.00,48.00,000,48.00
2014-06-18,47.00,48.00,47.00,48.00,12000,48.00
2014-06-17,50.00,50.00,50.00,50.00,000,50.00
2014-06-16,50.00,50.00,50.00,50.00,2400,50.00
2014-06-13,48.00,52.80,48.00,50.00,9600,50.00
2014-06-12,48.00,48.00,48.00,48.00,28800,48.00
2014-06-11,48.00,52.80,48.00,48.00,21600,48.00
2014-06-10,48.00,48.00,48.00,48.00,000,48.00
2014-06-09,48.00,48.00,48.00,48.00,000,48.00
2014-06-06,46.25,48.00,46.25,48.00,2400,48.00
2014-06-05,52.90,58.50,51.30,51.30,121200,51.30
2014-06-04,57.00,57.00,57.00,57.00,000,57.00
2014-06-03,57.00,57.00,57.00,57.00,000,57.00
2014-06-02,57.00,57.00,57.00,57.00,000,57.00
2014-05-30,57.00,57.00,57.00,57.00,000,57.00
2014-05-29,54.00,57.50,54.00,57.00,68400,57.00
2014-05-28,58.00,58.00,54.00,54.95,98400,54.95
2014-05-27,53.50,54.00,53.50,54.00,74400,54.00
2014-05-26,51.00,51.00,51.00,51.00,93600,51.00
2014-05-23,46.45,46.45,46.45,46.45,000,46.45
2014-05-22,43.25,49.80,43.25,46.45,24000,46.45
2014-05-21,43.90,49.90,43.90,47.90,7200,47.90
2014-05-20,48.60,48.60,48.60,48.60,13200,48.60
2014-05-19,53.95,53.95,53.95,53.95,000,53.95
2014-05-16,53.95,53.95,53.95,53.95,000,53.95
2014-05-15,56.80,56.80,53.95,53.95,7200,53.95
2014-05-14,48.50,53.50,48.50,52.00,16800,52.00
2014-05-13,53.70,53.70,53.70,53.70,4800,53.70
2014-05-12,52.00,52.00,52.00,52.00,000,52.00
2014-05-09,54.95,54.95,52.00,52.00,56400,52.00
2014-05-08,55.00,55.00,54.75,54.75,48000,54.75
2014-05-07,54.35,54.35,53.65,53.65,38400,53.65
2014-05-06,54.75,54.75,50.55,52.50,31200,52.50
2014-05-05,55.00,55.00,52.25,53.20,30000,53.20
2014-05-02,55.00,55.00,55.00,55.00,24000,55.00
2014-05-01,55.00,55.00,55.00,55.00,000,55.00
2014-04-30,55.00,55.00,55.00,55.00,24000,55.00
2014-04-29,55.00,55.00,55.00,55.00,24000,55.00
2014-04-28,55.00,55.00,55.00,55.00,24000,55.00
2014-04-25,55.00,55.00,54.85,55.00,73200,55.00
2014-04-24,52.80,52.80,52.80,52.80,000,52.80
2014-04-23,56.20,56.20,52.75,52.80,15600,52.80
2014-04-22,53.55,53.55,53.55,53.55,4800,53.55
2014-04-21,51.00,51.00,51.00,51.00,1200,51.00
2014-04-18,48.60,48.60,48.60,48.60,000,48.60
2014-04-17,48.60,48.60,48.60,48.60,000,48.60
2014-04-16,48.60,48.60,48.60,48.60,000,48.60
2014-04-15,48.60,48.60,48.60,48.60,4800,48.60
2014-04-14,46.30,46.30,46.30,46.30,000,46.30
2014-04-11,46.30,46.30,46.30,46.30,000,46.30
2014-04-10,46.30,46.30,46.30,46.30,000,46.30
2014-04-09,46.30,46.30,46.30,46.30,000,46.30
2014-04-08,46.30,46.30,46.30,46.30,000,46.30
2014-04-07,46.30,46.30,46.30,46.30,000,46.30
2014-04-04,46.30,46.30,46.30,46.30,2400,46.30
2014-04-03,44.10,44.10,44.10,44.10,000,44.10
2014-04-02,44.10,44.10,44.10,44.10,000,44.10
2014-04-01,44.10,44.10,44.10,44.10,1200,44.10
2014-03-31,42.00,42.00,42.00,42.00,000,42.00
2014-03-28,43.50,43.50,42.00,42.00,3600,42.00
2014-03-27,42.40,42.40,41.00,41.50,3600,41.50
2014-03-26,41.90,42.00,40.00,40.40,150000,40.40
2014-03-25,40.00,42.00,40.00,40.00,290400,40.00
2014-03-24,40.00,40.00,40.00,40.00,282000,40.00
2014-03-21,40.00,40.00,40.00,40.00,000,40.00
2014-03-20,40.10,40.95,40.00,40.00,9600,40.00
2014-03-19,39.00,39.00,39.00,39.00,46800,39.00
2014-03-18,40.10,40.15,40.10,40.10,97200,40.10
2014-03-17,42.05,42.05,42.05,42.05,000,42.05
2014-03-14,42.05,42.05,42.05,42.05,000,42.05
2014-03-13,42.00,42.05,42.00,42.05,4800,42.05
2014-03-12,40.05,40.05,40.05,40.05,000,40.05
2014-03-11,40.05,40.05,40.05,40.05,000,40.05
2014-03-10,40.05,40.05,40.05,40.05,000,40.05
2014-03-07,40.05,40.05,40.05,40.05,9600,40.05
2014-03-06,40.00,40.00,40.00,40.00,1200,40.00
2014-03-05,42.00,42.00,42.00,42.00,000,42.00
2014-03-04,42.00,42.00,42.00,42.00,000,42.00
2014-03-03,42.00,42.00,42.00,42.00,48000,42.00
2014-02-28,41.55,41.55,41.50,41.50,22800,41.50
2014-02-27,43.05,43.05,43.05,43.05,000,43.05
2014-02-26,44.00,44.00,43.05,43.05,34800,43.05
2014-02-25,47.00,47.00,47.00,47.00,000,47.00
2014-02-24,47.00,47.00,47.00,47.00,1200,47.00
2014-02-21,50.00,50.00,50.00,50.00,000,50.00
2014-02-20,50.00,50.00,50.00,50.00,000,50.00
2014-02-19,50.00,50.00,50.00,50.00,000,50.00
2014-02-18,50.00,50.00,50.00,50.00,000,50.00
2014-02-17,49.95,50.00,49.95,50.00,2400,50.00
2014-02-14,52.00,52.00,52.00,52.00,000,52.00
2014-02-13,52.00,52.00,52.00,52.00,000,52.00
2014-02-12,55.00,55.00,52.00,52.00,50400,52.00
2014-02-11,55.00,55.00,54.00,54.00,2400,54.00
2014-02-10,57.00,57.00,57.00,57.00,1200,57.00
2014-02-07,60.00,60.00,55.05,56.25,6000,56.25
2014-02-06,68.00,68.00,59.50,59.85,9600,59.85
2014-02-05,75.00,75.00,64.50,64.50,6000,64.50
2014-02-04,80.00,80.00,72.50,74.30,7200,74.30
2014-02-03,85.00,85.00,82.00,82.00,12000,82.00
2014-01-31,92.95,92.95,92.95,92.95,20400,92.95
2014-01-30,96.05,96.05,90.00,90.00,32400,90.00
2014-01-29,100.00,100.00,97.05,98.60,36000,98.60
2014-01-28,100.00,100.00,100.00,100.00,56400,100.00
2014-01-27,100.00,100.00,100.00,100.00,000,100.00
2014-01-24,102.45,102.45,100.00,100.00,6000,100.00
2014-01-23,102.45,102.45,102.45,102.45,12000,102.45
2014-01-22,100.00,100.00,100.00,100.00,000,100.00
2014-01-21,100.00,100.00,100.00,100.00,000,100.00
2014-01-20,100.00,100.00,100.00,100.00,1200,100.00
2014-01-17,102.50,102.50,102.50,102.50,000,102.50
2014-01-16,102.50,102.50,102.50,102.50,000,102.50
2014-01-15,102.50,102.50,102.50,102.50,000,102.50
2014-01-14,102.50,102.50,102.50,102.50,000,102.50
2014-01-13,102.50,102.50,102.50,102.50,1200,102.50
2014-01-10,102.45,102.45,102.45,102.45,2400,102.45
2014-01-09,102.45,102.45,102.45,102.45,4800,102.45
2014-01-08,102.45,102.45,102.45,102.45,2400,102.45
2014-01-07,102.45,102.45,102.45,102.45,9600,102.45
2014-01-06,102.45,102.45,102.45,102.45,000,102.45
2014-01-03,100.00,102.45,100.00,102.45,3600,102.45
2014-01-02,100.00,100.00,100.00,100.00,1200,100.00
2014-01-01,102.45,102.45,102.45,102.45,2400,102.45
2013-12-31,102.45,102.45,102.45,102.45,2400,102.45
2013-12-30,102.45,102.45,102.45,102.45,2400,102.45
2013-12-27,102.45,102.45,102.45,102.45,2400,102.45
2013-12-26,102.45,102.45,102.45,102.45,2400,102.45
2013-12-25,101.05,101.05,101.05,101.05,000,101.05
2013-12-24,101.05,102.45,101.05,101.05,6000,101.05
2013-12-23,102.45,102.45,102.45,102.45,9600,102.45
2013-12-20,102.45,102.45,102.45,102.45,2400,102.45
2013-12-19,102.45,102.45,102.45,102.45,12000,102.45
2013-12-18,102.45,102.45,102.45,102.45,2400,102.45
2013-12-17,102.00,102.00,102.00,102.00,1200,102.00
2013-12-16,102.00,102.00,102.00,102.00,1200,102.00
2013-12-13,101.00,101.00,101.00,101.00,000,101.00
2013-12-12,101.00,101.00,101.00,101.00,000,101.00
2013-12-11,101.00,101.00,101.00,101.00,1200,101.00
2013-12-10,101.00,101.00,101.00,101.00,000,101.00
2013-12-09,101.00,101.00,101.00,101.00,000,101.00
2013-12-06,101.00,101.00,101.00,101.00,2400,101.00
2013-12-05,100.05,101.00,100.00,101.00,4800,101.00
2013-12-04,100.90,100.90,100.90,100.90,2400,100.90
2013-12-03,101.00,101.00,101.00,101.00,000,101.00
2013-12-02,103.00,103.00,101.00,101.00,9600,101.00
2013-11-29,101.00,101.00,101.00,101.00,000,101.00
2013-11-28,101.00,101.00,101.00,101.00,000,101.00
