Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,144.00,148.00,127.00,132.75,52600,132.75
2014-12-22,158.00,158.00,136.95,147.10,64200,147.10
2014-12-19,160.00,161.30,150.00,159.65,80600,159.65
2014-12-18,139.00,153.60,139.00,151.65,72600,151.65
2014-12-17,143.00,143.00,138.60,138.95,31600,138.95
2014-12-16,141.50,148.25,141.50,142.80,35300,142.80
2014-12-15,141.00,159.00,136.00,149.25,36500,149.25
2014-12-12,144.00,145.00,140.80,140.85,36000,140.85
2014-12-11,147.00,147.00,139.00,144.25,43200,144.25
2014-12-10,149.00,149.00,143.60,145.90,40700,145.90
2014-12-09,145.75,149.00,144.60,145.50,44800,145.50
2014-12-08,150.00,150.50,145.00,147.15,50800,147.15
2014-12-05,147.05,154.00,145.75,147.20,528100,147.20
2014-12-04,146.00,151.00,145.60,147.05,43100,147.05
2014-12-03,152.50,156.95,146.10,148.80,445100,148.80
2014-12-02,151.00,151.05,146.05,148.40,47800,148.40
2014-12-01,148.00,155.00,145.50,150.95,57100,150.95
2014-11-28,153.80,169.95,148.70,151.10,407300,151.10
2014-11-27,147.00,151.40,146.00,149.90,58300,149.90
2014-11-26,149.00,153.80,146.00,149.25,53100,149.25
2014-11-25,149.00,154.40,146.00,148.50,536200,148.50
2014-11-24,147.00,155.00,145.25,148.90,524600,148.90
2014-11-21,146.85,149.45,144.25,147.00,383700,147.00
2014-11-20,148.00,155.50,147.00,148.10,36700,148.10
2014-11-19,148.75,152.80,145.95,149.25,376500,149.25
2014-11-18,149.00,151.00,145.60,147.85,43000,147.85
2014-11-17,150.25,152.00,145.60,148.95,41100,148.95
2014-11-14,150.25,153.40,147.25,147.75,46200,147.75
2014-11-13,154.95,156.90,147.95,149.15,1052100,149.15
2014-11-12,150.00,157.75,147.00,150.60,41300,150.60
2014-11-11,148.00,152.00,145.25,149.40,40800,149.40
2014-11-10,149.00,158.00,145.15,147.45,1047300,147.45
2014-11-07,152.10,154.50,149.60,149.75,40900,149.75
2014-11-06,151.85,151.85,151.85,151.85,000,151.85
2014-11-05,152.00,155.00,149.95,151.85,41600,151.85
2014-11-04,151.55,151.55,151.55,151.55,000,151.55
2014-11-03,153.00,158.00,150.95,151.55,41300,151.55
2014-10-31,154.20,156.00,150.95,153.00,40900,153.00
2014-10-30,154.00,159.50,150.85,153.65,40600,153.65
2014-10-29,153.00,159.95,151.80,153.35,42000,153.35
2014-10-28,150.50,156.50,150.15,152.00,42100,152.00
2014-10-27,157.05,159.00,151.75,152.95,41700,152.95
2014-10-24,149.95,149.95,149.95,149.95,000,149.95
2014-10-23,149.95,149.95,149.95,149.95,000,149.95
2014-10-22,153.00,155.95,147.00,149.95,42900,149.95
2014-10-21,150.25,156.85,147.70,152.05,40800,152.05
2014-10-20,149.00,178.20,146.95,150.00,40300,150.00
2014-10-17,148.75,154.90,146.95,148.50,40600,148.50
2014-10-16,148.00,162.00,146.05,148.00,33100,148.00
2014-10-15,149.20,149.20,149.20,149.20,000,149.20
