Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,351.30,356.10,347.85,348.95,3100,348.95
2014-12-22,356.65,363.75,351.05,352.95,2900,352.95
2014-12-19,360.00,362.95,353.00,354.20,1600,354.20
2014-12-18,360.05,364.80,352.10,358.55,2600,358.55
2014-12-17,350.40,357.70,345.00,354.50,13600,354.50
2014-12-16,352.00,361.00,341.55,347.00,21000,347.00
2014-12-15,355.10,363.00,352.95,356.45,900,356.45
2014-12-12,353.95,363.55,352.60,360.15,7400,360.15
2014-12-11,358.00,364.00,351.55,352.70,4800,352.70
2014-12-10,362.30,365.00,357.30,358.50,3800,358.50
2014-12-09,369.80,374.10,359.00,361.70,8100,361.70
2014-12-08,370.45,382.60,363.50,368.70,19300,368.70
2014-12-05,368.00,374.00,361.10,370.00,6300,370.00
2014-12-04,362.50,365.00,359.00,362.80,4800,362.80
2014-12-02,361.05,369.00,355.00,359.15,8900,359.15
2014-12-01,358.00,394.70,356.10,363.25,15200,363.25
2014-11-28,364.00,368.95,360.60,361.60,5200,361.60
2014-11-27,367.85,375.95,357.50,358.85,18500,358.85
2014-11-26,383.50,383.50,365.00,367.50,20500,367.50
2014-11-25,367.05,386.05,355.10,380.35,45700,380.35
2014-11-24,366.05,377.85,362.20,363.65,27200,363.65
2014-11-21,356.90,384.00,356.90,364.60,88400,364.60
2014-11-20,355.80,359.95,345.35,356.40,14100,356.40
2014-11-19,351.60,362.00,344.55,348.50,12300,348.50
2014-11-18,350.00,359.90,344.55,348.65,24900,348.65
2014-11-17,332.00,362.80,329.25,345.00,45200,345.00
2014-11-14,332.70,336.00,320.00,325.50,8600,325.50
2014-11-13,327.10,333.35,323.00,331.50,6000,331.50
2014-11-12,337.90,338.00,326.00,328.30,6800,328.30
2014-11-11,337.50,338.00,333.70,335.45,6600,335.45
2014-11-10,341.00,341.25,332.65,335.25,11600,335.25
2014-11-07,330.10,347.00,329.70,338.85,41100,338.85
2014-11-06,327.00,327.00,327.00,327.00,000,327.00
2014-11-05,329.00,344.95,325.50,327.00,30700,327.00
2014-11-04,327.30,327.30,327.30,327.30,000,327.30
2014-11-03,340.70,344.00,324.05,327.30,35600,327.30
2014-10-31,308.55,359.70,305.15,338.35,139900,338.35
2014-10-30,305.05,308.05,301.00,306.00,4400,306.00
2014-10-29,310.00,312.90,304.00,307.05,4900,307.05
2014-10-28,311.60,312.00,307.10,309.00,3500,309.00
2014-10-27,320.00,320.00,306.05,308.20,4800,308.20
2014-10-24,309.25,309.25,309.25,309.25,000,309.25
