Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,88.50,90.95,88.50,90.05,2200,90.05
2014-12-22,92.90,92.90,87.00,89.10,9400,89.10
2014-12-19,91.20,92.95,90.50,91.05,2000,91.05
2014-12-18,94.50,97.00,89.50,90.20,10100,90.20
2014-12-17,100.50,100.50,89.30,92.95,9500,92.95
2014-12-16,104.10,104.10,98.05,99.20,3500,99.20
2014-12-15,99.20,106.80,99.20,103.35,8100,103.35
2014-12-12,103.65,106.90,100.10,102.25,3100,102.25
2014-12-11,105.15,107.15,101.00,103.75,3400,103.75
2014-12-10,110.40,110.40,104.55,106.00,14800,106.00
2014-12-09,111.60,113.00,105.50,106.80,5800,106.80
2014-12-08,111.70,114.50,110.00,110.35,4500,110.35
2014-12-05,113.95,119.90,112.25,112.45,22900,112.45
2014-12-04,115.35,116.75,109.00,111.30,10500,111.30
2014-12-03,110.95,114.45,108.80,114.45,9200,114.45
2014-12-02,113.00,115.00,108.30,109.00,14600,109.00
2014-12-01,112.25,114.90,111.50,113.95,3000,113.95
2014-11-28,113.70,116.00,112.05,113.80,11000,113.80
2014-11-27,114.00,116.30,111.20,113.60,3000,113.60
2014-11-26,115.30,116.85,112.80,114.15,73500,114.15
2014-11-25,115.60,115.60,112.05,113.80,11100,113.80
2014-11-24,120.10,122.00,116.00,116.80,7700,116.80
2014-11-21,121.60,126.75,117.15,117.95,20500,117.95
2014-11-20,116.00,121.05,110.90,121.05,24600,121.05
2014-11-19,121.60,123.00,115.25,115.30,16900,115.30
2014-11-18,121.00,123.00,115.00,121.30,32900,121.30
2014-11-17,124.10,125.70,119.55,120.05,3400,120.05
2014-11-14,125.10,126.95,119.00,125.20,14500,125.20
2014-11-13,129.50,130.00,120.25,122.75,6600,122.75
2014-11-12,113.35,125.15,113.35,125.15,11500,125.15
2014-11-11,125.70,126.05,119.20,119.20,16800,119.20
2014-11-10,133.00,133.00,124.70,125.45,9900,125.45
2014-11-07,133.90,133.95,127.15,129.85,34800,129.85
2014-11-06,132.00,132.00,132.00,132.00,000,132.00
2014-11-05,135.75,138.70,130.00,132.00,22600,132.00
2014-11-04,136.55,136.55,136.55,136.55,000,136.55
2014-11-03,144.60,144.60,134.40,136.55,27500,136.55
2014-10-31,139.30,139.30,136.10,139.30,48500,139.30
2014-10-30,132.00,132.70,128.90,132.70,16500,132.70
2014-10-29,128.00,131.00,125.65,126.40,10100,126.40
2014-10-28,135.25,135.25,128.15,129.45,23800,129.45
2014-10-27,141.90,141.90,132.05,132.85,9200,132.85
2014-10-24,134.55,134.55,134.55,134.55,000,134.55
2014-10-23,134.55,134.55,134.55,134.55,000,134.55
2014-10-22,135.25,138.15,130.70,134.55,14700,134.55
2014-10-21,138.90,141.00,130.15,137.30,13400,137.30
2014-10-20,143.00,144.10,134.05,136.15,4800,136.15
2014-10-17,138.00,144.50,137.00,139.10,18000,139.10
2014-10-16,142.95,152.10,137.70,140.15,59700,140.15
2014-10-15,144.90,144.90,144.90,144.90,000,144.90
2014-10-14,145.10,150.00,144.40,144.90,34000,144.90
2014-10-13,164.70,165.00,152.00,152.00,75300,152.00
2014-10-10,155.00,160.00,145.10,160.00,50900,160.00
2014-10-09,146.50,152.40,146.50,152.40,62000,152.40
2014-10-08,156.70,156.70,145.00,145.15,77700,145.15
2014-10-07,151.95,151.95,146.00,151.95,106500,151.95
2014-10-06,144.75,144.75,144.75,144.75,000,144.75
2014-10-03,144.75,144.75,144.75,144.75,000,144.75
2014-10-02,144.75,144.75,144.75,144.75,000,144.75
2014-10-01,138.50,144.75,133.40,144.75,118600,144.75
2014-09-30,131.60,131.60,126.00,131.60,89200,131.60
2014-09-29,117.95,119.65,113.10,119.65,12100,119.65
2014-09-26,89.10,108.80,89.10,108.80,48900,108.80
2014-09-25,100.55,106.40,98.95,98.95,24300,98.95
2014-09-24,121.30,126.00,109.90,109.90,69300,109.90
2014-09-23,126.10,128.90,120.20,122.10,142200,122.10
2014-09-22,117.00,117.80,110.00,117.80,130100,117.80
2014-09-19,90.25,107.10,90.10,107.10,133000,107.10
2014-09-18,87.05,94.45,84.55,89.25,78500,89.25
2014-09-17,76.85,90.20,75.85,87.35,107200,85.85
2014-09-16,71.50,82.80,69.25,76.10,70500,74.79
2014-09-15,68.55,71.55,68.40,70.35,5200,69.14
2014-09-12,71.40,71.65,69.00,70.85,5800,69.63
2014-09-11,71.50,71.60,68.00,69.55,3900,68.36
2014-09-10,69.80,71.50,69.00,70.30,4200,69.09
2014-09-09,70.00,78.40,69.05,69.70,8600,68.50
2014-09-08,66.70,71.45,65.90,69.25,4300,68.06
2014-09-05,68.40,70.25,66.75,67.90,8700,66.73
2014-09-04,68.70,68.90,66.80,67.10,10200,65.95
2014-09-03,70.80,72.10,67.60,68.45,5100,67.27
2014-09-02,69.80,71.65,68.35,70.00,13000,68.80
2014-09-01,71.15,72.00,68.50,69.15,10200,67.96
2014-08-29,73.45,73.45,73.45,73.45,000,72.19
2014-08-28,74.05,80.00,72.75,73.45,124500,72.19
2014-08-27,57.00,73.30,57.00,73.30,173500,72.04
2014-08-26,64.50,65.50,58.00,61.10,7800,60.05
2014-08-25,67.00,69.00,64.10,65.20,2300,64.08
2014-08-22,69.80,69.80,66.00,67.10,4600,65.95
2014-08-21,66.00,71.50,66.00,68.90,1200,67.72
2014-08-20,67.00,69.50,67.00,68.00,3000,66.83
2014-08-19,65.85,69.00,65.85,68.10,1100,66.93
2014-08-18,65.00,68.90,65.00,68.60,1900,67.42
