Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,38.10,39.25,38.10,39.05,41400,39.05
2014-12-22,39.35,39.60,37.80,38.25,54500,38.25
2014-12-19,39.00,40.80,38.60,39.25,64000,39.25
2014-12-18,37.50,39.25,37.25,39.05,42700,39.05
2014-12-17,37.00,37.50,34.05,35.80,54700,35.80
2014-12-16,39.90,40.00,36.25,36.80,67400,36.80
2014-12-15,39.00,42.00,38.60,40.50,57300,40.50
2014-12-12,44.75,44.75,39.50,41.00,86500,41.00
2014-12-11,43.40,44.80,41.45,43.95,91400,43.95
2014-12-10,39.75,43.75,39.50,43.15,154400,43.15
2014-12-09,39.70,40.40,38.00,38.05,34300,38.05
2014-12-08,40.80,41.85,39.50,39.60,67100,39.60
2014-12-05,38.00,41.00,38.00,40.20,172900,40.20
2014-12-04,37.25,38.90,37.25,38.25,70300,38.25
2014-12-03,37.70,38.50,36.50,36.90,62700,36.90
2014-12-02,37.65,38.40,36.40,37.15,82600,37.15
2014-12-01,39.00,39.80,36.15,37.20,84500,37.20
2014-11-28,38.00,41.00,38.00,39.10,128400,39.10
2014-11-27,39.90,40.25,38.30,39.25,62700,39.25
2014-11-26,38.10,39.45,38.00,38.95,80100,38.95
2014-11-25,38.50,39.75,36.60,37.75,78900,37.75
2014-11-24,33.35,38.70,31.40,37.45,346100,37.45
2014-11-21,30.00,33.60,30.00,33.35,154700,33.35
2014-11-20,29.70,30.00,29.50,29.60,32900,29.60
2014-11-19,29.00,30.00,29.00,29.40,55600,29.40
2014-11-18,30.15,30.25,29.00,29.05,34000,29.05
2014-11-17,28.00,29.00,28.00,29.00,38200,29.00
2014-11-14,28.40,28.40,28.00,28.00,33900,28.00
2014-11-13,28.15,28.35,28.05,28.05,4900,28.05
2014-11-12,29.00,29.75,28.50,28.50,16600,28.50
2014-11-11,29.00,30.00,28.70,29.85,8000,29.85
2014-11-10,30.05,30.30,29.10,30.00,7700,30.00
2014-11-07,31.20,31.20,29.00,30.00,9700,30.00
2014-11-06,29.55,29.55,29.55,29.55,000,29.55
2014-11-05,29.00,30.25,29.00,29.55,16300,29.55
2014-11-04,28.65,28.65,28.65,28.65,000,28.65
2014-11-03,28.45,29.50,28.05,28.65,12000,28.65
2014-10-31,27.00,28.00,26.65,28.00,4500,28.00
2014-10-30,27.00,27.95,26.75,27.35,5800,27.35
2014-10-29,28.00,28.00,27.15,27.45,1900,27.45
2014-10-28,27.10,27.90,26.80,26.80,4700,26.80
2014-10-27,28.30,28.90,26.30,27.30,3100,27.30
2014-10-24,28.50,28.50,28.50,28.50,000,28.50
2014-10-23,28.50,28.50,28.50,28.50,000,28.50
2014-10-22,28.05,29.75,28.00,28.50,1600,28.50
2014-10-21,30.00,30.80,27.60,28.40,32600,28.40
2014-10-20,28.25,30.80,28.25,29.50,48900,29.50
2014-10-17,26.95,29.00,26.10,28.50,55000,28.50
2014-10-16,27.00,28.50,26.10,26.90,26900,26.90
2014-10-15,27.45,27.45,27.45,27.45,000,27.45
2014-10-14,26.65,27.50,26.40,27.45,1000,27.45
2014-10-13,26.60,28.00,26.10,27.25,6900,27.25
2014-10-10,28.25,28.90,26.00,26.55,41900,26.55
2014-10-09,26.05,28.05,26.00,28.05,82000,28.05
2014-10-08,25.00,26.50,25.00,25.50,16600,25.50
2014-10-07,24.00,25.00,23.65,24.75,17300,24.75
2014-10-06,24.65,24.65,24.65,24.65,000,24.65
2014-10-03,24.65,24.65,24.65,24.65,000,24.65
2014-10-02,24.65,24.65,24.65,24.65,000,24.65
2014-10-01,26.85,26.85,24.65,24.65,32500,24.65
2014-09-30,27.75,27.75,25.44,25.92,135500,25.92
2014-09-29,27.59,27.59,26.10,26.77,71000,26.77
2014-09-26,23.86,26.36,23.86,26.35,90600,26.35
2014-09-25,25.50,25.60,25.11,25.11,400,25.11
2014-09-24,26.43,27.60,26.43,26.43,15800,26.43
2014-09-23,28.21,28.85,27.82,27.82,41800,27.82
2014-09-22,30.50,30.50,28.18,29.28,18100,29.28
2014-09-19,29.32,29.40,28.05,29.40,88200,29.40
2014-09-18,28.00,28.00,27.00,28.00,46700,28.00
2014-09-17,24.50,26.67,24.13,26.67,77000,26.67
2014-09-16,28.06,28.06,25.40,25.40,210600,25.40
2014-09-15,26.73,26.73,26.73,26.73,14100,26.73
2014-09-12,25.46,25.46,23.11,25.46,120900,25.46
2014-09-11,24.25,24.25,23.75,24.25,29000,24.25
2014-09-10,22.94,23.10,21.28,23.10,40600,23.10
2014-09-09,22.20,22.20,20.30,22.00,12900,22.00
2014-09-08,21.36,21.36,21.01,21.36,4600,21.36
2014-09-05,19.75,20.35,19.75,20.35,6800,20.35
2014-09-04,19.50,19.68,18.55,19.39,16900,19.39
2014-09-03,18.94,18.94,18.50,18.76,25600,18.76
2014-09-02,18.00,18.04,17.99,18.04,12900,18.04
2014-09-01,16.30,17.19,16.30,17.19,7100,17.19
2014-08-29,16.38,16.38,16.38,16.38,000,16.38
2014-08-28,16.45,16.48,15.36,16.38,18800,16.38
2014-08-27,15.70,15.70,15.50,15.70,11400,15.70
2014-08-26,13.55,14.96,13.55,14.96,6400,14.96
2014-08-25,14.15,14.25,14.06,14.25,2000,14.25
2014-08-22,15.00,15.25,14.58,14.68,6900,14.68
2014-08-21,15.30,15.48,15.30,15.34,11000,15.34
2014-08-20,14.75,15.88,14.75,14.75,8900,14.75
2014-08-19,15.52,15.52,15.52,15.52,500,15.52
2014-08-18,16.33,16.33,16.33,16.33,000,16.33
2014-08-15,17.18,17.18,17.18,17.18,000,17.18
2014-08-14,17.28,17.28,16.37,17.18,13700,17.18
2014-08-13,16.45,16.46,15.65,16.46,16900,16.46
2014-08-12,14.55,15.68,14.55,15.68,9700,15.68
2014-08-11,13.90,15.00,13.90,14.94,4000,14.94
2014-08-08,13.80,14.79,13.80,14.56,1100,14.56
2014-08-07,14.35,14.35,14.30,14.32,1000,14.32
2014-08-06,14.25,14.65,14.10,14.65,500,14.65
2014-08-05,14.31,14.90,14.20,14.21,2200,14.21
2014-08-04,14.28,14.70,14.15,14.23,2500,14.23
2014-08-01,14.25,14.70,14.20,14.28,7000,14.28
2014-07-31,14.10,14.35,14.10,14.25,5700,14.25
2014-07-30,15.70,15.70,14.55,14.55,600,14.55
2014-07-29,15.05,15.05,15.05,15.05,000,15.05
2014-07-28,15.35,15.35,14.35,15.05,5400,15.05
2014-07-25,14.60,14.90,14.10,14.90,200,14.90
2014-07-24,14.60,15.00,14.60,14.60,1700,14.60
2014-07-23,14.95,14.95,14.60,14.60,5500,14.60
2014-07-22,14.55,14.95,14.25,14.25,6300,14.25
2014-07-21,15.05,15.05,14.50,14.95,1400,14.95
2014-07-18,14.60,15.15,14.20,14.40,1000,14.40
2014-07-17,14.50,14.60,14.50,14.60,500,14.60
2014-07-16,15.15,15.15,14.65,14.85,900,14.85
2014-07-15,14.25,15.50,14.25,14.45,1600,14.45
2014-07-14,15.55,15.55,14.85,14.90,4300,14.90
2014-07-11,16.60,16.60,15.50,15.60,2100,15.60
2014-07-10,17.30,17.30,15.85,15.85,2400,15.85
2014-07-09,15.75,16.50,15.75,16.50,800,16.50
2014-07-08,17.50,17.50,16.15,16.40,8600,16.40
2014-07-07,16.65,16.85,16.30,16.85,2600,16.85
2014-07-04,16.75,16.80,15.30,16.05,9600,16.05
2014-07-03,17.50,17.50,15.90,15.90,2500,15.90
2014-07-02,16.25,16.70,16.05,16.70,19400,16.70
2014-07-01,15.35,16.00,15.30,15.95,1800,15.95
2014-06-30,15.60,16.00,15.20,15.33,5300,15.33
2014-06-27,15.21,16.65,15.21,15.47,8400,15.47
2014-06-26,17.39,17.39,16.00,16.00,22500,16.00
2014-06-25,16.50,16.57,16.10,16.57,15700,16.57
2014-06-24,15.79,15.79,15.77,15.79,5800,15.79
2014-06-23,15.00,15.04,14.99,15.04,5600,15.04
2014-06-20,12.97,14.33,12.97,14.33,15500,14.33
2014-06-19,14.68,14.68,13.35,13.65,1400,13.65
2014-06-18,14.40,14.62,13.90,14.04,3200,14.04
2014-06-17,14.47,14.65,14.47,14.62,9500,14.62
2014-06-16,15.32,15.32,15.23,15.23,6100,15.23
2014-06-13,16.60,16.60,16.03,16.03,8600,16.03
2014-06-12,16.41,17.86,16.16,16.87,26300,16.87
2014-06-11,17.15,17.15,16.95,17.01,16000,17.01
