Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,22.50,22.50,22.50,22.50,000,22.50
2014-12-22,22.00,23.00,21.00,23.00,1000,23.00
2014-12-19,21.90,21.90,21.90,21.90,000,21.90
2014-12-18,20.50,20.50,20.50,20.50,5500,20.50
2014-12-17,24.95,24.95,20.05,21.60,7400,21.60
2014-12-16,25.00,25.00,22.00,23.70,100,23.70
2014-12-15,23.70,23.70,23.70,23.70,000,23.70
2014-12-12,23.90,24.90,23.90,24.75,000,24.75
2014-12-11,31.00,31.00,22.65,23.90,5600,23.90
2014-12-10,28.00,28.00,22.00,26.00,400,26.00
2014-12-09,26.00,26.00,26.00,26.00,000,26.00
2014-12-08,25.00,28.50,23.00,26.00,1500,26.00
2014-12-05,25.50,27.00,25.00,27.00,100,27.00
2014-12-04,28.00,28.00,24.50,26.65,3600,26.65
2014-12-03,26.00,26.00,26.00,26.00,000,26.00
2014-12-02,25.00,26.00,25.00,26.00,2300,26.00
2014-12-01,25.00,29.50,25.00,26.40,500,26.40
2014-11-28,27.00,27.00,26.00,26.85,3300,26.85
2014-11-27,27.80,28.00,27.00,27.75,178500,27.75
2014-11-26,29.45,29.45,29.45,29.45,000,29.45
2014-11-25,31.10,31.10,28.00,29.45,3000,29.45
2014-11-24,30.55,30.55,28.00,29.50,2100,29.50
2014-11-21,30.00,32.00,28.00,28.60,194000,28.60
2014-11-20,29.70,31.00,29.70,30.95,4500,30.95
2014-11-19,29.00,30.95,28.70,29.60,45900,29.60
2014-11-18,27.95,28.75,27.95,28.75,51500,28.75
2014-11-17,28.70,28.70,28.65,28.65,20000,28.65
2014-11-14,28.40,28.45,24.55,27.35,25000,27.35
2014-11-13,27.20,29.45,26.55,27.25,176700,27.25
2014-11-12,26.50,27.55,26.50,27.15,3500,27.15
2014-11-11,22.75,25.10,22.75,25.05,2000,25.05
2014-11-10,22.00,23.10,22.00,23.00,1500,23.00
2014-11-07,22.00,22.00,22.00,22.00,100,22.00
2014-11-06,22.00,22.00,22.00,22.00,000,22.00
2014-11-05,22.00,22.00,22.00,22.00,900,22.00
2014-11-04,23.00,23.00,23.00,23.00,000,23.00
2014-11-03,23.00,23.00,23.00,23.00,400,23.00
2014-10-31,23.60,23.60,23.60,23.60,000,23.60
2014-10-30,23.60,23.60,23.60,23.60,000,23.60
2014-10-29,23.60,23.60,23.60,23.60,000,23.60
2014-10-28,23.60,23.60,23.60,23.60,000,23.60
2014-10-27,22.50,23.60,22.50,23.60,200,23.60
2014-10-24,22.50,22.50,22.50,22.50,000,22.50
2014-10-23,22.50,22.50,22.50,22.50,000,22.50
2014-10-22,21.50,22.50,20.90,22.50,4100,22.50
2014-10-21,22.00,22.00,22.00,22.00,000,22.00
2014-10-20,21.50,22.00,21.25,22.00,4700,22.00
2014-10-17,22.00,22.00,22.00,22.00,100,22.00
2014-10-16,22.25,22.25,21.00,21.00,2900,21.00
2014-10-15,21.70,21.70,21.70,21.70,000,21.70
2014-10-14,21.00,22.10,21.00,21.70,2700,21.70
2014-10-13,21.40,21.40,21.00,21.05,100,21.05
2014-10-10,21.00,21.20,20.00,20.40,1000,20.40
2014-10-09,20.35,20.35,20.35,20.35,000,20.35
2014-10-08,20.35,20.35,20.35,20.35,000,20.35
2014-10-07,19.80,19.80,19.40,19.40,200,19.40
2014-10-06,18.90,18.90,18.90,18.90,000,18.90
2014-10-03,18.90,18.90,18.90,18.90,000,18.90
2014-10-02,18.90,18.90,18.90,18.90,000,18.90
2014-10-01,18.90,18.90,18.90,18.90,100,18.90
2014-09-30,17.75,18.05,17.50,18.00,20500,18.00
2014-09-29,17.75,18.25,17.75,18.25,100,18.25
2014-09-26,17.75,18.25,17.75,18.00,600,18.00
2014-09-25,18.50,18.50,17.80,17.80,2200,17.80
2014-09-24,18.00,18.00,17.10,18.00,3800,18.00
2014-09-23,18.50,18.65,18.00,18.00,900,18.00
2014-09-22,18.40,18.40,17.50,18.05,1200,18.05
2014-09-19,17.25,18.10,17.25,17.65,2000,17.65
2014-09-18,17.25,17.25,17.25,17.25,500,17.25
2014-09-17,17.75,18.00,16.65,18.00,600,18.00
2014-09-16,17.50,17.50,17.50,17.50,000,17.50
2014-09-15,17.30,17.30,17.30,17.30,000,17.30
2014-09-12,17.20,17.30,17.20,17.30,900,17.30
2014-09-11,16.50,16.50,16.50,16.50,1400,16.50
2014-09-10,15.75,15.75,15.75,15.75,000,15.75
2014-09-09,15.75,15.75,15.75,15.75,000,15.75
2014-09-08,15.75,15.75,15.75,15.75,000,15.75
2014-09-05,17.35,17.35,15.75,15.75,400,15.75
2014-09-04,16.60,16.60,16.55,16.55,000,16.55
2014-09-03,17.40,17.40,17.40,17.40,000,17.40
2014-09-02,17.00,17.25,16.45,17.25,1000,17.25
2014-09-01,17.20,17.20,17.20,17.20,000,17.20
2014-08-29,17.30,17.30,17.30,17.30,000,17.30
2014-08-28,17.30,17.30,17.30,17.30,000,17.30
2014-08-27,16.70,16.70,15.40,16.50,100,16.50
2014-08-26,16.25,16.25,16.20,16.20,700,16.20
2014-08-25,17.00,17.00,17.00,17.00,000,17.00
2014-08-22,17.85,17.85,17.85,17.85,000,17.85
2014-08-21,17.00,17.00,17.00,17.00,000,17.00
2014-08-20,17.00,17.00,17.00,17.00,000,17.00
2014-08-19,17.00,17.00,17.00,17.00,000,17.00
2014-08-18,17.00,17.00,17.00,17.00,000,17.00
2014-08-15,17.00,17.00,17.00,17.00,000,17.00
2014-08-14,17.00,17.00,17.00,17.00,1000,17.00
2014-08-13,17.30,17.30,17.30,17.30,000,17.30
2014-08-12,17.30,17.30,17.30,17.30,000,17.30
2014-08-11,17.30,17.30,17.30,17.30,000,17.30
2014-08-08,17.30,17.30,17.30,17.30,400,17.30
2014-08-07,17.85,17.85,17.85,17.85,000,17.85
2014-08-06,17.00,17.00,17.00,17.00,000,17.00
2014-08-05,17.00,17.00,17.00,17.00,400,17.00
2014-08-04,17.50,17.50,17.50,17.50,000,17.50
2014-08-01,17.50,17.50,17.50,17.50,000,17.50
2014-07-31,17.50,17.50,17.50,17.50,000,17.50
2014-07-30,17.50,17.50,17.50,17.50,000,17.50
2014-07-29,16.75,16.75,16.75,16.75,000,16.75
2014-07-28,16.75,16.75,16.75,16.75,000,16.75
2014-07-25,16.75,16.75,16.75,16.75,000,16.75
2014-07-24,16.75,16.75,16.75,16.75,000,16.75
2014-07-23,16.75,16.75,16.75,16.75,000,16.75
2014-07-22,16.00,16.00,16.00,16.00,000,16.00
2014-07-21,16.00,16.00,16.00,16.00,000,16.00
2014-07-18,16.20,16.20,16.00,16.00,000,16.00
2014-07-17,15.45,15.45,15.45,15.45,000,15.45
2014-07-16,15.45,15.45,15.45,15.45,000,15.45
2014-07-15,15.45,15.45,15.45,15.45,000,15.45
2014-07-14,15.45,15.45,15.45,15.45,000,15.45
2014-07-11,15.45,15.45,15.45,15.45,2000,15.45
2014-07-10,14.75,14.75,14.75,14.75,700,14.75
2014-07-09,15.50,15.50,15.50,15.50,000,15.50
2014-07-08,15.55,15.55,15.50,15.50,200,15.50
2014-07-07,16.25,16.25,16.25,16.25,000,16.25
2014-07-04,16.25,16.25,16.25,16.25,000,16.25
2014-07-03,16.25,16.25,16.25,16.25,000,16.25
2014-07-02,16.25,16.25,16.25,16.25,000,16.25
2014-07-01,16.25,16.25,16.25,16.25,000,16.25
2014-06-30,16.25,16.25,16.25,16.25,000,16.25
2014-06-27,16.25,16.25,16.25,16.25,1500,16.25
2014-06-26,16.25,16.25,16.25,16.25,1000,16.25
2014-06-25,15.50,15.50,15.50,15.50,000,15.50
2014-06-24,15.50,15.50,15.50,15.50,000,15.50
2014-06-23,15.50,15.50,15.50,15.50,000,15.50
2014-06-20,15.50,15.50,15.50,15.50,000,15.50
2014-06-19,15.50,15.50,15.50,15.50,000,15.50
2014-06-18,15.50,15.50,15.50,15.50,000,15.50
