Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,50.70,51.00,49.10,49.65,672700,49.65
2014-12-22,51.00,51.25,50.30,50.70,1058300,50.70
2014-12-19,51.80,52.30,50.30,50.55,1798800,50.55
2014-12-18,47.20,51.00,47.20,50.30,2030100,50.30
2014-12-17,45.50,47.45,43.20,46.70,2852500,46.70
2014-12-16,48.00,48.30,45.45,45.80,2054300,45.80
2014-12-15,48.70,49.75,47.90,48.40,1958600,48.40
2014-12-12,50.40,51.40,48.95,49.10,1185800,49.10
2014-12-11,50.65,50.95,49.40,50.45,735200,50.45
2014-12-10,49.70,51.10,49.70,50.65,985600,50.65
2014-12-09,51.00,51.10,49.75,50.10,1246300,50.10
2014-12-08,53.45,53.50,51.10,51.40,1219000,51.40
2014-12-05,54.00,54.60,53.10,53.45,719100,53.45
2014-12-04,55.20,55.65,54.15,54.40,974500,54.40
2014-12-03,55.00,55.75,54.65,55.00,13630800,55.00
2014-12-02,53.95,55.20,52.65,54.80,2102700,54.80
2014-12-01,52.50,54.10,51.40,53.65,1677700,53.65
2014-11-28,52.00,52.65,51.80,52.35,1724200,52.35
2014-11-27,51.25,52.40,50.70,51.70,2223200,51.70
2014-11-26,48.85,51.45,48.20,51.10,1801700,51.10
2014-11-25,51.95,52.20,48.20,49.20,2351700,49.20
2014-11-24,53.10,53.60,51.55,51.75,1414600,51.75
2014-11-21,52.75,53.70,52.60,52.80,1149000,52.80
2014-11-20,52.90,52.95,51.75,52.75,1247000,52.75
2014-11-19,54.20,54.50,52.40,52.75,1718200,52.75
2014-11-18,55.75,55.75,53.60,53.80,1827500,53.80
2014-11-17,54.70,55.50,54.05,55.30,1890100,55.30
2014-11-14,54.35,55.00,53.50,54.50,1853300,54.50
2014-11-13,53.90,56.15,53.30,53.90,4825200,53.90
2014-11-12,49.90,54.00,49.65,53.20,4945800,53.20
2014-11-11,49.65,50.20,49.10,49.55,1665900,49.55
2014-11-10,47.75,49.40,47.25,49.15,2421000,49.15
2014-11-07,48.60,49.00,47.10,47.40,3848200,47.40
2014-11-06,46.75,46.75,46.75,46.75,000,46.75
2014-11-05,46.75,47.90,46.55,46.75,1312100,46.75
2014-11-04,46.50,46.50,46.50,46.50,000,46.50
2014-11-03,46.70,47.75,46.25,46.50,3566900,46.50
2014-10-31,46.40,46.80,46.00,46.35,1613900,46.35
2014-10-30,45.70,46.55,44.95,46.30,1646200,46.30
2014-10-29,45.50,46.30,45.40,45.55,1110600,45.55
2014-10-28,46.00,46.05,45.35,45.55,1498700,45.55
2014-10-27,46.20,46.35,45.50,45.75,1672500,45.75
2014-10-24,44.45,44.45,44.45,44.45,000,44.45
2014-10-23,44.45,44.45,44.45,44.45,000,44.45
