Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,14.77,14.78,13.81,14.32,1104600,14.32
2014-12-22,15.19,15.19,14.01,14.57,833500,14.57
2014-12-19,13.82,15.00,13.30,14.52,736400,14.52
2014-12-18,13.92,13.98,13.00,13.85,730700,13.85
2014-12-17,13.62,13.94,12.26,13.85,794700,13.85
2014-12-16,13.79,13.79,13.00,13.30,199300,13.30
2014-12-15,14.15,14.15,13.20,13.46,500300,13.46
2014-12-12,13.53,14.04,13.20,13.82,503800,13.82
2014-12-11,13.93,14.66,12.07,12.97,613700,12.97
2014-12-10,13.89,13.89,13.15,13.33,265800,13.33
2014-12-09,14.05,14.07,13.15,13.74,368200,13.74
2014-12-08,14.15,14.26,13.00,13.86,521700,13.86
2014-12-05,11.89,13.14,11.89,12.97,414300,12.97
2014-12-04,11.85,11.99,11.75,11.97,313600,11.97
2014-12-03,11.34,11.74,11.34,11.69,311500,11.69
2014-12-02,11.74,11.90,11.58,11.84,230100,11.84
2014-12-01,11.55,12.19,11.35,12.17,310800,12.17
2014-11-28,11.37,11.90,11.01,11.90,189800,11.90
2014-11-27,11.70,11.70,11.00,11.57,248800,11.57
2014-11-26,11.50,11.94,11.05,11.57,533500,11.57
2014-11-25,11.15,11.60,10.80,11.59,497800,11.59
2014-11-24,11.25,11.59,10.83,11.36,548900,11.36
2014-11-21,10.32,11.27,10.32,11.25,328600,11.25
2014-11-20,10.00,10.75,10.00,10.74,558400,10.74
2014-11-19,9.98,10.28,9.70,10.24,377100,10.24
2014-11-18,9.50,10.00,9.06,9.80,207900,9.80
2014-11-17,10.00,10.15,9.53,9.53,95800,9.53
2014-11-14,10.00,10.20,9.55,10.03,174300,10.03
2014-11-13,9.50,10.02,9.50,9.75,15100,9.75
2014-11-12,9.85,9.90,9.50,9.55,17100,9.55
2014-11-11,10.00,10.00,9.39,9.89,39000,9.89
2014-11-10,9.20,9.90,9.20,9.88,33300,9.88
2014-11-07,8.25,9.20,8.20,9.20,35900,9.20
2014-11-06,8.44,8.44,8.44,8.44,000,8.44
2014-11-05,8.90,8.90,8.40,8.44,15000,8.44
2014-11-04,8.69,8.69,8.69,8.69,000,8.69
2014-11-03,8.99,8.99,8.62,8.69,17200,8.69
2014-10-31,8.40,8.72,8.00,8.69,76700,8.69
2014-10-30,8.04,8.50,7.90,8.29,73800,8.29
2014-10-29,8.24,8.24,8.03,8.04,21200,8.04
2014-10-28,8.30,8.30,7.85,8.12,45800,8.12
2014-10-27,8.40,8.45,8.21,8.25,27500,8.25
2014-10-24,8.18,8.18,8.18,8.18,000,8.18
2014-10-23,8.18,8.18,8.18,8.18,000,8.18
2014-10-22,8.40,8.40,8.00,8.18,47600,8.18
2014-10-21,7.90,8.13,7.90,8.12,8800,8.12
2014-10-20,6.70,7.74,6.70,7.64,189600,7.64
2014-10-17,6.65,7.30,6.65,7.04,111900,7.04
2014-10-16,6.55,7.08,6.55,6.97,316600,6.97
2014-10-15,6.80,6.80,6.80,6.80,000,6.80
2014-10-14,6.66,6.97,6.45,6.80,172500,6.80
2014-10-13,6.05,6.98,6.05,6.92,294900,6.92
2014-10-10,7.05,7.05,5.90,6.55,288200,6.55
2014-10-09,5.80,6.60,5.80,6.41,253900,6.41
2014-10-08,5.71,6.47,5.70,6.18,224700,6.18
2014-10-07,5.85,6.24,5.85,6.02,169300,6.02
2014-10-06,5.95,5.95,5.95,5.95,000,5.95
2014-10-03,5.95,5.95,5.95,5.95,000,5.95
2014-10-02,5.95,5.95,5.95,5.95,000,5.95
2014-10-01,5.85,6.00,5.85,5.95,229500,5.95
2014-09-30,5.65,6.09,5.65,6.08,287700,6.08
2014-09-29,5.60,5.84,5.60,5.80,254000,5.80
2014-09-26,6.15,6.15,5.58,5.58,258800,5.58
2014-09-25,6.05,6.47,5.87,5.87,346500,5.87
2014-09-24,5.70,6.17,5.70,6.17,275400,6.17
2014-09-23,5.60,5.89,5.60,5.88,212400,5.88
2014-09-22,5.81,5.85,5.45,5.83,302300,5.83
2014-09-19,5.32,5.58,5.32,5.58,210300,5.58
2014-09-18,5.10,5.33,5.10,5.32,300000,5.32
2014-09-17,5.15,5.15,5.05,5.10,293300,5.10
2014-09-16,5.70,5.70,5.19,5.20,333300,5.20
2014-09-15,5.25,5.55,5.25,5.44,352400,5.44
2014-09-12,5.10,5.40,5.08,5.29,346800,5.29
2014-09-11,5.32,5.32,5.01,5.15,311500,5.15
2014-09-10,5.15,5.32,4.90,5.27,223200,5.27
2014-09-09,5.00,5.15,5.00,5.09,193200,5.09
2014-09-08,5.22,5.22,4.80,5.22,36500,5.22
2014-09-05,4.98,4.98,4.60,4.98,4900,4.98
2014-09-04,4.75,4.75,4.55,4.75,85200,4.75
2014-09-03,4.30,4.56,4.30,4.53,8800,4.53
2014-09-02,4.15,4.35,3.98,4.35,171100,4.35
2014-09-01,4.50,4.52,4.15,4.15,1400,4.15
2014-08-29,4.31,4.31,4.31,4.31,000,4.31
2014-08-28,4.69,4.69,4.31,4.31,500,4.31
2014-08-27,4.86,4.86,4.47,4.47,100,4.47
2014-08-26,5.00,5.00,4.60,4.63,3500,4.63
2014-08-25,4.70,4.84,4.48,4.84,8000,4.84
2014-08-22,4.66,5.00,4.66,4.66,700,4.66
2014-08-21,4.86,4.86,4.86,4.86,000,4.86
2014-08-20,5.05,5.38,5.05,5.10,12700,5.10
2014-08-19,5.15,5.30,5.10,5.20,52600,5.20
2014-08-18,5.10,5.40,5.10,5.10,52200,5.10
2014-08-15,5.17,5.17,5.17,5.17,000,5.17
2014-08-14,5.50,5.50,5.17,5.17,200,5.17
2014-08-13,5.34,5.82,5.34,5.35,3000,5.35
2014-08-12,5.21,5.60,5.21,5.60,11200,5.60
2014-08-11,5.44,5.60,5.44,5.45,3300,5.45
2014-08-08,5.72,5.72,5.72,5.72,000,5.72
2014-08-07,5.86,5.86,5.42,5.72,2600,5.72
2014-08-06,5.75,5.75,5.70,5.70,1500,5.70
2014-08-05,5.70,5.70,5.70,5.70,100,5.70
2014-08-04,5.40,5.70,5.38,5.50,3100,5.50
2014-08-01,5.70,5.75,5.64,5.64,5200,5.64
2014-07-31,5.93,5.93,5.93,5.93,200,5.93
