Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,715.85,715.85,695.50,697.70,700,697.70
2014-12-22,712.00,719.00,705.05,708.05,300,708.05
2014-12-19,712.55,721.60,695.00,707.85,500,707.85
2014-12-18,706.00,735.75,699.60,721.75,300,721.75
2014-12-17,715.00,720.00,675.00,700.00,1500,700.00
2014-12-16,710.40,714.50,700.50,707.30,1300,707.30
2014-12-15,715.00,724.90,693.50,712.95,3300,712.95
2014-12-12,750.00,750.00,714.00,725.55,1000,725.55
2014-12-11,731.00,749.00,725.00,738.85,300,738.85
2014-12-10,708.00,749.00,708.00,739.80,800,739.80
2014-12-09,730.85,730.85,707.70,711.80,400,711.80
2014-12-08,741.20,745.80,730.00,732.55,700,732.55
2014-12-05,755.00,775.00,741.00,745.95,1300,745.95
2014-12-04,769.00,775.00,740.00,750.90,2400,750.90
2014-12-03,765.40,786.00,750.00,757.00,700,757.00
2014-12-02,732.00,773.40,715.00,763.55,8100,763.55
2014-12-01,749.00,755.00,703.65,732.80,1300,732.80
2014-11-28,745.00,753.80,717.00,726.30,1900,726.30
2014-11-27,709.75,748.00,700.00,737.55,12500,737.55
2014-11-26,713.95,727.70,695.10,700.70,6200,700.70
2014-11-25,808.60,841.65,705.25,718.30,30900,718.30
2014-11-24,764.00,850.85,741.00,787.70,26400,787.70
2014-11-21,790.45,792.85,760.00,764.00,3600,764.00
2014-11-20,780.00,799.40,774.50,781.10,1100,781.10
2014-11-19,830.00,844.65,772.20,787.35,8600,787.35
2014-11-18,762.00,862.00,745.00,819.25,18400,819.25
2014-11-17,745.00,777.80,745.00,761.20,4200,761.20
2014-11-14,703.00,752.05,694.00,732.45,4500,732.45
2014-11-13,714.05,715.00,698.00,702.10,300,702.10
2014-11-12,700.20,720.00,700.20,715.00,4200,715.00
2014-11-11,700.45,712.80,695.00,701.75,600,701.75
2014-11-10,710.00,722.10,701.05,702.75,400,702.75
2014-11-07,723.15,738.75,702.00,709.10,700,709.10
2014-11-06,729.55,729.55,729.55,729.55,000,729.55
2014-11-05,724.95,739.80,720.50,729.55,4000,729.55
2014-11-04,728.20,728.20,728.20,728.20,000,728.20
2014-11-03,680.00,734.40,670.50,728.20,7100,728.20
2014-10-31,674.90,690.50,669.35,676.35,400,676.35
2014-10-30,657.10,674.80,657.10,668.20,400,668.20
2014-10-29,661.40,661.40,655.00,655.50,100,655.50
2014-10-28,665.00,672.95,654.80,660.70,600,660.70
2014-10-27,655.00,665.00,653.95,654.80,27100,654.80
2014-10-24,657.05,657.05,657.05,657.05,000,657.05
2014-10-23,657.05,657.05,657.05,657.05,000,657.05
2014-10-22,660.00,663.35,653.05,657.05,500,657.05
2014-10-21,671.70,671.70,647.25,653.00,1100,653.00
2014-10-20,672.05,674.90,651.10,656.95,2900,656.95
2014-10-17,669.80,685.00,660.00,665.50,1600,665.50
2014-10-16,670.00,680.45,660.20,666.55,700,666.55
2014-10-15,675.10,675.10,675.10,675.10,000,675.10
2014-10-14,676.00,688.30,655.10,675.10,1600,675.10
2014-10-13,655.20,705.00,652.00,683.50,7700,683.50
2014-10-10,650.00,675.00,646.00,668.60,400,668.60
2014-10-09,660.00,664.00,650.00,651.75,100,651.75
2014-10-08,664.95,664.95,630.25,650.30,2600,650.30
2014-10-07,665.70,666.05,640.25,655.40,1200,655.40
2014-10-06,651.05,651.05,651.05,651.05,000,651.05
2014-10-03,651.05,651.05,651.05,651.05,000,651.05
2014-10-02,651.05,651.05,651.05,651.05,000,651.05
2014-10-01,655.00,674.90,650.00,651.05,700,651.05
2014-09-30,656.05,671.40,656.05,656.05,200,656.05
2014-09-29,675.00,675.05,655.00,661.60,200,661.60
2014-09-26,640.00,675.70,637.00,670.25,2200,670.25
2014-09-25,660.00,660.00,638.00,645.00,400,645.00
2014-09-24,666.80,666.80,645.00,652.05,500,652.05
2014-09-23,685.00,687.60,666.50,670.25,700,670.25
2014-09-22,685.20,690.00,678.00,683.55,900,683.55
2014-09-19,688.15,690.00,677.50,685.95,600,685.95
2014-09-18,680.00,690.00,676.65,682.75,1000,682.75
2014-09-17,685.00,693.15,664.95,678.35,700,678.35
2014-09-16,680.00,697.00,654.00,660.80,3700,660.80
2014-09-15,688.35,698.40,664.20,678.15,400,678.15
2014-09-12,675.55,693.50,675.00,688.70,1300,688.70
2014-09-11,680.00,685.00,655.10,681.20,2200,681.20
2014-09-10,693.80,693.80,682.10,682.80,000,682.80
2014-09-09,688.95,698.95,676.25,694.95,2300,694.95
2014-09-08,680.00,693.70,677.60,681.30,700,681.30
2014-09-05,675.00,688.00,667.90,679.95,2100,679.95
2014-09-04,679.85,683.10,660.00,664.90,1000,664.90
2014-09-03,670.00,720.00,658.00,675.70,12300,675.70
2014-09-02,632.00,666.00,632.00,659.95,56400,659.95
2014-09-01,650.25,672.00,629.00,631.75,4000,631.75
2014-08-29,642.00,642.00,642.00,642.00,000,642.00
2014-08-28,621.00,646.05,595.95,642.00,9500,642.00
2014-08-27,608.30,624.30,608.30,620.85,100,620.85
2014-08-26,630.00,630.00,610.05,612.00,400,612.00
2014-08-25,625.00,629.00,615.40,618.15,400,618.15
2014-08-22,634.00,636.90,620.00,631.00,200,631.00
2014-08-21,620.00,634.00,613.20,634.00,1400,634.00
2014-08-20,611.00,620.00,605.00,620.00,1000,620.00
2014-08-19,609.05,609.05,609.05,609.05,000,609.05
2014-08-18,610.00,614.95,605.00,609.05,200,609.05
2014-08-15,601.05,601.05,601.05,601.05,000,601.05
2014-08-14,591.00,619.20,565.00,601.05,8900,601.05
2014-08-13,607.00,607.00,590.05,591.30,700,591.30
2014-08-12,605.00,616.00,596.00,599.45,2600,599.45
2014-08-11,605.10,620.00,600.65,615.85,500,615.85
2014-08-08,605.00,614.95,595.00,610.00,600,610.00
2014-08-07,615.00,624.95,598.20,611.45,1500,611.45
2014-08-06,625.00,629.90,610.00,618.05,700,618.05
2014-08-05,627.00,640.00,625.15,634.55,1900,634.55
2014-08-04,615.75,639.95,609.90,630.75,1700,630.75
2014-08-01,620.00,634.50,605.05,618.25,1900,618.25
2014-07-31,640.00,644.00,621.05,629.55,1500,629.55
2014-07-30,622.10,653.50,610.15,634.00,9700,634.00
2014-07-29,617.45,617.45,617.45,617.45,000,617.45
2014-07-28,610.00,662.00,601.95,617.45,17700,617.45
2014-07-25,619.80,630.00,598.00,598.00,7300,598.00
2014-07-24,609.00,622.00,605.00,611.85,1100,611.85
2014-07-23,610.00,614.00,584.60,612.00,3000,612.00
2014-07-22,614.30,614.30,603.30,608.40,700,608.40
2014-07-21,609.75,630.90,595.85,609.80,21400,609.80
2014-07-18,599.90,610.00,591.50,600.30,1200,600.30
2014-07-17,605.00,609.90,602.00,602.30,300,602.30
2014-07-16,601.00,608.80,593.85,598.35,1000,598.35
2014-07-15,587.75,604.00,587.75,600.10,500,600.10
2014-07-14,595.00,600.00,564.50,587.75,3000,587.75
2014-07-11,594.60,615.00,581.80,589.90,4600,589.90
2014-07-10,574.00,599.00,545.00,594.60,2700,594.60
2014-07-09,570.00,629.60,560.00,574.30,7000,574.30
2014-07-08,600.00,602.45,568.05,587.75,3000,587.75
2014-07-07,615.00,619.95,595.50,606.65,1800,606.65
2014-07-04,597.65,652.00,592.05,611.65,18400,611.65
2014-07-03,589.40,612.00,589.40,601.25,1100,601.25
2014-07-02,615.00,617.50,595.00,598.15,1600,598.15
2014-07-01,575.00,642.60,571.50,605.75,12900,605.75
2014-06-30,581.35,597.00,570.15,576.95,1400,576.95
2014-06-27,588.00,597.85,575.00,580.00,700,580.00
2014-06-26,609.45,614.60,580.00,588.00,1200,588.00
2014-06-25,570.00,621.00,570.00,602.65,15200,602.65
2014-06-24,540.00,568.00,536.00,565.00,1300,565.00
2014-06-23,545.00,550.10,526.50,538.15,2900,538.15
2014-06-20,554.95,555.00,535.35,538.30,500,538.30
2014-06-19,542.40,554.95,532.70,547.40,700,547.40
2014-06-18,559.00,560.00,541.40,542.70,500,542.70
2014-06-17,555.00,569.00,535.00,561.45,1500,561.45
2014-06-16,535.00,559.00,528.20,555.00,1200,555.00
2014-06-13,530.00,571.00,521.05,540.30,9600,540.30
2014-06-12,510.35,535.80,503.25,527.95,1200,527.95
2014-06-11,530.00,530.00,496.00,520.20,2500,520.20
2014-06-10,554.00,558.70,518.00,524.85,3200,524.85
2014-06-09,519.00,571.00,519.00,552.60,5000,552.60
2014-06-06,525.15,549.15,511.15,515.90,4500,515.90
2014-06-05,490.00,539.30,490.00,514.75,14700,514.75
2014-06-04,470.00,493.00,464.50,487.70,1500,487.70
2014-06-03,465.10,472.50,456.65,464.65,100,464.65
2014-06-02,480.00,480.00,464.60,465.45,600,465.45
2014-05-30,474.00,489.00,465.00,473.55,700,473.55
2014-05-29,459.00,476.95,459.00,467.90,1000,467.90
2014-05-28,465.00,465.00,445.00,460.00,100,460.00
2014-05-27,494.95,495.00,445.00,449.05,3000,449.05
2014-05-26,455.00,491.00,455.00,463.95,4900,463.95
