Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,10.80,10.88,9.51,10.77,000,10.77
2014-12-22,9.90,9.90,9.90,9.90,000,9.90
2014-12-19,8.95,9.90,8.12,9.90,2600,9.90
2014-12-18,9.00,9.00,9.00,9.00,000,9.00
2014-12-17,9.00,9.00,9.00,9.00,000,9.00
2014-12-16,9.00,9.00,9.00,9.00,000,9.00
2014-12-15,8.92,9.00,8.92,9.00,800,9.00
2014-12-12,8.95,10.90,8.93,8.93,200,8.93
2014-12-11,9.92,9.92,9.92,9.92,000,9.92
2014-12-10,9.95,9.95,9.92,9.92,100,9.92
2014-12-09,9.16,10.99,9.16,10.99,100,10.99
2014-12-08,9.21,10.15,9.21,10.15,200,10.15
2014-12-05,10.21,10.21,10.21,10.21,000,10.21
2014-12-04,10.21,10.21,10.21,10.21,000,10.21
2014-12-03,9.74,10.74,9.74,10.74,400,10.74
2014-12-02,9.76,10.25,9.75,10.25,2000,10.25
2014-12-01,10.26,10.26,10.26,10.26,000,10.26
2014-11-28,10.26,10.30,10.26,10.26,600,10.26
2014-11-27,10.80,10.80,10.80,10.80,000,10.80
2014-11-26,11.36,11.36,11.36,11.36,000,11.36
2014-11-25,11.36,11.36,11.36,11.36,000,11.36
2014-11-24,11.36,11.36,11.36,11.36,000,11.36
2014-11-21,11.36,11.36,11.36,11.36,500,11.36
2014-11-20,11.95,11.95,11.95,11.95,000,11.95
2014-11-19,10.85,11.95,10.83,11.95,3300,11.95
2014-11-18,11.00,11.40,10.93,11.40,1300,11.40
2014-11-17,11.10,11.50,10.68,11.50,4500,11.50
2014-11-14,11.23,12.24,11.23,11.24,8500,11.24
2014-11-13,12.00,12.00,11.82,11.82,12100,11.82
2014-11-12,12.44,12.44,12.44,12.44,3700,12.44
2014-11-11,11.85,11.85,11.85,11.85,200,11.85
2014-11-10,12.05,12.50,11.76,12.39,9000,12.39
2014-11-07,13.41,13.42,12.20,12.37,3800,12.37
2014-11-06,12.79,12.79,12.79,12.79,000,12.79
2014-11-05,12.50,12.79,11.59,12.79,4400,12.79
2014-11-04,12.19,12.19,12.19,12.19,000,12.19
2014-11-03,13.39,13.39,12.15,12.19,1900,12.19
2014-10-31,12.78,12.78,12.78,12.78,100,12.78
2014-10-30,13.45,13.45,13.45,13.45,000,13.45
2014-10-29,13.70,13.70,12.40,13.45,5600,13.45
2014-10-28,13.30,13.30,12.10,13.05,3600,13.05
2014-10-27,12.68,12.68,12.68,12.68,3700,12.68
2014-10-24,11.51,11.51,11.51,11.51,000,11.51
2014-10-23,11.51,11.51,11.51,11.51,000,11.51
2014-10-22,11.51,11.51,11.51,11.51,2700,11.51
2014-10-21,10.97,10.97,9.93,10.97,3600,10.97
2014-10-20,10.45,10.45,10.45,10.45,000,10.45
2014-10-17,10.45,10.45,10.45,10.45,000,10.45
2014-10-16,11.00,11.00,10.45,10.45,1900,10.45
2014-10-15,11.00,11.00,11.00,11.00,000,11.00
2014-10-14,11.00,11.00,11.00,11.00,1800,11.00
2014-10-13,11.00,11.50,10.45,11.50,900,11.50
2014-10-10,10.95,12.06,10.95,11.00,800,11.00
2014-10-09,11.49,12.00,11.49,11.49,5200,11.49
2014-10-08,12.09,12.09,12.09,12.09,1000,12.09
2014-10-07,12.75,12.75,12.72,12.72,500,12.72
2014-10-06,13.38,13.38,13.38,13.38,000,13.38
2014-10-03,13.38,13.38,13.38,13.38,000,13.38
2014-10-02,13.38,13.38,13.38,13.38,000,13.38
2014-10-01,12.45,13.75,12.45,13.38,64700,13.38
2014-09-30,13.10,13.10,13.10,13.10,200,13.10
2014-09-29,15.22,15.22,13.78,13.78,19200,13.78
2014-09-26,14.50,14.50,14.50,14.50,6300,14.50
2014-09-25,13.81,13.81,13.81,13.81,2800,13.81
2014-09-24,13.16,13.16,13.16,13.16,40300,13.16
2014-09-23,12.54,12.54,12.54,12.54,3600,12.54
2014-09-22,11.95,11.95,11.95,11.95,3300,11.95
2014-09-19,11.39,11.39,11.39,11.39,1200,11.39
2014-09-18,10.85,10.85,10.85,10.85,5700,10.85
2014-09-17,10.34,10.34,10.34,10.34,2300,10.34
2014-09-16,9.85,9.85,9.85,9.85,2100,9.85
2014-09-15,9.39,9.39,9.39,9.39,1500,9.39
2014-09-12,8.96,8.96,8.22,8.95,1400,8.95
2014-09-11,8.54,8.54,8.54,8.54,4600,8.54
2014-09-10,8.14,8.14,8.14,8.14,300,8.14
2014-09-09,7.76,7.76,7.76,7.76,100,7.76
2014-09-08,7.95,8.68,7.92,8.03,5800,8.03
2014-09-05,7.50,8.27,7.50,8.27,2600,8.27
2014-09-04,8.68,8.68,7.88,7.88,1900,7.88
2014-09-03,8.27,8.27,8.27,8.27,100,8.27
2014-09-02,8.91,8.91,8.50,8.70,2000,8.70
2014-09-01,8.91,8.91,8.49,8.49,900,8.49
2014-08-29,8.49,8.49,8.49,8.49,000,8.49
2014-08-28,8.49,8.49,8.49,8.49,000,8.49
2014-08-27,8.49,8.49,8.49,8.49,5800,8.49
2014-08-26,8.93,8.93,8.93,8.93,500,8.93
2014-08-25,9.39,9.39,9.39,9.39,900,9.39
2014-08-22,9.88,9.88,9.88,9.88,4200,9.88
2014-08-21,10.39,10.39,10.39,10.39,000,10.39
2014-08-20,10.39,10.39,10.39,10.39,000,10.39
2014-08-19,10.39,10.39,10.39,10.39,000,10.39
2014-08-18,10.39,10.39,10.39,10.39,1000,10.39
2014-08-15,10.93,10.93,10.93,10.93,000,10.93
2014-08-14,10.93,10.93,10.93,10.93,000,10.93
2014-08-13,10.93,10.93,10.93,10.93,500,10.93
2014-08-12,11.80,11.80,11.50,11.50,15200,11.50
2014-08-11,11.88,12.10,11.80,12.10,4100,12.10
2014-08-08,11.53,11.53,11.53,11.53,3700,11.53
2014-08-07,10.98,10.99,10.90,10.99,6700,10.99
2014-08-06,10.47,10.47,10.46,10.47,2000,10.47
2014-08-05,9.98,9.98,9.98,9.98,2100,9.98
2014-08-04,9.51,9.51,9.51,9.51,1200,9.51
2014-08-01,9.06,9.06,9.06,9.06,000,9.06
2014-07-31,9.06,9.06,9.06,9.06,200,9.06
2014-07-30,9.20,9.20,9.04,9.04,3100,9.04
2014-07-29,9.22,9.22,9.22,9.22,000,9.22
2014-07-28,9.22,9.22,9.22,9.22,000,9.22
2014-07-25,9.40,9.40,9.40,9.40,200,9.40
2014-07-24,9.20,9.22,9.00,9.22,3400,9.22
2014-07-23,9.10,9.39,9.04,9.04,200,9.04
2014-07-22,9.21,9.21,9.21,9.21,000,9.21
2014-07-21,9.21,9.21,9.21,9.21,100,9.21
2014-07-18,9.40,9.40,9.20,9.20,1300,9.20
2014-07-17,9.22,9.22,9.22,9.22,000,9.22
2014-07-16,9.22,9.22,9.22,9.22,000,9.22
2014-07-15,9.30,9.58,9.22,9.22,3600,9.22
2014-07-14,9.35,9.40,9.35,9.40,1100,9.40
2014-07-11,9.50,9.84,9.50,9.54,1000,9.54
2014-07-10,9.65,9.65,9.65,9.65,3000,9.65
2014-07-09,9.65,9.65,9.65,9.65,000,9.65
2014-07-08,9.70,9.70,9.65,9.65,1500,9.65
2014-07-07,9.50,9.84,9.46,9.84,5100,9.84
2014-07-04,9.55,9.65,9.29,9.65,2900,9.65
2014-07-03,9.47,9.47,9.47,9.47,000,9.47
2014-07-02,9.85,9.85,9.47,9.47,3700,9.47
2014-07-01,9.66,9.66,9.66,9.66,200,9.66
2014-06-30,9.48,9.48,9.47,9.48,6900,9.48
2014-06-27,9.58,9.58,9.25,9.30,4300,9.30
2014-06-26,9.50,9.53,9.35,9.40,6000,9.40
2014-06-25,9.06,9.42,9.06,9.35,18700,9.35
2014-06-24,9.24,9.24,9.24,9.24,900,9.24
2014-06-23,9.78,9.78,9.42,9.42,500,9.42
2014-06-20,9.61,9.70,9.61,9.61,1100,9.61
2014-06-19,10.08,10.08,9.70,9.80,10900,9.80
2014-06-18,9.89,9.89,9.89,9.89,3900,9.89
2014-06-17,9.42,9.42,9.42,9.42,4900,9.42
2014-06-16,8.98,8.98,8.98,8.98,200,8.98
2014-06-13,8.56,8.56,8.56,8.56,3000,8.56
2014-06-12,8.16,8.16,8.16,8.16,200,8.16
2014-06-11,7.78,7.78,7.78,7.78,100,7.78
2014-06-10,7.41,7.41,7.41,7.41,2000,7.41
2014-06-09,7.06,7.06,7.06,7.06,000,7.06
2014-06-06,6.73,6.73,6.73,6.73,000,6.73
2014-06-05,6.41,6.41,6.41,6.41,000,6.41
2014-06-04,6.11,6.11,6.11,6.11,500,6.11
2014-06-03,5.82,5.82,5.82,5.82,100,5.82
2014-06-02,5.56,5.56,5.56,5.56,000,5.56
2014-05-30,5.31,5.31,5.31,5.31,1000,5.31
2014-05-29,5.06,5.06,5.06,5.06,000,5.06
2014-05-28,5.58,5.58,5.06,5.06,700,5.06
2014-05-27,5.86,5.86,5.32,5.32,300,5.32
2014-05-26,5.59,5.59,5.59,5.59,1300,5.59
