Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,19.00,19.15,18.55,18.65,398200,18.65
2014-12-22,18.70,19.00,18.40,18.60,477700,18.60
2014-12-19,19.75,19.90,18.60,18.75,467200,18.75
2014-12-18,19.25,19.75,19.25,19.45,454600,19.45
2014-12-17,18.50,19.10,18.15,18.50,524100,18.50
2014-12-16,19.70,20.10,18.65,18.80,642000,18.80
2014-12-15,20.20,20.75,19.70,19.90,612000,19.90
2014-12-12,21.90,22.15,20.35,20.45,747200,20.45
2014-12-11,22.80,23.40,21.80,21.95,2758500,21.95
2014-12-10,19.00,21.15,18.85,21.00,1697600,21.00
2014-12-09,19.50,19.90,18.80,18.95,385800,18.95
2014-12-08,20.85,20.85,19.35,19.40,356000,19.40
2014-12-05,20.50,20.70,20.00,20.20,395800,20.20
2014-12-04,20.60,20.95,20.25,20.35,486200,20.35
2014-12-03,20.40,20.80,20.30,20.45,431700,20.45
2014-12-02,19.80,20.55,19.80,20.30,487500,20.30
2014-12-01,20.50,21.00,19.90,20.05,414100,20.05
2014-11-28,21.60,21.65,20.55,20.70,635100,20.70
2014-11-27,21.50,21.50,20.60,20.90,429200,20.90
2014-11-26,20.55,21.45,20.50,20.85,865900,20.85
2014-11-25,21.30,21.85,20.00,20.25,692200,20.25
2014-11-24,21.15,22.10,20.65,21.30,732100,21.30
2014-11-21,21.55,22.00,20.95,21.10,577500,21.10
2014-11-20,23.30,23.30,21.00,21.45,790200,21.45
2014-11-19,24.80,25.20,22.95,23.20,1489000,23.20
2014-11-18,23.00,25.15,23.00,23.90,3135800,23.90
2014-11-17,22.00,22.70,21.75,22.50,719800,22.50
2014-11-14,22.70,22.95,21.65,22.15,1182100,22.15
2014-11-13,20.55,22.95,20.55,22.60,2399300,22.60
2014-11-12,19.65,21.05,19.45,20.50,1410900,20.50
2014-11-11,19.25,19.95,19.15,19.35,346800,19.35
2014-11-10,20.00,20.00,19.10,19.20,240600,19.20
2014-11-07,20.75,20.85,19.85,19.95,276300,19.95
2014-11-06,20.55,20.55,20.55,20.55,000,20.55
2014-11-05,20.30,21.20,19.95,20.55,681600,20.55
2014-11-04,19.90,19.90,19.90,19.90,000,19.90
2014-11-03,19.45,20.20,19.45,19.90,385200,19.90
2014-10-31,19.30,19.90,19.30,19.45,246300,19.45
2014-10-30,19.20,19.75,19.05,19.30,227500,19.30
2014-10-29,20.00,20.00,19.25,19.40,316500,19.40
2014-10-28,19.85,20.20,19.65,19.90,274200,19.90
2014-10-27,19.30,20.20,19.15,19.80,612100,19.80
2014-10-24,18.85,18.85,18.85,18.85,000,18.85
2014-10-23,18.85,18.85,18.85,18.85,000,18.85
2014-10-22,18.50,19.00,18.25,18.85,429100,18.85
2014-10-21,17.85,18.30,17.75,18.20,349300,18.20
2014-10-20,17.05,18.15,16.90,17.70,589800,17.70
2014-10-17,17.25,17.30,16.75,16.85,254000,16.85
2014-10-16,17.90,17.90,16.85,16.95,340800,16.95
2014-10-15,17.90,17.90,17.90,17.90,000,17.90
2014-10-14,18.20,18.25,17.80,17.90,185500,17.90
2014-10-13,18.35,18.50,18.10,18.20,183000,18.20
2014-10-10,18.80,18.95,18.15,18.25,359300,18.25
2014-10-09,18.50,19.15,18.50,18.90,439100,18.90
