Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,32.00,32.00,32.00,32.00,000,32.00
2014-12-22,32.10,32.10,32.10,32.10,000,32.10
2014-12-19,26.80,26.80,26.80,26.80,000,26.80
2014-12-18,27.00,27.00,27.00,27.00,000,27.00
2014-12-17,27.05,27.05,27.05,27.05,000,27.05
2014-12-16,35.00,35.00,26.25,26.40,100,26.40
2014-12-15,34.70,34.75,28.05,31.40,000,31.40
2014-12-12,33.35,33.35,29.00,29.00,200,29.00
2014-12-11,28.10,28.10,28.10,28.10,100,28.10
2014-12-10,28.25,28.25,28.25,28.25,200,28.25
2014-12-09,38.00,38.00,28.25,28.25,400,28.25
2014-12-08,38.00,38.00,32.50,33.40,600,33.40
2014-12-05,32.00,32.00,32.00,32.00,000,32.00
2014-12-04,26.70,26.70,26.70,26.70,500,26.70
2014-12-03,26.60,26.60,26.60,26.60,000,26.60
2014-12-02,28.60,28.60,26.60,26.60,1000,26.60
2014-12-01,26.10,26.10,26.00,26.00,400,26.00
2014-11-28,27.50,27.60,27.50,27.60,000,27.60
2014-11-27,29.25,29.25,29.25,29.25,000,29.25
2014-11-26,29.25,29.25,29.25,29.25,000,29.25
2014-11-25,29.25,29.25,29.25,29.25,000,29.25
2014-11-24,29.25,29.25,29.25,29.25,000,29.25
2014-11-21,33.65,33.65,29.25,29.25,200,29.25
2014-11-20,30.20,34.15,30.20,30.60,27800,30.60
2014-11-19,31.05,31.05,31.05,31.05,000,31.05
2014-11-18,30.15,33.30,30.15,31.05,200,31.05
2014-11-17,30.35,30.35,30.35,30.35,000,30.35
2014-11-14,35.00,35.00,30.25,30.35,500,30.35
2014-11-13,36.25,36.25,32.10,32.10,300,32.10
2014-11-12,33.90,33.90,33.85,33.85,000,33.85
2014-11-11,31.05,31.05,31.05,31.05,000,31.05
2014-11-10,32.30,32.30,32.20,32.25,100,32.25
2014-11-07,33.25,33.25,33.25,33.25,000,33.25
2014-11-06,35.00,35.00,35.00,35.00,000,35.00
