Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,55.45,55.45,55.45,55.45,000,55.45
2014-12-22,55.45,55.45,55.45,55.45,000,55.45
2014-12-19,55.00,58.80,55.00,55.45,700,55.45
2014-12-18,53.90,53.90,53.90,53.90,000,53.90
2014-12-17,50.00,53.90,50.00,53.90,000,53.90
2014-12-16,54.80,54.80,54.45,54.65,000,54.65
2014-12-15,51.50,53.30,51.50,52.20,400,52.20
2014-12-12,57.90,58.00,54.90,55.10,4700,55.10
2014-12-11,54.10,54.10,54.10,54.10,100,54.10
2014-12-10,52.40,57.90,52.40,55.45,000,55.45
2014-12-09,53.05,57.50,53.05,53.50,600,53.50
2014-12-08,57.40,57.40,57.40,57.40,000,57.40
2014-12-05,57.50,58.00,57.50,58.00,600,58.00
2014-12-04,59.80,59.80,54.00,54.70,3200,54.70
2014-12-03,53.00,61.70,53.00,59.60,4700,59.60
2014-12-02,51.30,53.00,51.20,51.45,500,51.45
2014-12-01,54.05,54.05,54.05,54.05,000,54.05
2014-11-28,53.50,56.95,53.50,54.05,600,54.05
2014-11-27,53.55,58.45,53.55,58.45,100,58.45
2014-11-26,55.05,55.05,55.00,55.00,500,55.00
2014-11-25,57.50,57.95,57.00,57.10,2000,57.10
2014-11-24,58.00,58.00,57.50,57.50,400,57.50
2014-11-21,56.50,57.65,56.50,57.00,600,57.00
2014-11-20,58.00,61.90,58.00,58.25,100,58.25
2014-11-19,60.00,60.00,58.15,58.15,1100,58.15
2014-11-18,60.10,60.10,60.00,60.10,700,60.10
2014-11-17,55.50,64.90,55.50,60.65,1200,60.65
2014-11-14,61.50,61.50,60.05,60.25,200,60.25
2014-11-13,57.00,63.00,56.25,58.55,1900,58.55
2014-11-12,58.00,60.00,54.20,57.75,5000,57.75
2014-11-11,61.00,61.00,57.00,60.10,11900,60.10
2014-11-10,66.80,66.80,60.20,62.95,10700,62.95
2014-11-07,66.00,67.80,62.00,66.50,1200,66.50
2014-11-06,65.10,65.10,65.10,65.10,000,65.10
2014-11-05,65.00,67.00,64.00,65.10,4000,65.10
2014-11-04,64.90,64.90,64.90,64.90,000,64.90
2014-11-03,64.90,64.90,62.50,64.90,200,64.90
2014-10-31,63.10,65.00,61.05,62.95,1500,62.95
2014-10-30,63.00,65.85,63.00,65.85,600,65.85
2014-10-29,62.90,64.90,61.55,64.70,2700,64.70
2014-10-28,62.95,64.00,61.00,62.45,1700,62.45
2014-10-27,65.50,65.50,60.15,62.45,600,62.45
2014-10-24,60.00,60.00,60.00,60.00,000,60.00
2014-10-23,60.00,60.00,60.00,60.00,000,60.00
2014-10-22,60.80,61.10,59.75,60.00,1700,60.00
2014-10-21,65.50,65.50,60.50,60.50,600,60.50
2014-10-20,58.55,65.00,58.55,64.50,2100,64.50
2014-10-17,56.80,60.00,56.30,59.10,1300,59.10
2014-10-16,60.15,60.50,59.00,59.90,2900,59.90
2014-10-15,60.00,60.00,60.00,60.00,000,60.00
2014-10-14,60.00,60.00,60.00,60.00,000,60.00
2014-10-13,59.00,64.35,59.00,60.15,1900,60.15
2014-10-10,63.85,63.90,63.50,63.50,200,63.50
2014-10-09,65.00,65.20,62.50,62.50,900,62.50
2014-10-08,64.85,64.85,64.85,64.85,000,64.85
2014-10-07,65.45,65.45,64.00,64.85,100,64.85
2014-10-06,62.00,62.00,62.00,62.00,000,62.00
2014-10-03,62.00,62.00,62.00,62.00,000,62.00
2014-10-02,62.00,62.00,62.00,62.00,000,62.00
2014-10-01,67.60,67.60,58.20,62.00,900,62.00
2014-09-30,61.00,61.00,58.60,58.70,500,58.70
2014-09-29,60.45,60.45,60.45,60.45,000,60.45
2014-09-26,62.00,65.70,60.50,60.50,500,60.50
2014-09-25,60.30,62.95,60.00,60.25,2900,60.25
2014-09-24,60.25,60.25,60.25,60.25,200,60.25
2014-09-23,61.40,61.65,60.20,60.20,200,60.20
2014-09-22,61.00,63.75,60.20,63.45,5800,63.45
2014-09-19,65.00,65.00,63.20,63.35,100,63.35
2014-09-18,62.05,65.40,62.05,64.75,1200,64.75
2014-09-17,65.85,65.85,62.15,64.95,1800,64.95
2014-09-16,65.00,66.90,62.90,63.00,3800,63.00
2014-09-15,62.55,65.95,62.05,63.90,3100,63.90
2014-09-12,64.85,65.00,61.80,64.00,1400,64.00
2014-09-11,66.90,66.90,63.00,63.10,1400,63.10
2014-09-10,62.00,66.50,62.00,64.75,1800,64.75
2014-09-09,65.75,67.95,62.50,64.00,400,64.00
2014-09-08,62.80,64.70,61.15,62.50,1500,62.50
2014-09-05,60.10,65.50,60.10,64.75,6000,63.85
2014-09-04,61.50,61.50,59.00,60.00,400,59.17
2014-09-03,60.05,61.65,60.00,60.05,3100,59.22
2014-09-02,62.35,62.35,60.00,60.00,900,59.17
2014-09-01,64.95,64.95,60.00,60.00,1800,59.17
2014-08-29,59.40,59.40,59.40,59.40,000,58.57
2014-08-28,58.45,63.40,58.45,59.40,1100,58.57
2014-08-27,68.20,68.20,60.15,60.45,2400,59.61
2014-08-26,67.40,67.40,61.20,63.95,1500,63.06
2014-08-25,66.85,68.35,63.45,65.30,6100,64.39
2014-08-22,58.05,68.00,58.05,65.10,22800,64.20
2014-08-21,59.85,64.40,57.45,59.15,4300,58.33
2014-08-20,61.80,63.95,57.00,58.15,1700,57.34
2014-08-19,56.25,62.95,56.25,58.95,1900,58.13
2014-08-18,54.85,57.95,51.85,56.80,3200,56.01
2014-08-15,53.00,53.00,53.00,53.00,000,52.26
2014-08-14,50.50,55.00,48.50,53.00,6500,52.26
2014-08-13,49.00,51.85,47.50,48.45,2300,47.78
2014-08-12,51.00,51.00,47.00,47.00,2000,46.35
2014-08-11,48.00,49.75,47.35,47.75,2000,47.09
2014-08-08,49.85,49.85,47.00,47.00,400,46.35
2014-08-07,52.85,52.85,45.70,48.35,4800,47.68
2014-08-06,50.00,51.85,48.65,49.95,2500,49.26
2014-08-05,54.40,54.40,46.75,49.85,3300,49.16
2014-08-04,52.85,54.00,47.60,47.70,1800,47.04
2014-08-01,52.85,52.85,48.05,49.15,1600,48.47
2014-07-31,53.85,53.85,49.00,49.60,3100,48.91
2014-07-30,57.50,57.50,49.00,51.00,2800,50.29
2014-07-29,50.25,50.25,50.25,50.25,000,49.55
2014-07-28,53.10,58.40,49.20,50.25,13100,49.55
2014-07-25,64.00,64.00,60.05,60.05,900,59.22
2014-07-24,65.00,65.00,61.10,62.95,900,62.08
2014-07-23,65.95,65.95,61.95,62.00,1100,61.14
2014-07-22,66.00,68.90,60.10,63.00,1200,62.12
2014-07-21,69.90,69.90,61.50,62.00,800,61.14
2014-07-18,63.65,63.80,63.65,63.80,000,62.91
2014-07-17,66.00,66.00,60.50,63.10,700,62.22
2014-07-16,69.95,69.95,58.20,63.00,3100,62.12
2014-07-15,68.95,68.95,60.40,62.20,100,61.34
2014-07-14,58.50,69.45,58.20,64.05,2600,63.16
2014-07-11,66.00,69.95,60.00,63.00,5100,62.12
2014-07-10,68.70,68.70,61.65,64.85,600,63.95
2014-07-09,67.00,67.00,61.00,64.25,1100,63.36
2014-07-08,65.55,68.80,64.50,65.05,3100,64.15
2014-07-07,68.25,68.50,65.50,67.80,1600,66.86
2014-07-04,65.00,69.40,65.00,68.30,5100,67.35
2014-07-03,62.10,67.00,61.20,67.00,400,66.07
2014-07-02,66.90,69.00,65.00,66.95,1700,66.02
2014-07-01,64.15,68.00,64.15,66.10,1800,65.18
2014-06-30,65.00,67.95,65.00,66.10,800,65.18
2014-06-27,66.00,66.00,63.95,64.40,1400,63.50
2014-06-26,70.90,70.90,64.05,64.20,1100,63.31
2014-06-25,65.00,65.00,62.00,62.00,1200,61.14
2014-06-24,65.00,65.00,61.60,63.00,2000,62.12
2014-06-23,68.00,68.00,58.20,63.95,1200,63.06
2014-06-20,60.60,60.60,58.00,58.00,800,57.19
2014-06-19,67.95,67.95,60.00,60.40,4700,59.56
2014-06-18,59.35,61.50,59.35,60.05,1200,59.22
2014-06-17,68.75,68.75,60.00,61.90,1600,61.04
2014-06-16,59.00,59.00,59.00,59.00,000,58.18
2014-06-13,63.75,63.75,58.05,59.00,3300,58.18
2014-06-12,74.40,74.40,63.45,64.00,4000,63.11
2014-06-11,63.10,68.90,63.10,65.30,1500,64.39
2014-06-10,63.10,67.50,63.10,67.50,800,66.56
2014-06-09,78.00,78.00,67.00,68.25,5000,67.30
2014-06-06,56.45,70.50,56.45,69.50,12200,68.53
2014-06-05,51.10,64.90,51.10,60.80,1300,59.95
2014-06-04,54.00,64.90,54.00,60.00,100,59.17
2014-06-03,60.25,61.50,60.00,60.00,1100,59.17
2014-06-02,57.10,67.40,57.10,62.85,9700,61.98
2014-05-30,47.00,61.00,47.00,59.80,5800,58.97
