Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,105.00,114.25,105.00,110.00,16700,110.00
2014-12-22,112.65,113.30,105.00,105.50,11600,105.50
2014-12-19,112.40,118.45,111.00,112.65,35100,112.65
2014-12-18,100.10,107.70,100.05,107.70,25300,107.70
2014-12-17,93.55,100.00,91.15,97.95,17000,97.95
2014-12-16,102.40,102.40,92.85,93.35,21900,93.35
2014-12-15,107.30,111.00,102.50,103.15,61700,103.15
2014-12-12,112.60,113.95,108.50,110.40,9800,110.40
2014-12-11,113.75,115.00,108.00,112.70,67100,112.70
2014-12-10,117.80,119.00,113.00,113.75,9000,113.75
2014-12-09,128.80,129.00,110.80,115.50,60000,115.50
2014-12-08,121.75,121.75,118.50,121.75,34600,121.75
2014-12-05,103.50,110.70,101.00,110.70,35900,110.70
2014-12-04,102.90,103.00,99.75,100.65,61100,100.65
2014-12-03,102.90,103.00,98.60,101.95,35900,101.95
2014-12-02,103.00,105.40,96.00,101.15,87900,101.15
2014-12-01,105.00,109.00,100.25,100.40,83000,100.40
2014-11-28,111.90,114.55,104.60,105.50,173800,105.50
2014-11-27,107.60,113.45,107.00,109.95,18000,109.95
2014-11-26,103.30,113.00,102.80,109.20,46400,109.20
2014-11-25,109.50,112.80,108.20,108.20,21400,108.20
2014-11-24,121.00,121.00,113.85,113.85,32600,113.85
2014-11-21,114.55,123.40,114.55,119.80,34700,119.80
2014-11-20,111.10,121.50,111.10,118.70,121000,118.70
2014-11-19,116.90,116.90,116.90,116.90,7700,116.90
2014-11-18,123.05,123.05,123.05,123.05,7000,123.05
2014-11-17,137.00,139.50,129.50,129.50,31200,129.50
2014-11-14,133.90,136.40,125.00,136.30,99000,136.30
2014-11-13,129.95,129.95,117.65,129.95,144900,129.95
2014-11-12,123.80,123.80,122.80,123.80,25900,123.80
2014-11-11,117.95,117.95,112.50,117.95,118100,117.95
2014-11-10,112.35,112.35,112.35,112.35,11700,112.35
2014-11-07,106.40,107.00,99.15,107.00,63500,107.00
2014-11-06,101.95,101.95,101.95,101.95,000,101.95
2014-11-05,110.75,110.75,100.25,101.95,116500,101.95
2014-11-04,105.50,105.50,105.50,105.50,000,105.50
2014-11-03,105.45,105.55,103.20,105.50,77600,105.50
2014-10-31,100.00,100.55,97.00,100.55,68000,100.55
2014-10-30,93.00,96.30,90.90,95.80,64300,95.80
2014-10-29,98.90,98.90,91.00,91.75,125000,91.75
2014-10-28,94.90,95.55,86.45,95.25,248700,95.25
2014-10-27,96.70,96.70,89.00,91.00,201700,91.00
2014-10-24,95.25,95.25,95.25,95.25,000,95.25
2014-10-23,95.25,95.25,95.25,95.25,000,95.25
2014-10-22,95.25,95.25,95.25,95.25,11500,95.25
2014-10-21,100.25,100.25,100.25,100.25,300,100.25
2014-10-20,105.50,105.50,105.50,105.50,1600,105.50
2014-10-17,111.05,111.05,111.05,111.05,900,111.05
2014-10-16,116.85,116.85,116.85,116.85,900,116.85
2014-10-15,122.95,122.95,122.95,122.95,000,122.95
2014-10-14,122.95,122.95,122.95,122.95,2300,122.95
2014-10-13,129.40,136.20,129.40,129.40,98900,129.40
2014-10-10,136.20,136.20,136.20,136.20,1300,136.20
2014-10-09,143.35,143.35,143.35,143.35,5300,143.35
2014-10-08,150.85,150.85,150.85,150.85,1000,150.85
2014-10-07,158.75,158.75,158.75,158.75,1500,158.75
2014-10-06,161.95,161.95,161.95,161.95,000,161.95
2014-10-03,161.95,161.95,161.95,161.95,000,161.95
2014-10-02,161.95,161.95,161.95,161.95,000,161.95
2014-10-01,161.95,161.95,161.95,161.95,200,161.95
2014-09-30,165.25,165.25,165.25,165.25,1000,165.25
2014-09-29,168.60,168.60,168.60,168.60,27200,168.60
2014-09-26,172.00,172.00,172.00,172.00,600,172.00
2014-09-25,175.50,175.50,175.50,175.50,3100,175.50
2014-09-24,179.05,179.05,179.05,179.05,1000,179.05
2014-09-23,182.70,182.70,182.70,182.70,1600,182.70
2014-09-22,186.40,186.40,186.40,186.40,1800,186.40
2014-09-19,190.20,190.20,190.20,190.20,1800,190.20
2014-09-18,194.05,194.05,194.05,194.05,3100,194.05
2014-09-17,198.00,198.00,198.00,198.00,6600,198.00
2014-09-16,206.10,208.40,202.00,202.00,22700,202.00
2014-09-15,206.00,206.40,203.10,206.10,124800,206.10
2014-09-12,203.00,205.05,198.10,202.40,67700,202.40
2014-09-11,200.00,203.70,195.80,201.05,119600,201.05
2014-09-10,203.40,203.40,199.35,199.75,29700,199.75
2014-09-09,206.85,206.85,199.05,203.40,43900,203.40
2014-09-08,196.50,202.80,195.10,202.80,33000,202.80
2014-09-05,198.85,202.90,198.85,198.85,50900,198.85
2014-09-04,202.90,202.90,202.90,202.90,3600,202.90
2014-09-03,215.00,215.00,207.00,207.00,80800,207.00
2014-09-02,211.20,211.20,204.00,211.20,117600,211.20
2014-09-01,207.10,207.10,207.10,207.10,4100,207.10
2014-08-29,203.05,203.05,203.05,203.05,000,203.05
2014-08-28,203.05,203.05,203.05,203.05,6000,203.05
2014-08-27,199.10,199.10,198.10,199.10,31300,199.10
2014-08-26,195.00,196.35,177.65,195.20,254300,195.20
2014-08-25,187.00,187.00,187.00,187.00,3600,187.00
2014-08-22,178.10,178.10,178.10,178.10,8500,178.10
2014-08-21,166.40,169.65,162.00,169.65,141300,169.65
2014-08-20,161.60,161.60,159.95,161.60,193800,161.60
2014-08-19,153.95,153.95,153.95,153.95,14000,153.95
2014-08-18,146.65,146.65,146.65,146.65,4500,146.65
2014-08-15,139.70,139.70,139.70,139.70,000,139.70
2014-08-14,139.70,139.70,139.70,139.70,8800,139.70
2014-08-13,133.05,133.05,133.05,133.05,7400,133.05
2014-08-12,126.75,126.75,126.75,126.75,16400,126.75
2014-08-11,120.75,120.75,120.75,120.75,9900,120.75
