Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,350.00,356.55,349.85,355.15,224100,355.15
2014-12-22,343.10,350.75,343.10,349.25,252200,349.25
2014-12-19,348.50,348.50,336.85,342.85,664100,342.85
2014-12-18,344.00,349.20,343.70,348.20,184000,348.20
2014-12-17,346.60,349.45,340.65,343.15,504300,343.15
2014-12-16,346.50,351.85,341.10,350.10,309000,350.10
2014-12-15,344.30,351.40,341.45,350.05,178300,350.05
2014-12-12,345.00,351.35,345.00,347.80,351100,347.80
2014-12-11,351.20,357.30,342.35,343.70,216100,343.70
2014-12-10,360.00,362.00,349.30,353.50,285300,353.50
2014-12-09,369.00,371.95,353.00,354.25,392200,354.25
2014-12-08,367.00,374.50,366.95,369.95,239400,369.95
2014-12-05,371.00,375.75,365.15,367.70,221700,367.70
2014-12-04,378.00,382.35,368.80,369.85,243300,369.85
2014-12-03,385.00,386.20,376.55,377.70,268800,377.70
2014-12-02,376.55,385.75,376.55,384.30,2622700,384.30
2014-12-01,383.00,385.60,376.45,377.65,85200,377.65
2014-11-28,390.00,390.50,378.65,381.95,312900,381.95
2014-11-27,392.00,394.00,384.00,385.85,162700,385.85
2014-11-26,404.70,404.70,391.60,393.35,126100,393.35
2014-11-25,406.00,408.20,398.60,403.15,302300,403.15
2014-11-24,402.70,403.85,396.60,398.65,82800,398.65
2014-11-21,398.10,402.25,395.00,400.75,123400,400.75
2014-11-20,402.00,405.00,393.95,397.55,207800,397.55
2014-11-19,400.10,407.70,395.15,402.00,232500,402.00
2014-11-18,391.55,403.70,391.50,398.45,477500,398.45
2014-11-17,388.70,394.60,385.30,392.30,92700,392.30
2014-11-14,389.00,394.00,387.00,388.25,129300,388.25
2014-11-13,389.95,390.80,378.15,389.80,997200,389.80
2014-11-12,385.00,388.80,383.50,387.15,110700,387.15
2014-11-11,393.85,393.85,383.25,384.70,168200,384.70
2014-11-10,391.00,394.50,386.00,390.30,152400,390.30
2014-11-07,385.00,392.00,379.05,390.50,284900,390.50
2014-11-06,385.30,385.30,385.30,385.30,000,385.30
2014-11-05,400.00,400.00,382.80,385.30,476600,385.30
2014-11-04,396.00,396.00,396.00,396.00,000,396.00
