Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,266.00,269.60,260.75,261.80,328900,261.80
2014-12-22,260.00,266.75,259.60,265.75,348500,265.75
2014-12-19,259.90,265.35,257.80,258.85,501000,258.85
2014-12-18,248.55,258.70,248.55,257.30,530000,257.30
2014-12-17,247.50,249.80,240.55,245.25,503100,245.25
2014-12-16,246.35,253.75,246.00,247.30,495900,247.30
2014-12-15,245.05,252.60,244.10,248.75,483400,248.75
2014-12-12,255.00,257.25,244.00,247.00,669000,247.00
2014-12-11,252.00,261.40,249.00,254.30,658900,254.30
2014-12-10,256.50,263.55,252.15,253.10,1303900,253.10
2014-12-09,266.00,267.50,258.20,259.05,591400,259.05
2014-12-08,273.00,275.30,262.05,266.85,320900,266.85
2014-12-05,274.15,278.00,270.30,271.95,263000,271.95
2014-12-04,279.05,282.95,272.25,273.95,449300,273.95
2014-12-03,272.30,282.90,272.30,278.30,651900,278.30
2014-12-02,274.95,278.20,270.00,271.50,291900,271.50
2014-12-01,282.90,282.90,272.85,274.00,285500,274.00
2014-11-28,285.60,286.65,280.35,283.20,716400,283.20
2014-11-27,269.80,287.00,268.50,283.00,1146200,283.00
2014-11-26,265.10,273.00,263.65,271.20,768400,271.20
2014-11-25,258.40,266.00,258.00,265.20,1323500,265.20
2014-11-24,253.00,259.00,252.75,257.60,434300,257.60
2014-11-21,246.10,253.65,245.15,252.75,749900,252.75
2014-11-20,248.10,248.60,240.75,245.40,392800,245.40
2014-11-19,255.00,256.80,247.55,249.10,282900,249.10
2014-11-18,249.50,255.20,249.45,254.15,406600,254.15
2014-11-17,244.00,250.45,240.50,249.15,463500,249.15
2014-11-14,245.00,248.70,236.25,246.20,1126400,246.20
2014-11-13,248.50,252.60,245.25,246.90,458900,246.90
2014-11-12,246.80,250.90,245.30,247.20,360000,247.20
2014-11-11,248.65,250.00,242.50,245.05,427600,245.05
2014-11-10,249.70,256.00,249.25,251.10,322100,251.10
2014-11-07,256.75,261.50,248.10,249.10,508500,249.10
2014-11-06,257.35,257.35,257.35,257.35,000,257.35
2014-11-05,253.30,259.10,252.05,257.35,449700,257.35
2014-11-04,253.00,253.00,253.00,253.00,000,253.00
2014-11-03,257.70,258.00,251.40,253.00,397300,253.00
2014-10-31,256.00,257.45,253.50,255.75,578000,255.75
2014-10-30,254.40,256.00,251.20,255.00,559000,255.00
2014-10-29,257.65,258.40,251.00,254.35,588500,254.35
2014-10-28,253.00,257.30,246.60,255.05,698000,255.05
2014-10-27,242.50,252.65,242.50,252.00,1170300,252.00
2014-10-24,242.00,242.00,242.00,242.00,000,242.00
2014-10-23,242.00,242.00,242.00,242.00,000,242.00
2014-10-22,240.00,243.90,238.00,242.00,599200,242.00
2014-10-21,229.00,238.50,228.00,237.50,953000,237.50
2014-10-20,230.65,232.00,224.65,227.75,429600,227.75
2014-10-17,221.00,227.90,220.60,226.55,503100,226.55
2014-10-16,225.10,229.50,217.80,219.10,1422000,219.10
2014-10-15,225.75,225.75,225.75,225.75,000,225.75
2014-10-14,219.10,227.90,216.35,225.75,686700,225.75
2014-10-13,217.95,221.05,216.00,218.00,414200,218.00
2014-10-10,216.00,224.80,213.65,220.85,1082700,220.85
2014-10-09,208.00,219.50,208.00,218.85,1263400,218.85
2014-10-08,197.50,205.50,197.05,201.95,636900,201.95
2014-10-07,200.40,203.00,195.10,197.80,599400,197.80
2014-10-06,199.65,199.65,199.65,199.65,000,199.65
2014-10-03,199.65,199.65,199.65,199.65,000,199.65
2014-10-02,199.65,199.65,199.65,199.65,000,199.65
2014-10-01,200.95,202.40,198.80,199.65,367200,199.65
2014-09-30,206.25,209.85,199.00,200.95,489000,200.95
2014-09-29,206.40,211.00,205.50,206.85,495800,206.85
2014-09-26,202.00,206.25,200.35,205.25,597400,205.25
2014-09-25,213.00,214.40,201.20,203.30,735600,203.30
2014-09-24,216.45,218.50,209.00,212.00,673000,212.00
2014-09-23,222.00,224.60,215.70,216.45,443500,216.45
2014-09-22,225.45,225.50,220.75,222.10,415800,222.10
2014-09-19,232.00,232.30,224.50,226.85,611400,226.85
2014-09-18,220.70,229.10,218.65,228.45,627300,228.45
2014-09-17,217.00,221.75,215.10,220.70,431500,220.70
2014-09-16,221.00,222.55,215.00,216.00,420700,216.00
2014-09-15,219.00,222.40,216.75,219.85,374700,219.85
2014-09-12,223.00,225.65,219.55,220.55,516600,220.55
2014-09-11,220.50,223.05,216.25,222.50,681200,222.50
2014-09-10,220.00,223.15,218.25,219.15,414600,219.15
2014-09-09,224.00,224.65,220.60,221.45,350600,221.45
2014-09-08,224.75,226.00,222.25,223.90,404600,223.90
2014-09-05,228.00,228.00,221.55,223.60,556100,222.08
2014-09-04,234.00,235.25,226.20,227.00,624900,225.46
2014-09-03,240.00,242.05,235.50,237.55,512600,235.94
2014-09-02,239.00,242.75,237.10,239.85,465000,238.22
2014-09-01,240.20,243.45,237.10,238.60,625000,236.98
2014-08-29,240.75,240.75,240.75,240.75,000,239.11
2014-08-28,230.15,243.80,229.25,240.75,960700,239.11
2014-08-27,234.35,236.20,227.15,229.20,483400,227.64
2014-08-26,230.00,235.20,224.50,232.20,514000,230.62
2014-08-25,229.00,235.00,228.25,231.35,754400,229.78
2014-08-22,229.40,231.60,226.40,227.55,322100,226.00
2014-08-21,231.00,231.90,228.00,229.40,366100,227.84
2014-08-20,227.55,231.65,226.00,230.60,539500,229.03
2014-08-19,223.05,228.00,221.85,227.25,634900,225.71
2014-08-18,211.00,221.90,211.00,221.05,631400,219.55
2014-08-15,212.55,212.55,212.55,212.55,000,211.11
2014-08-14,209.00,214.00,205.50,212.55,630200,211.11
2014-08-13,214.00,215.70,205.00,209.00,1513800,207.58
2014-08-12,221.00,224.90,218.50,223.70,626100,222.18
2014-08-11,223.00,225.00,220.10,221.95,358000,220.44
2014-08-08,228.30,228.30,220.55,221.60,501000,220.09
2014-08-07,231.00,233.35,227.45,230.20,481800,228.64
2014-08-06,226.30,234.40,226.30,229.55,596800,227.99
2014-08-05,230.00,230.70,225.25,228.05,471800,226.50
2014-08-04,225.55,229.95,224.55,228.90,565300,227.34
2014-08-01,227.00,230.70,223.10,224.25,468800,222.73
2014-07-31,231.00,234.45,227.45,228.40,384300,226.85
2014-07-30,229.05,231.80,225.25,230.95,361800,229.38
2014-07-29,229.50,229.50,229.50,229.50,000,227.94
2014-07-28,227.00,230.65,225.95,229.50,346700,227.94
2014-07-25,237.70,237.70,222.75,226.85,757700,225.31
2014-07-24,234.40,238.65,232.95,236.35,298800,234.74
2014-07-23,234.50,237.50,232.10,235.00,337000,233.40
2014-07-22,236.25,238.40,231.35,234.30,404600,232.71
2014-07-21,239.60,241.45,233.80,235.05,405500,233.45
2014-07-18,242.45,242.50,235.35,237.95,553700,236.33
2014-07-17,242.00,244.55,239.90,243.05,522700,241.40
2014-07-16,235.10,244.00,232.40,240.40,590600,238.77
2014-07-15,229.00,236.80,226.20,234.45,702800,232.86
2014-07-14,223.90,228.25,220.10,226.35,581400,224.81
