Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,36.85,38.80,35.90,36.20,138700,36.20
2014-12-22,36.90,38.00,36.10,37.15,52800,37.15
2014-12-19,37.80,38.80,37.10,37.30,59300,37.30
2014-12-18,36.20,38.30,36.10,37.15,104800,37.15
2014-12-17,36.00,37.45,33.40,36.75,141500,36.75
2014-12-16,38.50,39.85,35.20,36.25,135900,36.25
2014-12-15,38.70,40.90,38.35,38.85,79600,38.85
2014-12-12,42.65,42.65,38.30,38.80,85500,38.80
2014-12-11,42.60,42.80,41.60,42.10,68800,42.10
2014-12-10,41.50,43.40,41.50,42.20,55200,42.20
2014-12-09,43.75,44.50,41.45,41.80,78200,41.80
2014-12-08,46.00,46.00,43.35,43.75,114200,43.75
2014-12-05,44.40,46.70,43.15,45.15,298400,45.15
2014-12-04,41.80,43.90,41.65,43.05,103500,43.05
2014-12-03,42.75,43.35,42.00,42.20,48700,42.20
2014-12-02,41.40,43.25,41.40,42.55,29500,42.55
2014-12-01,44.00,45.50,41.00,42.05,53600,42.05
2014-11-28,45.00,45.00,42.60,43.25,64900,43.25
2014-11-27,43.85,44.45,42.75,44.05,61400,44.05
2014-11-26,42.00,45.75,42.00,43.35,312200,43.35
2014-11-25,45.90,45.90,41.60,42.10,140200,42.10
2014-11-24,45.80,46.70,45.05,45.20,51200,45.20
2014-11-21,46.40,47.00,45.55,45.90,72400,45.90
2014-11-20,47.00,47.00,45.30,46.45,50100,46.45
2014-11-19,49.00,49.50,46.00,46.65,100400,46.65
2014-11-18,46.50,50.60,46.50,48.20,211000,48.20
2014-11-17,46.50,46.80,44.70,46.00,97000,46.00
2014-11-14,49.75,49.85,45.70,46.15,164300,46.15
2014-11-13,48.50,50.50,47.30,48.75,92500,48.75
2014-11-12,50.00,51.45,47.85,48.15,129800,48.15
2014-11-11,46.35,50.50,46.30,49.60,186000,49.60
2014-11-10,49.00,49.75,45.50,46.85,163800,46.85
2014-11-07,51.50,51.80,48.10,48.45,135100,48.45
2014-11-06,49.95,49.95,49.95,49.95,000,49.95
2014-11-05,53.95,54.95,49.50,49.95,199900,49.95
