Date,Open,High,Low,Close,Volume,Adj Close
2014-09-02,51.80,51.80,51.80,51.80,8000,51.80
2014-09-01,51.80,51.80,51.80,51.80,8000,51.80
2014-08-29,50.40,50.40,50.40,50.40,000,50.40
2014-08-28,45.80,55.00,45.80,50.40,24000,50.40
2014-08-27,50.85,50.85,50.85,50.85,000,50.85
2014-08-26,50.85,50.85,50.85,50.85,24000,50.85
2014-08-25,56.50,56.50,56.50,56.50,000,56.50
2014-08-22,56.50,56.50,56.50,56.50,000,56.50
2014-08-21,56.50,56.50,56.50,56.50,000,56.50
2014-08-20,56.50,56.50,56.50,56.50,000,56.50
2014-08-19,56.50,56.50,56.50,56.50,000,56.50
2014-08-18,56.00,57.00,56.00,56.50,16000,56.50
2014-08-15,56.00,56.00,56.00,56.00,000,56.00
2014-08-14,56.00,56.00,56.00,56.00,8000,56.00
2014-08-13,55.10,55.10,55.10,55.10,000,55.10
2014-08-12,55.05,55.15,55.05,55.10,24000,55.10
2014-08-11,51.10,51.10,51.10,51.10,8000,51.10
2014-08-08,51.10,51.10,51.10,51.10,8000,51.10
2014-08-07,48.60,57.00,48.60,56.75,40000,56.75
2014-08-06,53.95,53.95,53.95,53.95,8000,53.95
2014-08-05,49.50,49.50,49.50,49.50,8000,49.50
2014-08-04,49.40,55.00,49.40,55.00,88000,55.00
2014-08-01,54.85,54.85,54.85,54.85,000,54.85
2014-07-31,54.85,54.85,54.85,54.85,000,54.85
2014-07-30,54.85,54.85,54.85,54.85,000,54.85
2014-07-29,54.85,54.85,54.85,54.85,000,54.85
2014-07-28,54.70,54.90,54.70,54.85,40000,54.85
2014-07-25,57.45,57.45,57.45,57.45,000,57.45
2014-07-24,57.35,63.25,57.35,57.45,64000,57.45
2014-07-23,60.35,60.35,60.35,60.35,000,60.35
2014-07-22,60.35,60.35,60.35,60.35,000,60.35
2014-07-21,60.35,60.35,60.35,60.35,000,60.35
2014-07-18,60.35,60.35,60.35,60.35,000,60.35
2014-07-17,60.35,60.35,60.35,60.35,000,60.35
2014-07-16,60.35,60.35,60.35,60.35,8000,60.35
2014-07-15,63.50,63.50,63.50,63.50,16000,63.50
2014-07-14,61.05,61.05,61.00,61.00,24000,61.00
2014-07-11,63.10,63.20,63.10,63.20,48000,63.20
2014-07-10,60.25,60.30,60.25,60.25,56000,60.25
2014-07-09,55.20,55.20,55.20,55.20,000,55.20
2014-07-08,55.20,55.20,55.20,55.20,32000,55.20
2014-07-07,48.70,50.70,48.70,50.70,40000,50.70
2014-07-04,46.20,46.20,46.20,46.20,000,46.20
2014-07-03,46.20,46.20,46.20,46.20,000,46.20
2014-07-02,46.20,46.20,46.20,46.20,8000,46.20
2014-07-01,48.45,48.45,48.45,48.45,000,48.45
2014-06-30,48.50,48.50,48.45,48.45,24000,48.45
2014-06-27,50.90,50.90,50.90,50.90,32000,50.90
2014-06-26,49.45,49.45,49.45,49.45,000,49.45
2014-06-25,45.45,49.45,45.45,49.45,32000,49.45
2014-06-24,47.80,47.80,47.75,47.75,32000,47.75
2014-06-23,50.20,50.20,50.20,50.20,000,50.20
2014-06-20,50.20,50.20,50.20,50.20,8000,50.20
