Date,Open,High,Low,Close,Volume,Adj Close
2014-10-10,18.60,18.60,18.60,18.60,000,18.60
2014-10-09,18.60,18.60,18.60,18.60,000,18.60
2014-10-08,18.60,18.60,18.60,18.60,000,18.60
2014-10-07,18.60,18.60,18.60,18.60,000,18.60
2014-10-06,18.60,18.60,18.60,18.60,000,18.60
2014-10-03,18.60,18.60,18.60,18.60,000,18.60
2014-10-02,18.60,18.60,18.60,18.60,000,18.60
2014-10-01,18.60,18.60,18.60,18.60,000,18.60
2014-09-30,18.60,18.60,18.60,18.60,000,18.60
2014-09-29,18.60,18.60,18.60,18.60,500,18.60
2014-09-26,19.00,19.00,19.00,19.00,000,19.00
2014-09-25,20.90,20.90,19.00,19.00,100,19.00
2014-09-24,18.15,19.99,18.15,19.99,500,19.99
2014-09-23,19.10,19.10,19.10,19.10,000,19.10
2014-09-22,19.80,19.80,19.80,19.80,1000,19.80
2014-09-19,20.45,20.45,20.43,20.43,500,20.43
2014-09-18,20.60,21.50,20.60,21.50,300,21.50
2014-09-17,20.60,20.60,20.60,20.60,100,20.60
2014-09-16,21.50,21.63,21.50,21.63,1600,21.63
2014-09-15,21.50,21.78,20.50,20.60,3300,20.60
2014-09-12,19.00,20.76,19.00,20.76,2500,20.76
2014-09-11,17.93,19.79,17.93,19.78,1300,19.78
2014-09-10,17.96,18.85,17.96,18.85,1800,18.85
2014-09-09,17.93,17.96,16.55,17.96,2600,17.96
2014-09-08,16.91,18.11,16.91,17.11,1100,17.11
2014-09-05,16.46,17.25,16.46,17.25,1200,17.25
2014-09-04,17.30,19.06,17.30,17.32,2500,17.32
2014-09-03,18.16,18.16,18.16,18.16,000,18.16
2014-09-02,19.90,20.06,18.16,18.16,2300,18.16
2014-09-01,19.11,19.11,19.11,19.11,000,19.11
2014-08-29,18.20,18.20,18.20,18.20,000,18.20
2014-08-28,18.80,18.80,18.20,18.20,1500,18.20
2014-08-27,17.61,19.10,17.61,19.10,400,19.10
2014-08-26,18.53,18.53,18.53,18.53,000,18.53
2014-08-25,18.53,18.53,18.53,18.53,1800,18.53
2014-08-22,16.02,17.70,16.02,17.65,2100,17.65
2014-08-21,16.85,16.86,15.27,16.86,5900,16.86
2014-08-20,16.06,16.06,16.06,16.06,000,16.06
2014-08-19,17.00,17.00,16.06,16.06,100,16.06
2014-08-18,15.30,16.90,15.30,16.90,3000,16.90
2014-08-15,16.10,16.10,16.10,16.10,000,16.10
2014-08-14,16.10,16.10,16.10,16.10,000,16.10
2014-08-13,16.10,16.10,16.10,16.10,000,16.10
2014-08-12,16.10,16.10,16.10,16.10,200,16.10
2014-08-11,16.23,16.25,15.85,15.85,2100,15.85
2014-08-08,15.48,15.48,15.00,15.48,1700,15.48
2014-08-07,14.75,14.75,14.75,14.75,400,14.75
2014-08-06,14.05,14.05,14.05,14.05,000,14.05
2014-08-05,14.05,14.05,14.05,14.05,000,14.05
2014-08-04,14.05,14.05,14.05,14.05,000,14.05
2014-08-01,14.05,14.05,14.05,14.05,000,14.05
2014-07-31,14.75,14.75,14.75,14.75,000,14.75
2014-07-30,14.05,14.05,14.05,14.05,000,14.05
2014-07-29,14.05,14.05,14.05,14.05,000,14.05
2014-07-28,14.05,14.05,14.05,14.05,200,14.05
2014-07-25,16.00,16.00,14.65,14.65,000,14.65
2014-07-24,15.25,15.25,15.25,15.25,000,15.25
2014-07-23,15.25,15.25,15.25,15.25,5600,15.25
2014-07-22,14.50,14.55,14.50,14.55,700,14.55
2014-07-21,15.00,15.00,15.00,15.00,000,15.00
2014-07-18,15.50,15.50,15.50,15.50,000,15.50
2014-07-17,14.80,14.80,14.80,14.80,000,14.80
2014-07-16,14.80,14.80,14.80,14.80,000,14.80
2014-07-15,14.80,14.80,14.80,14.80,000,14.80
2014-07-14,14.80,14.80,14.80,14.80,000,14.80
2014-07-11,14.80,14.80,14.80,14.80,000,14.80
2014-07-10,14.75,16.05,14.75,14.80,1400,14.80
2014-07-09,15.40,15.40,15.40,15.40,000,15.40
2014-07-08,16.10,16.10,16.10,16.10,000,16.10
2014-07-07,16.10,16.10,16.10,16.10,000,16.10
2014-07-04,17.00,17.05,16.00,16.10,8600,16.10
2014-07-03,16.25,16.25,16.25,16.25,000,16.25
2014-07-02,16.25,16.25,16.25,16.25,300,16.25
2014-07-01,15.15,16.50,15.05,16.50,600,16.50
2014-06-30,15.75,15.75,15.75,15.75,200,15.75
2014-06-27,16.50,16.50,16.50,16.50,000,16.50
2014-06-26,16.50,16.50,16.50,16.50,100,16.50
2014-06-25,15.80,15.80,15.80,15.80,000,15.80
2014-06-24,16.55,16.55,15.05,15.05,1900,15.05
2014-06-23,15.80,15.80,15.80,15.80,300,15.80
2014-06-20,15.00,15.05,15.00,15.05,1800,15.05
2014-06-19,15.75,15.75,15.75,15.75,000,15.75
2014-06-18,16.50,16.50,16.50,16.50,100,16.50
2014-06-17,17.30,19.10,17.30,17.30,1000,17.30
2014-06-16,18.20,18.20,18.20,18.20,000,18.20
2014-06-13,20.05,20.05,18.20,18.20,200,18.20
2014-06-12,19.15,19.15,19.15,19.15,000,19.15
2014-06-11,19.15,19.15,19.15,19.15,000,19.15
2014-06-10,17.40,19.15,17.40,19.15,7100,19.15
2014-06-09,16.60,18.25,16.60,18.25,700,18.25
2014-06-06,17.40,18.80,17.40,17.40,6000,17.40
2014-06-05,18.30,18.30,18.30,18.30,000,18.30
2014-06-04,18.30,18.30,18.30,18.30,1500,18.30
2014-06-03,17.45,17.45,17.45,17.45,100,17.45
2014-06-02,18.30,18.35,16.65,16.65,1200,16.65
2014-05-30,17.50,17.60,17.50,17.51,500,17.51
2014-05-29,17.00,17.00,17.00,17.00,000,17.00
2014-05-28,17.00,17.00,17.00,17.00,000,17.00
2014-05-27,17.00,17.00,17.00,17.00,600,17.00
2014-05-26,16.60,16.60,16.60,16.60,1400,16.60
2014-05-23,15.85,15.85,15.85,15.85,000,15.85
2014-05-22,15.75,15.85,15.75,15.85,700,15.85
2014-05-21,15.11,15.11,15.11,15.11,000,15.11
2014-05-20,15.11,15.11,15.11,15.11,000,15.11
2014-05-19,15.85,15.90,15.85,15.90,1500,15.90
2014-05-16,15.44,15.44,15.44,15.44,1000,15.44
2014-05-15,14.74,14.75,14.00,14.75,4000,14.75
2014-05-14,14.20,14.25,14.20,14.23,2500,14.23
2014-05-13,14.20,14.20,14.20,14.20,000,14.20
2014-05-12,14.20,14.20,14.20,14.20,000,14.20
2014-05-09,14.20,14.20,14.20,14.20,000,14.20
2014-05-08,14.20,14.20,14.20,14.20,000,14.20
2014-05-07,14.20,14.20,14.20,14.20,000,14.20
2014-05-06,14.20,14.20,14.20,14.20,000,14.20
2014-05-05,14.20,14.20,14.20,14.20,000,14.20
2014-05-02,14.20,14.20,14.20,14.20,000,14.20
2014-05-01,14.20,14.20,14.20,14.20,000,14.20
2014-04-30,14.20,14.20,14.20,14.20,000,14.20
2014-04-29,14.20,14.20,14.20,14.20,000,14.20
2014-04-28,14.20,14.20,14.20,14.20,000,14.20
2014-04-25,14.20,14.20,14.20,14.20,000,14.20
2014-04-24,14.65,14.65,14.65,14.65,000,14.65
2014-04-23,14.65,14.65,14.65,14.65,000,14.65
2014-04-22,14.70,14.70,14.65,14.65,2300,14.65
2014-04-21,14.00,14.00,14.00,14.00,000,14.00
2014-04-18,14.00,14.00,14.00,14.00,000,14.00
2014-04-17,14.00,14.00,14.00,14.00,000,14.00
2014-04-16,14.00,14.00,14.00,14.00,000,14.00
2014-04-15,14.00,14.00,13.50,14.00,000,14.00
2014-04-14,14.00,14.00,14.00,14.00,000,14.00
2014-04-11,14.00,14.00,14.00,14.00,000,14.00
2014-04-10,14.00,14.00,13.92,14.00,000,14.00
2014-04-09,14.00,14.00,14.00,14.00,1100,14.00
2014-04-08,14.65,14.65,14.65,14.65,000,14.65
2014-04-07,14.65,14.65,14.65,14.65,000,14.65
2014-04-04,15.40,15.40,14.65,14.65,500,14.65
2014-04-03,15.40,15.40,15.40,15.40,000,15.40
2014-04-02,15.50,15.50,15.40,15.40,1500,15.40
2014-04-01,17.50,17.50,16.20,16.20,1500,16.20
2014-03-31,17.00,17.00,17.00,17.00,000,17.00
2014-03-28,17.00,17.00,17.00,17.00,000,17.00
2014-03-27,17.00,17.00,17.00,17.00,000,17.00
2014-03-26,17.00,17.00,17.00,17.00,000,17.00
2014-03-25,17.00,17.00,17.00,17.00,000,17.00
2014-03-24,17.00,17.00,17.00,17.00,000,17.00
2014-03-21,17.00,17.00,17.00,17.00,000,17.00
2014-03-20,17.00,17.00,17.00,17.00,000,17.00
2014-03-19,17.00,17.00,17.00,17.00,000,17.00
2014-03-18,17.00,17.00,17.00,17.00,000,17.00
2014-03-17,17.00,17.00,17.00,17.00,000,17.00
2014-03-14,18.35,18.35,17.00,17.00,000,17.00
2014-03-13,17.50,17.50,17.50,17.50,000,17.50
2014-03-12,16.75,16.75,16.75,16.75,000,16.75
2014-03-11,16.75,16.75,16.75,16.75,000,16.75
2014-03-10,16.75,16.75,16.75,16.75,000,16.75
2014-03-07,16.75,16.75,16.75,16.75,000,16.75
2014-03-06,16.75,16.75,16.75,16.75,000,16.75
2014-03-05,16.75,16.75,16.75,16.75,000,16.75
2014-03-04,16.75,16.75,16.75,16.75,000,16.75
2014-03-03,16.75,16.75,16.75,16.75,000,16.75
2014-02-28,16.75,16.75,16.75,16.75,000,16.75
2014-02-27,16.75,16.75,16.75,16.75,000,16.75
2014-02-26,17.50,17.50,16.75,16.75,000,16.75
2014-02-25,16.75,16.75,16.75,16.75,000,16.75
2014-02-24,16.75,16.75,16.75,16.75,000,16.75
2014-02-21,16.75,16.75,16.75,16.75,000,16.75
2014-02-20,16.75,16.75,16.75,16.75,000,16.75
2014-02-19,16.75,16.75,16.75,16.75,000,16.75
2014-02-18,16.75,16.75,16.75,16.75,000,16.75
2014-02-17,16.75,16.75,16.75,16.75,000,16.75
2014-02-14,16.75,16.75,16.75,16.75,100,16.75
2014-02-13,15.98,15.98,15.98,15.98,000,15.98
2014-02-12,15.98,15.98,15.98,15.98,000,15.98
2014-02-11,15.33,15.33,15.33,15.33,100,15.33
2014-02-10,14.60,14.60,14.60,14.60,000,14.60
2014-02-07,14.60,14.60,14.60,14.60,000,14.60
2014-02-06,14.60,14.60,14.60,14.60,000,14.60
2014-02-05,14.00,14.00,14.00,14.00,000,14.00
2014-02-04,13.60,13.60,13.60,13.60,000,13.60
2014-02-03,13.60,13.60,13.60,13.60,000,13.60
2014-01-31,13.60,13.60,13.60,13.60,000,13.60
2014-01-30,13.60,13.60,13.60,13.60,000,13.60
2014-01-29,13.60,13.60,13.60,13.60,000,13.60
2014-01-28,13.60,13.60,13.60,13.60,000,13.60
2014-01-27,13.60,13.60,13.60,13.60,000,13.60
2014-01-24,13.60,13.60,13.60,13.60,000,13.60
2014-01-23,13.60,13.60,13.60,13.60,000,13.60
2014-01-22,13.60,13.60,13.60,13.60,000,13.60
2014-01-21,13.60,13.60,13.60,13.60,000,13.60
2014-01-20,13.60,13.60,13.60,13.60,000,13.60
2014-01-17,13.60,13.60,13.60,13.60,000,13.60
2014-01-16,13.60,13.60,13.60,13.60,000,13.60
2014-01-15,13.60,13.60,13.60,13.60,1000,13.60
2014-01-14,14.00,14.00,14.00,14.00,000,14.00
2014-01-13,14.00,14.00,14.00,14.00,000,14.00
2014-01-10,14.00,14.00,14.00,14.00,3300,14.00
2014-01-09,13.65,13.65,13.65,13.65,000,13.65
2014-01-08,13.65,13.65,13.65,13.65,000,13.65
2014-01-07,13.00,13.00,13.00,13.00,000,13.00
2014-01-06,13.00,13.00,13.00,13.00,000,13.00
2014-01-03,13.00,13.00,13.00,13.00,000,13.00
2014-01-02,13.00,13.00,13.00,13.00,000,13.00
2014-01-01,13.00,13.00,13.00,13.00,000,13.00
2013-12-31,13.00,13.00,13.00,13.00,200,13.00
2013-12-30,13.12,13.12,13.12,13.12,000,13.12
2013-12-27,13.12,13.12,13.12,13.12,500,13.12
2013-12-26,11.54,12.50,11.54,12.50,700,12.50
2013-12-25,11.91,11.91,11.91,11.91,000,11.91
2013-12-24,11.80,11.91,11.80,11.91,500,11.91
2013-12-23,12.35,12.35,12.35,12.35,100,12.35
2013-12-20,11.75,12.96,11.75,12.96,700,12.96
2013-12-19,12.35,12.35,12.35,12.35,000,12.35
2013-12-18,12.35,12.35,12.35,12.35,300,12.35
2013-12-17,11.00,11.77,11.00,11.77,300,11.77
2013-12-16,11.36,11.36,11.21,11.21,300,11.21
