Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,29.55,29.55,29.50,29.50,100,29.50
2014-12-22,37.40,37.40,32.00,32.00,500,32.00
2014-12-19,34.90,34.90,34.90,34.90,000,34.90
2014-12-18,28.00,32.80,28.00,32.70,200,32.70
2014-12-17,29.85,29.85,29.85,29.85,000,29.85
2014-12-16,29.85,29.85,29.85,29.85,000,29.85
2014-12-15,33.00,33.00,29.85,29.85,000,29.85
2014-12-12,36.95,36.95,33.10,33.10,100,33.10
2014-12-11,34.25,34.25,33.05,33.60,1200,33.60
2014-12-10,40.00,41.25,35.90,36.10,1600,36.10
2014-12-09,37.50,37.50,37.50,37.50,000,37.50
2014-12-08,37.50,37.50,37.50,37.50,900,37.50
2014-12-05,37.15,37.15,37.15,37.15,000,37.15
2014-12-04,37.20,37.20,37.15,37.15,000,37.15
2014-12-03,38.95,38.95,38.95,38.95,000,38.95
2014-12-02,39.00,40.00,38.95,39.50,000,39.50
2014-12-01,42.25,42.25,41.00,41.00,300,41.00
2014-11-28,40.00,40.95,40.00,40.95,100,40.95
2014-11-27,39.00,39.00,39.00,39.00,000,39.00
2014-11-26,39.00,39.00,39.00,39.00,000,39.00
2014-11-25,39.00,39.00,39.00,39.00,000,39.00
2014-11-24,39.00,39.00,39.00,39.00,000,39.00
2014-11-21,39.00,39.00,39.00,39.00,100,39.00
2014-11-20,38.00,38.00,38.00,38.00,000,38.00
2014-11-19,36.00,38.50,36.00,38.00,1000,38.00
2014-11-18,39.50,39.50,37.80,37.85,100,37.85
2014-11-17,39.50,39.50,39.50,39.50,400,39.50
2014-11-14,38.50,41.55,38.50,41.55,200,41.55
2014-11-13,41.20,41.20,39.15,40.50,500,40.50
2014-11-12,44.00,44.00,40.15,41.20,3300,41.20
2014-11-11,43.50,43.55,41.55,42.25,800,42.25
2014-11-10,41.50,43.00,41.25,41.50,3000,41.50
2014-11-07,42.45,46.60,42.45,43.40,1500,43.40
2014-11-06,42.45,42.45,42.45,42.45,000,42.45
2014-11-05,42.40,42.75,42.10,42.45,300,42.45
2014-11-04,40.30,40.30,40.30,40.30,000,40.30
2014-11-03,38.15,41.25,38.15,40.30,3200,40.30
2014-10-31,38.20,38.20,36.55,37.60,1900,37.60
2014-10-30,34.00,34.75,33.00,34.75,700,34.75
2014-10-29,33.00,33.00,30.40,31.60,200,31.60
2014-10-28,33.75,33.75,33.75,33.75,000,33.75
2014-10-27,33.75,33.75,33.75,33.75,000,33.75
2014-10-24,33.75,33.75,33.75,33.75,000,33.75
2014-10-23,33.75,33.75,33.75,33.75,000,33.75
2014-10-22,36.00,36.00,33.50,33.75,000,33.75
2014-10-21,33.10,33.10,33.10,33.10,000,33.10
2014-10-20,36.00,36.00,33.10,33.10,200,33.10
2014-10-17,34.05,34.05,34.05,34.05,000,34.05
2014-10-16,37.00,37.20,33.30,34.05,400,34.05
2014-10-15,37.00,37.00,37.00,37.00,000,37.00
2014-10-14,32.00,37.00,32.00,37.00,1300,37.00
2014-10-13,34.90,34.90,34.90,34.90,000,34.90
2014-10-10,34.00,35.00,32.30,34.90,4100,34.90
2014-10-09,37.20,37.20,35.10,35.10,300,35.10
2014-10-08,38.00,38.00,36.10,36.55,100,36.55
2014-10-07,37.15,37.15,33.75,34.55,400,34.55
2014-10-06,35.40,35.40,35.40,35.40,000,35.40
2014-10-03,35.40,35.40,35.40,35.40,000,35.40
2014-10-02,35.40,35.40,35.40,35.40,000,35.40
2014-10-01,35.40,35.40,35.40,35.40,000,35.40
2014-09-30,33.75,33.75,33.75,33.75,000,33.75
2014-09-29,33.00,33.75,32.30,33.75,300,33.75
2014-09-26,33.90,35.95,33.75,33.75,100,33.75
