Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,20.75,20.95,20.00,20.15,15800,20.15
2014-12-22,21.00,21.90,20.55,20.75,10400,20.75
2014-12-19,21.10,22.00,20.75,21.00,37400,21.00
2014-12-18,19.60,21.20,19.60,20.80,25500,20.80
2014-12-17,19.90,20.30,18.80,19.55,42700,19.55
2014-12-16,21.10,21.45,19.70,19.90,36000,19.90
2014-12-15,21.80,21.80,21.00,21.25,29000,21.25
2014-12-12,23.70,23.70,21.90,22.00,26000,22.00
2014-12-11,23.75,23.80,22.70,22.95,42500,22.95
2014-12-10,23.50,24.90,23.20,23.80,93400,23.80
2014-12-09,25.90,26.00,23.25,23.45,193600,23.45
2014-12-08,23.45,26.05,22.85,25.55,467900,25.55
2014-12-05,22.00,23.90,21.35,23.25,125400,23.25
2014-12-04,23.25,23.40,22.00,22.10,32000,22.10
2014-12-03,20.00,23.55,20.00,22.95,253200,22.95
2014-12-02,20.10,20.15,19.55,20.05,41500,20.05
2014-12-01,20.00,20.40,19.70,19.85,15400,19.85
2014-11-28,20.05,20.65,19.60,20.20,31800,20.20
2014-11-27,20.90,21.15,20.60,20.80,16200,20.80
2014-11-26,21.25,21.25,20.70,20.95,10100,20.95
2014-11-25,21.75,21.95,20.35,20.70,45200,20.70
2014-11-24,22.00,22.25,21.75,21.80,17000,21.80
2014-11-21,22.50,22.70,21.50,21.90,36400,21.90
2014-11-20,22.65,23.50,22.20,22.40,63700,22.40
2014-11-19,22.25,24.20,22.00,22.50,73300,22.50
2014-11-18,22.05,22.85,22.00,22.20,34800,22.20
2014-11-17,23.00,23.00,22.15,22.20,36700,22.20
2014-11-14,22.80,23.20,21.65,22.15,47000,22.15
2014-11-13,23.75,23.95,22.65,22.80,48500,22.80
2014-11-12,24.60,24.90,23.45,23.55,76900,23.55
2014-11-11,23.50,25.30,23.40,24.40,445300,24.40
2014-11-10,21.10,22.80,20.50,22.60,132600,22.60
2014-11-07,20.05,21.65,19.85,20.85,67300,20.85
2014-11-06,20.80,20.80,20.80,20.80,000,20.80
2014-11-05,20.80,21.50,20.55,20.80,52400,20.80
2014-11-04,20.60,20.60,20.60,20.60,000,20.60
2014-11-03,19.90,21.00,19.60,20.60,52700,20.60
2014-10-31,19.20,20.60,19.10,19.95,72100,19.95
2014-10-30,19.00,19.30,18.90,18.95,10000,18.95
2014-10-29,19.20,19.70,18.95,19.05,45300,19.05
2014-10-28,19.05,19.70,18.70,19.30,46300,19.30
2014-10-27,19.10,19.45,19.00,19.05,8900,19.05
2014-10-24,18.95,18.95,18.95,18.95,000,18.95
2014-10-23,18.95,18.95,18.95,18.95,000,18.95
2014-10-22,18.60,19.60,18.60,18.95,31000,18.95
2014-10-21,18.75,19.20,18.65,18.75,16900,18.75
2014-10-20,19.70,20.40,18.75,19.10,11300,19.10
2014-10-17,19.25,19.80,18.70,19.15,54200,19.15
2014-10-16,19.80,20.30,19.00,19.25,52800,19.25
2014-10-15,20.00,20.00,20.00,20.00,000,20.00
2014-10-14,20.40,20.60,19.90,20.00,32700,20.00
2014-10-13,20.35,21.00,20.05,20.45,31100,20.45
2014-10-10,20.55,21.30,20.40,20.55,31100,20.55
2014-10-09,21.30,21.45,21.00,21.15,20500,21.15
2014-10-08,21.05,21.70,20.65,21.05,38800,21.05
2014-10-07,20.45,22.00,19.50,21.25,87600,21.25
2014-10-06,20.55,20.55,20.55,20.55,000,20.55
2014-10-03,20.55,20.55,20.55,20.55,000,20.55
2014-10-02,20.55,20.55,20.55,20.55,000,20.55
2014-10-01,21.20,21.30,20.30,20.55,47500,20.55
2014-09-30,21.90,22.55,20.80,21.00,185400,21.00
2014-09-29,19.20,22.40,18.75,21.05,215700,21.05
2014-09-26,18.00,18.90,18.00,18.70,38400,18.70
2014-09-25,20.80,20.80,18.00,18.15,62100,18.15
2014-09-24,21.25,21.50,19.40,19.60,99600,19.60
2014-09-23,21.70,22.45,20.85,21.10,49100,21.10
