Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,28.80,28.80,25.05,26.90,000,26.90
2014-12-22,27.10,27.10,26.95,26.95,300,26.95
2014-12-19,32.00,32.00,25.00,27.90,100,27.90
2014-12-18,28.95,32.90,27.00,27.00,000,27.00
2014-12-17,32.90,32.90,24.25,27.50,21700,27.50
2014-12-16,27.50,27.50,27.45,27.45,000,27.45
2014-12-15,26.40,28.30,26.30,28.00,2900,28.00
2014-12-12,26.35,29.80,26.35,29.55,000,29.55
2014-12-11,27.65,30.00,27.65,27.80,5000,27.80
2014-12-10,28.95,33.10,26.70,30.80,4800,30.80
2014-12-09,29.80,29.80,26.65,29.00,2000,29.00
2014-12-08,25.40,29.20,25.40,28.00,3500,28.00
2014-12-05,26.50,26.50,26.50,26.50,300,26.50
2014-12-04,24.65,27.60,24.65,27.60,800,27.60
2014-12-03,29.65,29.65,26.45,28.00,1800,28.00
2014-12-02,25.30,27.90,25.30,26.10,5900,26.10
2014-12-01,34.50,34.50,26.05,27.45,1600,27.45
2014-11-28,33.45,33.45,27.00,28.95,2100,28.95
2014-11-27,26.15,28.55,26.05,28.00,1800,28.00
2014-11-26,26.50,28.95,26.10,26.55,3000,26.55
2014-11-25,26.60,26.60,26.60,26.60,000,26.60
2014-11-24,25.10,31.65,25.10,30.00,000,30.00
2014-11-21,30.90,30.90,30.90,30.90,000,30.90
2014-11-20,29.85,29.85,29.70,29.70,000,29.70
2014-11-19,26.00,33.00,26.00,29.80,3200,29.80
2014-11-18,30.90,30.90,27.50,27.50,000,27.50
2014-11-17,27.00,28.80,24.10,28.75,800,28.75
2014-11-14,28.00,29.00,27.50,27.50,1800,27.50
2014-11-13,29.05,29.05,27.50,28.85,1100,28.85
2014-11-12,32.70,32.70,28.00,28.00,18700,28.00
2014-11-11,30.00,30.00,26.30,27.25,4000,27.25
2014-11-10,28.45,31.00,28.20,29.50,2600,29.50
2014-11-07,35.50,35.50,30.25,31.10,6100,31.10
2014-11-06,30.10,30.10,30.10,30.10,000,30.10
2014-11-05,29.10,35.45,29.00,30.10,2500,30.10
2014-11-04,32.95,32.95,32.95,32.95,000,32.95
2014-11-03,32.95,32.95,32.95,32.95,000,32.95
2014-10-31,30.50,32.50,30.50,32.50,300,32.50
2014-10-30,32.00,32.00,29.75,30.90,3200,30.90
2014-10-29,30.40,32.90,30.00,32.55,2200,32.55
2014-10-28,30.50,37.90,30.35,34.60,2100,34.60
2014-10-27,32.20,32.20,32.20,32.20,100,32.20
2014-10-24,35.95,35.95,35.95,35.95,000,35.95
2014-10-23,35.95,35.95,35.95,35.95,000,35.95
2014-10-22,35.85,37.40,34.75,35.95,600,35.95
2014-10-21,35.90,35.90,31.20,31.20,000,31.20
2014-10-20,28.20,36.00,28.20,36.00,1100,36.00
2014-10-17,36.00,36.00,26.25,31.50,1000,31.50
2014-10-16,32.10,32.10,30.05,30.65,100,30.65
2014-10-15,32.95,32.95,32.95,32.95,000,32.95
2014-10-14,39.00,39.00,32.80,32.95,6400,32.95
2014-10-13,36.00,36.00,36.00,36.00,000,36.00
2014-10-10,36.00,36.00,36.00,36.00,000,36.00
2014-10-09,36.05,36.05,36.00,36.00,200,36.00
2014-10-08,35.00,35.00,35.00,35.00,000,35.00
2014-10-07,44.40,44.40,39.50,39.50,000,39.50
2014-10-06,39.00,39.00,39.00,39.00,000,39.00
2014-10-03,39.00,39.00,39.00,39.00,000,39.00
2014-10-02,39.00,39.00,39.00,39.00,000,39.00
2014-10-01,42.90,42.90,34.00,39.00,4100,39.00
2014-09-30,33.00,39.85,33.00,36.10,3700,36.10
2014-09-29,35.00,39.50,35.00,39.50,000,39.50
2014-09-26,36.40,39.20,36.40,36.65,100,36.65
2014-09-25,40.80,40.80,37.00,37.20,600,37.20
2014-09-24,36.05,41.25,35.00,38.75,17200,38.75
2014-09-23,40.50,40.50,37.00,39.00,3500,39.00
2014-09-22,39.00,39.70,36.00,36.25,1500,36.25
2014-09-19,33.15,37.85,33.15,37.05,900,37.05
2014-09-18,30.05,39.80,30.05,37.95,18300,37.95
2014-09-17,34.85,34.85,34.85,34.85,000,34.85
2014-09-16,35.00,36.65,32.00,35.15,68700,35.15
2014-09-15,30.10,36.00,30.05,35.75,3300,35.75
2014-09-12,39.00,39.00,35.00,36.60,1700,36.60
2014-09-11,38.00,40.75,37.00,37.05,800,37.05
2014-09-10,32.20,39.00,32.20,37.50,20000,37.50
2014-09-09,40.00,40.00,35.00,36.00,400,36.00
2014-09-08,29.60,37.00,29.60,37.00,7900,37.00
2014-09-05,35.05,35.50,35.00,35.40,800,35.40
2014-09-04,36.85,36.85,34.00,35.00,1400,35.00
2014-09-03,35.00,36.35,34.50,35.85,33100,35.85
2014-09-02,33.50,35.00,33.00,33.05,5500,33.05
2014-09-01,34.00,34.00,34.00,34.00,2100,34.00
2014-08-29,34.60,34.60,34.60,34.60,000,34.60
2014-08-28,34.60,34.60,34.60,34.60,000,34.60
2014-08-27,34.60,34.60,34.60,34.60,000,34.60
2014-08-26,34.55,36.90,34.05,34.60,5400,34.60
2014-08-25,35.00,37.85,35.00,35.25,16200,35.25
2014-08-22,34.80,36.00,34.50,34.50,000,34.50
2014-08-21,33.30,38.50,33.05,34.50,11700,34.50
2014-08-20,36.70,36.70,35.95,36.70,000,36.70
2014-08-19,33.05,38.80,32.95,33.40,4800,33.40
2014-08-18,35.30,35.30,35.30,35.30,000,35.30
2014-08-15,35.30,35.30,35.30,35.30,000,35.30
2014-08-14,34.10,38.00,34.10,35.30,000,35.30
2014-08-13,41.00,41.00,36.05,36.05,000,36.05
2014-08-12,39.00,39.00,39.00,39.00,000,39.00
2014-08-11,41.70,41.70,36.00,38.65,000,38.65
2014-08-08,38.90,39.00,34.25,38.55,400,38.55
2014-08-07,36.40,38.70,36.40,36.50,3100,36.50
2014-08-06,37.40,40.60,37.40,38.50,000,38.50
2014-08-05,35.30,38.90,35.10,37.00,2100,37.00
2014-08-04,36.40,38.70,36.40,38.50,2100,38.50
2014-08-01,35.00,36.70,33.50,35.25,2500,35.25
2014-07-31,35.00,35.00,35.00,35.00,1600,35.00
2014-07-30,36.20,36.25,34.20,35.20,849500,35.20
2014-07-29,35.20,35.20,35.20,35.20,000,35.20
2014-07-28,32.00,35.30,32.00,35.20,200,35.20
2014-07-25,33.05,35.85,32.80,33.00,2400,33.00
2014-07-24,33.40,34.50,31.40,34.50,3500,34.50
2014-07-23,31.75,32.90,31.75,32.90,100,32.90
2014-07-22,30.25,31.50,30.20,31.35,8900,31.35
2014-07-21,31.10,31.75,31.10,31.75,13500,31.75
2014-07-18,32.75,34.60,32.70,32.70,28200,32.70
2014-07-17,37.00,37.70,34.35,34.40,1700,34.40
2014-07-16,35.90,35.95,35.90,35.95,200,35.95
2014-07-15,35.40,35.40,35.40,35.40,000,35.40
2014-07-14,35.50,35.50,35.40,35.40,1100,35.40
2014-07-11,37.25,37.25,37.25,37.25,000,37.25
2014-07-10,36.95,37.25,36.95,37.25,000,37.25
2014-07-09,34.95,37.00,34.20,36.15,1600,36.15
2014-07-08,36.10,36.10,36.00,36.00,3000,36.00
2014-07-07,37.80,37.85,35.05,37.85,10400,37.85
2014-07-04,36.05,36.05,36.05,36.05,3800,36.05
2014-07-03,34.35,34.35,34.35,34.35,2000,34.35
2014-07-02,32.70,32.75,32.25,32.75,4800,32.75
2014-07-01,31.20,31.20,31.20,31.20,5500,31.20
2014-06-30,28.50,29.75,27.05,29.75,1300,29.75
2014-06-27,25.75,28.35,25.65,28.35,3900,28.35
2014-06-26,27.00,27.00,27.00,27.00,200,27.00
2014-06-25,27.70,27.70,27.70,27.70,200,27.70
2014-06-24,26.65,26.65,26.65,26.65,000,26.65
2014-06-23,24.35,26.70,24.35,26.65,3900,26.65
2014-06-20,26.00,26.95,25.55,25.60,1300,25.60
2014-06-19,24.75,26.85,24.75,26.85,600,26.85
2014-06-18,26.05,26.05,26.05,26.05,2100,26.05
2014-06-17,27.40,27.40,27.40,27.40,5000,27.40
2014-06-16,25.35,26.35,25.35,26.30,800,26.30
