Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,23.10,23.80,22.80,23.10,377000,23.10
2014-12-22,23.15,25.05,22.90,23.25,444200,23.25
2014-12-19,23.80,24.40,23.70,23.90,438500,23.90
2014-12-18,23.65,23.90,22.50,23.35,450900,23.35
2014-12-17,22.90,23.50,21.50,21.70,515200,21.70
2014-12-16,24.75,25.00,22.65,22.85,653200,22.85
2014-12-15,25.35,25.60,24.15,24.45,412300,24.45
2014-12-12,25.45,26.55,24.50,24.75,422300,24.75
2014-12-11,25.80,25.95,24.50,24.80,495900,24.80
2014-12-10,25.30,26.40,24.80,25.80,422700,25.80
2014-12-09,26.80,27.25,24.60,25.45,454800,25.45
2014-12-08,28.60,28.80,26.50,26.90,421800,26.90
2014-12-05,29.30,29.75,27.20,28.05,459300,28.05
2014-12-04,30.00,30.00,28.40,29.40,440800,29.40
2014-12-03,29.20,29.50,28.40,28.65,477800,28.65
2014-12-02,28.90,29.00,26.50,28.50,497100,28.50
2014-12-01,29.60,30.00,27.10,27.80,491300,27.80
2014-11-28,26.45,29.55,26.45,29.00,919800,29.00
2014-11-27,23.95,25.90,23.30,25.75,592700,25.75
2014-11-26,22.90,23.75,22.30,23.20,470600,23.20
2014-11-25,22.30,25.00,18.85,22.85,673200,22.85
2014-11-24,23.00,23.65,22.05,22.25,426000,22.25
2014-11-21,22.70,23.25,22.60,23.00,466300,23.00
2014-11-20,22.80,23.50,22.20,22.50,429300,22.50
2014-11-19,23.55,23.85,22.60,22.85,489000,22.85
2014-11-18,23.90,24.30,22.30,23.50,484200,23.50
2014-11-17,25.10,25.20,23.90,24.05,422000,24.05
2014-11-14,25.90,26.30,23.50,24.80,481400,24.80
2014-11-13,27.10,27.85,25.45,25.70,398700,25.70
2014-11-12,27.00,28.00,26.70,26.85,407200,26.85
2014-11-11,26.00,27.45,26.00,27.20,424600,27.20
2014-11-10,24.90,26.10,24.40,25.95,432600,25.95
2014-11-07,24.80,25.25,24.00,24.40,441600,24.40
2014-11-06,24.65,24.65,24.65,24.65,000,24.65
2014-11-05,25.30,25.40,24.50,24.65,409700,24.65
2014-11-04,25.25,25.25,25.25,25.25,000,25.25
2014-11-03,24.60,25.50,24.25,25.25,470200,25.25
2014-10-31,24.75,25.20,23.90,24.65,459900,24.65
2014-10-30,23.55,25.95,23.15,25.10,971900,25.10
2014-10-29,23.75,24.00,23.45,23.70,473300,23.70
2014-10-28,24.00,24.00,23.10,23.50,854900,23.50
2014-10-27,23.05,24.25,22.45,23.90,476700,23.90
2014-10-24,23.35,23.35,23.35,23.35,000,23.35
2014-10-23,23.35,23.35,23.35,23.35,000,23.35
2014-10-22,23.50,24.00,22.90,23.35,454000,23.35
2014-10-21,23.50,23.80,21.30,23.70,493000,23.70
2014-10-20,23.30,24.40,23.00,23.35,466400,23.35
2014-10-17,23.85,24.90,22.40,22.80,441400,22.80
2014-10-16,25.15,25.50,23.30,23.50,446900,23.50
2014-10-15,25.15,25.15,25.15,25.15,000,25.15
2014-10-14,24.60,25.70,24.10,25.15,508600,25.15
2014-10-13,24.05,25.30,24.00,24.70,510400,24.70
2014-10-10,26.50,26.50,23.95,24.50,488800,24.50
2014-10-09,26.60,26.65,25.40,25.95,443400,25.95
2014-10-08,26.60,27.15,24.65,25.60,473600,25.60
2014-10-07,27.40,29.00,26.20,27.35,528100,27.35
2014-10-06,26.90,26.90,26.90,26.90,000,26.90
2014-10-03,26.90,26.90,26.90,26.90,000,26.90
2014-10-02,26.90,26.90,26.90,26.90,000,26.90
2014-10-01,27.40,27.50,26.45,26.90,431300,26.90
2014-09-30,27.55,28.30,26.55,26.75,503600,26.75
2014-09-29,28.10,28.85,27.10,27.55,427600,27.55
2014-09-26,27.90,28.10,26.10,27.85,432400,27.85
2014-09-25,29.00,29.55,26.55,26.90,478100,26.90
