Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,18.40,18.40,18.00,18.40,300,18.40
2014-12-22,18.00,18.00,17.90,17.90,000,17.90
2014-12-19,18.45,18.45,18.45,18.45,000,18.45
2014-12-18,15.00,16.83,15.00,16.82,200,16.82
2014-12-17,15.30,15.30,15.30,15.30,000,15.30
2014-12-16,17.20,17.20,17.00,17.00,100,17.00
2014-12-15,16.50,18.70,16.50,18.70,1100,18.70
2014-12-12,16.50,17.50,16.50,17.50,1100,17.50
2014-12-11,17.90,17.95,16.00,16.33,1300,16.33
2014-12-10,17.55,17.55,16.30,16.32,1600,16.32
2014-12-09,15.35,18.39,15.35,18.10,2200,18.10
2014-12-08,16.75,16.85,16.75,16.85,1500,16.85
2014-12-05,15.00,17.40,15.00,15.32,200,15.32
2014-12-04,18.95,18.95,16.00,16.00,000,16.00
2014-12-03,15.95,17.25,14.50,17.25,500,17.25
2014-12-02,13.65,15.95,13.65,15.95,400,15.95
2014-12-01,15.90,15.97,14.95,15.00,1300,15.00
2014-11-28,14.39,14.52,14.39,14.52,7200,14.52
2014-11-27,14.95,14.95,13.16,13.20,400,13.20
2014-11-26,13.00,14.30,13.00,14.30,15100,14.30
2014-11-25,13.00,13.00,13.00,13.00,500,13.00
2014-11-24,15.50,15.50,13.32,13.64,300,13.64
2014-11-21,15.04,15.04,14.80,14.80,2000,14.80
2014-11-20,13.68,13.68,13.68,13.68,700,13.68
2014-11-19,15.19,15.19,15.19,15.19,100,15.19
2014-11-18,12.25,14.72,12.25,14.50,700,14.50
2014-11-17,13.50,13.60,13.45,13.53,9600,13.53
2014-11-14,14.94,14.94,14.94,14.94,000,14.94
2014-11-13,14.00,14.00,14.00,14.00,000,14.00
2014-11-12,14.50,14.50,13.00,13.40,1200,13.40
2014-11-11,13.00,14.70,13.00,13.32,500,13.32
2014-11-10,13.02,14.15,13.02,13.72,100,13.72
2014-11-07,13.50,13.70,13.50,13.70,000,13.70
2014-11-06,13.50,13.50,13.50,13.50,000,13.50
2014-11-05,13.50,13.50,13.50,13.50,000,13.50
2014-11-04,13.50,13.50,13.50,13.50,000,13.50
2014-11-03,13.50,13.50,13.50,13.50,000,13.50
2014-10-31,13.75,13.75,13.07,13.50,300,13.50
2014-10-30,13.75,13.75,13.75,13.75,000,13.75
2014-10-29,13.78,13.78,13.78,13.78,000,13.78
2014-10-28,13.47,13.47,13.46,13.46,000,13.46
2014-10-27,12.95,12.95,12.95,12.95,000,12.95
2014-10-24,12.95,12.95,12.95,12.95,000,12.95
2014-10-23,12.95,12.95,12.95,12.95,000,12.95
2014-10-22,13.64,13.64,12.95,12.95,100,12.95
2014-10-21,13.65,13.65,12.80,13.63,200,13.63
2014-10-20,13.23,13.23,13.23,13.23,000,13.23
2014-10-17,13.25,13.25,13.25,13.25,000,13.25
2014-10-16,13.32,13.32,13.32,13.32,300,13.32
2014-10-15,13.32,13.32,13.32,13.32,000,13.32
2014-10-14,13.32,13.32,13.32,13.32,000,13.32
2014-10-13,13.32,13.32,13.32,13.32,000,13.32
2014-10-10,12.50,13.35,12.15,13.32,2700,13.32
2014-10-09,13.09,13.09,12.75,12.75,1300,12.75
2014-10-08,13.60,13.60,12.43,12.50,1500,12.50
2014-10-07,13.08,13.08,13.08,13.08,000,13.08
2014-10-06,13.08,13.08,13.08,13.08,000,13.08
2014-10-03,13.08,13.08,13.08,13.08,000,13.08
2014-10-02,13.08,13.08,13.08,13.08,000,13.08
2014-10-01,12.50,13.08,12.50,13.08,300,13.08
2014-09-30,12.49,12.49,12.49,12.49,000,12.49
2014-09-29,12.54,12.54,11.57,12.00,100,12.00
2014-09-26,13.15,13.15,11.93,11.97,300,11.97
2014-09-25,13.80,13.80,12.55,12.55,700,12.55
2014-09-24,13.80,13.80,12.83,13.18,200,13.18
2014-09-23,13.55,13.55,13.49,13.49,100,13.49
