Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,11.16,11.89,11.10,11.34,400,11.34
2014-12-22,11.98,12.50,11.25,11.44,1400,11.44
2014-12-19,11.85,11.85,11.25,11.50,9500,11.50
2014-12-18,11.00,12.00,10.65,11.92,6500,11.92
2014-12-17,11.00,11.00,10.61,10.71,7000,10.71
2014-12-16,11.06,11.75,11.06,11.16,200,11.16
2014-12-15,11.20,12.00,11.20,12.00,300,12.00
2014-12-12,11.75,12.25,11.10,11.78,2100,11.78
2014-12-11,11.75,11.80,11.75,11.75,200,11.75
2014-12-10,11.50,11.60,11.50,11.60,400,11.60
2014-12-09,12.02,12.03,11.75,11.76,1500,11.76
2014-12-08,11.85,13.05,11.67,12.26,2600,12.26
2014-12-05,11.80,12.55,11.80,11.95,3600,11.95
2014-12-04,11.61,11.66,11.61,11.66,300,11.66
2014-12-03,11.10,12.40,11.10,11.63,5100,11.63
2014-12-02,11.55,11.56,10.78,11.22,3600,11.22
2014-12-01,11.00,12.19,11.00,11.56,300,11.56
2014-11-28,11.94,11.95,10.80,11.53,27100,11.53
2014-11-27,11.51,11.99,11.51,11.83,200,11.83
2014-11-26,12.00,12.00,11.55,11.78,1100,11.78
2014-11-25,12.05,12.05,11.65,11.80,3300,11.80
2014-11-24,12.48,12.48,11.81,12.10,1600,12.10
2014-11-21,12.00,12.50,11.77,12.50,1000,12.50
2014-11-20,11.90,12.39,11.70,12.18,1900,12.18
2014-11-19,12.49,12.49,11.70,11.97,2400,11.97
2014-11-18,12.00,12.49,11.75,12.23,2400,12.23
2014-11-17,12.01,13.47,11.65,12.02,4800,12.02
2014-11-14,12.30,12.98,11.70,12.57,13600,12.57
2014-11-13,13.25,13.25,11.80,12.11,4600,12.11
2014-11-12,12.05,12.70,12.03,12.62,12200,12.62
2014-11-11,12.79,12.79,12.08,12.08,500,12.08
2014-11-10,11.91,12.80,11.81,12.27,4900,12.27
2014-11-07,12.50,12.50,12.00,12.42,3700,12.42
2014-11-06,12.06,12.06,12.06,12.06,000,12.06
2014-11-05,12.30,12.40,12.01,12.06,6100,12.06
2014-11-04,12.64,12.64,12.64,12.64,000,12.64
2014-11-03,11.11,12.65,11.10,12.64,5800,12.64
2014-10-31,12.98,13.00,12.08,12.50,3100,12.50
2014-10-30,12.11,12.15,12.11,12.15,1000,12.15
2014-10-29,12.33,12.33,12.05,12.10,1500,12.10
2014-10-28,12.10,13.30,12.10,12.32,500,12.32
