Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,498.00,498.00,495.50,495.50,20000,495.50
2014-12-22,495.00,498.00,495.00,498.00,7000,498.00
2014-12-19,500.50,500.60,500.50,500.50,9000,500.50
2014-12-18,505.00,505.00,500.00,500.00,4500,500.00
2014-12-17,507.90,507.90,507.00,507.00,7500,507.00
2014-12-16,511.00,511.50,509.00,509.00,17500,509.00
2014-12-15,500.90,510.00,500.90,510.00,4000,510.00
2014-12-12,500.45,500.45,499.90,499.90,5500,499.90
2014-12-11,500.50,500.50,500.30,500.30,4000,500.30
2014-12-10,501.00,501.50,501.00,501.00,20000,501.00
2014-12-09,502.40,502.40,501.50,501.50,9000,501.50
2014-12-08,502.10,502.10,502.10,502.10,000,502.10
2014-12-05,502.50,503.00,502.00,502.10,15500,502.10
2014-12-04,503.00,504.20,503.00,504.20,15000,504.20
2014-12-03,504.00,504.20,504.00,504.10,6000,504.10
2014-12-02,504.00,504.00,504.00,504.00,2000,504.00
2014-12-01,504.00,505.00,504.00,505.00,12000,505.00
2014-11-28,502.50,504.00,502.50,503.50,16500,503.50
2014-11-27,504.00,505.00,502.00,502.00,21000,502.00
2014-11-26,502.00,505.00,502.00,505.00,11000,505.00
2014-11-25,505.00,506.00,505.00,505.00,22000,505.00
2014-11-24,504.25,504.25,504.25,504.25,000,504.25
2014-11-21,505.00,505.00,503.00,504.25,32500,504.25
2014-11-20,782.45,782.45,782.45,782.45,000,782.45
2014-11-19,782.45,782.45,782.45,782.45,12000,782.45
2014-11-18,711.35,711.35,711.35,711.35,000,711.35
2014-11-17,711.35,711.35,711.35,711.35,000,711.35
2014-11-14,711.35,711.35,711.35,711.35,10000,711.35
2014-11-13,592.80,592.80,592.80,592.80,000,592.80
2014-11-12,592.80,592.80,592.80,592.80,3000,592.80
2014-11-11,495.00,495.00,494.00,494.00,7000,494.00
2014-11-10,496.00,496.00,495.00,496.00,28500,496.00
2014-11-07,497.00,497.50,497.00,497.50,7500,497.50
2014-11-06,498.00,498.00,498.00,498.00,000,498.00
2014-11-05,498.00,498.00,498.00,498.00,1500,498.00
2014-11-04,499.00,499.00,499.00,499.00,000,499.00
2014-11-03,499.00,499.00,499.00,499.00,3000,499.00
2014-10-31,500.00,500.00,500.00,500.00,4500,500.00
2014-10-30,498.00,498.00,497.00,497.50,6500,497.50
2014-10-29,499.50,499.50,499.50,499.50,000,499.50
2014-10-28,502.00,502.00,499.00,499.50,4000,499.50
2014-10-27,503.10,503.10,503.10,503.10,000,503.10
2014-10-24,503.10,503.10,503.10,503.10,000,503.10
2014-10-23,503.10,503.10,503.10,503.10,000,503.10
2014-10-22,503.10,503.10,503.10,503.10,3000,503.10
2014-10-21,503.00,503.00,503.00,503.00,1500,503.00
