Date,Open,High,Low,Close,Volume,Adj Close
2014-06-20,13.34,13.34,12.82,12.82,100,12.82
2014-06-19,13.08,13.08,13.08,13.08,1000,13.08
2014-06-18,12.84,12.84,12.84,12.84,000,12.84
2014-06-17,12.84,12.84,12.84,12.84,100,12.84
2014-06-16,13.10,13.10,13.10,13.10,000,13.10
2014-06-13,12.87,13.10,12.87,13.10,200,13.10
2014-06-12,12.87,12.87,12.87,12.87,000,12.87
2014-06-11,12.87,12.87,12.87,12.87,500,12.87
2014-06-10,12.87,12.87,12.87,12.87,000,12.87
2014-06-09,12.00,12.87,12.00,12.87,500,12.87
2014-06-06,12.26,12.26,12.26,12.26,300,12.26
2014-06-05,11.68,11.68,11.68,11.68,600,11.68
2014-06-04,11.02,11.57,10.47,11.13,1800,11.13
2014-06-03,11.00,11.02,11.00,11.02,300,11.02
2014-06-02,10.45,10.50,10.40,10.50,1400,10.50
2014-05-30,10.01,10.01,10.01,10.01,4300,10.01
2014-05-29,9.54,9.54,9.54,9.54,000,9.54
2014-05-28,9.09,9.09,9.09,9.09,600,9.09
2014-05-27,8.66,8.66,8.66,8.66,1100,8.66
2014-05-26,8.25,8.25,8.25,8.25,5100,8.25
2014-05-23,7.86,7.86,7.86,7.86,000,7.86
2014-05-22,7.49,7.49,7.49,7.49,100,7.49
2014-05-21,6.80,7.14,6.80,7.14,100,7.14
2014-05-20,6.80,6.80,6.80,6.80,100,6.80
2014-05-19,6.55,6.55,6.50,6.50,200,6.50
2014-05-16,6.80,6.81,6.80,6.80,300,6.80
2014-05-15,6.78,6.78,6.78,6.78,000,6.78
2014-05-14,6.46,6.46,6.46,6.46,000,6.46
2014-05-13,6.67,6.67,6.10,6.46,900,6.46
2014-05-12,5.82,6.36,5.81,6.36,1600,6.36
2014-05-09,6.06,6.06,6.06,6.06,000,6.06
2014-05-08,6.50,6.50,6.06,6.06,200,6.06
2014-05-07,6.25,6.25,6.25,6.25,300,6.25
2014-05-06,6.51,6.51,6.51,6.51,000,6.51
2014-05-05,6.51,6.51,6.51,6.51,000,6.51
2014-05-02,6.51,6.51,6.51,6.51,000,6.51
2014-05-01,6.51,6.51,6.51,6.51,000,6.51
2014-04-30,6.51,6.51,6.51,6.51,000,6.51
2014-04-29,6.51,6.51,6.51,6.51,000,6.51
2014-04-28,6.51,6.51,6.51,6.51,000,6.51
2014-04-25,6.51,6.51,6.51,6.51,000,6.51
2014-04-24,6.51,6.51,6.51,6.51,000,6.51
2014-04-23,6.51,6.51,6.51,6.51,000,6.51
2014-04-22,6.51,6.51,6.51,6.51,200,6.51
2014-04-21,6.80,6.80,6.47,6.80,500,6.80
2014-04-18,6.80,6.80,6.80,6.80,000,6.80
2014-04-17,6.81,6.81,6.80,6.80,500,6.80
2014-04-16,7.11,7.11,7.11,7.11,400,7.11
2014-04-15,7.35,7.35,7.35,7.35,300,7.35
2014-04-14,7.10,7.10,7.10,7.10,000,7.10
2014-04-11,7.10,7.10,7.10,7.10,1100,7.10
2014-04-10,6.82,6.82,6.81,6.81,300,6.81
2014-04-09,7.00,7.00,7.00,7.00,000,7.00
2014-04-08,7.00,7.00,7.00,7.00,000,7.00
2014-04-07,7.00,7.00,7.00,7.00,000,7.00
2014-04-04,7.00,7.00,7.00,7.00,200,7.00
2014-04-03,7.30,7.30,7.30,7.30,000,7.30
