Date,Open,High,Low,Close,Volume,Adj Close
2014-08-15,59.00,59.00,59.00,59.00,000,59.00
2014-08-14,59.00,59.00,59.00,59.00,000,59.00
2014-08-13,59.00,59.00,59.00,59.00,000,59.00
2014-08-12,59.00,59.00,59.00,59.00,000,59.00
2014-08-11,59.00,59.00,59.00,59.00,000,59.00
2014-08-08,59.00,59.00,59.00,59.00,000,59.00
2014-08-07,59.00,59.00,59.00,59.00,000,59.00
2014-08-06,59.00,59.00,59.00,59.00,2400,59.00
2014-08-05,60.00,60.00,60.00,60.00,000,60.00
2014-08-04,60.00,60.00,60.00,60.00,000,60.00
2014-08-01,60.00,60.00,60.00,60.00,4800,60.00
2014-07-31,62.00,62.00,62.00,62.00,2400,62.00
2014-07-30,62.50,62.50,62.50,62.50,2400,62.50
2014-07-29,63.00,63.00,63.00,63.00,000,63.00
2014-07-28,63.00,63.00,63.00,63.00,2400,63.00
2014-07-25,60.83,60.83,60.83,60.83,000,60.83
2014-07-24,60.83,60.83,60.83,60.83,000,60.83
2014-07-23,73.00,73.00,73.00,73.00,000,73.00
2014-07-22,73.00,73.00,73.00,73.00,000,73.00
2014-07-21,73.90,73.90,73.00,73.00,9600,73.00
2014-07-18,72.00,72.00,72.00,72.00,000,72.00
2014-07-17,72.00,72.00,72.00,72.00,000,72.00
2014-07-16,72.00,72.00,72.00,72.00,4000,72.00
2014-07-15,71.00,71.00,71.00,71.00,4000,71.00
2014-07-14,73.00,73.00,73.00,73.00,000,73.00
2014-07-11,73.00,73.00,73.00,73.00,000,73.00
2014-07-10,73.00,73.00,73.00,73.00,000,73.00
2014-07-09,73.00,73.00,73.00,73.00,000,73.00
2014-07-08,73.00,73.00,73.00,73.00,000,73.00
2014-07-07,73.00,73.00,73.00,73.00,4000,73.00
2014-07-04,72.00,72.00,72.00,72.00,000,72.00
2014-07-03,72.00,72.00,72.00,72.00,000,72.00
2014-07-02,72.00,72.00,72.00,72.00,000,72.00
2014-07-01,72.00,72.00,72.00,72.00,4000,72.00
2014-06-30,69.00,69.00,69.00,69.00,000,69.00
2014-06-27,74.00,74.00,69.00,69.00,24000,69.00
2014-06-26,70.00,70.00,70.00,70.00,4000,70.00
2014-06-25,66.00,67.00,66.00,67.00,8000,67.00
2014-06-24,65.00,65.00,65.00,65.00,000,65.00
2014-06-23,65.00,65.00,65.00,65.00,4000,65.00
2014-06-20,63.00,63.00,63.00,63.00,000,63.00
2014-06-19,63.00,63.00,63.00,63.00,000,63.00
2014-06-18,63.00,63.00,63.00,63.00,4000,63.00
2014-06-17,62.90,62.90,62.90,62.90,000,62.90
2014-06-16,62.90,62.90,62.90,62.90,000,62.90
2014-06-13,62.90,62.90,62.90,62.90,000,62.90
2014-06-12,62.90,62.90,62.90,62.90,000,62.90
2014-06-11,62.90,62.90,62.90,62.90,4000,62.90
2014-06-10,62.00,62.00,62.00,62.00,000,62.00
2014-06-09,62.00,62.00,62.00,62.00,000,62.00
2014-06-06,62.00,62.00,62.00,62.00,000,62.00
2014-06-05,62.00,62.00,62.00,62.00,000,62.00
2014-06-04,62.00,62.00,62.00,62.00,4000,62.00
2014-06-03,61.00,61.00,61.00,61.00,000,61.00
2014-06-02,61.00,61.00,61.00,61.00,4000,61.00
2014-05-30,61.00,61.00,61.00,61.00,4000,61.00
2014-05-29,56.00,56.00,56.00,56.00,000,56.00
2014-05-28,56.00,56.00,56.00,56.00,4000,56.00
2014-05-27,59.00,59.00,57.00,58.00,24000,58.00
2014-05-26,59.00,59.00,58.00,58.00,12000,58.00
2014-05-23,63.00,63.00,58.00,58.00,60000,58.00
2014-05-22,50.00,58.80,50.00,58.00,44000,58.00
2014-05-21,49.00,49.00,49.00,49.00,000,49.00
2014-05-20,49.00,49.00,49.00,49.00,000,49.00
2014-05-19,49.50,50.00,49.00,49.00,12000,49.00
2014-05-16,49.00,49.00,49.00,49.00,4000,49.00
2014-05-15,47.00,47.00,47.00,47.00,000,47.00
2014-05-14,46.50,47.00,45.00,47.00,28000,47.00
2014-05-13,45.00,45.00,44.80,44.80,8000,44.80
2014-05-12,44.50,44.50,44.50,44.50,4000,44.50
2014-05-09,43.00,43.00,43.00,43.00,4000,43.00
2014-05-08,45.00,45.00,45.00,45.00,000,45.00
2014-05-07,45.00,45.00,45.00,45.00,8000,45.00
2014-05-06,45.00,45.00,45.00,45.00,4000,45.00
2014-05-05,44.50,44.50,44.50,44.50,000,44.50
2014-05-02,44.50,44.50,44.50,44.50,000,44.50
2014-05-01,44.50,44.50,44.50,44.50,000,44.50
2014-04-30,44.50,44.50,44.50,44.50,000,44.50
2014-04-29,44.50,44.50,44.50,44.50,4000,44.50
2014-04-28,43.00,43.00,43.00,43.00,000,43.00
2014-04-25,43.00,43.00,43.00,43.00,000,43.00
2014-04-24,43.00,43.00,43.00,43.00,000,43.00
2014-04-23,43.00,43.00,43.00,43.00,000,43.00
2014-04-22,42.00,43.00,42.00,43.00,8000,43.00
2014-04-21,44.75,44.75,44.75,44.75,000,44.75
2014-04-18,44.75,44.75,44.75,44.75,000,44.75
2014-04-17,44.75,44.75,44.75,44.75,4000,44.75
2014-04-16,45.00,45.00,45.00,45.00,4000,45.00
2014-04-15,43.00,43.00,43.00,43.00,000,43.00
2014-04-14,43.00,43.00,43.00,43.00,000,43.00
2014-04-11,43.00,43.00,43.00,43.00,000,43.00
2014-04-10,43.00,43.00,43.00,43.00,000,43.00
2014-04-09,43.00,43.00,43.00,43.00,000,43.00
2014-04-08,43.00,43.00,43.00,43.00,000,43.00
2014-04-07,43.00,43.00,43.00,43.00,000,43.00
2014-04-04,43.00,43.00,43.00,43.00,000,43.00
2014-04-03,43.00,43.00,43.00,43.00,000,43.00
2014-04-02,43.00,43.00,43.00,43.00,000,43.00
2014-04-01,43.00,43.00,43.00,43.00,000,43.00
2014-03-31,43.00,43.00,43.00,43.00,000,43.00
2014-03-28,43.00,43.00,43.00,43.00,000,43.00
2014-03-27,43.00,43.00,43.00,43.00,4000,43.00
2014-03-26,45.30,45.30,45.30,45.30,000,45.30
2014-03-25,45.30,45.30,45.30,45.30,000,45.30
2014-03-24,45.30,45.30,45.30,45.30,000,45.30
2014-03-21,44.00,45.50,44.00,45.30,68000,45.30
2014-03-20,43.75,43.75,43.75,43.75,000,43.75
2014-03-19,43.75,43.75,43.75,43.75,000,43.75
2014-03-18,43.75,43.75,43.75,43.75,000,43.75
2014-03-17,43.75,43.75,43.75,43.75,000,43.75
2014-03-14,43.75,43.75,43.75,43.75,4000,43.75
2014-03-13,42.50,42.50,42.50,42.50,000,42.50
2014-03-12,42.50,42.50,42.50,42.50,000,42.50
2014-03-11,42.50,42.50,42.50,42.50,000,42.50
2014-03-10,42.50,42.50,38.00,42.50,76000,42.50
2014-03-07,45.00,45.00,45.00,45.00,000,45.00
2014-03-06,45.00,45.00,45.00,45.00,000,45.00
2014-03-05,45.00,45.00,45.00,45.00,40000,45.00
2014-03-04,42.50,46.00,42.50,46.00,40000,46.00
2014-03-03,44.00,44.00,44.00,44.00,4000,44.00
2014-02-28,41.00,41.00,41.00,41.00,000,41.00
2014-02-27,41.00,41.00,41.00,41.00,000,41.00
2014-02-26,41.00,41.00,41.00,41.00,4000,41.00
2014-02-25,42.50,42.50,42.50,42.50,000,42.50
