Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,10.81,11.50,10.50,11.50,400,11.50
2014-12-22,11.99,11.99,10.53,10.81,1200,10.81
2014-12-19,10.45,11.50,10.45,10.98,000,10.98
2014-12-18,9.76,11.00,9.76,11.00,900,11.00
2014-12-17,11.00,11.00,9.76,10.00,100,10.00
2014-12-16,9.74,10.15,9.73,10.15,300,10.15
2014-12-15,11.52,11.52,10.21,10.50,1700,10.50
2014-12-12,11.00,11.00,10.25,10.48,600,10.48
2014-12-11,10.20,10.20,10.20,10.20,100,10.20
2014-12-10,10.11,11.40,10.11,10.31,1900,10.31
2014-12-09,11.00,11.00,10.55,10.55,200,10.55
2014-12-08,11.01,11.01,11.00,11.00,1300,11.00
2014-12-05,11.00,12.20,10.78,11.47,200,11.47
2014-12-04,11.60,12.16,11.05,11.15,500,11.15
2014-12-03,11.72,11.80,11.59,11.59,700,11.59
2014-12-02,12.77,12.77,12.20,12.20,500,12.20
2014-12-01,12.74,12.74,11.62,12.70,800,12.70
2014-11-28,11.30,12.19,11.30,12.14,4900,12.14
2014-11-27,11.56,12.50,11.56,11.62,2300,11.62
2014-11-26,12.35,12.35,11.45,12.00,1400,12.00
2014-11-25,12.00,12.74,11.77,11.77,1400,11.77
2014-11-24,12.24,12.24,12.12,12.14,1700,12.14
2014-11-21,12.24,13.33,12.23,12.24,1300,12.24
2014-11-20,11.66,12.78,11.66,12.78,1200,12.78
2014-11-19,11.08,12.18,11.08,12.18,2100,12.18
2014-11-18,12.05,12.05,11.60,11.60,1000,11.60
2014-11-17,13.17,13.17,12.05,12.05,1000,12.05
2014-11-14,12.55,12.55,12.55,12.55,000,12.55
2014-11-13,12.63,12.63,12.55,12.55,300,12.55
2014-11-12,11.00,12.07,11.00,12.04,1900,12.04
2014-11-11,11.46,11.50,11.46,11.50,1400,11.50
2014-11-10,11.50,12.55,11.40,12.06,6200,12.06
2014-11-07,12.06,12.84,12.00,12.00,2100,12.00
2014-11-06,12.26,12.26,12.26,12.26,000,12.26
2014-11-05,12.21,12.26,12.21,12.26,600,12.26
2014-11-04,12.39,12.39,12.39,12.39,000,12.39
2014-11-03,11.51,12.39,11.51,12.39,900,12.39
2014-10-31,11.76,11.80,11.75,11.80,100,11.80
2014-10-30,12.00,12.00,11.60,11.60,300,11.60
2014-10-29,11.63,12.15,11.63,11.97,1200,11.97
