Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,14.50,15.20,13.45,13.45,4700,13.45
2014-12-22,16.95,17.80,14.90,14.90,44300,14.90
2014-12-19,16.00,17.75,15.70,16.55,3600,16.55
2014-12-18,17.00,17.45,15.30,16.75,32400,16.75
2014-12-17,17.90,17.90,15.50,16.75,6100,16.75
2014-12-16,18.80,18.80,15.75,16.45,105300,16.45
2014-12-15,20.50,20.70,16.00,16.95,117700,16.95
2014-12-12,20.95,20.95,16.25,17.95,27000,17.95
2014-12-11,21.95,21.95,17.00,17.60,42600,17.60
2014-12-10,26.90,26.90,20.65,20.65,262800,20.65
2014-12-09,23.80,25.80,22.25,25.80,264500,25.80
2014-12-08,21.95,24.10,18.80,21.50,38600,21.50
2014-12-05,22.00,24.80,19.50,22.00,345800,22.00
2014-12-04,22.90,24.00,19.80,21.05,15500,21.05
2014-12-03,20.50,22.00,19.70,20.65,20300,20.65
2014-12-02,22.00,22.80,20.25,22.05,2200,22.05
2014-12-01,24.45,24.45,20.50,21.10,208300,21.10
2014-11-28,24.00,24.00,20.00,20.55,131400,20.55
2014-11-27,23.00,23.00,23.00,23.00,000,23.00
2014-11-26,21.80,21.80,21.80,21.80,000,21.80
2014-11-25,19.40,21.80,19.40,21.80,69700,21.80
2014-11-24,22.45,23.00,20.70,22.05,58000,22.05
2014-11-21,21.10,23.80,21.10,23.80,13100,23.80
2014-11-20,22.60,23.80,22.60,23.80,200,23.80
2014-11-19,24.25,24.25,23.00,24.15,1000,24.15
2014-11-18,20.00,23.50,17.80,23.50,81900,23.50
2014-11-17,26.50,26.50,20.80,21.30,31000,21.30
2014-11-14,26.00,26.00,25.75,26.00,50600,26.00
2014-11-13,26.00,26.50,26.00,26.50,107600,26.50
2014-11-12,26.50,26.90,24.55,25.60,26800,25.60
2014-11-11,28.00,28.00,24.25,26.20,133600,26.20
2014-11-10,26.50,28.75,25.95,26.10,26300,26.10
2014-11-07,24.05,28.50,24.05,26.55,186000,26.55
2014-11-06,25.55,25.55,25.55,25.55,000,25.55
2014-11-05,25.00,26.90,23.00,25.55,61500,25.55
2014-11-04,23.25,23.25,23.25,23.25,000,23.25
2014-11-03,16.80,24.85,16.80,23.25,109900,23.25
2014-10-31,18.50,21.90,16.50,20.85,5400,20.85
2014-10-30,21.50,21.50,18.50,19.75,16300,19.75
2014-10-29,20.00,23.80,19.90,20.20,42500,20.20
2014-10-28,20.25,22.20,19.75,21.35,500,21.35
2014-10-27,23.80,23.80,19.00,20.80,600,20.80
2014-10-24,20.25,20.25,20.25,20.25,000,20.25
2014-10-23,20.25,20.25,20.25,20.25,000,20.25
2014-10-22,22.05,23.30,19.00,20.25,461000,20.25
2014-10-21,23.00,23.00,22.00,22.00,51500,22.00
2014-10-20,21.50,23.10,21.50,21.65,100800,21.65
2014-10-17,22.55,23.25,21.00,21.55,143600,21.55
2014-10-16,23.00,23.25,22.00,22.00,148500,22.00
2014-10-15,22.05,22.05,22.05,22.05,000,22.05
2014-10-14,27.10,27.10,21.50,22.05,163400,22.05
2014-10-13,23.00,24.80,22.00,23.80,260000,23.80
2014-10-10,22.30,24.95,22.25,24.05,000,24.05
2014-10-09,17.70,24.95,17.70,23.10,700,23.10
2014-10-08,22.50,24.90,22.00,22.10,286800,22.10
2014-10-07,23.50,27.25,22.75,22.90,565600,22.90
2014-10-06,24.00,24.00,24.00,24.00,000,24.00
2014-10-03,24.00,24.00,24.00,24.00,000,24.00
2014-10-02,24.00,24.00,24.00,24.00,000,24.00
2014-10-01,24.00,24.50,20.50,24.00,3300,24.00
2014-09-30,27.00,27.90,23.00,24.40,52100,24.40
2014-09-29,30.55,30.75,25.50,27.55,197800,27.55
2014-09-26,29.00,29.00,27.00,27.95,204200,27.95
2014-09-25,31.00,31.00,28.15,29.50,323100,29.50
2014-09-24,33.00,33.00,29.00,29.50,121800,29.50
2014-09-23,32.45,34.75,29.70,30.00,287900,30.00
2014-09-22,29.80,33.10,27.00,31.20,374900,31.20
2014-09-19,30.45,30.45,27.50,27.60,194500,27.60
2014-09-18,28.00,29.65,27.00,28.90,21800,28.90
2014-09-17,31.00,32.90,27.50,28.45,127100,28.45
2014-09-16,31.00,33.35,26.75,30.80,179200,30.80
2014-09-15,26.65,29.45,24.90,28.50,263900,28.50
2014-09-12,26.10,26.75,24.50,26.00,16700,26.00
2014-09-11,26.00,29.40,25.00,25.00,164000,25.00
2014-09-10,24.25,25.75,23.10,24.50,8200,24.50
2014-09-09,25.95,28.00,25.00,25.40,113600,25.40
2014-09-08,23.00,27.55,23.00,25.75,38000,25.75
2014-09-05,23.00,24.15,22.50,23.10,10500,23.10
2014-09-04,24.00,24.00,22.75,22.85,210400,22.85
2014-09-03,23.10,23.85,22.75,23.50,306700,23.50
2014-09-02,23.00,23.55,22.65,22.95,56900,22.95
2014-09-01,23.00,24.15,22.50,24.00,83200,24.00
2014-08-29,22.50,22.50,22.50,22.50,000,22.50
2014-08-28,23.00,23.40,22.50,22.50,2600,22.50
2014-08-27,24.00,24.00,23.25,23.25,330500,23.25
2014-08-26,24.50,25.00,23.05,23.55,37100,23.55
2014-08-25,23.00,24.50,23.00,24.00,368800,24.00
2014-08-22,22.85,23.80,22.00,22.95,52800,22.95
2014-08-21,22.10,25.00,21.50,21.85,34400,21.85
2014-08-20,23.70,23.95,22.00,22.80,68300,22.80
2014-08-19,23.50,25.00,21.75,21.95,41100,21.95
2014-08-18,20.00,24.00,20.00,23.00,411500,23.00
2014-08-15,20.10,20.10,20.10,20.10,000,20.10
2014-08-14,21.20,21.20,19.00,20.10,103600,20.10
2014-08-13,19.00,20.00,18.15,20.00,75200,20.00
2014-08-12,19.00,20.00,18.55,19.00,428300,19.00
2014-08-11,17.95,21.60,17.95,20.50,202100,20.50
2014-08-08,20.00,20.00,17.00,18.00,104600,18.00
2014-08-07,20.80,20.80,17.60,18.85,1300,18.85
2014-08-06,17.60,19.50,17.60,18.05,329700,18.05
2014-08-05,18.95,19.00,18.00,19.00,263100,19.00
2014-08-04,18.50,18.90,17.45,18.70,1137100,18.70
2014-08-01,18.00,18.25,17.25,18.25,283100,18.25
2014-07-31,18.50,18.60,17.65,17.65,273900,17.65
2014-07-30,18.45,18.50,18.45,18.50,546900,18.50
2014-07-29,18.05,18.05,18.05,18.05,000,18.05
2014-07-28,16.70,18.50,16.70,18.05,380500,18.05
2014-07-25,17.35,18.60,17.35,18.60,560100,18.60
2014-07-24,16.20,18.50,16.20,18.50,1124900,18.50
2014-07-23,18.00,18.60,17.55,18.60,1069500,18.60
2014-07-22,18.40,18.40,16.70,18.05,1417700,18.05
2014-07-21,18.00,18.45,17.50,18.00,1136900,18.00
2014-07-18,18.50,18.60,18.00,18.55,1370500,18.55
2014-07-17,18.50,18.50,18.10,18.50,936300,18.50
2014-07-16,18.75,18.75,17.65,18.75,568900,18.75
2014-07-15,17.55,19.10,16.50,17.50,533400,17.50
2014-07-14,16.75,17.50,16.50,17.50,368000,17.50
2014-07-11,20.00,20.00,18.20,18.20,411100,18.20
2014-07-10,22.00,22.00,18.10,19.00,716500,19.00
2014-07-09,18.90,19.50,17.55,19.00,571700,19.00
2014-07-08,18.50,19.75,18.25,19.45,588400,19.45
2014-07-07,20.70,20.70,19.35,20.00,394400,20.00
2014-07-04,20.00,20.40,18.85,19.75,704400,19.75
2014-07-03,18.50,21.00,18.50,18.70,512600,18.70
2014-07-02,19.95,20.00,18.55,20.00,346500,20.00
2014-07-01,19.00,20.50,19.00,20.20,840600,20.20
2014-06-30,20.00,20.00,19.00,19.05,641900,19.05
2014-06-27,19.00,20.50,19.00,19.95,907300,19.95
2014-06-26,19.00,19.60,18.65,19.50,386400,19.50
2014-06-25,19.00,19.50,18.50,19.50,360300,19.50
2014-06-24,15.75,19.50,15.75,19.35,112600,19.35
2014-06-23,21.70,21.70,17.00,19.00,307100,19.00
2014-06-20,20.70,20.70,18.05,18.40,6700,18.40
2014-06-19,18.75,19.90,18.05,18.40,54400,18.40
2014-06-18,18.20,20.10,18.05,18.70,9200,18.70
2014-06-17,21.90,21.90,18.00,18.65,177300,18.65
2014-06-16,17.50,20.80,17.50,19.50,231600,19.50
2014-06-13,18.20,19.20,18.00,18.00,143600,18.00
2014-06-12,18.55,19.80,18.55,19.25,566800,19.25
2014-06-11,18.50,19.90,17.90,19.00,663900,19.00
2014-06-10,18.60,19.95,17.15,19.00,306800,19.00
2014-06-09,16.40,19.40,16.40,19.00,115500,19.00
2014-06-06,19.00,19.00,18.00,18.90,15600,18.90
2014-06-05,18.20,18.80,17.40,18.50,434500,18.50
2014-06-04,17.25,18.70,17.25,18.50,609900,18.50
2014-06-03,17.10,18.95,17.10,18.25,314600,18.25
2014-06-02,16.10,18.00,16.10,17.50,402300,17.50
2014-05-30,17.10,17.60,17.00,17.00,289700,17.00
2014-05-29,17.10,17.65,16.80,17.10,292300,17.10
2014-05-28,17.15,17.65,17.15,17.45,296000,17.45
2014-05-27,17.10,17.70,17.00,17.50,640200,17.50
2014-05-26,17.35,17.50,16.05,17.05,519300,17.05
2014-05-23,16.50,17.40,15.20,17.10,591700,17.10
2014-05-22,16.50,17.40,16.50,16.90,7000,16.90
2014-05-21,17.05,17.10,16.50,17.00,658100,17.00
2014-05-20,17.10,17.35,16.90,17.10,149700,17.10
2014-05-19,15.10,18.80,15.10,17.00,852400,17.00
2014-05-16,14.00,17.50,14.00,16.50,729500,16.50
2014-05-15,17.20,17.55,15.40,17.10,598200,17.10
2014-05-14,17.10,17.15,14.20,17.05,97400,17.05
2014-05-13,17.05,17.50,16.75,17.00,515100,17.00
2014-05-12,17.40,17.60,17.00,17.05,53600,17.05
2014-05-09,17.50,17.50,17.00,17.50,18400,17.50
2014-05-08,17.50,18.50,16.80,17.20,60100,17.20
2014-05-07,16.35,17.45,16.35,17.20,34000,17.20
2014-05-06,14.50,16.90,14.40,16.25,250700,16.25
2014-05-05,15.70,15.85,14.80,15.40,240000,15.40
2014-05-02,15.00,16.00,15.00,15.80,269900,15.80
2014-05-01,16.15,16.15,16.15,16.15,000,16.15
2014-04-30,16.00,16.30,15.25,16.15,192700,16.15
2014-04-29,16.00,16.50,15.70,16.10,922800,16.10
2014-04-28,15.05,16.50,15.05,16.50,1084300,16.50
2014-04-25,16.40,16.50,15.55,16.15,1009200,16.15
2014-04-24,15.95,15.95,15.95,15.95,000,15.95
2014-04-23,15.25,16.45,15.25,15.95,428000,15.95
2014-04-22,73.05,80.00,72.50,75.10,837900,15.02
2014-04-21,77.50,77.50,72.15,73.95,26300,14.79
2014-04-18,71.65,71.65,71.65,71.65,000,14.33
2014-04-17,72.65,74.80,69.90,71.65,392000,14.33
2014-04-16,66.10,75.45,66.10,73.60,783500,14.72
2014-04-15,68.00,68.95,65.10,68.60,14600,13.72
2014-04-14,65.85,65.85,65.85,65.85,000,13.17
2014-04-11,62.40,67.45,62.00,65.85,13500,13.17
2014-04-10,65.50,67.95,63.25,64.95,15800,12.99
2014-04-09,63.00,68.50,63.00,66.00,49000,13.20
2014-04-08,64.00,64.00,64.00,64.00,000,12.80
2014-04-07,63.00,64.00,63.00,64.00,7300,12.80
2014-04-04,62.20,64.00,62.20,63.00,18000,12.60
2014-04-03,64.20,66.00,62.00,62.00,17700,12.40
2014-04-02,58.65,63.95,58.65,63.95,15500,12.79
2014-04-01,58.30,64.00,58.30,61.90,57000,12.38
2014-03-31,59.50,64.80,59.50,61.15,18900,12.23
2014-03-28,58.65,64.50,58.65,61.15,19500,12.23
2014-03-27,59.20,63.80,59.20,60.60,16800,12.12
2014-03-26,67.00,68.50,58.00,60.05,182800,12.01
2014-03-25,55.60,63.60,55.60,62.60,92400,12.52
