Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,50.00,50.00,50.00,50.00,47600,50.00
2014-12-22,47.65,47.65,47.65,47.65,7100,47.65
2014-12-19,45.40,45.40,45.40,45.40,5000,45.40
2014-12-18,43.25,43.25,43.25,43.25,7400,43.25
2014-12-17,41.20,41.20,41.20,41.20,10200,41.20
2014-12-16,37.40,39.25,35.70,39.25,53400,39.25
2014-12-15,37.30,39.30,36.70,37.40,71900,37.40
2014-12-12,40.00,41.10,38.05,38.60,23100,38.60
2014-12-11,41.00,41.80,39.55,39.90,28700,39.90
2014-12-10,38.65,42.00,38.65,40.95,68800,40.95
2014-12-09,40.80,43.50,40.65,40.65,41700,40.65
2014-12-08,45.00,45.65,42.75,42.75,25100,42.75
2014-12-05,42.50,45.00,42.10,45.00,52400,45.00
2014-12-04,42.95,44.60,42.90,42.90,52400,42.90
2014-12-03,43.75,44.00,43.75,43.75,55800,43.75
2014-12-02,44.60,44.60,44.60,44.60,1300,44.60
2014-12-01,47.00,47.30,45.50,45.50,18100,45.50
2014-11-28,46.00,47.35,45.55,46.40,107300,46.40
2014-11-27,44.65,46.45,44.65,46.45,109100,46.45
2014-11-26,45.55,45.55,45.55,45.55,7700,45.55
2014-11-25,46.45,46.45,46.45,46.45,12100,46.45
2014-11-24,47.35,47.35,47.35,47.35,3300,47.35
2014-11-21,48.30,48.30,48.30,48.30,3100,48.30
2014-11-20,49.25,49.25,49.25,49.25,6100,49.25
2014-11-19,51.20,51.90,50.25,50.25,29200,50.25
2014-11-18,53.15,53.15,51.15,51.25,85500,51.25
2014-11-17,50.15,52.15,50.15,52.15,187900,52.15
2014-11-14,51.15,51.15,51.15,51.15,22200,51.15
2014-11-13,52.15,52.15,52.15,52.15,1800,52.15
2014-11-12,53.20,53.20,53.20,53.20,7100,53.20
2014-11-11,54.25,54.25,54.25,54.25,5400,54.25
2014-11-10,55.35,55.35,55.35,55.35,8500,55.35
2014-11-07,56.45,56.45,56.45,56.45,48800,56.45
2014-11-06,57.60,57.60,57.60,57.60,000,57.60
2014-11-05,59.90,59.90,57.60,57.60,234200,57.60
2014-11-04,58.75,58.75,58.75,58.75,000,58.75
2014-11-03,58.75,58.75,58.75,58.75,50400,58.75
2014-10-31,57.60,57.60,57.60,57.60,46500,57.60
2014-10-30,54.90,54.90,54.90,54.90,43100,54.90
2014-10-29,52.30,52.30,52.30,52.30,84400,52.30
2014-10-28,49.85,49.85,46.50,49.85,283900,49.85
2014-10-27,47.50,47.50,45.95,47.50,77900,47.50
2014-10-24,43.10,43.10,43.10,43.10,000,43.10
2014-10-23,43.10,43.10,43.10,43.10,000,43.10
2014-10-22,42.00,43.45,39.40,43.10,138100,43.10
2014-10-21,41.90,41.90,38.20,41.40,153200,41.40
2014-10-20,40.00,40.25,39.10,40.20,126800,40.20
2014-10-17,37.90,38.35,35.65,38.35,116200,38.35
2014-10-16,39.00,39.95,36.15,36.55,233900,36.55
2014-10-15,38.05,38.05,38.05,38.05,000,38.05
2014-10-14,38.05,38.05,36.60,38.05,132900,38.05
2014-10-13,36.15,36.25,35.00,36.25,61300,36.25
2014-10-10,34.00,34.55,32.50,34.55,189500,34.55
2014-10-09,30.75,32.95,30.65,32.95,56800,32.95
2014-10-08,31.50,32.75,30.65,31.40,28700,31.40
2014-10-07,33.00,34.25,31.15,31.65,63500,31.65
2014-10-06,32.65,32.65,32.65,32.65,000,32.65
2014-10-03,32.65,32.65,32.65,32.65,000,32.65
2014-10-02,32.65,32.65,32.65,32.65,000,32.65
2014-10-01,33.15,33.15,31.00,32.65,73600,32.65
2014-09-30,31.40,31.60,30.95,31.60,35400,31.60
2014-09-29,28.65,30.10,28.55,30.10,55300,30.10
2014-09-26,28.60,29.45,28.10,28.67,83100,28.67
2014-09-25,30.89,30.99,29.56,29.56,42100,29.56
2014-09-24,32.70,33.40,30.38,31.11,144800,31.11
2014-09-23,33.20,33.26,31.55,31.97,100200,31.97
2014-09-22,30.84,31.69,28.70,31.69,159300,31.69
2014-09-19,30.37,31.40,30.00,30.19,114600,30.19
2014-09-18,31.10,31.10,29.51,30.37,275000,30.37
2014-09-17,28.00,29.62,26.80,29.62,204100,29.62
2014-09-16,29.37,29.52,28.01,28.21,527700,28.21
2014-09-15,28.12,28.12,26.00,28.12,824900,28.12
2014-09-12,26.79,26.79,26.79,26.79,19400,26.79
2014-09-11,25.52,25.52,25.52,25.52,17400,25.52
2014-09-10,24.31,24.31,24.31,24.31,7100,24.31
2014-09-09,23.16,23.16,23.16,23.16,42900,23.16
2014-09-08,20.26,22.06,20.26,22.06,101500,22.06
2014-09-05,21.30,21.65,20.97,21.01,135500,21.01
2014-09-04,22.11,22.90,22.07,22.07,59500,22.07
2014-09-03,25.67,25.67,23.23,23.23,422000,23.23
2014-09-02,24.45,24.45,24.45,24.45,85100,24.45
2014-09-01,23.29,23.29,23.29,23.29,12200,23.29
2014-08-29,22.19,22.19,22.19,22.19,000,22.19
2014-08-28,22.19,22.19,22.19,22.19,11100,22.19
2014-08-27,21.14,21.14,21.14,21.14,9800,21.14
2014-08-26,20.14,20.14,20.00,20.14,90600,20.14
2014-08-25,19.15,19.19,18.80,19.19,172500,19.19
2014-08-22,18.30,18.30,18.00,18.28,123700,18.28
2014-08-21,16.65,17.44,16.65,17.43,15300,17.43
2014-08-20,16.05,17.22,16.05,16.61,23600,16.61
2014-08-19,16.27,16.80,16.27,16.40,5300,16.40
2014-08-18,16.50,17.20,16.35,16.85,48100,16.85
2014-08-15,16.68,16.68,16.68,16.68,000,16.68
2014-08-14,17.00,17.90,16.61,16.68,75500,16.68
2014-08-13,19.13,19.13,17.31,17.48,259600,17.48
2014-08-12,18.22,18.22,18.22,18.22,20000,18.22
2014-08-11,16.57,16.57,16.57,16.57,12100,16.57
2014-08-08,15.07,15.07,14.74,15.07,97100,15.07
2014-08-07,14.95,14.95,13.70,13.70,400,13.70
2014-08-06,13.45,14.50,13.10,14.26,24500,14.26
2014-08-05,14.00,14.00,13.10,13.15,3500,13.15
2014-08-04,11.84,13.94,11.84,13.70,4000,13.70
2014-08-01,13.00,13.00,13.00,13.00,5400,13.00
2014-07-31,13.50,13.50,12.88,13.25,10300,13.25
2014-07-30,12.61,13.55,12.60,13.55,6200,13.55
2014-07-29,12.96,12.96,12.96,12.96,000,12.96
2014-07-28,12.76,13.65,12.76,12.96,3900,12.96
2014-07-25,13.75,13.75,13.05,13.10,17100,13.10
2014-07-24,13.02,13.70,12.87,13.69,5900,13.69
2014-07-23,12.73,13.40,12.70,13.36,7400,13.36
2014-07-22,13.04,13.70,13.04,13.05,2200,13.05
2014-07-21,13.00,13.70,13.00,13.30,3500,13.30
2014-07-18,13.00,13.20,12.73,13.10,2000,13.10
2014-07-17,13.00,13.30,12.82,13.30,2700,13.30
2014-07-16,13.01,13.44,13.01,13.44,900,13.44
2014-07-15,13.85,13.85,12.87,13.25,7000,13.25
2014-07-14,13.00,13.89,12.67,13.42,4500,13.42
2014-07-11,13.70,14.25,13.28,13.29,12100,13.29
2014-07-10,13.35,13.75,13.35,13.75,1800,13.75
2014-07-09,14.00,14.10,13.37,13.40,2300,13.40
2014-07-08,13.11,14.11,13.11,13.43,3900,13.43
2014-07-07,12.90,13.44,12.90,13.44,2900,13.44
2014-07-04,13.20,13.20,12.80,12.80,55800,12.80
2014-07-03,13.25,13.25,12.80,12.81,77400,12.81
2014-07-02,13.91,13.91,13.20,13.30,7000,13.30
2014-07-01,13.50,13.50,13.25,13.25,27600,13.25
2014-06-30,12.85,12.86,12.85,12.86,16000,12.86
2014-06-27,12.65,12.65,12.25,12.25,1300,12.25
