Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,19.95,19.95,17.60,18.50,700,18.50
2014-12-22,20.15,20.15,18.00,18.80,5400,18.80
2014-12-19,22.00,22.00,18.00,18.05,900,18.05
2014-12-18,18.00,18.75,17.00,18.50,400,18.50
2014-12-17,17.00,18.10,17.00,17.85,800,17.85
2014-12-16,18.00,18.75,16.10,17.90,700,17.90
2014-12-15,20.90,20.90,18.85,19.90,200,19.90
2014-12-12,23.05,23.05,18.05,19.15,2500,19.15
2014-12-11,17.00,21.00,17.00,19.25,4500,19.25
2014-12-10,18.85,18.85,17.00,17.50,1600,17.50
2014-12-09,18.85,18.85,17.00,17.00,2000,17.00
2014-12-08,18.45,18.45,18.45,18.45,000,18.45
2014-12-05,19.50,19.50,17.65,18.45,400,18.45
2014-12-04,20.90,20.90,16.20,18.45,1000,18.45
2014-12-03,15.50,19.00,13.75,18.40,3100,18.40
2014-12-02,17.00,19.00,15.00,16.10,2500,16.10
2014-12-01,21.80,21.80,15.20,16.70,2500,16.70
2014-11-28,18.50,18.50,16.50,18.20,500,18.20
2014-11-27,19.35,19.35,16.90,18.00,1700,18.00
2014-11-26,18.75,18.75,15.65,17.30,5200,17.30
2014-11-25,19.95,19.95,15.35,16.30,4500,16.30
2014-11-24,20.90,20.90,17.55,18.40,000,18.40
2014-11-21,17.20,18.40,16.80,17.45,4500,17.45
2014-11-20,16.05,17.00,16.00,16.05,5300,16.05
2014-11-19,17.00,21.00,16.95,16.95,2900,16.95
2014-11-18,19.00,19.00,17.00,17.60,3600,17.60
2014-11-17,20.95,20.95,16.55,17.25,8200,17.25
2014-11-14,23.00,23.00,17.10,18.70,16200,18.70
2014-11-13,20.50,20.50,18.25,19.45,4300,19.45
2014-11-12,21.15,21.15,15.30,19.25,300,19.25
2014-11-11,18.50,18.50,17.60,17.65,900,17.65
2014-11-10,20.90,20.90,17.80,18.25,8400,18.25
2014-11-07,21.35,21.35,18.00,19.10,200,19.10
2014-11-06,19.45,19.45,19.45,19.45,000,19.45
2014-11-05,21.30,21.30,19.45,19.45,000,19.45
2014-11-04,19.40,19.40,19.40,19.40,000,19.40
2014-11-03,18.50,19.75,18.50,19.40,100,19.40
2014-10-31,18.25,20.00,18.10,18.55,1400,18.55
2014-10-30,20.40,20.40,18.60,19.70,1000,19.70
2014-10-29,18.40,20.50,18.30,19.00,2700,19.00
2014-10-28,21.50,21.50,18.85,19.25,3500,19.25
2014-10-27,23.25,23.25,19.50,19.70,2800,19.70
2014-10-24,20.00,20.00,20.00,20.00,000,20.00
2014-10-23,20.00,20.00,20.00,20.00,000,20.00
2014-10-22,21.35,21.35,20.00,20.00,100,20.00
2014-10-21,20.40,20.40,18.00,19.90,10300,19.90
2014-10-20,20.95,20.95,18.55,18.60,200,18.60
2014-10-17,22.00,22.00,18.90,19.10,3800,19.10
2014-10-16,23.30,23.30,19.50,20.85,7700,20.85
2014-10-15,21.20,21.20,21.20,21.20,000,21.20
2014-10-14,22.20,22.20,19.10,21.20,5200,21.20
2014-10-13,17.60,21.05,17.50,20.20,6200,20.20
2014-10-10,18.00,20.00,17.50,19.15,1800,19.15
2014-10-09,18.00,20.50,18.00,18.65,900,18.65
2014-10-08,18.65,18.80,16.65,18.75,4500,18.75
2014-10-07,18.30,18.40,17.10,17.10,1400,17.10
2014-10-06,17.55,17.55,17.55,17.55,000,17.55
2014-10-03,17.55,17.55,17.55,17.55,000,17.55
2014-10-02,17.55,17.55,17.55,17.55,000,17.55
2014-10-01,17.20,18.05,16.65,17.55,1600,17.55
2014-09-30,18.55,18.55,17.10,17.20,4600,17.20
2014-09-29,17.11,18.20,16.60,17.70,2000,17.70
2014-09-26,17.50,17.90,17.03,17.35,10800,17.35
2014-09-25,19.40,19.40,17.82,17.91,2000,17.91
2014-09-24,19.00,19.69,18.50,18.50,2100,18.50
2014-09-23,20.67,20.67,18.81,18.95,2200,18.95
2014-09-22,18.00,19.69,18.00,19.69,9100,19.69
2014-09-19,17.41,19.14,17.41,18.76,3500,18.76
2014-09-18,18.60,19.45,18.23,18.23,18700,18.23
2014-09-17,17.60,19.22,17.50,19.18,5700,19.18
2014-09-16,19.27,20.20,18.31,18.31,15300,18.31
2014-09-15,21.00,21.00,19.26,19.27,8000,19.27
2014-09-12,20.50,20.50,18.70,20.27,3000,20.27
2014-09-11,21.45,21.45,19.41,19.56,21500,19.56
