Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,113.00,120.25,112.45,119.45,1036700,119.45
2014-12-22,112.00,113.80,111.30,112.60,270200,112.60
2014-12-19,116.80,118.10,110.05,110.95,575700,110.95
2014-12-18,105.00,117.40,105.00,113.85,600000,113.85
2014-12-17,104.45,104.80,96.50,101.85,399100,101.85
2014-12-16,108.10,109.50,103.90,104.65,232000,104.65
2014-12-15,106.45,111.00,106.00,109.75,256700,109.75
2014-12-12,109.95,109.95,106.55,107.00,148900,107.00
2014-12-11,108.00,110.10,106.10,109.25,333300,109.25
2014-12-10,105.65,109.40,104.60,108.15,357700,108.15
2014-12-09,102.90,109.00,102.75,105.65,275500,105.65
2014-12-08,106.45,106.45,102.65,103.35,142400,103.35
2014-12-05,107.50,107.50,105.30,105.85,111300,105.85
2014-12-04,107.60,108.45,105.25,107.15,163900,107.15
2014-12-03,107.10,108.50,107.00,107.65,239300,107.65
2014-12-02,105.00,106.85,104.50,106.25,268100,106.25
2014-12-01,105.35,107.40,104.70,105.10,154000,105.10
2014-11-28,103.30,105.75,103.00,105.30,209800,105.30
2014-11-27,102.00,103.50,101.50,102.60,139700,102.60
2014-11-26,101.40,104.20,101.40,102.05,135300,102.05
2014-11-25,104.95,104.95,100.00,102.25,190100,102.25
2014-11-24,106.40,106.40,104.10,104.45,202500,104.45
2014-11-21,105.15,106.75,104.70,105.30,284500,105.30
2014-11-20,105.00,105.10,102.50,103.75,171300,103.75
2014-11-19,105.25,106.00,103.50,104.20,200900,104.20
2014-11-18,105.10,107.05,103.05,104.80,358100,104.80
2014-11-17,101.60,105.00,100.25,104.70,382800,104.70
2014-11-14,99.15,102.15,98.70,101.60,293800,101.60
2014-11-13,98.90,101.95,97.00,98.65,442000,98.65
2014-11-12,100.20,100.95,97.65,98.25,275300,98.25
2014-11-11,94.10,100.30,93.60,99.85,819100,99.85
2014-11-10,94.50,94.95,92.30,93.95,140600,93.95
2014-11-07,93.90,95.30,93.50,93.85,321100,93.85
2014-11-06,92.50,92.50,92.50,92.50,000,92.50
2014-11-05,92.00,93.50,91.45,92.50,213600,92.50
2014-11-04,91.20,91.20,91.20,91.20,000,91.20
2014-11-03,91.95,92.00,87.95,91.20,400300,91.20
2014-10-31,90.90,92.00,90.10,91.35,314100,91.35
2014-10-30,89.90,90.65,88.00,90.05,249000,90.05
2014-10-29,87.50,89.70,86.90,89.40,231300,89.40
2014-10-28,86.30,87.65,85.55,87.15,107700,87.15
2014-10-27,88.30,88.50,85.60,86.25,104900,86.25
2014-10-24,86.40,86.40,86.40,86.40,000,86.40
2014-10-23,86.40,86.40,86.40,86.40,000,86.40
2014-10-22,87.50,87.85,86.05,86.40,78000,86.40
2014-10-21,86.50,87.00,85.40,86.45,160400,86.45
2014-10-20,85.55,87.50,85.55,86.30,258900,86.30
2014-10-17,82.40,83.55,82.15,83.20,149900,83.20
2014-10-16,83.60,83.80,81.35,81.75,91900,81.75
2014-10-15,83.80,83.80,83.80,83.80,000,83.80
2014-10-14,85.00,85.60,83.30,83.80,164500,83.80
2014-10-13,82.40,85.65,81.65,84.05,182400,84.05
2014-10-10,82.80,82.80,81.50,81.90,95000,81.90
2014-10-09,81.40,83.70,81.40,83.00,147700,83.00
