Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,35.60,36.75,35.60,36.15,78000,36.15
2014-12-22,36.30,36.85,35.35,35.75,105500,35.75
2014-12-19,35.35,37.00,34.90,35.25,185000,35.25
2014-12-18,35.95,36.70,34.55,35.15,69300,35.15
2014-12-17,34.95,35.50,33.20,35.05,70400,35.05
2014-12-16,37.50,38.00,34.35,34.95,138000,34.95
2014-12-15,35.50,38.95,35.35,37.70,77600,37.70
2014-12-12,38.25,39.70,36.00,36.35,62700,36.35
2014-12-11,38.90,40.00,37.55,37.85,144800,37.85
2014-12-10,36.90,39.60,36.80,38.45,144200,38.45
2014-12-09,41.40,41.40,36.15,36.75,287900,36.75
2014-12-08,34.80,42.45,34.80,42.15,1229300,42.15
2014-12-05,35.00,36.00,34.05,35.40,126000,35.40
2014-12-04,34.00,34.50,33.00,34.35,87000,34.35
2014-12-03,34.20,34.20,32.50,32.95,48300,32.95
2014-12-02,33.50,33.50,32.65,33.30,55100,33.30
2014-12-01,32.15,35.80,32.15,33.05,52600,33.05
2014-11-28,32.80,34.00,32.80,33.25,40500,33.25
2014-11-27,33.10,34.50,32.90,33.10,39800,33.10
2014-11-26,32.50,34.50,31.30,33.45,63300,33.45
2014-11-25,35.10,35.10,32.15,32.70,92800,32.70
2014-11-24,35.95,36.00,34.25,34.60,41700,34.60
2014-11-21,37.25,37.30,34.55,34.85,128000,34.85
2014-11-20,37.10,37.45,36.05,36.65,109700,36.65
2014-11-19,37.00,37.40,35.05,35.85,119000,35.85
2014-11-18,32.50,37.15,32.50,35.75,131100,35.75
2014-11-17,35.80,35.80,34.00,34.70,89400,34.70
2014-11-14,36.30,36.30,33.60,34.20,134200,34.20
2014-11-13,33.00,36.45,32.00,35.45,466600,35.45
2014-11-12,33.00,34.70,32.30,33.15,243700,33.15
2014-11-11,40.50,41.25,35.10,35.10,535600,35.10
2014-11-10,37.95,38.95,36.35,38.95,1948500,38.95
2014-11-07,35.45,35.45,35.45,35.45,119200,35.45
2014-11-06,29.55,29.55,29.55,29.55,000,29.55
2014-11-05,29.55,29.55,29.55,29.55,76700,29.55
2014-11-04,24.65,24.65,24.65,24.65,000,24.65
2014-11-03,24.65,24.65,24.65,24.65,60900,24.65
2014-10-31,21.50,21.50,20.35,20.55,67800,20.55
2014-10-30,20.45,21.25,20.45,20.95,41000,20.95
2014-10-29,21.70,21.70,20.55,20.90,16600,20.90
2014-10-28,21.30,22.25,20.80,21.05,33500,21.05
2014-10-27,22.75,22.75,21.00,21.40,14300,21.40
2014-10-24,21.25,21.25,21.25,21.25,000,21.25
2014-10-23,21.25,21.25,21.25,21.25,000,21.25
2014-10-22,22.20,23.40,20.30,21.25,53900,21.25
2014-10-21,23.00,23.05,22.60,22.65,20200,22.65
2014-10-20,23.50,23.50,21.60,22.90,24800,22.90
2014-10-17,22.95,23.15,22.60,23.10,30700,23.10
2014-10-16,23.20,23.35,22.60,22.75,39800,22.75
2014-10-15,23.05,23.05,23.05,23.05,000,23.05
2014-10-14,22.80,23.60,22.30,23.05,57600,23.05
2014-10-13,23.00,23.85,22.50,23.05,25600,23.05
2014-10-10,23.20,24.00,22.85,23.00,30500,23.00
2014-10-09,23.40,23.80,23.10,23.55,20500,23.55
2014-10-08,23.40,23.90,22.55,23.20,25000,23.20
2014-10-07,22.60,24.65,22.60,23.65,20200,23.65
