Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,134.00,134.80,130.60,133.35,1213100,133.35
2014-12-22,134.80,136.40,131.25,133.75,1615700,133.75
2014-12-19,136.25,138.70,129.50,132.00,1661000,132.00
2014-12-18,136.25,139.25,133.85,135.95,1168000,135.95
2014-12-17,139.00,140.25,132.35,133.90,8596200,133.90
2014-12-16,143.50,145.70,137.65,139.35,1186500,139.35
2014-12-15,152.00,154.10,144.30,144.90,938200,144.90
2014-12-12,156.40,158.25,150.75,152.20,1223700,152.20
2014-12-11,159.50,161.25,154.95,156.15,1505600,156.15
2014-12-10,159.00,161.65,155.65,160.00,1303500,160.00
2014-12-09,160.00,162.40,157.25,159.20,1255100,159.20
2014-12-08,161.10,166.15,158.80,160.15,1525700,160.15
2014-12-05,154.00,163.30,153.40,161.50,2478000,161.50
2014-12-04,155.00,156.60,151.85,154.25,1201600,154.25
2014-12-03,154.00,156.50,153.00,155.50,1389400,155.50
2014-12-02,153.00,155.50,151.15,153.45,1591100,153.45
2014-12-01,148.50,154.45,146.80,153.70,1337400,153.70
2014-11-28,147.25,155.00,145.00,149.35,2865100,149.35
2014-11-27,151.70,152.95,147.00,148.15,1728300,148.15
2014-11-26,140.90,154.65,136.55,151.95,3396500,151.95
2014-11-25,148.00,148.40,140.00,141.75,1071400,141.75
2014-11-24,138.95,147.80,138.95,147.10,1619800,147.10
2014-11-21,138.00,141.50,137.80,140.30,941200,140.30
2014-11-20,140.10,141.75,136.20,138.60,1514000,138.60
2014-11-19,137.90,144.40,137.85,141.00,1714500,141.00
2014-11-18,138.40,140.70,137.35,139.25,1096500,139.25
2014-11-17,142.00,142.00,137.75,139.75,1723500,139.75
2014-11-14,141.00,143.00,139.60,141.80,1371400,141.80
2014-11-13,140.00,141.40,136.50,138.90,1962100,138.90
2014-11-12,138.00,140.35,136.10,139.70,1246400,139.70
2014-11-11,136.00,138.00,132.55,136.65,1764300,136.65
2014-11-10,133.70,137.20,132.80,135.60,1426900,135.60
2014-11-07,131.85,135.00,129.80,134.55,3255300,134.55
2014-11-06,126.65,126.65,126.65,126.65,000,126.65
2014-11-05,128.50,131.40,125.60,126.65,2659800,126.65
2014-11-04,128.50,128.50,128.50,128.50,000,128.50
2014-11-03,122.45,129.40,120.20,128.50,3129700,128.50
2014-10-31,124.05,126.90,122.15,124.50,2567000,124.50
2014-10-30,119.80,127.00,119.00,123.90,6000800,123.90
2014-10-29,112.25,119.50,110.05,118.15,3860900,118.15
2014-10-28,110.00,113.30,108.80,111.30,2580300,111.30
2014-10-27,117.50,117.50,109.10,110.50,3399900,110.50
2014-10-24,120.25,120.25,120.25,120.25,000,120.25
2014-10-23,120.25,120.25,120.25,120.25,000,120.25
2014-10-22,122.00,123.00,115.90,120.25,3634600,120.25
2014-10-21,115.70,122.55,114.30,121.45,4143500,121.45
2014-10-20,112.00,116.30,108.15,115.35,4320600,115.35
2014-10-17,112.00,114.45,105.45,110.70,4864800,110.70
2014-10-16,100.10,115.85,100.00,110.35,12802300,110.35
2014-10-15,104.95,104.95,104.95,104.95,000,104.95
2014-10-14,132.05,132.05,102.70,104.95,16810600,104.95
2014-10-13,151.10,151.90,144.20,146.70,1121100,146.70
2014-10-10,150.65,155.40,149.15,152.35,1373100,152.35
2014-10-09,150.00,154.35,149.30,152.70,1055000,152.70
2014-10-08,142.00,149.80,140.15,148.80,1612000,148.80
2014-10-07,149.80,149.80,141.25,142.05,1273100,142.05
2014-10-06,150.40,150.40,150.40,150.40,000,150.40
2014-10-03,150.40,150.40,150.40,150.40,000,150.40
2014-10-02,150.40,150.40,150.40,150.40,000,150.40
2014-10-01,150.00,152.60,149.45,150.40,727600,150.40
