Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,146.30,146.30,146.30,146.30,000,146.30
2014-12-22,152.00,154.00,148.00,154.00,200,154.00
2014-12-19,151.95,151.95,151.95,151.95,000,151.95
2014-12-18,147.70,147.70,145.00,145.00,000,145.00
2014-12-17,140.70,140.75,140.70,140.70,800,140.70
2014-12-16,148.25,148.25,148.10,148.10,000,148.10
2014-12-15,155.85,156.00,155.85,155.85,000,155.85
2014-12-12,171.00,171.00,155.80,155.85,1000,155.85
2014-12-11,172.00,172.00,156.75,164.00,400,164.00
2014-12-10,166.50,166.50,155.20,165.00,500,165.00
2014-12-09,156.75,167.00,156.75,159.05,600,159.05
2014-12-08,175.00,175.00,159.30,165.00,300,165.00
2014-12-05,171.00,171.00,161.50,169.00,1200,169.00
2014-12-04,170.00,181.90,166.85,170.00,1400,170.00
2014-12-03,193.00,193.00,175.60,175.60,700,175.60
2014-12-02,184.80,184.80,184.80,184.80,000,184.80
2014-12-01,179.90,179.90,171.10,179.35,1400,179.35
2014-11-28,171.90,177.25,171.00,173.30,300,173.30
2014-11-27,186.00,186.00,173.00,173.60,1600,173.60
2014-11-26,190.00,190.00,180.00,180.15,1500,180.15
2014-11-25,174.00,191.60,173.40,188.75,8300,188.75
2014-11-24,174.00,182.55,168.90,182.50,6200,182.50
2014-11-21,168.00,174.00,165.30,173.90,6100,173.90
2014-11-20,180.00,180.00,173.50,174.00,800,174.00
2014-11-19,190.00,190.00,180.10,182.20,400,182.20
2014-11-18,192.90,192.90,180.10,185.55,300,185.55
2014-11-17,183.00,192.15,174.10,186.15,4900,186.15
2014-11-14,170.05,187.00,170.05,183.00,1300,183.00
2014-11-13,179.00,184.90,178.05,178.15,1900,178.15
2014-11-12,187.95,187.95,172.00,185.85,3300,185.85
2014-11-11,178.95,180.30,167.00,180.30,11100,180.30
2014-11-10,174.00,174.50,157.90,171.75,16600,171.75
2014-11-07,166.20,166.20,166.20,166.20,3900,166.20
2014-11-06,158.30,158.30,158.30,158.30,000,158.30
2014-11-05,158.30,158.30,143.60,158.30,7300,158.30
2014-11-04,150.80,150.80,150.80,150.80,000,150.80
2014-11-03,150.80,150.80,150.80,150.80,4300,150.80
2014-10-31,143.65,143.65,143.65,143.65,700,143.65
2014-10-30,136.85,136.85,136.85,136.85,200,136.85
2014-10-29,130.35,130.35,130.35,130.35,200,130.35
2014-10-28,118.00,126.45,118.00,124.15,1600,124.15
2014-10-27,118.00,126.00,118.00,120.50,400,120.50
2014-10-24,122.60,122.60,122.60,122.60,000,122.60
2014-10-23,122.60,122.60,122.60,122.60,000,122.60
2014-10-22,118.00,124.70,118.00,122.60,500,122.60
2014-10-21,119.00,128.60,118.05,118.25,1200,118.25
2014-10-20,134.00,134.00,124.25,124.25,1300,124.25
2014-10-17,127.80,139.00,127.80,127.80,5300,127.80
2014-10-16,148.60,148.60,134.50,134.50,7300,134.50
2014-10-15,141.55,141.55,141.55,141.55,000,141.55
2014-10-14,140.00,141.55,140.00,141.55,2400,141.55
2014-10-13,134.85,134.85,128.00,134.85,17500,134.85
2014-10-10,128.45,128.45,128.45,128.45,8600,128.45
2014-10-09,121.60,122.35,121.50,122.35,2400,122.35
2014-10-08,109.45,116.55,105.45,116.55,8000,116.55
2014-10-07,110.65,112.00,105.15,111.00,4300,111.00
2014-10-06,110.65,110.65,110.65,110.65,000,110.65
2014-10-03,110.65,110.65,110.65,110.65,000,110.65
2014-10-02,110.65,110.65,110.65,110.65,000,110.65
2014-10-01,109.90,110.75,109.00,110.65,7800,110.65
2014-09-30,109.50,109.90,105.15,108.60,11800,108.60
2014-09-29,101.00,104.70,101.00,104.70,4900,104.70
2014-09-26,97.95,99.75,97.95,99.75,4900,99.75
2014-09-25,93.50,97.00,93.00,95.00,300,95.00
2014-09-24,92.60,100.90,92.60,93.00,000,93.00
2014-09-23,104.30,104.30,97.00,97.10,1500,97.10
2014-09-22,103.00,103.00,94.05,100.85,2200,100.85
2014-09-19,93.05,98.90,93.05,98.90,800,98.90
2014-09-18,102.50,102.50,93.00,97.90,3800,97.90
2014-09-17,93.80,97.90,90.05,97.85,600,97.85
2014-09-16,104.50,104.55,94.65,94.65,3500,94.65
2014-09-15,99.60,99.60,99.00,99.60,8400,99.60
2014-09-12,94.85,94.90,93.80,94.90,10200,94.90
2014-09-11,82.10,90.40,82.10,90.40,2600,90.40
2014-09-10,83.00,86.10,82.00,86.10,12300,86.10
2014-09-09,83.00,83.00,82.00,82.00,000,82.00
2014-09-08,79.05,85.95,79.00,82.00,1100,82.00
2014-09-05,82.95,83.00,78.30,83.00,500,83.00
2014-09-04,79.90,84.00,79.80,80.50,400,80.50
2014-09-03,87.25,87.25,79.00,84.00,1100,84.00
2014-09-02,77.10,83.10,77.10,83.10,000,83.10
2014-09-01,79.10,79.15,79.00,79.15,1600,79.15
2014-08-29,75.40,75.40,75.40,75.40,000,75.40
2014-08-28,78.00,78.00,75.10,75.40,700,75.40
2014-08-27,78.00,78.00,78.00,78.00,600,76.80
2014-08-26,85.50,85.50,78.00,78.00,1900,76.80
2014-08-25,88.00,88.00,81.70,81.70,200,80.44
2014-08-22,85.95,85.95,85.95,85.95,000,84.63
2014-08-21,89.10,89.10,82.00,86.50,100,85.17
2014-08-20,81.20,85.90,81.00,85.90,3200,84.58
2014-08-19,78.00,86.00,78.00,84.80,7200,83.50
2014-08-18,77.90,85.00,77.90,82.00,2200,80.74
2014-08-15,81.00,81.00,81.00,81.00,000,79.75
2014-08-14,80.95,81.00,76.10,81.00,1500,79.75
2014-08-13,79.10,79.10,75.50,77.15,3100,75.96
2014-08-12,75.05,78.80,75.00,75.35,500,74.19
2014-08-11,75.00,78.45,75.00,75.90,1400,74.73
2014-08-08,75.00,75.00,74.90,74.90,500,73.75
2014-08-07,75.00,78.80,75.00,78.80,300,77.59
2014-08-06,73.00,78.80,73.00,78.80,100,77.59
2014-08-05,75.20,81.85,75.05,75.05,800,73.90
2014-08-04,84.00,84.00,79.00,79.00,900,77.78
2014-08-01,84.95,84.95,78.00,82.85,1200,81.58
2014-07-31,79.30,83.00,79.30,82.00,200,80.74
