Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,10.32,10.75,9.95,10.03,476000,10.03
2014-12-22,10.50,10.77,10.10,10.66,357500,10.66
2014-12-19,11.97,11.97,10.33,10.41,1046500,10.41
2014-12-18,10.09,12.04,10.09,11.88,971600,11.88
2014-12-17,10.40,10.49,9.83,10.04,335000,10.04
2014-12-16,11.00,11.08,10.35,10.47,589700,10.47
2014-12-15,11.47,11.70,11.21,11.25,667700,11.25
2014-12-12,11.20,11.69,11.05,11.14,562900,11.14
2014-12-11,11.86,12.25,11.15,11.27,738100,11.27
2014-12-10,11.50,12.25,11.20,11.63,500100,11.63
2014-12-09,11.60,12.20,11.20,11.32,1232900,11.32
2014-12-08,11.45,11.47,10.89,11.02,424500,11.02
2014-12-05,11.85,12.08,11.28,11.41,365200,11.41
2014-12-04,12.00,12.74,11.65,11.83,436400,11.83
2014-12-03,11.85,12.17,11.61,11.95,379000,11.95
2014-12-02,12.50,12.59,11.75,11.86,540400,11.86
2014-12-01,13.37,13.82,12.00,12.50,760500,12.50
2014-11-28,13.85,14.90,12.80,12.90,646500,12.90
2014-11-27,13.90,15.55,13.65,13.98,1833500,13.98
2014-11-26,11.45,13.60,11.06,13.60,615400,13.60
2014-11-25,12.10,12.10,11.05,11.34,181300,11.34
2014-11-24,12.15,12.60,12.15,12.16,64500,12.16
2014-11-21,12.25,12.75,12.25,12.40,121200,12.40
2014-11-20,12.60,12.75,12.35,12.38,87500,12.38
2014-11-19,12.55,12.95,12.50,12.57,96100,12.57
2014-11-18,12.49,13.10,12.37,12.82,153700,12.82
2014-11-17,13.00,13.09,12.30,12.56,337600,12.56
2014-11-14,13.50,13.60,13.27,13.38,107400,13.38
2014-11-13,14.00,14.00,13.27,13.42,169000,13.42
2014-11-12,13.20,14.20,13.20,13.74,196200,13.74
2014-11-11,13.00,13.75,13.00,13.54,129300,13.54
2014-11-10,13.70,13.95,13.17,13.25,144000,13.25
2014-11-07,14.35,14.35,13.41,13.57,89700,13.57
2014-11-06,13.78,13.78,13.78,13.78,000,13.78
2014-11-05,13.50,14.13,13.20,13.78,194700,13.78
2014-11-04,13.54,13.54,13.54,13.54,000,13.54
2014-11-03,13.22,13.65,12.90,13.54,143200,13.54
2014-10-31,13.55,13.70,13.10,13.55,150300,13.55
2014-10-30,13.60,14.00,13.15,13.25,135500,13.25
2014-10-29,14.40,14.40,13.50,13.80,151400,13.80
2014-10-28,14.15,14.80,13.80,14.30,234800,14.30
2014-10-27,15.15,15.25,14.05,14.15,145400,14.15
2014-10-24,14.55,14.55,14.55,14.55,000,14.55
2014-10-23,14.55,14.55,14.55,14.55,000,14.55
2014-10-22,14.55,15.45,14.30,14.55,218300,14.55
2014-10-21,16.15,16.15,14.20,14.80,1017700,14.80
2014-10-20,14.70,14.70,14.70,14.70,30500,14.70
2014-10-17,12.45,13.40,12.45,13.40,307500,13.40
2014-10-16,13.00,13.20,12.10,12.20,193600,12.20
2014-10-15,12.75,12.75,12.75,12.75,000,12.75
2014-10-14,13.55,14.10,12.65,12.75,341200,12.75
2014-10-13,14.45,14.70,13.75,13.95,203300,13.95
2014-10-10,14.70,14.85,14.10,14.35,111600,14.35
2014-10-09,14.50,15.45,14.50,14.85,249300,14.85
2014-10-08,13.25,15.10,12.95,14.85,550100,14.85
2014-10-07,14.50,14.90,13.75,13.75,287600,13.75
2014-10-06,14.45,14.45,14.45,14.45,000,14.45
2014-10-03,14.45,14.45,14.45,14.45,000,14.45
2014-10-02,14.45,14.45,14.45,14.45,000,14.45
2014-10-01,15.25,15.25,14.45,14.45,248300,14.45
2014-09-30,16.00,16.39,15.15,15.21,430900,15.21
2014-09-29,15.68,16.03,15.45,15.94,725700,15.94
2014-09-26,13.83,15.27,13.83,15.27,1300100,15.27
2014-09-25,14.55,14.55,14.55,14.55,102700,14.55
2014-09-24,15.31,15.49,15.31,15.31,175800,15.31
2014-09-23,16.11,16.40,16.11,16.11,304600,16.11
2014-09-22,17.16,17.23,16.95,16.95,116100,16.95
2014-09-19,18.92,18.92,17.84,17.84,577800,17.84
2014-09-18,19.39,19.39,18.61,18.77,612300,18.77
2014-09-17,20.28,20.28,18.36,19.48,1903300,19.48
2014-09-16,19.35,19.35,18.50,19.32,2175200,19.32
2014-09-15,18.00,18.43,17.60,18.43,1302100,18.43
2014-09-12,17.64,17.64,15.96,17.56,4965100,17.56
2014-09-11,16.80,16.80,16.80,16.80,91800,16.80
2014-09-10,16.00,16.00,16.00,16.00,163300,16.00
2014-09-09,15.24,15.24,15.24,15.24,163800,15.24
2014-09-08,14.48,14.52,14.15,14.52,578000,14.52
2014-09-05,13.83,13.83,13.83,13.83,201300,13.83
2014-09-04,13.18,13.18,12.75,13.18,819800,13.18
2014-09-03,11.99,11.99,11.99,11.99,235400,11.99
2014-09-02,10.67,10.90,10.54,10.90,333800,10.90
2014-09-01,9.04,9.91,9.04,9.91,307900,9.91
2014-08-29,9.01,9.01,9.01,9.01,000,9.01
2014-08-28,9.37,9.37,8.91,9.01,279000,9.01
2014-08-27,9.55,9.90,9.31,9.41,207700,9.41
2014-08-26,10.23,10.24,9.45,9.56,219500,9.56
2014-08-25,10.50,10.69,10.05,10.15,362200,10.15
2014-08-22,10.65,10.73,10.13,10.41,222600,10.41
2014-08-21,10.90,11.04,10.51,10.58,252100,10.58
2014-08-20,11.20,11.47,10.77,10.86,295400,10.86
2014-08-19,11.60,11.70,11.20,11.26,248200,11.26
2014-08-18,11.75,12.18,11.20,11.48,789500,11.48
2014-08-15,11.41,11.41,11.41,11.41,000,11.41
2014-08-14,11.25,11.65,11.11,11.41,243300,11.41
2014-08-13,11.90,12.00,10.92,11.06,215900,11.06
2014-08-12,11.50,12.00,11.42,11.77,259800,11.77
2014-08-11,11.41,12.15,11.22,11.53,206300,11.53
2014-08-08,11.80,11.80,11.20,11.37,144600,11.37
2014-08-07,11.75,11.92,11.45,11.70,190100,11.70
2014-08-06,12.48,12.48,11.75,11.86,344100,11.86
2014-08-05,13.47,13.47,12.40,12.53,1245500,12.53
2014-08-04,12.00,12.56,12.00,12.56,804300,12.56
2014-08-01,11.00,11.55,10.60,11.42,171000,11.42
2014-07-31,11.25,11.60,10.85,11.00,262200,11.00
2014-07-30,12.00,12.05,11.40,11.40,260200,11.40
2014-07-29,11.95,11.95,11.95,11.95,000,11.95
2014-07-28,11.95,12.20,11.85,11.95,132900,11.95
2014-07-25,12.20,12.30,11.75,11.95,185100,11.95
2014-07-24,12.10,12.35,11.80,12.25,580300,12.25
2014-07-23,13.15,13.15,12.40,12.40,478400,12.40
2014-07-22,13.80,14.00,13.05,13.05,904900,13.05
2014-07-21,13.35,13.70,13.20,13.70,620700,13.70
