Date,Open,High,Low,Close,Volume,Adj Close
2014-11-07,419.45,419.45,419.45,419.45,000,419.45
2014-11-06,419.45,419.45,419.45,419.45,000,419.45
2014-11-05,419.45,419.45,419.45,419.45,000,419.45
2014-11-04,419.45,419.45,419.45,419.45,000,419.45
2014-11-03,419.45,419.45,419.45,419.45,000,419.45
2014-10-31,419.45,419.45,419.45,419.45,000,419.45
2014-10-30,419.45,419.45,419.45,419.45,000,419.45
2014-10-29,419.45,419.45,419.45,419.45,000,419.45
2014-10-28,421.00,421.15,419.00,419.45,44400,419.45
2014-10-27,419.00,419.00,419.00,419.00,6000,419.00
2014-10-24,418.00,418.00,418.00,418.00,000,418.00
2014-10-23,418.00,418.00,418.00,418.00,000,418.00
2014-10-22,418.00,418.00,418.00,418.00,000,418.00
2014-10-21,418.00,418.00,418.00,418.00,6000,418.00
2014-10-20,416.00,416.50,416.00,416.50,3300,416.50
2014-10-17,416.00,416.00,414.50,414.50,3300,414.50
2014-10-16,415.00,415.30,414.05,414.05,21000,414.05
2014-10-15,413.50,413.50,413.50,413.50,000,413.50
2014-10-14,414.00,414.00,413.50,413.50,15000,413.50
2014-10-13,416.00,416.00,415.50,415.50,15300,415.50
2014-10-10,416.00,416.00,416.00,416.00,000,416.00
2014-10-09,418.10,419.00,416.00,416.00,19200,416.00
2014-10-08,419.00,419.00,418.00,418.00,36000,418.00
2014-10-07,421.50,421.50,419.00,419.75,24000,419.75
2014-10-06,421.00,421.00,421.00,421.00,000,421.00
2014-10-03,421.00,421.00,421.00,421.00,000,421.00
2014-10-02,421.00,421.00,421.00,421.00,000,421.00
2014-10-01,421.00,421.00,421.00,421.00,5100,421.00
2014-09-30,424.00,425.00,423.00,423.00,12000,423.00
2014-09-29,430.00,430.00,430.00,430.00,12300,430.00
2014-09-26,450.00,450.00,435.00,435.00,14400,435.00
2014-09-25,380.00,440.00,380.00,440.00,12000,440.00
2014-09-24,440.00,440.00,410.00,410.00,20100,410.00
2014-09-23,407.80,407.80,407.80,407.80,4800,407.80
2014-09-22,408.00,408.15,408.00,408.15,21000,408.15
2014-09-19,408.00,408.00,407.50,407.55,17100,407.55
2014-09-18,407.10,407.60,407.10,407.60,23100,407.60
2014-09-17,406.90,407.10,406.75,406.85,46800,406.85
2014-09-16,405.50,406.15,405.50,406.15,32100,406.15
