Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,48.60,49.40,47.85,48.50,38400,48.50
2014-12-22,47.15,49.25,47.15,48.20,56900,48.20
2014-12-19,47.70,48.30,46.90,47.05,41800,47.05
2014-12-18,46.60,47.45,46.05,47.10,47800,47.10
2014-12-17,46.30,46.70,44.60,45.00,78700,45.00
2014-12-16,48.50,48.50,45.00,45.95,74300,45.95
2014-12-15,47.50,48.90,46.90,48.15,55800,48.15
2014-12-12,49.00,50.05,47.20,47.55,62500,47.55
2014-12-11,49.50,49.85,48.70,49.05,50500,49.05
2014-12-10,49.55,50.95,49.10,49.45,68500,49.45
2014-12-09,50.20,51.15,49.25,49.80,63700,49.80
2014-12-08,51.60,52.30,50.05,50.35,67900,50.35
2014-12-05,53.35,53.80,50.70,51.40,111200,51.40
2014-12-04,52.00,54.75,51.60,53.00,246300,53.00
2014-12-03,51.45,52.25,51.00,51.80,90100,51.80
2014-12-02,49.55,51.55,49.55,51.25,118300,51.25
2014-12-01,51.80,52.30,49.00,49.15,75400,49.15
2014-11-28,52.10,53.45,51.20,51.70,56900,51.70
2014-11-27,52.80,54.05,52.35,52.60,83300,52.60
2014-11-26,50.65,53.90,49.95,52.40,160500,52.40
2014-11-25,54.20,54.25,48.70,50.30,162800,50.30
2014-11-24,53.35,54.60,52.90,53.75,115100,53.75
2014-11-21,53.80,56.35,52.50,52.95,257200,52.95
2014-11-20,56.40,57.25,52.90,54.20,200300,54.20
2014-11-19,52.00,58.30,51.85,55.70,844900,55.70
2014-11-18,53.30,53.90,52.00,52.40,148800,52.40
2014-11-17,50.80,53.10,50.80,52.50,74100,52.50
2014-11-14,51.70,52.10,50.40,50.75,92500,50.75
2014-11-13,52.90,53.70,50.60,52.05,178900,52.05
2014-11-12,50.00,53.80,49.00,52.90,320100,52.90
2014-11-11,49.50,50.40,48.40,48.50,79500,48.50
2014-11-10,50.75,51.45,48.75,49.15,54100,49.15
2014-11-07,51.05,51.75,49.50,50.75,75300,50.75
2014-11-06,51.60,51.60,51.60,51.60,000,51.60
2014-11-05,53.70,54.40,51.10,51.60,215900,51.60
2014-11-04,53.45,53.45,53.45,53.45,000,53.45
2014-11-03,54.00,54.70,53.15,53.45,76800,53.45
2014-10-31,52.95,55.00,52.50,53.55,190600,53.55
2014-10-30,51.75,52.95,51.55,52.05,65900,52.05
