Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,15.00,15.00,14.46,14.46,100,14.46
2014-12-22,17.00,17.00,16.02,16.02,400,16.02
2014-12-19,18.99,18.99,15.51,16.74,1400,16.74
2014-12-18,13.61,17.99,13.61,17.88,1500,17.88
2014-12-17,15.50,15.50,15.50,15.50,800,15.50
2014-12-16,15.95,15.95,15.95,15.95,400,15.95
2014-12-15,16.25,16.25,16.25,16.25,200,16.25
2014-12-12,17.55,17.60,15.75,16.55,800,16.55
2014-12-11,18.50,18.60,16.30,17.60,3700,17.60
2014-12-10,13.62,18.60,13.62,18.60,3200,18.60
2014-12-09,15.49,15.50,15.49,15.50,1000,15.50
2014-12-08,13.71,13.71,13.71,13.71,000,13.71
2014-12-05,14.50,15.20,13.71,13.71,1900,13.71
2014-12-04,15.90,16.25,14.25,14.34,11400,14.34
2014-12-03,14.60,15.00,14.60,15.00,600,15.00
2014-12-02,13.25,14.88,12.01,14.41,9000,14.41
2014-12-01,14.00,14.50,13.20,14.47,7100,14.47
2014-11-28,15.00,15.06,14.02,14.34,2100,14.34
2014-11-27,15.00,15.50,14.70,15.13,7200,15.13
2014-11-26,14.50,15.85,14.00,14.99,11500,14.99
2014-11-25,14.30,14.98,14.00,14.01,1700,14.01
2014-11-24,15.65,15.79,14.10,14.97,10100,14.97
2014-11-21,16.40,16.40,15.64,15.64,900,15.64
2014-11-20,14.70,17.45,14.70,16.29,2900,16.29
2014-11-19,18.00,18.00,15.56,15.61,3900,15.61
2014-11-18,15.00,17.00,15.00,16.00,4200,16.00
2014-11-17,12.54,15.00,12.54,15.00,3600,15.00
2014-11-14,15.49,15.99,15.00,15.01,2700,15.01
2014-11-13,15.00,16.20,15.00,15.00,4200,15.00
2014-11-12,15.00,15.39,15.00,15.39,500,15.39
2014-11-11,16.24,16.50,14.80,16.20,4800,16.20
2014-11-10,15.90,15.90,15.00,15.10,3900,15.10
2014-11-07,13.80,15.98,13.80,15.75,2700,15.75
2014-11-06,15.00,15.00,15.00,15.00,000,15.00
2014-11-05,14.01,15.98,14.00,15.00,3000,15.00
2014-11-04,14.85,14.85,14.85,14.85,000,14.85
2014-11-03,14.70,14.85,14.70,14.85,800,14.85
2014-10-31,13.50,13.55,13.50,13.55,1200,13.55
2014-10-30,13.84,13.84,13.84,13.84,2200,13.84
2014-10-29,12.60,13.45,12.50,12.59,1100,12.59
2014-10-28,12.99,12.99,12.99,12.99,200,12.99
2014-10-27,12.01,12.01,12.01,12.01,200,12.01
2014-10-24,13.50,13.50,13.50,13.50,000,13.50
2014-10-23,13.50,13.50,13.50,13.50,000,13.50
2014-10-22,13.50,13.50,13.50,13.50,000,13.50
2014-10-21,12.65,15.23,12.65,13.50,1500,13.50
2014-10-20,12.95,14.00,12.95,14.00,1500,14.00
2014-10-17,14.05,14.05,14.05,14.05,000,14.05
2014-10-16,14.05,14.05,14.05,14.05,000,14.05
2014-10-15,14.05,14.05,14.05,14.05,000,14.05
2014-10-14,14.15,14.15,14.05,14.05,4200,14.05
2014-10-13,13.55,14.85,13.55,14.79,500,14.79
2014-10-10,13.50,13.58,13.50,13.50,2700,13.50
