Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,210.00,210.00,198.45,198.45,28200,198.45
2014-12-22,210.50,214.00,208.00,208.85,68700,208.85
2014-12-19,206.00,216.00,206.00,210.50,117500,210.50
2014-12-18,191.05,210.30,190.30,205.75,33000,205.75
2014-12-17,207.95,207.95,200.30,200.30,51300,200.30
2014-12-16,230.00,230.00,210.80,210.80,7400,210.80
2014-12-15,225.15,232.40,221.60,221.85,16500,221.85
2014-12-12,240.00,242.00,230.50,233.25,9000,233.25
2014-12-11,248.00,248.00,235.00,238.25,7700,238.25
2014-12-10,230.00,242.50,226.00,242.20,93400,242.20
2014-12-09,242.80,242.90,230.10,233.55,21300,233.55
2014-12-08,230.00,241.00,225.55,233.40,125800,233.40
2014-12-05,218.25,230.80,218.00,229.95,172600,229.95
2014-12-04,227.90,228.95,215.00,221.70,128400,221.70
2014-12-03,209.00,219.45,207.00,219.05,115800,219.05
2014-12-02,210.55,214.00,208.05,209.00,2500,209.00
2014-12-01,204.00,221.00,204.00,212.70,76500,212.70
2014-11-28,198.00,212.30,198.00,210.85,289000,210.85
2014-11-27,188.25,198.00,181.10,193.00,14200,193.00
2014-11-26,185.25,192.95,172.20,180.55,3100,180.55
2014-11-25,198.05,204.80,182.00,185.00,108700,185.00
2014-11-24,199.90,211.90,195.10,201.90,146800,201.90
2014-11-21,180.00,197.00,170.00,194.25,100100,194.25
2014-11-20,190.00,194.90,165.80,185.30,26200,185.30
2014-11-19,178.00,185.00,173.00,184.20,47700,184.20
2014-11-18,163.00,178.00,156.00,171.90,62500,171.90
2014-11-17,165.05,169.10,158.00,162.00,7400,162.00
2014-11-14,159.00,167.10,159.00,161.35,6200,161.35
2014-11-13,157.00,169.10,155.80,166.40,32000,166.40
2014-11-12,165.50,166.70,149.00,153.75,11900,153.75
2014-11-11,142.00,156.20,140.00,156.20,118500,156.20
2014-11-10,140.00,143.00,133.35,142.00,60600,142.00
2014-11-07,136.80,139.50,127.50,138.65,58400,138.65
2014-11-06,133.15,133.15,133.15,133.15,000,133.15
2014-11-05,131.95,133.15,125.00,133.15,78900,133.15
2014-11-04,126.85,126.85,126.85,126.85,000,126.85
2014-11-03,126.00,134.00,122.95,126.85,3900,126.85
2014-10-31,127.00,131.15,125.15,129.40,8600,129.40
2014-10-30,124.00,126.05,124.00,124.95,10400,124.95
2014-10-29,118.00,120.05,114.00,120.05,9100,120.05
2014-10-28,120.00,126.00,114.00,114.35,8500,114.35
2014-10-27,120.00,120.00,120.00,120.00,000,120.00
2014-10-24,120.40,120.40,120.40,120.40,000,120.40
2014-10-23,120.40,120.40,120.40,120.40,000,120.40
2014-10-22,111.10,120.50,111.00,120.40,8200,120.40
2014-10-21,112.00,116.00,105.60,114.80,47000,114.80
2014-10-20,111.10,111.45,105.00,111.15,19000,111.15
2014-10-17,107.00,111.00,105.20,106.15,7600,106.15
2014-10-16,115.00,115.00,108.60,108.60,39600,108.60
2014-10-15,114.30,114.30,114.30,114.30,000,114.30
2014-10-14,106.65,115.00,106.00,114.30,16200,114.30
2014-10-13,118.75,118.75,109.00,109.90,2000,109.90
2014-10-10,113.15,113.15,113.15,113.15,2900,113.15
2014-10-09,107.60,107.80,107.60,107.80,2100,107.80
2014-10-08,96.00,104.00,94.25,102.70,5200,102.70
2014-10-07,99.00,107.00,98.90,99.10,1600,99.10
2014-10-06,104.10,104.10,104.10,104.10,000,104.10
2014-10-03,104.10,104.10,104.10,104.10,000,104.10
2014-10-02,104.10,104.10,104.10,104.10,000,104.10
2014-10-01,105.00,105.00,104.10,104.10,2800,104.10
2014-09-30,113.00,113.00,109.55,109.55,800,109.55
2014-09-29,114.00,116.50,114.00,115.30,1100,115.30
2014-09-26,115.00,118.90,114.10,114.10,19400,114.10
2014-09-25,122.65,124.00,120.10,120.10,2400,120.10
2014-09-24,129.00,129.80,126.35,126.40,12500,126.40
2014-09-23,131.05,141.75,128.60,133.00,12500,133.00
2014-09-22,137.95,138.00,130.00,135.00,12500,135.00
2014-09-19,134.00,140.90,133.00,133.85,16500,133.85
2014-09-18,135.00,139.00,135.00,135.60,4700,135.60
2014-09-17,135.65,142.00,133.80,136.25,2900,135.75
2014-09-16,149.90,151.00,138.65,138.75,8200,138.24
2014-09-15,136.05,147.35,136.00,145.90,20700,145.36
2014-09-12,138.00,143.00,138.00,140.35,3900,139.83
2014-09-11,136.10,140.65,129.60,140.00,9900,139.49
2014-09-10,125.30,138.35,125.25,135.95,39400,135.45
2014-09-09,132.00,132.00,131.80,131.80,17000,131.32
2014-09-08,140.50,145.85,138.70,138.70,8700,138.19
2014-09-05,149.00,149.00,142.25,145.95,25400,145.41
2014-09-04,144.50,149.00,136.15,143.95,73000,143.42
2014-09-03,143.00,143.35,139.00,143.30,83000,142.77
2014-09-02,134.90,136.80,132.20,136.60,58000,136.10
2014-09-01,127.00,131.00,123.10,130.65,57900,130.17
2014-08-29,124.80,124.80,124.80,124.80,000,124.34
2014-08-28,120.00,125.25,120.00,124.80,20900,124.34
2014-08-27,116.95,119.70,113.25,119.30,148200,118.86
2014-08-26,116.05,116.05,109.00,114.15,84300,113.73
2014-08-25,105.30,110.55,101.00,110.55,28100,110.14
2014-08-22,99.10,105.35,99.10,105.30,97700,104.91
2014-08-21,100.35,100.35,93.50,100.35,360600,99.98
2014-08-20,94.90,95.60,93.05,95.60,32700,95.25
2014-08-19,90.90,91.05,89.10,91.05,67800,90.72
2014-08-18,85.45,86.75,82.00,86.75,19200,86.43
2014-08-15,82.65,82.65,82.65,82.65,000,82.35
2014-08-14,79.15,86.00,79.15,82.65,44000,82.35
2014-08-13,84.00,86.00,82.00,82.75,28200,82.45
2014-08-12,81.90,85.35,79.60,83.40,8800,83.09
2014-08-11,80.50,82.45,78.55,81.30,13500,81.00
2014-08-08,87.05,87.05,79.15,80.75,17800,80.45
2014-08-07,81.80,82.95,78.50,82.95,55600,82.65
2014-08-06,78.50,79.00,73.05,79.00,70600,78.71
2014-08-05,74.85,75.25,72.50,75.25,12200,74.97
2014-08-04,69.50,71.70,69.50,71.70,15200,71.44
2014-08-01,64.45,70.30,64.00,68.30,32900,68.05
2014-07-31,68.00,69.00,62.70,67.00,6700,66.75
2014-07-30,65.85,66.00,65.80,65.80,1200,65.56
2014-07-29,69.25,69.25,69.25,69.25,000,69.00
2014-07-28,73.10,73.10,69.00,69.25,2100,69.00
2014-07-25,73.85,73.85,70.00,72.60,400,72.33
2014-07-24,73.40,74.15,69.00,71.00,6300,70.74
2014-07-23,65.60,71.40,65.15,65.25,5800,65.01
2014-07-22,62.50,68.50,62.30,68.10,12400,67.85
2014-07-21,63.05,66.10,63.05,65.25,2100,65.01
2014-07-18,62.50,66.20,62.50,65.35,800,65.11
2014-07-17,62.65,65.50,62.35,65.05,6500,64.81
2014-07-16,64.60,64.75,62.25,64.75,800,64.51
2014-07-15,62.40,67.00,62.30,64.00,1000,63.77
2014-07-14,60.60,65.85,59.95,64.70,10400,64.46
2014-07-11,64.00,64.00,62.00,62.75,2800,62.52
2014-07-10,63.55,66.65,62.10,64.70,9200,64.46
2014-07-09,63.55,65.00,63.50,65.00,4500,64.76
2014-07-08,65.75,68.50,65.00,65.10,1200,64.86
2014-07-07,66.20,69.30,66.00,68.15,8300,67.90
2014-07-04,69.00,70.00,66.50,68.45,9100,68.20
2014-07-03,71.00,71.00,68.50,69.25,3500,69.00
2014-07-02,71.00,71.10,67.15,70.50,1800,70.24
2014-07-01,71.70,71.70,68.00,68.80,1700,68.55
2014-06-30,71.25,71.25,66.65,69.00,11000,68.75
2014-06-27,69.00,69.25,66.25,68.75,14100,68.50
2014-06-26,65.20,66.95,62.00,66.05,12700,65.81
2014-06-25,64.00,67.00,61.55,63.80,5200,63.57
2014-06-24,65.00,67.00,62.70,64.70,24700,64.46
2014-06-23,66.50,69.80,66.00,66.00,1700,65.76
2014-06-20,66.00,70.00,64.05,68.45,12900,68.20
2014-06-19,70.00,70.00,66.25,67.00,1300,66.75
2014-06-18,73.25,73.45,69.30,69.50,23300,69.24
2014-06-17,70.40,72.95,70.40,72.90,5000,72.63
2014-06-16,68.00,72.50,65.90,71.75,31600,71.49
2014-06-13,72.05,74.50,69.35,69.35,14200,69.10
2014-06-12,71.55,75.00,71.40,72.95,20600,72.68
2014-06-11,74.30,77.55,74.05,74.45,26300,74.18
2014-06-10,75.25,77.50,72.10,77.00,13600,76.72
2014-06-09,75.85,75.85,73.20,75.85,32500,75.57
2014-06-06,71.00,73.70,68.00,72.25,16600,71.98
2014-06-05,65.75,70.65,65.75,70.60,60400,70.34
2014-06-04,69.90,69.90,66.35,67.30,13200,67.05
2014-06-03,70.00,71.00,66.30,69.55,26800,69.29
2014-06-02,69.50,69.75,64.00,69.75,24100,69.49
2014-05-30,58.25,63.45,57.00,63.45,82800,63.22
2014-05-29,54.30,58.35,53.00,57.70,47300,57.49
2014-05-28,47.80,55.00,47.80,54.75,127500,54.55
2014-05-27,48.65,51.70,46.00,50.00,85500,49.82
2014-05-26,52.00,55.75,48.45,50.05,59900,49.87
2014-05-23,52.50,56.90,49.00,53.60,61100,53.40
2014-05-22,49.75,53.00,47.00,52.70,44700,52.51
2014-05-21,41.35,47.55,40.00,47.55,212500,47.38
2014-05-20,39.05,41.40,35.50,39.65,19300,39.50
2014-05-19,38.40,41.00,37.80,40.05,15700,39.90
2014-05-16,36.05,39.00,35.50,38.25,9500,38.11
2014-05-15,35.55,37.40,35.55,36.55,9900,36.42
2014-05-14,36.40,37.50,34.70,36.85,4900,36.71
2014-05-13,36.80,37.00,33.60,35.90,22900,35.77
2014-05-12,34.45,36.50,34.30,35.00,4700,34.87
2014-05-09,34.55,36.00,33.80,35.85,3700,35.72
2014-05-08,34.70,35.00,33.70,34.50,2100,34.37
2014-05-07,34.95,35.00,34.05,34.75,2000,34.62
2014-05-06,34.00,37.35,34.00,34.15,2400,34.02
2014-05-05,34.00,35.00,33.70,34.50,2700,34.37
2014-05-02,32.00,35.00,32.00,33.35,3600,33.23
2014-05-01,33.50,33.50,33.50,33.50,000,33.38
2014-04-30,34.50,36.70,33.50,33.50,4800,33.38
2014-04-29,34.20,34.95,34.20,34.85,3600,34.72
2014-04-28,36.20,36.20,34.30,35.20,2900,35.07
2014-04-25,37.30,37.80,35.50,35.90,6100,35.77
2014-04-24,38.10,38.10,38.10,38.10,000,37.96
2014-04-23,39.50,39.50,36.40,38.10,8000,37.96
2014-04-22,38.00,40.00,36.40,38.65,17200,38.51
2014-04-21,33.25,37.50,33.25,37.20,38500,37.06
2014-04-18,33.25,33.25,33.25,33.25,000,33.13
2014-04-17,30.50,35.60,30.50,33.25,51500,33.13
2014-04-16,29.35,32.00,28.55,31.00,27900,30.89
2014-04-15,29.00,29.10,28.05,28.55,2200,28.45
2014-04-14,29.25,29.25,29.25,29.25,000,29.14
2014-04-11,29.50,29.75,29.05,29.25,2000,29.14
2014-04-10,29.50,30.50,29.50,29.85,2300,29.74
2014-04-09,29.85,30.00,27.50,29.50,10500,29.39
