Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,27.95,28.05,25.50,26.05,14000,26.05
2014-12-22,25.00,26.75,25.00,26.75,9300,26.75
2014-12-19,26.25,26.25,25.00,25.50,13800,25.50
2014-12-18,25.60,26.60,24.60,25.00,39100,25.00
2014-12-17,24.20,26.70,24.20,25.60,33900,25.60
2014-12-16,25.45,25.45,25.45,25.45,1200,25.45
2014-12-15,29.00,29.00,26.75,26.75,5200,26.75
2014-12-12,28.20,30.35,28.15,28.15,12600,28.15
2014-12-11,29.60,31.25,29.60,29.60,65900,29.60
2014-12-10,34.00,34.00,31.15,31.15,129700,31.15
2014-12-09,32.75,32.75,32.75,32.75,8900,32.75
2014-12-08,31.20,31.20,31.20,31.20,7900,31.20
2014-12-05,29.75,29.75,29.75,29.75,13900,29.75
2014-12-04,28.35,28.35,28.35,28.35,5200,28.35
2014-12-03,27.00,27.00,27.00,27.00,1200,27.00
2014-12-02,25.75,25.75,25.75,25.75,1700,25.75
2014-12-01,24.55,24.55,24.55,24.55,3200,24.55
2014-11-28,23.40,23.40,23.40,23.40,19500,23.40
2014-11-27,22.30,22.30,22.25,22.30,4300,22.30
2014-11-26,21.20,21.25,21.20,21.25,13600,21.25
2014-11-25,19.20,20.30,19.20,20.25,45200,20.25
2014-11-24,19.00,20.50,19.00,19.35,45600,19.35
2014-11-21,19.65,21.15,19.65,19.65,49000,19.65
2014-11-20,20.65,20.65,20.65,20.65,2300,20.65
2014-11-19,21.70,22.60,21.70,21.70,115400,21.70
2014-11-18,22.80,22.80,22.80,22.80,10700,22.80
2014-11-17,25.20,25.95,23.95,23.95,91400,23.95
2014-11-14,24.60,25.20,23.70,25.20,96300,25.20
2014-11-13,24.50,24.50,23.00,24.00,413800,24.00
2014-11-12,21.30,22.30,21.30,22.30,122700,22.30
2014-11-11,20.55,20.55,18.85,20.30,198200,20.30
2014-11-10,17.35,18.70,17.35,18.70,8000,18.70
2014-11-07,17.85,17.95,16.75,17.85,12100,17.85
2014-11-06,17.10,17.10,17.10,17.10,000,17.10
2014-11-05,15.85,17.45,15.85,17.10,90900,17.10
2014-11-04,16.65,16.65,16.65,16.65,000,16.65
2014-11-03,18.20,18.20,16.50,16.65,18800,16.65
2014-10-31,17.40,17.40,16.50,17.35,22100,17.35
2014-10-30,16.60,16.60,16.55,16.60,123400,16.60
2014-10-29,16.15,16.20,15.20,15.85,11600,15.85
2014-10-28,15.85,15.85,15.00,15.45,31400,15.45
2014-10-27,16.45,16.50,15.05,15.10,18100,15.10
2014-10-24,15.45,15.45,15.45,15.45,000,15.45
2014-10-23,15.45,15.45,15.45,15.45,000,15.45
2014-10-22,15.50,15.50,15.25,15.45,5300,15.45
2014-10-21,15.15,15.65,14.75,14.85,68300,14.85
2014-10-20,17.10,17.10,15.50,15.50,10200,15.50
2014-10-17,16.35,16.50,16.30,16.30,2500,16.30
2014-10-16,17.30,17.30,16.15,16.15,19100,16.15
2014-10-15,16.95,16.95,16.95,16.95,000,16.95
2014-10-14,17.25,17.25,16.45,16.95,10200,16.95
2014-10-13,16.80,16.80,16.00,16.45,15400,16.45
2014-10-10,16.00,16.15,14.70,16.10,11700,16.10
2014-10-09,16.65,16.65,15.30,15.40,8800,15.40
2014-10-08,15.05,16.35,15.00,15.90,3300,15.90
2014-10-07,16.30,16.30,15.35,15.70,3200,15.70
2014-10-06,15.85,15.85,15.85,15.85,000,15.85
2014-10-03,15.85,15.85,15.85,15.85,000,15.85
2014-10-02,15.85,15.85,15.85,15.85,000,15.85
2014-10-01,17.25,17.25,15.80,15.85,11300,15.85
2014-09-30,17.85,17.85,16.60,16.60,38300,16.60
2014-09-29,17.75,17.95,17.20,17.45,31600,17.45
2014-09-26,17.40,17.40,15.80,17.15,186200,17.15
2014-09-25,16.60,16.60,16.60,16.60,10300,16.60
2014-09-24,15.85,15.85,15.85,15.85,7100,15.85
2014-09-23,15.10,15.10,15.10,15.10,220400,15.10
2014-09-22,14.25,14.40,13.80,14.40,181600,14.40
2014-09-19,15.05,15.05,13.70,13.75,63300,13.75
2014-09-18,14.90,15.60,14.20,14.40,62300,14.40
2014-09-17,14.55,16.00,14.55,14.90,19800,14.90
2014-09-16,16.50,16.50,15.00,15.30,40500,15.30
2014-09-15,15.75,15.75,15.75,15.75,2700,15.75
2014-09-12,15.00,15.00,15.00,15.00,1400,15.00
2014-09-11,14.30,14.30,14.30,14.30,1700,14.30
2014-09-10,13.60,13.65,13.25,13.65,41900,13.65
2014-09-09,13.05,13.20,12.30,13.00,144600,13.00
2014-09-08,13.40,13.55,12.35,12.60,86200,12.60
2014-09-05,13.90,14.00,12.70,12.95,57200,12.95
2014-09-04,13.50,14.30,13.00,13.35,24300,13.35
2014-09-03,12.70,13.65,12.50,13.65,13000,13.65
2014-09-02,13.95,13.95,12.65,13.00,16400,13.00
