Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,373.00,373.00,373.00,373.00,000,373.00
2014-12-22,399.00,402.00,383.60,387.75,300,387.75
2014-12-19,394.00,415.00,394.00,401.65,2300,401.65
2014-12-18,358.70,384.60,358.70,378.80,400,378.80
2014-12-17,335.10,349.00,335.10,342.00,000,342.00
2014-12-16,375.00,375.00,341.55,349.65,800,349.65
2014-12-15,390.00,395.00,365.05,379.80,800,379.80
2014-12-12,371.90,396.00,371.90,383.70,2800,383.70
2014-12-11,385.00,390.50,360.05,366.00,300,366.00
2014-12-10,378.95,378.95,350.05,369.65,500,369.65
2014-12-09,375.00,380.00,341.25,349.65,2500,349.65
2014-12-08,374.00,385.00,353.15,382.00,5300,382.00
2014-12-05,350.00,369.00,350.00,363.80,2200,363.80
2014-12-04,327.00,365.00,327.00,350.90,2400,350.90
2014-12-03,301.65,328.50,301.65,316.50,1200,316.50
2014-12-02,300.05,315.00,300.00,300.40,000,300.40
2014-12-01,306.00,318.00,300.10,300.80,100,300.80
2014-11-28,307.35,318.00,305.10,306.85,400,306.85
2014-11-27,307.05,323.00,307.05,320.00,200,320.00
2014-11-26,301.05,320.00,301.00,318.50,000,318.50
2014-11-25,342.00,342.00,304.10,310.05,800,310.05
2014-11-24,323.70,342.50,316.90,326.70,1300,326.70
2014-11-21,306.00,309.90,300.15,309.90,100,309.90
2014-11-20,301.05,323.00,301.05,310.05,200,310.05
2014-11-19,311.00,325.00,301.05,307.80,800,307.80
2014-11-18,314.00,323.95,310.00,312.00,600,312.00
2014-11-17,330.00,335.00,312.00,316.10,800,316.10
2014-11-14,300.00,328.90,300.00,318.55,400,318.55
2014-11-13,310.00,310.00,310.00,310.00,000,310.00
2014-11-12,320.00,321.00,300.00,310.00,700,310.00
2014-11-11,315.00,324.95,315.00,321.85,200,321.85
2014-11-10,325.00,325.00,310.00,310.00,100,310.00
2014-11-07,318.00,321.00,305.00,313.20,200,313.20
2014-11-06,317.25,317.25,317.25,317.25,000,317.25
2014-11-05,305.05,326.00,300.00,317.25,800,317.25
2014-11-04,317.90,317.90,317.90,317.90,000,317.90
2014-11-03,316.10,320.00,315.00,317.90,1300,317.90
2014-10-31,328.00,330.00,317.00,325.00,200,325.00
2014-10-30,316.00,325.00,316.00,319.20,000,319.20
2014-10-29,327.00,327.00,312.00,316.10,000,316.10
2014-10-28,311.10,324.95,311.00,315.90,100,315.90
2014-10-27,316.00,326.00,313.10,317.05,100,317.05
2014-10-24,313.05,313.05,313.05,313.05,000,313.05
2014-10-23,313.05,313.05,313.05,313.05,000,313.05
2014-10-22,315.00,315.00,312.15,313.05,100,313.05
2014-10-21,320.00,325.75,311.60,325.75,400,325.75
2014-10-20,322.00,330.00,307.00,311.15,700,311.15
2014-10-17,326.00,326.00,308.00,321.90,800,321.90
2014-10-16,325.10,346.95,325.00,325.50,300,325.50
2014-10-15,336.00,336.00,336.00,336.00,000,336.00
2014-10-14,320.00,341.00,320.00,336.00,300,336.00
