Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,86.05,89.50,86.00,89.50,100,89.50
2014-12-22,90.00,90.00,89.00,89.10,1400,89.10
2014-12-19,89.00,89.00,84.35,84.80,1100,84.80
2014-12-18,83.10,90.00,78.55,88.50,2000,88.50
2014-12-17,87.30,87.30,87.30,87.30,000,87.30
2014-12-16,90.05,90.05,82.00,87.30,1100,87.30
2014-12-15,90.00,90.00,90.00,90.00,100,90.00
2014-12-12,87.00,92.00,82.05,92.00,2400,92.00
2014-12-11,92.00,92.00,85.50,90.65,1200,90.65
2014-12-10,94.40,94.50,90.00,90.00,2400,90.00
2014-12-09,95.00,100.00,94.50,95.10,1200,95.10
2014-12-08,88.00,95.00,88.00,90.75,500,90.75
2014-12-05,87.00,92.90,86.60,88.50,800,88.50
2014-12-04,85.00,88.80,85.00,85.05,300,85.05
2014-12-03,85.00,87.00,83.00,86.20,700,86.20
2014-12-02,85.90,85.95,80.90,80.90,600,80.90
2014-12-01,73.05,86.00,73.05,85.90,500,85.90
2014-11-28,84.95,84.95,77.40,81.00,900,81.00
2014-11-27,81.00,81.00,81.00,81.00,100,81.00
2014-11-26,82.00,82.00,72.35,79.05,1400,79.05
2014-11-25,81.05,81.05,78.00,80.00,900,80.00
2014-11-24,89.35,89.50,85.00,85.00,900,85.00
2014-11-21,84.00,84.50,84.00,84.50,000,84.50
2014-11-20,82.00,83.00,80.00,83.00,600,83.00
2014-11-19,89.95,89.95,80.70,82.90,2000,82.90
2014-11-18,87.00,87.00,85.00,86.95,000,86.95
2014-11-17,85.00,86.00,82.00,85.00,1000,85.00
2014-11-14,86.70,88.75,81.75,85.30,6100,85.30
2014-11-13,92.50,92.50,78.25,90.80,6000,90.80
2014-11-12,92.00,92.00,80.10,84.10,1000,84.10
2014-11-11,86.60,86.60,86.00,86.45,5400,86.45
2014-11-10,78.75,78.75,78.75,78.75,400,78.75
2014-11-07,80.40,80.40,75.00,75.00,200,75.00
2014-11-06,76.65,76.65,76.65,76.65,000,76.65
2014-11-05,76.60,76.65,72.00,76.65,100,76.65
2014-11-04,73.00,73.00,73.00,73.00,000,73.00
2014-11-03,70.60,74.45,70.50,73.00,1000,73.00
2014-10-31,74.25,74.25,72.00,74.20,600,74.20
2014-10-30,83.50,83.50,75.75,75.75,800,75.75
2014-10-29,76.00,80.00,75.75,79.70,300,79.70
2014-10-28,78.20,84.95,78.00,79.70,800,79.70
2014-10-27,82.10,82.10,82.10,82.10,000,82.10
2014-10-24,85.00,85.00,85.00,85.00,000,85.00
2014-10-23,85.00,85.00,85.00,85.00,000,85.00
2014-10-22,85.00,85.00,85.00,85.00,000,85.00
2014-10-21,81.25,83.50,81.25,83.50,100,83.50
2014-10-20,81.00,81.00,81.00,81.00,000,81.00
2014-10-17,78.85,81.00,78.85,81.00,200,81.00
2014-10-16,83.90,83.90,76.15,83.00,200,83.00
2014-10-15,80.00,80.00,80.00,80.00,000,80.00
2014-10-14,83.60,83.60,80.00,80.00,1300,80.00
2014-10-13,80.50,81.00,78.80,79.80,2500,79.80
2014-10-10,102.00,102.00,83.70,87.55,000,87.55
2014-10-09,102.00,102.00,84.10,93.00,200,93.00
2014-10-08,96.00,96.00,93.20,93.20,100,93.20
2014-10-07,103.50,103.50,103.50,103.50,000,103.50
2014-10-06,103.50,103.50,103.50,103.50,000,103.50
2014-10-03,103.50,103.50,103.50,103.50,000,103.50
2014-10-02,103.50,103.50,103.50,103.50,000,103.50
2014-10-01,103.50,103.50,103.50,103.50,000,103.50
2014-09-30,103.50,103.50,103.50,103.50,000,103.50
2014-09-29,103.50,103.50,103.50,103.50,000,103.50
2014-09-26,102.00,105.00,102.00,103.50,000,103.50
2014-09-25,100.00,100.00,100.00,100.00,000,100.00
2014-09-24,101.00,101.00,100.00,100.00,5000,100.00
2014-09-23,107.00,107.00,96.90,101.80,000,101.80
2014-09-22,102.00,102.00,102.00,102.00,000,102.00
2014-09-19,103.00,103.00,103.00,103.00,000,103.00
2014-09-18,103.00,103.00,103.00,103.00,000,103.00
2014-09-17,103.00,103.00,103.00,103.00,000,103.00
2014-09-16,98.50,98.50,98.50,98.50,000,98.50
2014-09-15,98.50,98.50,98.50,98.50,000,98.50
2014-09-12,92.05,94.00,88.00,94.00,400,94.00
2014-09-11,94.90,94.90,92.00,92.05,200,92.05
2014-09-10,99.75,99.75,91.00,96.80,200,96.80
2014-09-09,101.00,103.00,95.00,95.00,600,95.00
2014-09-08,95.00,99.90,95.00,99.90,100,99.90
2014-09-05,94.75,99.00,94.75,99.00,100,99.00
2014-09-04,94.80,94.80,94.80,94.80,000,94.80
2014-09-03,96.95,98.50,90.05,94.80,000,94.80
2014-09-02,102.00,102.40,92.80,93.90,800,93.90
2014-09-01,96.40,103.95,96.40,97.55,200,97.55
2014-08-29,99.00,99.00,99.00,99.00,000,99.00
2014-08-28,98.00,99.00,98.00,99.00,1000,99.00
2014-08-27,98.00,99.00,90.50,94.65,800,94.65
2014-08-26,85.00,96.00,85.00,95.25,1000,95.25
2014-08-25,84.00,92.00,84.00,90.05,300,90.05
2014-08-22,75.00,84.10,69.50,84.05,2800,84.05
2014-08-21,80.00,80.00,76.50,76.50,000,76.50
2014-08-20,84.00,85.95,77.05,85.50,2900,85.50
2014-08-19,67.00,79.40,67.00,79.30,2100,79.30
2014-08-18,72.20,72.20,72.20,72.20,000,72.20
2014-08-15,72.20,72.20,72.20,72.20,000,72.20
2014-08-14,69.10,83.60,69.10,72.20,700,72.20
2014-08-13,68.00,82.50,68.00,76.00,1500,76.00
2014-08-12,84.15,84.15,75.00,75.00,300,75.00
2014-08-11,76.00,82.50,76.00,76.50,1300,76.50
2014-08-08,75.00,75.00,75.00,75.00,300,75.00
2014-08-07,68.35,68.35,68.35,68.35,400,68.35
2014-08-06,72.60,72.60,62.00,62.15,000,62.15
2014-08-05,66.00,66.00,66.00,66.00,000,66.00
2014-08-04,66.00,66.00,66.00,66.00,000,66.00
2014-08-01,73.30,73.35,67.00,70.00,200,70.00
