Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,91.95,94.30,91.60,93.30,478800,93.30
2014-12-22,86.75,92.50,86.70,91.80,739200,91.80
2014-12-19,86.55,87.00,84.05,86.20,257300,86.20
2014-12-18,83.10,85.80,83.10,85.65,116800,85.65
2014-12-17,84.05,85.00,81.00,81.10,351900,81.10
2014-12-16,87.95,88.10,82.00,84.50,220600,84.50
2014-12-15,89.50,89.65,86.75,87.45,113900,87.45
2014-12-12,89.35,93.00,87.15,89.95,1100300,89.95
2014-12-11,88.70,93.30,87.30,89.90,363500,89.90
2014-12-10,88.00,89.90,87.80,88.60,170200,88.60
2014-12-09,88.50,90.80,86.55,88.00,247200,88.00
2014-12-08,88.00,91.30,87.70,88.75,367100,88.75
2014-12-05,86.90,89.65,85.75,88.30,441300,88.30
2014-12-04,83.60,87.80,83.60,87.20,498200,87.20
2014-12-03,84.75,86.90,83.10,83.75,381400,83.75
2014-12-02,82.00,86.00,82.00,85.15,416100,85.15
2014-12-01,83.00,88.70,80.60,82.25,631200,82.25
2014-11-28,89.25,91.50,82.10,83.20,684500,83.20
2014-11-27,92.90,92.90,89.15,89.65,196600,89.65
2014-11-26,90.40,93.50,88.55,91.45,355600,91.45
2014-11-25,89.90,99.90,89.90,91.50,999700,91.50
2014-11-24,94.00,94.75,89.40,89.80,250100,89.80
2014-11-21,93.25,94.90,93.00,94.10,184300,94.10
2014-11-20,96.75,96.75,89.90,92.85,493900,92.85
2014-11-19,102.45,103.35,97.10,97.70,192100,97.70
2014-11-18,104.00,105.45,100.90,101.90,175900,101.90
2014-11-17,106.20,106.20,101.78,104.26,153200,104.26
2014-11-14,103.42,107.79,103.12,104.66,211600,104.66
2014-11-13,107.54,107.59,102.43,103.37,78300,103.37
2014-11-12,107.64,108.98,106.64,107.09,147300,107.09
2014-11-11,110.17,110.66,105.70,106.84,160100,106.84
2014-11-10,112.15,113.39,108.48,109.42,115200,109.42
2014-11-07,113.94,115.53,111.26,112.00,61000,112.00
2014-11-06,113.89,113.89,113.89,113.89,000,113.89
2014-11-05,115.03,116.92,113.14,113.89,69400,113.89
2014-11-04,114.93,114.93,114.93,114.93,000,114.93
2014-11-03,114.63,115.82,112.85,114.93,55800,114.93
2014-10-31,112.95,116.62,112.15,114.98,143500,114.98
2014-10-30,110.17,112.75,109.67,111.61,70000,111.61
2014-10-29,110.17,111.51,108.98,110.07,104500,110.07
2014-10-28,110.17,111.95,109.03,109.87,88800,109.87
2014-10-27,112.45,114.14,109.67,110.66,35000,110.66
2014-10-24,112.10,112.10,112.10,112.10,000,112.10
2014-10-23,112.10,112.10,112.10,112.10,000,112.10
2014-10-22,112.65,114.53,111.16,112.10,59600,112.10
2014-10-21,111.66,114.04,111.01,112.35,51200,112.35
2014-10-20,110.17,112.95,109.07,111.95,115000,111.95
2014-10-17,110.27,111.01,105.60,107.39,129500,107.39
2014-10-16,113.79,116.82,108.98,109.32,214700,109.32
2014-10-15,113.79,113.79,113.79,113.79,000,113.79
2014-10-14,116.07,116.32,113.19,113.79,92500,113.79
2014-10-13,117.11,119.10,114.14,114.73,202500,114.73
2014-10-10,116.12,116.17,112.75,113.19,33700,113.19
2014-10-09,117.11,117.51,114.93,115.82,179900,115.82
2014-10-08,113.94,116.22,110.42,115.78,114200,115.78
2014-10-07,115.63,116.12,111.66,112.35,81000,112.35
2014-10-06,115.97,115.97,115.97,115.97,000,115.97
2014-10-03,115.97,115.97,115.97,115.97,000,115.97
2014-10-02,115.97,115.97,115.97,115.97,000,115.97
2014-10-01,116.57,118.11,114.98,115.97,82300,115.97
2014-09-30,115.97,118.40,115.18,116.22,63500,116.22
2014-09-29,112.25,117.61,112.25,116.82,124500,116.82
2014-09-26,113.39,114.93,109.47,113.00,131900,113.00
2014-09-25,119.10,119.10,111.21,113.10,160800,113.10
2014-09-24,120.09,122.18,115.78,118.21,153800,118.21
2014-09-23,122.72,122.87,118.75,119.40,110600,119.40
2014-09-22,122.08,125.45,121.33,122.03,177200,122.03
2014-09-19,124.36,125.55,120.39,122.47,143900,122.47
2014-09-18,125.95,128.13,123.37,124.01,159100,124.01
2014-09-17,129.02,131.11,124.31,125.05,288800,125.05
2014-09-16,127.04,132.00,122.13,126.49,1186300,126.49
2014-09-15,116.12,126.54,116.07,124.86,2293900,124.86
2014-09-12,117.81,118.50,116.12,116.77,77100,116.77
2014-09-11,119.00,119.30,116.32,116.97,165500,116.97
2014-09-10,117.21,120.39,116.02,118.45,232300,118.45
2014-09-09,117.81,120.49,114.53,117.81,213300,117.81
2014-09-08,120.84,121.13,116.52,118.16,113000,118.16
2014-09-05,119.60,122.57,119.50,119.99,125000,119.99
2014-09-04,121.88,122.52,118.50,119.69,134400,119.69
2014-09-03,122.18,124.46,121.08,121.88,87500,121.88
2014-09-02,122.77,126.29,122.72,123.81,220000,123.81
2014-09-01,123.02,123.67,121.48,122.72,100800,122.72
2014-08-29,121.83,121.83,121.83,121.83,000,121.83
2014-08-28,121.48,123.57,121.48,121.83,89300,121.83
2014-08-27,122.03,124.06,120.09,121.33,104300,121.33
2014-08-26,120.39,122.18,119.69,121.18,47300,121.18
2014-08-25,122.62,123.91,119.15,121.88,108600,121.88
2014-08-22,121.88,123.52,120.89,121.63,108300,121.63
2014-08-21,122.82,123.67,119.89,120.89,108700,120.89
2014-08-20,123.91,124.86,121.93,122.52,107600,122.52
2014-08-19,125.75,126.99,123.02,123.61,107100,123.61
2014-08-18,126.35,130.02,125.50,126.20,287300,126.20
2014-08-15,122.28,122.28,122.28,122.28,000,122.28
2014-08-14,122.03,128.83,120.09,122.28,112700,122.28
2014-08-13,124.06,125.05,117.91,120.19,117900,120.19
2014-08-12,125.05,125.60,122.32,123.81,94100,123.81
2014-08-11,124.06,127.09,123.17,124.01,90200,124.01
2014-08-08,127.04,127.04,122.57,123.42,113900,123.42
2014-08-07,128.13,131.75,125.55,129.27,138800,129.27
2014-08-06,132.99,133.09,126.29,127.49,161400,127.49
2014-08-05,125.50,132.99,125.05,132.00,293600,132.00
2014-08-04,122.57,126.84,122.57,125.30,191600,125.30
2014-08-01,122.23,125.20,120.24,121.58,110600,121.58
2014-07-31,126.29,126.49,123.07,123.57,121800,123.57
2014-07-30,127.54,127.93,124.31,125.20,114600,125.20
2014-07-29,126.84,126.84,126.84,126.84,000,126.84
2014-07-28,126.99,128.83,124.56,126.84,161800,126.84
2014-07-25,130.26,130.71,124.01,125.95,145600,125.35
2014-07-24,129.02,134.83,127.73,130.91,201900,130.29
2014-07-23,131.31,132.50,127.54,129.47,134900,128.85
2014-07-22,134.38,134.53,129.12,131.65,194600,131.03
2014-07-21,131.51,136.47,131.06,133.44,312900,132.81
2014-07-18,132.65,132.65,129.87,130.56,123300,129.94
