Date,Open,High,Low,Close,Volume,Adj Close
2013-01-16,12.09,12.10,11.57,11.70,404000,11.70
2013-01-15,12.14,12.14,12.11,12.11,1858400,12.11
2013-01-14,12.11,12.15,12.11,12.11,1804400,12.11
2013-01-11,12.12,12.13,12.08,12.08,2073300,12.08
2013-01-10,12.10,12.13,12.07,12.08,3176800,12.08
2013-01-09,12.08,12.12,12.06,12.07,2452600,12.07
2013-01-08,12.06,12.20,12.00,12.06,3133300,12.06
2013-01-07,12.10,12.14,12.07,12.07,1704100,12.07
2013-01-04,12.00,12.14,12.00,12.06,524300,12.06
2013-01-03,12.13,12.14,12.09,12.09,757000,12.09
2013-01-02,12.06,12.15,12.06,12.09,430100,12.09
2013-01-01,12.10,12.19,12.06,12.08,156300,12.08
2012-12-31,12.00,12.10,12.00,12.07,206900,12.07
2012-12-28,12.13,12.14,12.06,12.07,223500,12.07
2012-12-27,12.10,12.12,12.06,12.07,400500,12.07
2012-12-26,12.00,12.13,12.00,12.05,188300,12.05
2012-12-25,12.08,12.08,12.08,12.08,000,12.08
2012-12-24,12.05,12.18,12.01,12.08,274200,12.08
2012-12-21,12.04,12.05,11.95,11.95,602900,11.95
2012-12-20,12.10,12.10,12.00,12.00,321100,12.00
2012-12-19,12.10,12.17,12.02,12.02,473800,12.02
2012-12-18,12.07,12.20,12.05,12.05,534300,12.05
2012-12-17,12.10,12.20,12.06,12.06,304800,12.06
2012-12-14,12.10,12.15,12.05,12.06,622700,12.06
2012-12-13,12.12,12.20,12.10,12.10,658700,12.10
2012-12-12,12.23,12.23,12.11,12.12,524600,12.12
2012-12-11,12.30,12.30,12.10,12.11,484900,12.11
2012-12-10,12.28,12.45,12.11,12.15,412400,12.15
2012-12-07,12.15,12.29,12.10,12.15,428500,12.15
2012-12-06,12.39,12.45,12.10,12.13,558200,12.13
2012-12-05,12.11,12.34,11.95,12.18,1362800,12.18
2012-12-04,12.24,12.63,12.03,12.07,1296000,12.07
2012-12-03,12.00,12.84,11.99,12.18,939500,12.18
2012-11-30,12.00,12.15,11.91,12.00,938000,12.00
2012-11-29,11.80,11.99,11.80,11.92,432300,11.92
2012-11-28,11.82,11.82,11.82,11.82,000,11.82
2012-11-27,11.85,11.90,11.80,11.82,251200,11.82
2012-11-26,11.89,11.90,11.80,11.80,283400,11.80
2012-11-23,11.83,11.89,11.80,11.80,303600,11.80
2012-11-22,11.86,11.87,11.78,11.80,328100,11.80
