Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,443.50,449.60,442.90,447.65,57200,447.65
2014-12-22,432.50,452.00,432.50,446.50,212300,446.50
2014-12-19,432.00,440.40,431.35,435.00,352500,435.00
2014-12-18,419.00,439.00,419.00,434.40,522400,434.40
2014-12-17,415.00,421.05,405.20,416.95,1034500,416.95
2014-12-16,418.00,420.00,411.45,414.55,302000,414.55
2014-12-15,419.00,430.25,410.40,422.20,215000,422.20
2014-12-12,441.90,441.90,415.60,423.45,238500,423.45
2014-12-11,453.50,453.50,441.00,443.75,151200,443.75
2014-12-10,460.25,468.30,453.65,455.15,75300,455.15
2014-12-09,465.60,470.80,459.55,464.50,45600,464.50
2014-12-08,466.40,473.00,465.45,466.65,45000,466.65
2014-12-05,472.00,479.90,466.00,468.95,82000,468.95
2014-12-04,473.20,474.60,465.85,470.40,76500,470.40
2014-12-03,465.55,473.60,461.30,471.65,83000,471.65
2014-12-02,480.00,484.10,462.50,465.35,108000,465.35
2014-12-01,488.00,489.95,476.90,479.00,43300,479.00
2014-11-28,490.00,499.00,484.00,487.95,87200,487.95
2014-11-27,490.90,496.00,488.00,489.65,65700,489.65
2014-11-26,481.00,494.00,479.50,490.25,124300,490.25
2014-11-25,471.10,480.50,470.00,477.15,122900,477.15
2014-11-24,477.00,480.80,469.25,474.70,71300,474.70
2014-11-21,475.00,482.75,469.65,475.75,186100,475.75
2014-11-20,477.50,481.30,471.75,475.10,62800,475.10
2014-11-19,492.30,494.60,476.60,478.65,75500,478.65
2014-11-18,490.00,502.00,486.15,489.90,100400,489.90
2014-11-17,487.70,492.00,482.80,488.75,83800,488.75
2014-11-14,472.40,492.60,472.40,489.10,327600,489.10
2014-11-13,485.00,489.00,474.50,477.15,154100,477.15
2014-11-12,491.00,491.90,484.00,484.80,81900,484.80
2014-11-11,484.80,491.35,483.00,488.10,177500,488.10
2014-11-10,486.00,489.95,474.80,480.25,319200,480.25
2014-11-07,495.00,495.25,483.90,485.00,124700,485.00
2014-11-06,497.25,497.25,497.25,497.25,000,497.25
2014-11-05,502.30,506.90,490.15,497.25,182400,497.25
2014-11-04,499.00,499.00,499.00,499.00,000,499.00
2014-11-03,535.00,535.50,496.20,499.00,768400,499.00
2014-10-31,511.00,551.35,510.05,529.15,667600,529.15
2014-10-30,501.30,512.30,496.75,509.65,184200,509.65
2014-10-29,496.00,502.50,489.25,500.00,76800,500.00
2014-10-28,486.00,499.05,485.60,495.50,121700,495.50
2014-10-27,480.75,494.35,476.30,484.85,84000,484.85
2014-10-24,481.40,481.40,481.40,481.40,000,481.40
2014-10-23,481.40,481.40,481.40,481.40,000,481.40
2014-10-22,484.00,488.25,478.10,481.40,85600,481.40
2014-10-21,464.00,484.00,458.70,479.05,184000,479.05
2014-10-20,454.00,464.65,454.00,458.75,50400,458.75
2014-10-17,452.65,455.75,444.00,447.95,64200,447.95
2014-10-16,447.45,459.20,447.45,450.90,75900,450.90
2014-10-15,447.60,447.60,447.60,447.60,000,447.60
2014-10-14,445.00,451.00,441.50,447.60,78300,447.60
2014-10-13,442.00,445.20,438.25,444.00,21800,444.00
2014-10-10,443.10,446.00,436.00,444.75,85400,444.75
2014-10-09,442.90,450.00,441.75,447.85,75400,447.85
2014-10-08,440.40,443.90,436.75,441.30,99900,441.30
2014-10-07,441.45,445.70,431.90,443.45,115200,443.45
2014-10-06,438.65,438.65,438.65,438.65,000,438.65
2014-10-03,438.65,438.65,438.65,438.65,000,438.65
2014-10-02,438.65,438.65,438.65,438.65,000,438.65
2014-10-01,451.00,451.00,438.00,438.65,53300,438.65
2014-09-30,452.00,458.10,445.45,448.85,60500,448.85
2014-09-29,446.00,454.00,436.20,452.15,64200,452.15
2014-09-26,450.35,453.75,435.00,443.55,83800,443.55
2014-09-25,443.95,452.80,443.70,450.35,80000,450.35
2014-09-24,443.50,446.90,438.60,442.95,38800,442.95
2014-09-23,454.00,455.70,439.35,443.60,64700,443.60
