Date,Open,High,Low,Close,Volume,Adj Close
2014-10-15,766.00,766.00,766.00,766.00,000,766.00
2014-10-14,760.00,767.00,750.00,766.00,41200,766.00
2014-10-13,757.00,760.00,749.00,760.00,45600,760.00
2014-10-10,736.00,746.00,735.00,746.00,53200,746.00
2014-10-09,740.00,740.00,739.00,740.00,24800,740.00
2014-10-08,740.00,740.00,740.00,740.00,18400,740.00
2014-10-07,708.00,730.00,708.00,730.00,47200,730.00
2014-10-06,723.00,723.00,723.00,723.00,000,723.00
2014-10-03,723.00,723.00,723.00,723.00,000,723.00
2014-10-02,723.00,723.00,723.00,723.00,000,723.00
2014-10-01,724.00,724.00,723.00,723.00,2800,723.00
2014-09-30,724.00,724.00,723.00,723.00,8000,723.00
2014-09-29,723.00,725.00,723.00,725.00,14000,725.00
2014-09-26,710.00,720.00,710.00,720.00,65200,720.00
2014-09-25,711.00,711.00,709.00,711.00,74000,711.00
2014-09-24,650.00,711.00,650.00,710.65,34000,710.65
2014-09-23,694.00,705.00,692.00,705.00,61200,705.00
2014-09-22,694.00,694.00,692.00,693.00,62000,693.00
2014-09-19,694.00,694.00,693.00,693.40,71600,693.40
2014-09-18,694.00,694.00,693.00,693.15,74000,693.15
2014-09-17,694.00,694.00,693.00,693.00,41200,693.00
2014-09-16,694.00,694.00,692.00,693.65,73200,693.65
2014-09-15,690.00,690.00,689.00,689.60,74000,689.60
2014-09-12,690.00,690.00,688.00,689.00,60400,689.00
2014-09-11,690.00,690.00,688.00,689.00,65200,689.00
2014-09-10,690.00,690.00,688.00,690.00,62000,690.00
2014-09-09,690.00,690.00,688.00,690.00,55200,690.00
2014-09-08,686.00,690.00,685.00,690.00,68400,690.00
2014-09-05,673.00,679.00,670.00,679.00,33200,679.00
2014-09-03,680.00,680.00,650.00,674.00,60000,674.00
2014-09-02,656.00,658.00,530.00,658.00,73600,658.00
2014-09-01,655.00,658.00,655.00,657.00,92000,657.00
2014-08-29,657.25,657.25,657.25,657.25,000,657.25
2014-08-28,655.00,658.00,655.00,657.25,50000,657.25
2014-08-27,656.00,656.00,654.00,655.00,50400,655.00
2014-08-26,656.00,656.00,655.00,655.00,44000,655.00
2014-08-25,655.00,656.00,655.00,655.35,51600,655.35
2014-08-22,655.00,656.00,654.00,655.00,53600,655.00
2014-08-21,654.00,656.00,654.00,655.55,52400,655.55
2014-08-20,625.00,655.00,625.00,655.00,39200,655.00
2014-08-19,651.00,655.00,651.00,655.00,42400,655.00
2014-08-18,647.00,651.00,647.00,651.00,52000,651.00
2014-08-15,646.00,646.00,646.00,646.00,000,646.00
2014-08-14,642.00,646.00,642.00,646.00,39200,646.00
2014-08-13,638.00,641.00,638.00,641.00,50800,641.00
2014-08-12,632.00,636.00,632.00,636.00,47600,636.00
2014-08-11,624.00,627.00,621.00,627.00,52400,627.00
2014-08-08,623.00,625.00,623.00,625.00,44000,625.00
2014-08-07,617.00,620.00,617.00,620.00,66000,620.00
2014-08-06,614.00,615.00,613.00,615.00,48800,615.00
2014-08-05,608.00,610.00,608.00,610.00,52800,610.00
2014-08-04,604.00,606.00,604.00,606.00,70800,606.00
2014-08-01,597.00,597.00,597.00,597.00,9600,597.00
2014-07-31,599.00,600.00,598.00,598.00,64000,598.00
2014-07-30,598.00,600.00,598.00,600.00,41200,600.00
2014-07-29,600.00,600.00,600.00,600.00,000,600.00
2014-07-28,598.00,600.00,598.00,600.00,61200,600.00
2014-07-25,600.00,600.00,598.00,598.00,16000,598.00
2014-07-24,594.95,598.00,594.95,598.00,27600,598.00
2014-07-23,580.00,590.00,578.00,590.00,36400,590.00
2014-07-22,578.95,581.00,578.95,579.00,30800,579.00
2014-07-21,576.00,578.00,576.00,578.00,50000,578.00
2014-07-18,571.00,572.00,570.00,571.00,51600,571.00
2014-07-17,570.00,573.00,570.00,571.00,63200,571.00
2014-07-16,572.00,572.00,570.00,570.00,56000,570.00
2014-07-15,573.95,573.95,570.00,570.00,37600,570.00
2014-07-14,573.95,577.00,473.00,572.95,75200,572.95
2014-07-11,572.95,574.00,572.00,573.00,64000,573.00
2014-07-10,570.00,574.00,569.90,573.00,44000,573.00
2014-07-09,573.00,574.00,469.00,569.70,33600,569.70
2014-07-08,570.00,573.00,565.00,569.00,48800,569.00
2014-07-07,569.00,573.00,569.00,570.00,73600,570.00
2014-07-04,570.00,574.00,570.00,570.00,25200,570.00
2014-07-03,572.00,572.00,570.00,570.00,28400,570.00
2014-07-02,572.00,574.00,570.00,570.00,31600,570.00
2014-07-01,574.00,574.00,573.00,574.00,50400,574.00
2014-06-30,572.00,574.00,571.00,573.00,59200,573.00
2014-06-27,530.00,571.00,530.00,570.00,44400,570.00
2014-06-26,573.00,573.00,570.00,570.00,48400,570.00
2014-06-25,569.00,573.00,569.00,572.35,57200,572.35
2014-06-24,564.00,568.00,564.00,568.00,34800,568.00
2014-06-23,559.00,563.00,559.00,562.00,63200,562.00
2014-06-20,555.00,558.00,555.00,558.00,38400,558.00
2014-06-19,551.00,555.00,551.00,555.00,34800,555.00
2014-06-18,549.95,552.00,530.00,550.00,45600,550.00
2014-06-17,548.00,550.00,525.00,530.00,52800,530.00
2014-06-16,540.00,546.00,523.00,545.00,47200,545.00
2014-06-13,541.00,543.00,540.00,543.00,32400,543.00
2014-06-12,540.00,542.00,540.00,540.00,14800,540.00
2014-06-11,542.00,542.00,539.90,540.00,32800,540.00
2014-06-10,540.00,541.00,539.00,540.00,26400,540.00
2014-06-09,538.00,540.00,538.00,540.00,35600,540.00
2014-06-06,536.00,541.00,535.00,540.55,66000,540.55
2014-06-05,535.00,545.00,535.00,535.00,64800,535.00
2014-06-04,530.00,535.00,530.00,535.00,48000,535.00
2014-06-03,525.00,530.00,515.00,529.75,49600,529.75
2014-06-02,519.95,525.00,519.95,525.00,35600,525.00
2014-05-30,515.00,525.00,480.00,525.00,38400,525.00
2014-05-29,515.00,515.00,510.00,515.00,39600,515.00
2014-05-28,505.00,515.00,500.00,515.00,31600,515.00
2014-05-27,510.00,510.00,509.90,510.00,4000,510.00
2014-05-26,500.00,510.00,500.00,510.00,11600,510.00
2014-05-23,500.00,501.00,499.90,500.00,13200,500.00
2014-05-22,500.00,500.00,499.95,500.00,17200,500.00
2014-05-21,499.95,500.00,499.95,500.00,22000,500.00
2014-05-20,500.00,500.00,499.95,500.00,16000,500.00
2014-05-19,460.00,501.00,460.00,501.00,24000,501.00
2014-05-16,499.90,500.00,499.90,500.00,18400,500.00
2014-05-15,500.00,519.00,500.00,500.00,21200,500.00
2014-05-14,460.00,520.00,460.00,520.00,18400,520.00
2014-05-13,510.00,510.00,510.00,510.00,2400,510.00
2014-05-12,510.00,510.00,499.90,500.00,6000,500.00
2014-05-09,500.00,515.00,500.00,515.00,2400,515.00
2014-05-08,500.00,505.00,499.95,504.00,17200,504.00
2014-05-07,505.00,510.00,499.50,510.00,7600,510.00
2014-05-06,500.00,515.00,499.00,500.00,15200,500.00
2014-05-05,500.00,519.00,499.00,513.00,8800,513.00
2014-05-02,500.00,520.00,499.00,520.00,9600,520.00
2014-05-01,500.00,500.00,500.00,500.00,000,500.00
2014-04-30,500.00,500.00,500.00,500.00,1600,500.00
2014-04-29,500.00,500.00,500.00,500.00,6400,500.00
2014-04-28,500.00,500.00,500.00,500.00,12000,500.00
2014-04-25,490.00,490.00,485.00,490.00,3200,490.00
2014-04-24,452.00,452.00,452.00,452.00,000,452.00
2014-04-23,460.00,460.00,452.00,452.00,1600,452.00
2014-04-22,455.00,500.00,455.00,500.00,1600,500.00
2014-04-21,425.00,425.00,425.00,425.00,000,425.00
2014-04-18,425.00,425.00,425.00,425.00,000,425.00
2014-04-17,425.00,425.00,425.00,425.00,1600,425.00
2014-04-16,459.00,465.00,459.00,465.00,2400,465.00
2014-04-15,390.00,390.00,390.00,390.00,800,390.00
2014-04-14,355.00,355.00,355.00,355.00,000,355.00
2014-04-11,355.00,355.00,355.00,355.00,000,355.00
2014-04-10,355.00,355.00,355.00,355.00,000,355.00
2014-04-09,355.00,355.00,355.00,355.00,000,355.00
2014-04-08,355.00,355.00,355.00,355.00,000,355.00
2014-04-07,355.00,355.00,355.00,355.00,000,355.00
2014-04-04,355.00,355.00,355.00,355.00,000,355.00
2014-04-03,355.00,355.00,355.00,355.00,000,355.00
2014-04-02,355.00,355.00,355.00,355.00,000,355.00
2014-04-01,355.00,355.00,355.00,355.00,000,355.00
2014-03-31,355.00,355.00,355.00,355.00,000,355.00
2014-03-28,355.00,355.00,355.00,355.00,000,355.00
2014-03-27,355.00,355.00,355.00,355.00,000,355.00
2014-03-26,355.00,355.00,355.00,355.00,000,355.00
2014-03-25,355.00,355.00,355.00,355.00,000,355.00
2014-03-24,370.00,370.00,331.00,355.00,4000,355.00
2014-03-21,275.00,350.00,275.00,350.00,3200,350.00
2014-03-20,306.00,359.00,306.00,337.50,4800,337.50
2014-03-19,320.00,320.00,301.00,301.00,1600,301.00
2014-03-18,459.00,461.00,320.00,320.00,6400,320.00
2014-03-17,391.00,391.00,391.00,391.00,000,391.00
2014-03-14,391.00,391.00,391.00,391.00,1600,391.00
2014-03-13,330.00,330.00,330.00,330.00,400,330.00
2014-03-12,330.00,330.00,330.00,330.00,000,330.00
2014-03-11,330.00,330.00,330.00,330.00,000,330.00
2014-03-10,330.00,330.00,330.00,330.00,000,330.00
2014-03-07,330.00,330.00,330.00,330.00,000,330.00
2014-03-06,330.00,330.00,330.00,330.00,000,330.00
2014-03-05,330.00,330.00,330.00,330.00,000,330.00
2014-03-04,330.00,330.00,330.00,330.00,000,330.00
2014-03-03,330.00,330.00,330.00,330.00,000,330.00
2014-02-28,330.00,330.00,330.00,330.00,000,330.00
2014-02-27,330.00,330.00,330.00,330.00,000,330.00
