Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,14.50,14.50,14.50,14.50,500,14.50
2014-12-22,14.00,16.25,13.05,14.50,800,14.50
2014-12-19,14.50,15.90,14.00,14.60,1900,14.60
2014-12-18,14.95,14.95,12.55,14.45,1100,14.45
2014-12-17,13.05,13.90,12.10,13.90,800,13.90
2014-12-16,13.55,13.65,12.15,12.85,1500,12.85
2014-12-15,15.25,15.25,13.30,13.95,2200,13.95
2014-12-12,14.00,14.60,12.50,14.60,5500,14.60
2014-12-11,14.10,14.15,13.75,13.75,2400,13.75
2014-12-10,16.95,16.95,14.05,14.35,5800,14.35
2014-12-09,17.00,17.00,15.60,16.05,2900,16.05
2014-12-08,16.55,17.00,16.50,16.65,6800,16.65
2014-12-05,16.40,18.00,16.40,17.65,2200,17.65
2014-12-04,18.00,18.00,16.90,17.10,1200,17.10
2014-12-03,18.30,20.00,17.35,18.45,8700,18.45
2014-12-02,18.55,18.55,16.80,17.70,1200,17.70
2014-12-01,17.75,18.00,16.55,16.65,900,16.65
2014-11-28,16.95,18.55,16.95,17.15,18500,17.15
2014-11-27,16.80,18.00,16.80,18.00,700,18.00
2014-11-26,17.95,18.45,17.95,18.05,1200,18.05
2014-11-25,17.50,18.00,16.70,18.00,3200,18.00
2014-11-24,18.00,18.75,17.60,17.60,3000,17.60
2014-11-21,17.70,19.95,17.70,18.85,2900,18.85
2014-11-20,18.10,19.00,17.55,18.60,2300,18.60
2014-11-19,19.75,19.75,18.35,19.20,2000,19.20
2014-11-18,18.70,19.70,17.50,19.15,32400,19.15
2014-11-17,17.60,18.95,17.60,18.20,34000,18.20
2014-11-14,18.20,19.00,17.25,18.05,39600,18.05
2014-11-13,18.00,19.00,17.00,17.15,3700,17.15
2014-11-12,17.25,18.00,17.20,17.20,300,17.20
2014-11-11,18.50,18.50,15.30,18.00,18100,18.00
2014-11-10,18.50,18.50,17.05,17.85,200,17.85
2014-11-07,18.00,18.00,17.50,17.50,2300,17.50
2014-11-06,18.00,18.00,18.00,18.00,000,18.00
2014-11-05,17.55,18.50,17.55,18.00,1800,18.00
2014-11-04,18.10,18.10,18.10,18.10,000,18.10
2014-11-03,15.15,19.00,15.10,18.10,4500,18.10
2014-10-31,17.75,18.10,17.65,18.10,900,18.10
2014-10-30,18.25,18.25,17.75,17.75,100,17.75
2014-10-29,17.50,18.25,16.55,18.25,500,18.25
2014-10-28,18.15,18.50,18.00,18.50,800,18.50
2014-10-27,19.40,20.00,16.40,18.40,4100,18.40
2014-10-24,15.65,15.65,15.65,15.65,000,15.65
2014-10-23,15.65,15.65,15.65,15.65,000,15.65
2014-10-22,17.90,17.90,14.55,15.65,900,15.65
2014-10-21,17.25,17.25,14.05,15.00,3200,15.00
2014-10-20,17.25,17.50,16.50,17.00,6300,17.00
2014-10-17,17.50,17.75,17.20,17.20,700,17.20
2014-10-16,17.05,19.70,17.05,17.50,1700,17.50
2014-10-15,17.05,17.05,17.05,17.05,000,17.05
2014-10-14,17.25,17.25,17.05,17.05,000,17.05
2014-10-13,17.05,18.50,16.20,17.00,1700,17.00
2014-10-10,19.35,19.35,17.80,17.80,1100,17.80
2014-10-09,18.10,18.35,17.80,18.35,600,18.35
2014-10-08,17.80,18.95,17.30,17.60,700,17.60
2014-10-07,17.85,17.85,17.20,17.20,4900,17.20
2014-10-06,17.75,17.75,17.75,17.75,000,17.75
2014-10-03,17.75,17.75,17.75,17.75,000,17.75
2014-10-02,17.75,17.75,17.75,17.75,000,17.75
2014-10-01,18.95,18.95,17.10,17.75,3500,17.75
2014-09-30,18.45,18.50,17.35,17.40,1300,17.40
2014-09-29,18.90,18.90,17.10,17.95,1200,17.95
2014-09-26,17.00,18.40,17.00,17.25,800,17.25
2014-09-25,19.00,19.00,17.80,17.80,2300,17.80
2014-09-24,19.95,19.95,17.65,18.10,2300,18.10
2014-09-23,18.75,19.50,18.70,19.00,2000,19.00
2014-09-22,18.60,19.35,18.55,18.75,300,18.75
2014-09-19,18.00,20.00,18.00,19.10,3200,19.10
2014-09-18,19.00,19.40,18.00,18.25,4700,18.25
2014-09-17,17.00,17.95,16.85,17.90,900,17.90
2014-09-16,20.50,20.50,17.15,17.20,4200,17.20
2014-09-15,18.50,18.95,18.00,18.95,4000,18.95
2014-09-12,19.95,19.95,18.55,18.60,4000,18.60
2014-09-11,18.25,19.85,18.25,19.65,1700,19.65
2014-09-10,19.85,19.85,18.00,19.05,3700,19.05
2014-09-09,19.00,19.85,18.75,19.50,2400,19.50
2014-09-08,17.90,19.20,17.00,18.75,2800,18.75
2014-09-05,17.90,17.90,17.90,17.90,100,17.90
2014-09-04,18.85,18.85,17.25,17.30,5200,17.30
2014-09-03,18.20,18.20,18.00,18.15,2100,18.15
2014-09-02,16.15,17.50,16.15,17.40,4200,17.40
2014-09-01,16.00,16.85,15.95,16.85,4500,16.85
2014-08-29,16.10,16.10,16.10,16.10,000,16.10
2014-08-28,16.15,16.15,15.50,16.10,900,16.10
2014-08-27,17.60,17.60,16.10,16.15,5900,16.15
2014-08-26,17.00,17.95,16.60,16.90,3900,16.90
2014-08-25,17.00,17.45,16.75,17.45,2900,17.45
