Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,17.10,17.35,16.70,17.30,1782300,17.30
2014-12-22,16.80,17.10,16.60,17.00,1215200,17.00
2014-12-19,17.15,17.50,16.70,16.90,1987200,16.90
2014-12-18,16.75,17.25,16.70,17.05,1760900,17.05
2014-12-17,16.65,16.95,16.10,16.40,2205600,16.40
2014-12-16,16.95,17.25,15.35,16.45,3701400,16.45
2014-12-15,18.00,18.00,16.90,17.05,1611200,17.05
2014-12-12,18.85,19.15,17.80,18.05,1460900,18.05
2014-12-11,19.25,19.25,18.65,18.95,948100,18.95
2014-12-10,19.25,19.35,18.95,19.30,1150500,19.30
2014-12-09,19.00,19.40,18.75,19.25,1264500,19.25
2014-12-08,19.60,19.90,18.85,19.00,1491700,19.00
2014-12-05,19.30,19.80,19.05,19.70,2145900,19.70
2014-12-04,19.00,19.35,18.75,19.25,2309300,19.25
2014-12-03,18.45,19.25,18.25,19.00,2706200,19.00
2014-12-02,19.00,19.05,18.10,18.40,2280800,18.40
2014-12-01,19.15,19.50,18.75,19.00,1362600,19.00
2014-11-28,20.00,20.00,19.05,19.40,2356000,19.40
2014-11-27,20.20,20.30,19.70,19.80,1747000,19.80
2014-11-26,20.80,20.85,20.05,20.10,1748300,20.10
2014-11-25,20.00,20.45,19.25,20.15,1610200,20.15
2014-11-24,20.10,20.40,20.00,20.05,801300,20.05
2014-11-21,19.90,20.50,19.90,20.15,1167700,20.15
2014-11-20,20.50,20.60,20.00,20.10,1407500,20.10
2014-11-19,20.65,20.90,20.00,20.40,1947600,20.40
2014-11-18,20.50,20.70,20.30,20.50,1179000,20.50
2014-11-17,19.85,20.45,19.35,20.30,5215200,20.30
2014-11-14,20.05,20.30,19.85,20.05,1202500,20.05
2014-11-13,20.15,20.45,19.65,20.00,2016100,20.00
2014-11-12,20.45,20.50,20.00,20.05,1452900,20.05
2014-11-11,20.65,20.75,19.90,20.45,1965900,20.45
2014-11-10,21.50,21.50,20.40,20.55,1595200,20.55
2014-11-07,22.65,22.80,21.40,21.50,1898200,21.50
2014-11-06,22.50,22.50,22.50,22.50,000,22.50
2014-11-05,23.00,23.20,22.30,22.50,1969200,22.50
2014-11-04,22.60,22.60,22.60,22.60,000,22.60
2014-11-03,22.00,22.75,21.90,22.60,3256200,22.60
2014-10-31,21.30,21.85,21.15,21.65,1627100,21.65
2014-10-30,20.95,21.40,20.40,21.05,2371800,21.05
2014-10-29,20.90,21.10,20.70,20.85,1316600,20.85
2014-10-28,20.35,20.80,20.35,20.65,919100,20.65
2014-10-27,21.30,21.75,20.30,20.50,1781700,20.50
2014-10-24,21.30,21.30,21.30,21.30,000,21.30
2014-10-23,21.30,21.30,21.30,21.30,000,21.30
2014-10-22,21.70,21.80,21.10,21.30,973600,21.30
2014-10-21,21.80,22.00,21.10,21.40,1761000,21.40
2014-10-20,21.10,22.00,21.05,21.85,3131000,21.85
2014-10-17,20.80,21.20,20.50,21.00,2465200,21.00
2014-10-16,21.75,21.95,19.90,20.35,2980200,20.35
2014-10-15,22.05,22.05,22.05,22.05,000,22.05
2014-10-14,22.00,22.35,21.65,22.05,1844700,22.05
2014-10-13,21.65,22.15,21.30,21.95,1803300,21.95
2014-10-10,20.90,22.50,20.35,21.85,3588100,21.85
2014-10-09,20.25,21.50,20.20,21.05,3307200,21.05
2014-10-08,20.00,20.25,19.40,20.00,2110500,20.00
2014-10-07,18.00,20.35,17.65,19.80,6126200,19.80
2014-10-06,17.80,17.80,17.80,17.80,000,17.80
2014-10-03,17.80,17.80,17.80,17.80,000,17.80
2014-10-02,17.80,17.80,17.80,17.80,000,17.80
2014-10-01,17.70,18.20,17.50,17.80,15826400,17.80
2014-09-30,18.50,18.60,17.20,17.55,2884500,17.55
2014-09-29,19.60,19.70,18.25,18.45,3523300,18.45
2014-09-26,19.00,19.50,18.60,19.30,5431300,19.30
2014-09-25,19.40,19.55,17.60,18.65,17114900,18.65
2014-09-24,22.00,22.00,18.70,19.50,8254300,19.50
2014-09-23,22.75,23.00,21.70,21.80,1992000,21.80
2014-09-22,22.85,23.05,22.50,22.75,2568900,22.75
2014-09-19,23.10,23.45,22.50,22.95,2355700,22.95
2014-09-18,22.80,23.35,22.50,22.95,3495600,22.95
2014-09-17,22.35,22.75,21.50,22.30,3604500,22.30
2014-09-16,24.95,25.15,21.75,22.30,5229900,22.30
2014-09-15,25.00,25.10,24.60,24.85,1026400,24.85
2014-09-12,25.25,25.70,25.00,25.25,2289200,25.25
2014-09-11,25.00,25.45,24.80,25.15,1310400,25.15
2014-09-10,25.30,25.55,24.90,25.10,1880700,25.10
2014-09-09,25.00,25.50,24.60,25.40,1737200,25.40
2014-09-08,25.05,25.15,24.55,25.00,1264400,24.90
2014-09-05,25.00,25.15,23.15,24.50,3365600,24.40
2014-09-04,26.35,26.45,24.15,24.80,2527200,24.70
2014-09-03,26.95,27.20,26.45,26.50,1991600,26.39
2014-09-02,25.80,26.80,25.60,26.65,2842100,26.54
2014-09-01,25.60,25.95,25.35,25.75,1496000,25.65
2014-08-29,25.35,25.35,25.35,25.35,000,25.25
2014-08-28,25.30,25.70,24.55,25.35,2545600,25.25
2014-08-27,25.40,25.65,24.85,24.95,1084400,24.85
2014-08-26,24.90,25.65,24.65,25.10,1473700,25.00
2014-08-25,25.00,25.75,24.50,25.00,3697400,24.90
2014-08-22,25.95,26.10,24.75,25.05,2080800,24.95
2014-08-21,26.20,26.85,25.55,25.80,2004500,25.70
2014-08-20,27.00,27.10,26.10,26.15,1343100,26.05
2014-08-19,26.50,27.10,26.25,26.95,2359500,26.84
2014-08-18,25.20,26.50,25.05,26.40,1806100,26.29
2014-08-15,25.55,25.55,25.55,25.55,000,25.45
2014-08-14,25.00,25.75,24.10,25.55,3037800,25.45
2014-08-13,25.25,25.30,24.00,24.90,3148500,24.80
2014-08-12,25.60,26.05,25.15,25.30,2549500,25.20
2014-08-11,26.50,26.80,25.25,25.55,4024300,25.45
2014-08-08,26.80,26.95,25.90,26.00,2265600,25.90
2014-08-07,27.90,28.20,27.15,27.25,2357600,27.14
2014-08-06,28.50,29.15,27.55,27.90,2545600,27.79
2014-08-05,29.15,29.20,28.05,28.65,2775600,28.54
2014-08-04,29.15,29.50,28.55,29.15,3186400,29.03
2014-08-01,26.70,29.80,26.50,28.70,10297300,28.59
2014-07-31,25.95,27.15,25.90,26.75,6918600,26.64
2014-07-30,25.25,26.20,24.90,25.95,2502400,25.85
2014-07-29,25.20,25.20,25.20,25.20,000,25.10
2014-07-28,25.30,25.45,24.95,25.20,2141600,25.10
2014-07-25,26.00,26.10,24.65,25.25,2864700,25.15
2014-07-24,26.55,26.75,25.80,25.90,2597000,25.80
2014-07-23,26.10,27.00,25.85,26.45,4064600,26.34
2014-07-22,26.55,26.65,25.55,25.75,2077700,25.65
2014-07-21,26.55,26.85,26.15,26.25,2872000,26.14
2014-07-18,27.15,27.30,26.15,26.30,5156100,26.19
2014-07-17,28.10,28.50,27.10,27.40,3252200,27.29
2014-07-16,27.90,28.05,27.50,27.90,5566500,27.79
2014-07-15,26.95,27.60,26.75,27.20,4356800,27.09
2014-07-14,26.40,26.95,25.65,26.50,1637000,26.39
2014-07-11,28.60,29.10,25.80,26.15,8828800,26.05
2014-07-10,28.50,30.35,27.05,28.45,6122800,28.34
2014-07-09,28.60,29.45,26.20,28.20,4490200,28.09
2014-07-08,31.65,31.65,28.35,28.85,3253300,28.73
2014-07-07,32.30,32.30,31.30,31.40,1630300,31.27
2014-07-04,31.50,31.95,31.00,31.70,3414900,31.57
2014-07-03,33.80,33.80,30.80,31.15,2290300,31.03
2014-07-02,34.90,35.00,33.35,33.85,3605600,33.71
2014-07-01,34.85,34.85,34.10,34.45,1037600,34.31
2014-06-30,34.00,34.70,34.00,34.45,1641300,34.31
2014-06-27,33.30,34.10,32.55,33.85,2062000,33.71
2014-06-26,33.45,33.95,32.70,33.00,1866300,32.87
2014-06-25,33.30,33.60,33.15,33.30,1501000,33.17
2014-06-24,31.90,33.50,31.90,33.15,2419300,33.02
2014-06-23,32.40,32.80,31.70,31.90,1135500,31.77
2014-06-20,33.50,33.50,32.25,32.45,1965800,32.32
2014-06-19,33.10,34.40,32.50,32.85,3393800,32.72
2014-06-18,34.15,34.70,32.00,32.85,1982400,32.72
2014-06-17,33.50,34.40,33.05,34.30,1879100,34.16
2014-06-16,32.90,33.45,30.85,33.25,2353100,33.12
2014-06-13,35.20,35.60,32.25,33.15,1764800,33.02
2014-06-12,35.80,36.05,34.60,35.35,1603600,35.21
2014-06-11,38.00,38.20,35.30,35.65,3525900,35.51
2014-06-10,37.00,38.30,35.45,37.75,5365200,37.60
2014-06-09,35.45,36.75,34.40,36.70,4219600,36.55
2014-06-06,35.95,36.00,34.75,35.10,3320200,34.96
2014-06-05,35.20,36.00,34.50,35.45,1830300,35.31
2014-06-04,35.80,35.85,34.20,34.90,2257400,34.76
2014-06-03,34.45,35.90,34.40,35.55,2266900,35.41
2014-06-02,33.80,34.70,33.50,34.20,1599500,34.06
2014-05-30,34.00,35.15,33.05,33.40,2840500,33.27
2014-05-29,33.80,34.30,33.10,33.40,1184200,33.27
2014-05-28,33.40,34.15,32.75,33.70,1370600,33.57
2014-05-27,33.60,34.40,31.90,33.40,2819600,33.27
2014-05-26,36.00,38.10,32.40,34.20,7465200,34.06
2014-05-23,34.60,35.60,34.40,35.40,1985200,35.26
2014-05-22,33.95,35.40,33.15,34.10,3346600,33.96
2014-05-21,33.00,33.60,31.05,33.25,2181100,33.12
2014-05-20,34.50,35.15,32.50,32.85,5092700,32.72
2014-05-19,28.70,33.95,28.55,33.10,5314700,32.97
2014-05-16,29.50,30.00,27.70,28.30,17330800,28.19
2014-05-15,28.30,29.30,27.45,27.85,2844400,27.74
2014-05-14,29.25,29.90,28.10,28.20,9886900,28.09
2014-05-13,26.80,29.75,26.25,28.80,10619300,28.68
2014-05-12,25.70,26.60,25.60,26.25,1251500,26.14
2014-05-09,25.00,25.85,25.00,25.70,539500,25.60
2014-05-08,25.15,25.30,24.85,25.00,417900,24.90
2014-05-07,25.00,25.40,24.85,25.00,293000,24.90
2014-05-06,25.05,25.35,24.75,25.25,427400,25.15
2014-05-05,25.10,25.45,24.85,25.00,343800,24.90
2014-05-02,26.00,26.00,24.85,25.10,690200,25.00
2014-05-01,24.90,24.90,24.90,24.90,000,24.80
2014-04-30,26.00,26.10,24.10,24.90,912500,24.80
2014-04-29,26.25,26.25,25.20,25.35,1146300,25.25
2014-04-28,25.70,26.85,25.70,26.35,1069500,26.24
2014-04-25,25.60,25.90,24.95,25.70,657800,25.60
2014-04-24,25.60,25.60,25.60,25.60,000,25.50
2014-04-23,25.80,25.90,25.20,25.60,1437300,25.50
2014-04-22,26.00,26.00,25.05,25.30,1676200,25.20
2014-04-21,25.40,25.85,25.40,25.55,454700,25.45
2014-04-18,25.40,25.40,25.40,25.40,000,25.30
2014-04-17,24.25,25.65,24.00,25.40,685900,25.30
2014-04-16,25.50,25.50,23.90,24.30,491800,24.20
2014-04-15,25.70,26.00,24.95,25.25,446100,25.15
2014-04-14,25.70,25.70,25.70,25.70,000,25.60
2014-04-11,25.60,26.15,25.20,25.70,813900,25.60
2014-04-10,26.25,26.80,25.40,25.70,1288200,25.60
2014-04-09,24.70,26.00,24.50,25.80,1519600,25.70
2014-04-08,24.50,24.50,24.50,24.50,000,24.40
2014-04-07,24.80,24.80,23.05,24.50,1241100,24.40
2014-04-04,23.10,23.50,22.85,23.25,570100,23.16
2014-04-03,23.30,23.70,22.65,23.10,713200,23.01
2014-04-02,22.90,23.70,22.05,23.40,1049700,23.31
2014-04-01,22.35,22.85,21.65,22.60,517400,22.51
2014-03-31,22.50,22.90,21.70,21.95,812300,21.86
2014-03-28,21.50,21.80,21.30,21.65,395500,21.56
2014-03-27,22.00,22.00,21.20,21.40,435600,21.31
2014-03-26,22.15,22.30,21.50,21.70,945500,21.61
2014-03-25,22.00,22.00,21.55,21.70,211000,21.61
2014-03-24,22.00,22.05,21.65,21.95,349400,21.86
2014-03-21,21.60,22.00,21.50,21.65,205000,21.56
