Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,168.00,172.00,160.00,161.40,9800,161.40
2014-12-22,174.80,174.80,174.75,174.75,000,174.75
2014-12-19,173.00,177.40,171.00,176.60,400,176.60
2014-12-18,170.00,178.00,167.05,171.90,2700,171.90
2014-12-17,165.00,174.60,165.00,173.70,500,173.70
2014-12-16,144.00,173.00,144.00,168.95,8700,168.95
2014-12-15,170.25,170.50,170.25,170.50,000,170.50
2014-12-12,172.00,174.05,172.00,174.00,700,174.00
2014-12-11,172.00,178.00,170.55,174.75,900,174.75
2014-12-10,178.00,179.20,175.05,175.90,2500,175.90
2014-12-09,179.00,182.75,178.00,178.00,7100,178.00
2014-12-08,179.05,187.90,178.00,179.75,4600,179.75
2014-12-05,187.60,187.60,178.10,180.70,1100,180.70
2014-12-04,189.40,189.40,177.25,179.00,2900,179.00
2014-12-03,172.10,184.90,172.10,184.15,200,184.15
2014-12-02,181.05,182.65,177.00,181.95,19000,181.95
2014-12-01,210.00,210.00,180.25,184.40,4200,184.40
2014-11-28,194.00,200.10,180.00,188.50,12700,188.50
2014-11-27,187.00,187.65,180.00,183.70,2300,183.70
2014-11-26,199.20,199.20,183.20,184.95,1800,184.95
2014-11-25,182.30,206.70,177.05,199.20,60000,199.20
2014-11-24,182.00,182.00,168.15,172.25,3100,172.25
2014-11-21,183.10,183.10,171.25,174.00,7500,174.00
2014-11-20,184.00,184.45,173.10,175.50,3900,175.50
2014-11-19,185.00,185.00,175.00,176.25,3900,176.25
2014-11-18,189.00,189.60,175.75,177.45,14900,177.45
2014-11-17,187.00,189.85,180.10,180.55,3000,180.55
2014-11-14,186.00,186.00,178.00,181.70,4400,181.70
2014-11-13,192.70,192.70,175.30,184.25,10200,184.25
2014-11-12,188.20,189.45,182.00,185.80,5000,185.80
2014-11-11,196.00,196.00,182.05,184.70,51700,184.70
2014-11-10,178.00,195.95,178.00,186.00,6500,186.00
2014-11-07,201.00,201.00,190.00,193.45,4400,193.45
2014-11-06,198.65,198.65,198.65,198.65,000,198.65
2014-11-05,207.95,207.95,197.00,198.65,5500,198.65
2014-11-04,200.45,200.45,200.45,200.45,000,200.45
2014-11-03,217.00,217.00,200.00,200.45,6000,200.45
2014-10-31,224.00,224.00,200.00,204.25,8000,204.25
2014-10-30,215.00,215.00,206.00,210.00,2400,210.00
2014-10-29,229.00,229.00,210.00,213.55,7800,213.55
2014-10-28,215.50,216.00,210.25,212.00,1300,212.00
2014-10-27,216.50,223.00,208.00,219.55,4200,219.55
2014-10-24,208.65,208.65,208.65,208.65,000,208.65
2014-10-23,208.65,208.65,208.65,208.65,000,208.65
2014-10-22,182.00,215.00,182.00,208.65,55600,208.65
2014-10-21,182.40,183.90,180.05,181.00,1600,181.00
2014-10-20,185.95,196.70,178.05,189.25,10600,189.25
2014-10-17,184.10,184.10,175.25,181.95,1000,181.95
2014-10-16,185.00,193.00,177.10,179.40,45300,179.40
2014-10-15,193.45,193.45,193.45,193.45,000,193.45
2014-10-14,175.00,205.55,175.00,193.45,90900,193.45
2014-10-13,186.00,186.00,175.00,175.25,2600,175.25
2014-10-10,180.00,184.80,169.00,172.55,56400,172.55
2014-10-09,177.35,181.75,175.15,175.20,2900,175.20
2014-10-08,189.00,189.00,177.00,177.05,2600,177.05
2014-10-07,180.00,183.00,176.55,179.00,6500,179.00
2014-10-06,182.40,182.40,182.40,182.40,000,182.40
2014-10-03,182.40,182.40,182.40,182.40,000,182.40
2014-10-02,182.40,182.40,182.40,182.40,000,182.40
2014-10-01,193.85,193.85,182.25,182.40,7800,182.40
2014-09-30,158.00,200.00,158.00,191.25,6500,191.25
2014-09-29,189.90,199.00,177.00,185.10,3000,185.10
2014-09-26,172.60,186.00,172.60,185.45,1100,185.45
2014-09-25,184.00,185.00,171.15,177.10,95000,177.10
2014-09-24,181.00,204.00,180.00,180.60,4200,180.60
2014-09-23,195.05,200.00,191.95,193.00,22700,193.00
2014-09-22,199.70,200.00,192.00,199.70,14400,199.70
2014-09-19,179.50,192.00,179.50,191.70,13600,191.45
2014-09-18,176.25,186.50,176.25,185.25,19800,185.01
2014-09-17,180.00,180.00,175.30,180.00,400,179.77
2014-09-16,180.00,180.00,177.50,178.20,300,177.97
2014-09-15,180.00,180.00,179.00,179.00,700,178.77
2014-09-12,180.00,189.90,170.10,184.80,6700,184.56
2014-09-11,175.50,185.10,175.50,181.70,10100,181.46
2014-09-10,150.00,181.05,150.00,180.50,1400,180.26
2014-09-09,187.00,187.00,187.00,187.00,000,186.76
2014-09-08,161.00,185.00,161.00,182.15,2500,181.91
2014-09-05,185.60,190.00,179.00,185.00,30000,184.76
2014-09-04,180.00,185.00,173.50,181.00,52100,180.76
2014-09-03,177.10,185.40,174.10,178.50,11600,178.27
2014-09-02,177.00,184.10,176.00,179.25,22200,179.02
2014-09-01,173.25,181.50,173.25,181.50,3200,181.26
2014-08-29,181.80,181.80,181.80,181.80,000,181.56
2014-08-28,175.00,181.80,175.00,181.80,000,181.56
2014-08-27,179.35,183.00,176.00,176.35,8400,176.12
2014-08-26,183.00,189.50,177.10,183.00,23900,182.76
2014-08-25,180.00,190.00,180.00,183.85,55800,183.61
2014-08-22,176.00,189.00,175.10,184.05,1500,183.81
2014-08-21,194.00,194.00,185.00,188.20,26300,187.95
2014-08-20,187.90,187.90,179.00,180.00,7000,179.77
2014-08-19,182.00,190.00,182.00,183.40,3100,183.16
2014-08-18,179.00,186.00,179.00,182.05,1600,181.81
2014-08-15,188.00,188.00,188.00,188.00,000,187.75
2014-08-14,188.00,193.80,188.00,188.00,600,187.75
2014-08-13,204.00,204.00,187.50,188.50,6500,188.25
2014-08-12,197.90,197.90,188.40,189.50,7500,189.25
2014-08-11,197.00,199.00,181.00,197.60,14500,197.34
2014-08-08,173.10,192.00,173.00,189.70,2400,189.45
2014-08-07,188.00,190.00,171.00,175.85,2200,175.62
2014-08-06,188.95,194.90,186.05,189.85,11100,189.60
2014-08-05,193.90,197.35,175.00,186.10,92000,185.86
2014-08-04,160.00,179.60,157.45,179.45,24100,179.22
2014-08-01,162.50,163.35,147.90,163.30,42100,163.09
2014-07-31,160.00,160.00,151.35,155.60,22700,155.40
2014-07-30,170.40,170.40,157.60,159.30,24600,159.09
2014-07-29,165.85,165.85,165.85,165.85,000,165.63
2014-07-28,156.15,168.00,156.15,165.85,7400,165.63
2014-07-25,156.10,166.00,156.10,163.30,900,163.09
2014-07-24,174.85,174.85,161.55,161.60,3400,161.39
2014-07-23,179.00,179.00,166.55,166.55,400,166.33
2014-07-22,171.10,171.10,170.00,171.05,1000,170.83
2014-07-21,170.00,173.35,167.45,169.65,6400,169.43
2014-07-18,163.90,170.15,163.90,165.75,3100,165.53
2014-07-17,160.50,162.40,160.50,162.05,800,161.84
2014-07-16,164.05,168.40,164.00,165.65,3200,165.43
2014-07-15,167.25,171.00,166.50,168.15,400,167.93
2014-07-14,163.50,173.80,163.50,171.95,7200,171.73
2014-07-11,173.60,173.60,170.00,170.00,1600,169.78
2014-07-10,171.50,180.80,166.00,177.80,45500,177.57
2014-07-09,172.80,176.00,170.00,172.20,1300,171.98
2014-07-08,172.00,178.65,170.00,177.80,8000,177.57
2014-07-07,168.50,174.90,168.50,170.15,7700,169.93
2014-07-04,170.05,176.85,167.50,170.05,2000,169.83
2014-07-03,180.00,180.00,170.05,170.60,1000,170.38
2014-07-02,175.90,175.90,172.20,174.50,1200,174.27
2014-07-01,173.00,182.60,166.10,175.80,17900,175.57
2014-06-30,167.10,175.35,164.00,173.95,4800,173.72
2014-06-27,175.00,180.00,165.05,167.00,9200,166.78
