Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,59.00,59.90,53.75,58.00,1500,58.00
2014-12-22,55.80,55.80,53.75,53.75,600,53.75
2014-12-19,55.00,56.50,52.00,53.35,900,53.35
2014-12-18,59.95,59.95,51.75,52.35,100,52.35
2014-12-17,52.70,56.65,52.70,53.00,5100,53.00
2014-12-16,57.25,57.25,53.25,55.40,1700,55.40
2014-12-15,47.65,58.85,47.65,55.90,1800,55.90
2014-12-12,55.70,55.70,52.20,54.00,2800,54.00
2014-12-11,53.70,53.70,51.00,52.95,200,52.95
2014-12-10,52.00,56.00,50.00,51.10,8800,51.10
2014-12-09,56.00,56.00,51.40,53.25,300,53.25
2014-12-08,60.00,60.00,53.00,55.95,2300,55.95
2014-12-05,59.00,59.00,53.05,53.10,600,53.10
2014-12-04,58.00,66.00,58.00,58.95,1000,58.95
2014-12-03,57.60,60.00,57.60,60.00,100,60.00
2014-12-02,63.00,63.00,57.50,57.60,2500,57.60
2014-12-01,69.70,69.95,60.00,60.85,1900,60.85
2014-11-28,63.75,64.00,59.40,60.10,2600,60.10
2014-11-27,54.00,66.50,54.00,58.25,5400,58.25
2014-11-26,58.95,59.00,54.55,56.40,400,56.40
2014-11-25,53.10,57.00,53.00,56.95,900,56.95
2014-11-24,50.50,57.95,50.50,53.50,000,53.50
2014-11-21,52.10,56.00,52.10,55.95,100,55.95
2014-11-20,55.00,55.00,51.00,52.60,100,52.60
2014-11-19,57.00,58.00,53.35,53.35,600,53.35
2014-11-18,61.40,61.40,57.85,57.85,400,57.85
2014-11-17,56.00,58.75,56.00,56.60,100,56.60
2014-11-14,55.45,55.45,55.45,55.45,000,55.45
2014-11-13,60.00,60.50,60.00,60.50,1000,60.50
2014-11-12,53.60,61.40,53.60,60.55,2700,60.55
2014-11-11,58.90,58.90,55.25,55.80,500,55.80
2014-11-10,55.35,59.00,55.35,58.90,100,58.90
2014-11-07,66.00,66.00,56.65,59.85,500,59.85
2014-11-06,55.90,55.90,55.90,55.90,000,55.90
2014-11-05,52.55,59.00,52.55,55.90,1100,55.90
2014-11-04,59.30,59.30,59.30,59.30,000,59.30
