Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,250.50,251.20,250.50,251.20,4600,251.20
2014-12-22,250.60,250.90,250.60,250.90,9800,250.90
2014-12-19,251.10,251.10,251.10,251.10,10000,251.10
2014-12-18,251.25,251.25,251.20,251.25,4000,251.25
2014-12-17,250.10,251.20,250.10,251.20,9000,251.20
2014-12-16,250.40,250.80,250.40,250.55,14000,250.55
2014-12-15,250.60,250.60,250.30,250.35,5900,250.35
2014-12-12,245.00,250.00,243.00,250.00,10700,250.00
2014-12-11,250.00,250.00,249.90,249.90,12100,249.90
2014-12-10,251.95,251.95,249.90,250.05,30200,250.05
2014-12-09,250.05,250.50,246.70,249.95,21000,249.95
2014-12-08,249.50,249.50,249.50,249.50,000,249.50
2014-12-05,249.25,250.00,249.00,249.60,9300,249.60
2014-12-04,249.20,249.90,249.00,249.90,12000,249.90
2014-12-03,251.00,251.00,249.80,249.80,28700,249.80
2014-12-02,251.00,251.00,249.50,249.50,52600,249.50
2014-12-01,250.90,251.80,250.50,250.80,7300,250.80
2014-11-28,250.60,250.60,250.60,250.60,4500,250.60
2014-11-27,251.15,251.15,251.15,251.15,000,251.15
2014-11-26,251.00,252.00,251.00,251.15,5800,251.15
2014-11-25,275.00,275.00,250.10,250.45,5000,250.45
2014-11-24,254.00,254.00,251.00,251.00,17800,251.00
2014-11-21,252.00,252.00,252.00,252.00,2600,252.00
2014-11-20,250.00,252.00,250.00,250.00,13800,250.00
2014-11-19,246.00,250.00,242.00,250.00,9300,250.00
2014-11-18,225.00,250.00,225.00,246.00,22000,246.00
2014-11-17,245.00,245.90,221.00,221.00,10300,221.00
2014-11-14,260.00,260.00,206.90,250.10,18400,250.10
2014-11-13,309.95,309.95,258.60,258.60,3700,258.60
2014-11-12,259.00,259.00,258.10,258.30,7100,258.30
2014-11-11,258.40,258.60,258.40,258.50,12000,258.50
2014-11-10,258.80,258.80,258.60,258.60,10500,258.60
2014-11-07,258.90,259.00,258.25,258.70,13400,258.70
2014-11-06,251.50,251.50,251.50,251.50,000,251.50
2014-11-05,251.50,251.50,251.50,251.50,5000,251.50
2014-11-04,258.80,258.80,258.80,258.80,000,258.80
2014-11-03,258.80,258.80,258.80,258.80,4700,258.80
2014-10-31,258.80,259.00,258.80,259.00,4700,259.00
2014-10-30,259.00,259.00,259.00,259.00,11000,259.00
2014-10-29,258.00,258.00,258.00,258.00,9700,258.00
2014-10-28,258.50,258.50,258.50,258.50,7500,258.50
2014-10-27,258.50,258.50,258.50,258.50,10000,258.50
2014-10-24,258.60,258.60,258.60,258.60,000,258.60
2014-10-23,258.60,258.60,258.60,258.60,000,258.60
2014-10-22,257.90,258.60,257.85,258.60,3500,258.60
2014-10-21,258.90,258.90,258.80,258.90,13500,258.90
2014-10-20,257.90,258.90,257.80,258.70,34900,258.70
2014-10-17,258.00,258.80,255.55,258.35,28800,258.35
2014-10-16,258.60,258.60,258.60,258.60,8000,258.60
2014-10-15,258.65,258.65,258.65,258.65,000,258.65
2014-10-14,258.60,259.20,258.60,258.65,18000,258.65
2014-10-13,256.50,258.60,256.50,258.60,8000,258.60
2014-10-10,258.60,258.80,258.60,258.80,15700,258.80
2014-10-09,258.90,259.00,258.90,258.95,12000,258.95
2014-10-08,258.80,258.80,258.80,258.80,8000,258.80
2014-10-07,258.90,259.10,258.90,259.00,5000,259.00
2014-10-06,259.00,259.00,259.00,259.00,000,259.00
2014-10-03,259.00,259.00,259.00,259.00,000,259.00
2014-10-02,259.00,259.00,259.00,259.00,000,259.00
2014-10-01,259.00,259.00,259.00,259.00,000,259.00
2014-09-30,258.90,259.00,258.90,259.00,9000,259.00
2014-09-29,259.00,259.00,259.00,259.00,000,259.00
2014-09-26,259.00,259.00,259.00,259.00,2500,259.00
2014-09-25,259.00,259.00,258.90,259.00,13200,259.00
2014-09-24,259.00,259.00,259.00,259.00,2000,259.00
2014-09-23,259.00,259.00,258.90,258.90,10000,258.90
2014-09-22,259.50,259.50,259.00,259.00,10300,259.00
2014-09-19,259.20,259.40,259.20,259.40,7000,259.40
2014-09-18,259.20,259.30,259.20,259.20,13000,259.20
2014-09-17,259.10,259.25,259.00,259.15,23100,259.15
2014-09-16,259.00,259.00,259.00,259.00,4000,259.00
2014-09-15,259.00,259.10,259.00,259.05,2700,259.05
2014-09-12,259.00,259.00,255.25,259.00,12300,259.00
2014-09-11,259.00,259.00,259.00,259.00,11000,259.00
2014-09-10,259.20,259.20,258.90,259.00,7400,259.00
2014-09-09,259.25,259.25,258.90,259.00,16500,259.00
2014-09-08,259.00,259.50,259.00,259.25,23500,259.25
2014-09-05,259.10,259.20,259.10,259.20,12300,259.20
2014-09-04,259.00,259.10,259.00,259.10,4000,259.10
2014-09-03,258.90,259.25,258.90,259.15,26600,259.15
2014-09-02,259.00,259.00,258.80,258.80,5500,258.80
2014-09-01,258.80,258.90,258.05,258.90,26200,258.90
2014-08-29,258.90,258.90,258.90,258.90,000,258.90
2014-08-28,258.80,258.90,258.80,258.90,9000,258.90
2014-08-27,256.90,257.00,256.90,256.95,14100,256.95
