Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,12.50,12.50,11.85,12.00,500,12.00
2014-12-22,11.85,12.80,11.60,12.80,700,12.80
2014-12-19,12.40,12.40,11.50,12.40,600,12.40
2014-12-18,11.60,12.70,11.45,11.61,2500,11.61
2014-12-17,11.43,12.60,11.42,12.60,1000,12.60
2014-12-16,12.00,12.00,11.55,11.55,000,11.55
2014-12-15,12.50,12.50,12.50,12.50,000,12.50
2014-12-12,11.70,12.32,11.70,12.32,100,12.32
2014-12-11,12.11,13.34,12.11,12.15,000,12.15
2014-12-10,12.20,12.90,12.20,12.70,1700,12.70
2014-12-09,12.20,12.38,10.60,12.38,3400,12.38
2014-12-08,12.10,12.40,11.15,11.26,2200,11.26
2014-12-05,12.02,13.59,12.02,12.34,200,12.34
2014-12-04,12.01,13.16,12.01,13.06,000,13.06
2014-12-03,12.39,13.20,12.39,13.17,1500,13.17
2014-12-02,11.50,11.50,11.50,11.50,000,11.50
2014-12-01,12.90,12.90,10.42,11.50,1000,11.50
2014-11-28,12.00,12.25,11.01,11.99,500,11.99
2014-11-27,11.50,12.40,10.55,11.85,4800,11.85
2014-11-26,11.65,11.65,11.65,11.65,000,11.65
2014-11-25,12.20,12.20,12.15,12.15,500,12.15
2014-11-24,12.15,13.38,12.15,13.38,500,13.38
2014-11-21,13.00,13.79,12.06,13.50,700,13.50
2014-11-20,12.80,13.10,12.25,12.86,5800,12.86
2014-11-19,12.65,14.39,12.65,14.39,000,14.39
2014-11-18,15.20,15.20,12.50,13.00,800,13.00
2014-11-17,12.00,13.20,12.00,13.00,1000,13.00
2014-11-14,12.50,13.00,12.20,13.00,500,13.00
2014-11-13,12.75,12.75,12.55,12.60,1600,12.60
2014-11-12,13.25,13.40,12.65,12.70,1200,12.70
2014-11-11,13.20,13.50,12.30,13.15,1400,13.15
2014-11-10,13.25,13.50,13.20,13.20,1100,13.20
2014-11-07,13.60,13.60,13.60,13.60,000,13.60
2014-11-06,13.70,13.70,13.70,13.70,000,13.70
2014-11-05,13.55,14.40,13.55,13.70,100,13.70
2014-11-04,14.10,14.10,14.10,14.10,000,14.10
2014-11-03,14.50,14.50,14.10,14.10,200,14.10
2014-10-31,15.00,15.00,14.05,14.95,800,14.95
2014-10-30,15.00,15.00,15.00,15.00,2000,15.00
2014-10-29,13.80,14.50,13.30,14.50,1900,14.50
2014-10-28,13.10,13.10,13.10,13.10,000,13.10
2014-10-27,14.70,14.70,13.10,13.10,1500,13.10
2014-10-24,13.60,13.60,13.60,13.60,000,13.60
2014-10-23,13.60,13.60,13.60,13.60,000,13.60
2014-10-22,13.65,14.90,13.60,13.60,1300,13.60
2014-10-21,14.00,14.70,14.00,14.50,100,14.50
2014-10-20,14.00,15.60,13.60,14.75,1900,14.75
2014-10-17,14.80,14.80,14.80,14.80,000,14.80
2014-10-16,14.00,15.50,13.60,14.80,300,14.80
2014-10-15,13.90,13.90,13.90,13.90,000,13.90
2014-10-14,14.00,15.00,13.50,13.90,6900,13.90
2014-10-13,14.00,16.45,14.00,14.85,5100,14.85
2014-10-10,14.00,15.95,14.00,15.80,100,15.80
2014-10-09,13.75,16.00,13.75,14.25,3100,14.25
2014-10-08,14.05,14.25,14.05,14.20,1400,14.20
2014-10-07,14.10,14.10,14.10,14.10,300,14.10
2014-10-06,14.60,14.60,14.60,14.60,000,14.60
2014-10-03,14.60,14.60,14.60,14.60,000,14.60
2014-10-02,14.60,14.60,14.60,14.60,000,14.60
2014-10-01,15.05,15.95,14.55,14.60,1100,14.60
2014-09-30,15.49,15.49,14.10,15.00,600,15.00
2014-09-29,15.49,15.50,14.26,14.26,1200,14.26
2014-09-26,14.00,15.00,14.00,14.48,1100,14.48
2014-09-25,16.50,16.50,14.85,14.95,1300,14.95
2014-09-24,17.50,17.50,16.50,16.50,000,16.50
2014-09-23,17.50,18.05,16.00,16.14,7900,16.14
2014-09-22,15.90,17.03,14.80,16.41,19900,16.41
2014-09-19,15.00,15.50,15.00,15.49,1000,15.49
2014-09-18,14.90,15.40,14.05,15.06,1200,15.06
2014-09-17,14.40,14.40,14.00,14.40,1000,14.40
2014-09-16,15.00,15.00,13.84,13.84,1800,13.84
2014-09-15,13.90,14.92,13.90,14.92,000,14.92
2014-09-12,15.00,15.00,13.90,14.49,7500,14.49
2014-09-11,14.13,15.25,14.13,15.25,300,15.25
2014-09-10,14.00,14.63,14.00,14.10,600,14.10
2014-09-09,13.30,13.30,13.30,13.30,300,13.30
2014-09-08,13.30,13.30,13.30,13.30,000,13.30
2014-09-05,13.60,14.00,13.50,13.55,3400,13.55
2014-09-04,14.89,14.90,14.01,14.34,1400,14.34
2014-09-03,14.99,15.24,14.45,14.45,7900,14.45
2014-09-02,14.30,14.85,14.00,14.52,600,14.52
2014-09-01,14.00,14.70,14.00,14.70,500,14.70
2014-08-29,14.04,14.04,14.04,14.04,000,14.04
2014-08-28,13.82,14.25,13.82,14.04,600,14.04
