Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,655.00,780.95,645.00,769.50,1473000,769.50
2014-12-22,648.90,671.70,636.35,650.80,218400,650.80
2014-12-19,594.95,675.00,592.00,647.05,471800,647.05
2014-12-18,545.00,596.55,545.00,585.65,93300,585.65
2014-12-17,544.00,557.40,525.50,541.90,12100,541.90
2014-12-16,540.30,556.65,529.00,547.40,32800,547.40
2014-12-15,555.55,557.05,542.00,545.75,7300,545.75
2014-12-12,569.10,574.95,552.60,555.75,13500,555.75
2014-12-11,580.65,583.55,564.00,565.40,8600,565.40
2014-12-10,580.00,589.90,576.40,583.80,12100,583.80
2014-12-09,585.00,596.10,573.05,579.15,19100,579.15
2014-12-08,598.30,610.00,582.60,590.10,24200,590.10
2014-12-05,605.70,615.00,591.95,597.70,49200,597.70
2014-12-04,603.90,618.30,593.90,602.80,57100,602.80
2014-12-03,589.00,613.80,579.10,599.85,97500,599.85
2014-12-02,574.40,621.65,560.55,595.80,227900,595.80
2014-12-01,593.20,599.95,563.55,566.60,37700,566.60
2014-11-28,605.00,624.35,591.50,594.75,90900,594.75
2014-11-27,622.00,631.00,595.75,601.15,203000,601.15
2014-11-26,528.90,633.00,528.90,619.80,662400,619.80
2014-11-25,521.60,533.90,520.25,530.35,20100,530.35
2014-11-24,527.10,539.50,524.55,525.25,36300,525.25
2014-11-21,521.20,532.00,509.60,520.50,42700,520.50
2014-11-20,488.55,543.00,486.00,520.90,150500,520.90
2014-11-19,474.00,492.60,474.00,485.00,9000,485.00
2014-11-18,469.85,480.25,469.85,475.55,5100,475.55
2014-11-17,470.00,470.00,464.65,467.65,5900,467.65
2014-11-14,470.00,474.75,463.20,468.20,11100,468.20
2014-11-13,483.00,485.85,475.00,476.05,8000,476.05
2014-11-12,477.10,482.00,475.25,478.35,6200,478.35
2014-11-11,481.85,486.85,476.00,477.05,7800,477.05
2014-11-10,482.55,482.65,476.00,477.40,5400,477.40
2014-11-07,482.50,485.10,473.10,478.65,5900,478.65
2014-11-06,482.10,482.10,482.10,482.10,000,482.10
2014-11-05,490.00,502.00,481.00,482.10,10800,482.10
2014-11-04,486.85,486.85,486.85,486.85,000,486.85
2014-11-03,485.00,494.00,485.00,486.85,10500,486.85
2014-10-31,480.80,487.00,480.00,481.60,8700,481.60
2014-10-30,480.35,487.05,480.05,481.55,4900,481.55
2014-10-29,482.35,483.20,478.15,480.30,5200,480.30
2014-10-28,481.50,484.30,478.10,481.65,8400,481.65
2014-10-27,481.60,483.95,478.60,481.55,5400,481.55
2014-10-24,483.05,483.05,483.05,483.05,000,483.05
2014-10-23,483.05,483.05,483.05,483.05,000,483.05
2014-10-22,483.95,492.70,477.50,483.05,13200,483.05
2014-10-21,494.05,494.40,475.85,477.40,22200,477.40
2014-10-20,505.00,512.00,493.60,495.85,12900,495.85
2014-10-17,493.20,496.00,488.20,491.20,6500,491.20
2014-10-16,496.75,499.00,491.00,495.85,7900,495.85
2014-10-15,497.00,497.00,497.00,497.00,000,497.00
2014-10-14,498.00,500.85,493.05,497.00,8900,497.00
2014-10-13,494.15,498.00,493.00,496.15,5400,496.15
2014-10-10,500.00,502.05,491.50,495.10,8900,495.10
2014-10-09,498.05,505.00,493.00,498.10,9700,498.10
2014-10-08,494.00,500.00,481.75,492.10,7700,492.10
2014-10-07,495.75,503.50,486.50,490.90,7200,490.90
2014-10-06,492.20,492.20,492.20,492.20,000,492.20
2014-10-03,492.20,492.20,492.20,492.20,000,492.20
2014-10-02,492.20,492.20,492.20,492.20,000,492.20
2014-10-01,498.65,507.00,492.20,495.75,9100,495.75
2014-09-30,502.00,509.10,490.50,498.00,25200,498.00
2014-09-29,503.00,517.30,500.50,504.35,21900,504.35
2014-09-26,493.00,508.80,491.60,499.95,14400,499.95
2014-09-25,502.00,502.50,487.10,493.85,13100,493.85
2014-09-24,502.00,507.90,492.00,501.60,19700,501.60
2014-09-23,505.00,526.00,494.05,499.95,43000,499.95
2014-09-22,500.00,506.30,494.55,499.55,8300,499.55
2014-09-19,486.00,507.75,486.00,495.85,21200,495.85
2014-09-18,500.50,515.00,495.25,497.80,14000,497.80
2014-09-17,505.10,506.00,494.00,499.55,13500,499.55
2014-09-16,524.70,524.70,492.50,495.55,33200,495.55
2014-09-15,505.00,531.45,495.75,521.60,94000,521.60
2014-09-12,485.90,516.90,485.90,502.25,136400,502.25
2014-09-11,468.85,487.85,466.90,481.40,73800,481.40
2014-09-10,464.00,474.90,459.95,465.40,37100,465.40
2014-09-09,456.00,473.00,456.00,466.05,34100,466.05
2014-09-08,454.00,464.00,450.00,457.80,18300,457.80
2014-09-05,452.00,455.00,447.05,449.55,9000,449.55
2014-09-04,456.65,456.90,445.10,448.00,13100,448.00
2014-09-03,460.20,464.65,452.10,453.00,18700,453.00
2014-09-02,450.50,476.80,449.25,460.45,84400,460.45
2014-09-01,444.50,452.75,444.50,449.30,11700,449.30
2014-08-29,444.20,444.20,444.20,444.20,000,444.20
2014-08-28,446.00,451.00,441.20,444.20,9900,444.20
2014-08-27,444.00,453.40,440.35,443.25,15300,443.25
2014-08-26,448.00,452.15,438.05,440.85,14700,440.85
2014-08-25,466.50,468.95,446.95,449.60,17300,449.60
2014-08-22,461.00,481.50,458.20,462.30,68000,462.30
2014-08-21,457.50,465.00,454.00,457.70,29100,457.70
2014-08-20,462.00,464.90,447.30,454.15,27700,454.15
2014-08-19,438.00,477.55,435.95,463.50,163700,463.50
2014-08-18,430.50,438.00,428.05,436.40,11300,436.40
2014-08-15,430.35,430.35,430.35,430.35,000,430.35
2014-08-14,429.00,443.30,427.00,430.35,13800,430.35
2014-08-13,432.70,439.00,427.25,429.20,12600,429.20
2014-08-12,440.00,444.00,425.05,430.05,14600,430.05
2014-08-11,445.00,446.90,431.00,434.80,9400,434.80
2014-08-08,446.00,446.00,432.00,437.00,12500,437.00
2014-08-07,453.95,462.80,442.20,446.75,34200,446.75
2014-08-06,450.00,462.30,443.30,447.70,28500,447.70
2014-08-05,434.65,456.30,430.50,450.25,59600,450.25
2014-08-04,439.00,439.00,428.70,430.50,13100,430.50
2014-08-01,437.00,440.40,425.00,427.70,15700,427.70
2014-07-31,442.55,449.90,436.10,439.15,20000,439.15
2014-07-30,451.00,454.60,441.00,443.05,16500,443.05
2014-07-29,448.20,448.20,448.20,448.20,000,448.20
2014-07-28,454.00,465.00,445.60,448.20,54200,448.20
2014-07-25,461.65,461.95,448.90,451.90,20300,451.90
2014-07-24,460.00,474.00,455.25,466.20,40000,466.20
2014-07-23,460.00,466.00,455.05,456.60,14600,456.60
2014-07-22,460.00,469.00,457.15,459.20,23700,459.20
2014-07-21,467.00,474.95,453.00,456.45,33400,456.45
2014-07-18,454.00,479.90,451.00,464.10,114300,464.10
2014-07-17,454.00,465.80,454.00,455.80,38600,455.80
2014-07-16,458.00,468.40,453.00,454.90,41400,454.90
2014-07-15,457.00,467.00,450.50,454.55,41400,454.55
2014-07-14,444.00,462.65,435.00,453.75,76200,453.75
2014-07-11,462.00,469.15,436.50,443.60,50500,443.60
2014-07-10,469.00,476.90,447.00,454.00,107900,454.00
2014-07-09,489.45,489.45,453.30,466.25,128600,466.25
2014-07-08,529.50,531.65,470.00,477.85,89200,477.85
2014-07-07,535.00,543.70,521.80,529.00,184200,529.00
2014-07-04,523.00,551.00,516.00,533.25,252700,533.25
2014-07-03,538.00,543.40,522.10,524.10,53100,524.10
2014-07-02,509.00,578.90,504.80,539.00,1539200,539.00
2014-07-01,416.00,495.35,413.60,495.35,347500,495.35
2014-06-30,414.45,417.85,410.10,412.80,4800,412.80
2014-06-27,417.70,424.00,406.25,409.00,12500,409.00
2014-06-26,415.00,423.55,402.75,412.55,34400,412.55
2014-06-25,431.80,434.45,418.00,422.85,32600,422.85
2014-06-24,402.65,444.30,401.00,432.70,145000,432.70
2014-06-23,401.20,405.00,397.00,398.75,6600,398.75
2014-06-20,404.00,410.00,398.20,399.95,5600,399.95
2014-06-19,415.00,415.00,398.00,399.90,6500,399.90
2014-06-18,415.00,421.95,408.00,412.70,8900,412.70
2014-06-17,412.75,417.80,405.55,414.60,9400,414.60
2014-06-16,415.00,415.00,395.00,409.95,10000,409.95
2014-06-13,408.00,416.00,403.05,410.00,11200,410.00
2014-06-12,420.00,421.00,403.65,408.00,7400,408.00
2014-06-11,423.05,435.50,407.00,415.05,34000,415.05
2014-06-10,432.00,439.00,417.95,420.80,18500,420.80
2014-06-09,413.60,439.00,411.75,435.00,97000,435.00
2014-06-06,412.00,413.90,405.00,409.70,31900,409.70
2014-06-05,413.85,415.35,405.00,405.80,37000,405.80
2014-06-04,382.15,410.00,382.00,406.00,103000,406.00
2014-06-03,386.20,387.00,378.00,381.25,11600,381.25
2014-06-02,374.70,391.55,372.10,385.40,31400,385.40
2014-05-30,382.35,383.00,371.05,372.35,7800,372.35
2014-05-29,366.00,381.80,366.00,379.85,12200,379.85
2014-05-28,382.00,387.70,376.30,379.05,20300,379.05
2014-05-27,370.00,391.80,370.00,381.60,72700,381.60
2014-05-26,377.20,384.70,370.00,372.20,28800,372.20
2014-05-23,375.10,378.85,370.40,372.60,18900,372.60
2014-05-22,374.00,378.60,371.10,372.50,41400,372.50
2014-05-21,378.35,383.00,372.25,373.45,8700,373.45
2014-05-20,380.40,383.00,370.60,375.55,14900,375.55
2014-05-19,378.50,388.00,376.45,381.70,31800,381.70
2014-05-16,402.40,405.10,372.00,375.30,49900,375.30
2014-05-15,392.00,409.40,389.00,394.25,75600,394.25
2014-05-14,390.00,399.25,382.15,390.20,40300,390.20
2014-05-13,388.20,401.00,385.00,388.55,59300,388.55
2014-05-12,365.00,397.00,360.00,378.70,124800,378.70
2014-05-09,362.40,365.95,359.00,362.85,16000,362.85
2014-05-08,370.00,372.45,359.15,361.45,16500,361.45
2014-05-07,374.80,375.90,360.80,367.00,13500,367.00
2014-05-06,371.70,376.00,369.00,372.00,12200,372.00
2014-05-05,373.75,384.50,366.15,368.80,44300,368.80
2014-05-02,383.10,384.00,366.00,370.50,36800,370.50
2014-05-01,378.95,378.95,378.95,378.95,000,378.95
2014-04-30,394.05,395.85,368.50,378.95,33400,378.95
2014-04-29,399.95,406.70,388.00,390.60,86800,390.60
2014-04-28,373.35,397.80,360.05,385.35,126300,385.35
2014-04-25,381.95,382.20,363.00,366.60,55200,366.60
2014-04-24,377.75,377.75,377.75,377.75,000,377.75
2014-04-23,377.95,390.95,375.30,377.75,60500,377.75
2014-04-22,415.15,417.30,372.00,374.50,130400,374.50
2014-04-21,411.00,426.20,407.00,409.75,80600,409.75
2014-04-18,406.65,406.65,406.65,406.65,000,406.65
2014-04-17,408.50,422.45,397.00,406.65,268300,406.65
2014-04-16,356.90,422.20,347.60,413.30,483100,413.30
2014-04-15,384.00,392.40,353.30,357.40,988100,357.40
2014-04-14,369.75,369.75,369.75,369.75,000,369.75
2014-04-11,313.00,369.75,313.00,369.75,216400,369.75
2014-04-10,297.20,312.85,297.20,308.15,26900,308.15
2014-04-09,292.50,302.50,291.85,299.70,20500,299.70
2014-04-08,285.65,285.65,285.65,285.65,000,285.65
2014-04-07,288.00,291.90,284.00,285.65,5600,285.65
2014-04-04,285.00,290.00,282.00,287.75,15400,287.75
2014-04-03,278.45,282.70,265.65,281.65,663600,281.65
2014-04-02,260.00,275.00,260.00,271.00,15900,271.00
2014-04-01,261.00,265.90,256.00,262.60,16400,262.60
2014-03-31,259.80,260.00,254.15,257.85,12500,257.85
2014-03-28,257.50,261.00,252.00,253.60,24400,253.60
2014-03-27,252.00,257.00,249.60,255.05,6600,255.05
2014-03-26,260.00,261.20,248.15,249.90,15400,249.90
2014-03-25,264.75,265.95,255.00,258.20,19400,258.20
2014-03-24,272.30,273.15,257.55,259.25,20400,259.25
2014-03-21,258.70,262.00,257.05,259.45,24600,259.45
2014-03-20,250.00,254.80,245.15,253.05,15800,253.05
2014-03-19,245.00,252.70,244.90,247.15,17200,247.15
2014-03-18,245.00,249.00,242.50,244.70,12100,244.70
2014-03-17,241.05,241.05,241.05,241.05,000,241.05
2014-03-14,239.95,245.95,235.50,241.05,21200,241.05
2014-03-13,241.00,243.70,232.00,234.15,7700,234.15
2014-03-12,249.80,251.00,240.00,241.05,26900,241.05
2014-03-11,233.90,246.70,231.00,244.50,118900,244.50
2014-03-10,223.15,232.00,222.80,230.25,9600,230.25
2014-03-07,223.00,226.00,221.50,222.80,11000,222.80
2014-03-06,221.00,223.80,220.90,223.15,9900,223.15
2014-03-05,224.45,225.45,219.25,220.10,17400,220.10
2014-03-04,225.00,227.00,222.00,222.90,8300,222.90
