Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,28.90,28.90,24.25,25.95,1500,25.95
2014-12-22,27.90,27.90,24.50,26.90,000,26.90
2014-12-19,29.00,29.00,25.50,26.95,000,26.95
2014-12-18,30.45,30.45,25.50,28.00,300,28.00
2014-12-17,29.95,29.95,27.90,27.95,100,27.95
2014-12-16,30.00,30.00,28.35,28.35,000,28.35
2014-12-15,26.05,28.25,25.80,28.25,500,28.25
2014-12-12,28.65,28.65,28.65,28.65,000,28.65
2014-12-11,29.90,29.90,26.15,28.60,000,28.60
2014-12-10,25.25,28.75,25.25,28.75,100,28.75
2014-12-09,29.05,29.05,24.75,27.55,000,27.55
2014-12-08,27.95,27.95,25.00,26.65,000,26.65
2014-12-05,26.00,28.00,26.00,26.05,1300,26.05
2014-12-04,28.90,28.90,26.25,27.75,1200,27.75
2014-12-03,30.90,30.90,22.70,27.95,600,27.95
2014-12-02,30.90,30.90,26.60,28.05,400,28.05
2014-12-01,24.55,35.70,24.55,28.95,700,28.95
2014-11-28,23.35,31.95,23.35,29.95,6600,29.95
2014-11-27,23.50,29.85,23.50,27.20,800,27.20
2014-11-26,22.80,30.00,22.80,28.15,1000,28.15
2014-11-25,31.00,32.00,28.10,28.15,500,28.15
2014-11-24,33.05,33.05,30.40,32.00,900,32.00
2014-11-21,34.80,34.85,27.00,30.80,2400,30.80
2014-11-20,34.70,34.70,29.05,32.20,700,32.20
2014-11-19,28.85,29.05,28.85,29.05,000,29.05
2014-11-18,29.40,30.00,29.30,30.00,600,30.00
2014-11-17,28.65,29.15,28.65,29.15,000,29.15
2014-11-14,29.00,38.85,29.00,32.75,3100,32.75
2014-11-13,35.75,35.90,30.00,33.90,800,33.90
2014-11-12,26.05,31.50,26.00,31.20,3300,31.20
2014-11-11,27.00,27.00,27.00,27.00,000,27.00
2014-11-10,27.90,28.00,27.90,28.00,100,28.00
2014-11-07,27.20,27.20,27.20,27.20,000,27.20
2014-11-06,27.90,27.90,27.90,27.90,000,27.90
2014-11-05,27.90,27.90,27.90,27.90,000,27.90
2014-11-04,27.90,27.90,27.90,27.90,000,27.90
2014-11-03,27.90,27.90,27.90,27.90,000,27.90
2014-10-31,27.55,27.90,27.00,27.90,300,27.90
2014-10-30,30.75,30.75,30.75,30.75,000,30.75
2014-10-29,30.95,30.95,30.70,30.75,800,30.75
2014-10-28,31.45,31.45,27.00,31.00,200,31.00
2014-10-27,27.00,27.00,27.00,27.00,000,27.00
