Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,29.70,29.95,28.65,28.80,447400,28.80
2014-12-22,28.85,30.25,28.50,29.70,1352000,29.70
2014-12-19,29.30,30.35,28.35,28.65,971100,28.65
2014-12-18,27.50,29.25,27.50,28.95,719400,28.95
2014-12-17,27.10,27.90,25.90,27.15,1047900,27.15
2014-12-16,29.65,30.10,27.10,27.40,1284600,27.40
2014-12-15,29.45,30.40,29.25,29.65,643900,29.65
2014-12-12,30.90,31.25,29.60,29.90,772700,29.90
2014-12-11,31.10,31.10,30.05,30.25,578400,30.25
2014-12-10,30.60,31.45,30.60,31.05,518400,31.05
2014-12-09,31.80,32.30,30.55,30.90,1493700,30.90
2014-12-08,33.85,33.85,31.75,31.95,881300,31.95
2014-12-05,32.55,34.75,32.35,33.85,2550500,33.85
2014-12-04,33.05,33.35,32.10,32.45,1184700,32.45
2014-12-03,30.45,33.25,30.25,32.55,1770600,32.55
2014-12-02,30.00,31.00,29.45,30.40,869600,30.40
2014-12-01,30.80,32.00,29.95,30.05,517300,30.05
2014-11-28,30.90,31.75,30.55,30.85,720300,30.85
2014-11-27,31.30,31.70,30.60,30.75,771300,30.75
2014-11-26,30.25,31.85,29.95,31.60,1371100,31.60
2014-11-25,32.20,32.60,29.35,29.95,1297800,29.95
2014-11-24,32.80,33.20,32.10,32.35,601200,32.35
2014-11-21,32.80,33.80,32.60,32.70,772100,32.70
2014-11-20,33.10,33.85,32.80,33.10,676600,33.10
2014-11-19,35.45,35.80,33.25,33.45,1030200,33.45
2014-11-18,34.95,36.20,34.80,35.15,1018300,35.15
2014-11-17,34.70,35.70,33.90,34.80,1159400,34.80
2014-11-14,34.40,35.15,34.25,34.70,907800,34.70
2014-11-13,35.45,35.75,34.00,34.20,1094600,34.20
2014-11-12,37.25,37.30,35.00,35.10,1661800,35.10
2014-11-11,36.50,38.25,36.30,36.75,4974200,36.75
2014-11-10,33.40,35.05,32.60,34.10,1971000,34.10
2014-11-07,34.80,35.20,33.05,33.25,1178200,33.25
2014-11-06,34.75,34.75,34.75,34.75,000,34.75
2014-11-05,35.25,36.65,34.50,34.75,2333000,34.75
2014-11-04,34.95,34.95,34.95,34.95,000,34.95
2014-11-03,33.30,35.65,32.40,34.95,2974800,34.95
2014-10-31,30.25,33.35,30.10,33.10,4622000,33.10
2014-10-30,30.90,30.90,29.40,29.65,1042100,29.65
2014-10-29,31.20,31.20,29.85,30.05,1212700,30.05
2014-10-28,29.25,30.65,29.25,30.30,1768500,30.30
2014-10-27,29.45,30.20,28.40,28.90,667200,28.90
