Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,426.25,426.25,426.25,426.25,000,426.25
2014-12-22,448.65,448.65,448.65,448.65,200,448.65
2014-12-19,469.70,502.45,469.70,472.25,400,472.25
2014-12-18,468.80,510.00,468.80,494.40,6800,494.40
2014-12-17,493.45,493.45,493.45,493.45,100,493.45
2014-12-16,540.00,540.00,519.40,519.40,1300,519.40
2014-12-15,547.60,547.60,525.00,546.70,10400,546.70
2014-12-12,521.55,521.55,520.00,521.55,1300,521.55
2014-12-11,496.75,496.75,480.00,496.75,10600,496.75
2014-12-10,473.10,473.10,473.00,473.10,18800,473.10
2014-12-09,450.60,450.60,412.00,450.60,2300,450.60
2014-12-08,371.00,409.65,371.00,409.65,2900,409.65
2014-12-05,328.05,380.00,328.05,372.45,1200,372.45
2014-12-04,343.15,359.00,343.15,349.00,200,349.00
2014-12-03,335.05,362.25,335.05,343.15,600,343.15
2014-12-02,337.80,345.00,337.80,345.00,100,345.00
2014-12-01,351.65,353.00,351.65,351.95,100,351.95
2014-11-28,343.90,359.85,343.90,359.85,400,359.85
2014-11-27,358.10,365.00,355.20,361.80,600,361.80
2014-11-26,338.00,359.90,338.00,355.05,1000,355.05
2014-11-25,340.15,364.50,338.05,351.05,1400,351.05
2014-11-24,329.30,363.50,329.30,350.10,1300,350.10
2014-11-21,365.00,365.00,345.80,346.60,1200,346.60
2014-11-20,364.00,364.00,355.00,364.00,600,364.00
2014-11-19,355.20,373.75,355.20,357.60,900,357.60
2014-11-18,377.55,378.00,347.00,368.60,3600,368.60
2014-11-17,370.00,382.95,349.00,365.00,3700,365.00
2014-11-14,398.00,398.00,362.90,366.65,13300,366.65
2014-11-13,381.95,381.95,346.10,381.95,15000,381.95
2014-11-12,363.80,363.80,363.80,363.80,400,363.80
2014-11-11,346.50,346.50,346.50,346.50,500,346.50
2014-11-10,330.00,330.00,330.00,330.00,000,330.00
2014-11-07,314.30,314.30,314.30,314.30,200,314.30
2014-11-06,299.35,299.35,299.35,299.35,000,299.35
2014-11-05,299.35,299.35,299.35,299.35,600,299.35
2014-11-04,285.10,285.10,285.10,285.10,000,285.10
2014-11-03,275.00,285.10,275.00,285.10,3300,285.10
2014-10-31,275.60,275.60,250.05,271.55,1200,271.55
2014-10-30,262.50,262.50,260.00,262.50,2400,262.50
2014-10-29,266.00,266.70,250.00,250.00,300,250.00
2014-10-28,254.00,254.65,236.50,254.00,900,254.00
2014-10-27,220.20,242.55,219.60,242.55,500,242.55
2014-10-24,242.55,242.55,242.55,242.55,000,242.55
2014-10-23,242.55,242.55,242.55,242.55,000,242.55
2014-10-22,240.00,242.55,225.00,242.55,2500,242.55
2014-10-21,211.00,231.00,211.00,231.00,500,231.00
2014-10-20,210.00,220.00,210.00,220.00,100,220.00
2014-10-17,239.85,240.00,217.30,217.50,300,217.50
2014-10-16,247.80,247.80,224.20,228.65,100,228.65
2014-10-15,236.00,236.00,236.00,236.00,000,236.00
2014-10-14,236.00,236.00,236.00,236.00,100,236.00
2014-10-13,220.00,234.45,220.00,225.05,1100,225.05
2014-10-10,229.00,229.00,223.25,223.30,2000,223.30
2014-10-09,250.00,250.00,235.00,235.00,600,235.00
2014-10-08,228.10,252.00,228.10,239.20,200,239.20
2014-10-07,251.00,251.00,240.00,240.05,100,240.05
2014-10-06,251.00,251.00,251.00,251.00,000,251.00
2014-10-03,251.00,251.00,251.00,251.00,000,251.00
2014-10-02,251.00,251.00,251.00,251.00,000,251.00
2014-10-01,259.35,259.35,247.40,251.00,400,251.00
2014-09-30,228.90,247.00,228.90,247.00,600,247.00
2014-09-29,241.50,241.50,240.85,240.90,100,240.90
2014-09-26,246.75,246.75,230.00,230.00,500,230.00
2014-09-25,236.00,240.00,235.00,235.00,300,235.00
2014-09-24,240.00,243.60,240.00,242.75,100,242.75
2014-09-23,232.00,240.00,232.00,232.00,600,232.00
2014-09-22,241.00,241.00,234.00,237.00,700,237.00
2014-09-19,226.65,229.85,220.90,229.75,500,229.75
2014-09-18,220.00,230.20,210.00,218.95,600,218.95
2014-09-17,220.00,220.00,219.85,219.90,200,219.90
2014-09-16,240.50,240.50,219.00,220.95,800,220.95
2014-09-15,229.10,229.10,228.90,229.05,800,229.05
2014-09-12,220.45,220.50,210.00,218.20,800,218.20
2014-09-11,211.40,211.40,210.00,210.00,700,210.00
2014-09-10,201.35,201.35,201.35,201.35,100,201.35
2014-09-09,191.80,191.80,184.50,191.80,600,191.80
2014-09-08,181.95,182.70,178.00,182.70,600,182.70
2014-09-05,172.00,174.95,170.50,174.00,2000,174.00
2014-09-04,181.00,181.00,171.50,179.45,200,179.45
2014-09-03,190.00,190.05,180.50,180.50,1000,180.50
2014-09-02,189.55,207.00,189.55,190.00,1000,190.00
2014-09-01,210.00,215.00,199.50,199.50,2300,199.50
2014-08-29,210.00,210.00,210.00,210.00,000,210.00
2014-08-28,226.55,226.60,210.00,210.00,1400,210.00
2014-08-27,219.90,219.90,199.50,215.85,4200,215.85
2014-08-26,209.45,209.45,209.00,209.45,500,209.45
2014-08-25,199.00,199.50,199.00,199.50,1000,199.50
2014-08-22,185.00,190.70,173.00,190.00,3000,190.00
2014-08-21,181.65,181.65,181.65,181.65,1100,181.65
2014-08-20,173.00,173.00,156.60,173.00,4800,173.00
2014-08-19,170.75,170.75,155.00,164.80,1300,164.80
2014-08-18,159.70,162.65,159.65,162.65,400,162.65
2014-08-15,154.95,154.95,154.95,154.95,000,154.95
2014-08-14,154.95,154.95,153.20,154.95,3100,154.95
2014-08-13,145.00,148.00,143.00,147.60,1800,147.60
2014-08-12,149.80,150.00,149.75,149.80,1000,149.80
2014-08-11,146.90,147.00,143.00,146.95,500,146.95
2014-08-08,150.00,150.00,144.00,144.25,1300,144.25
2014-08-07,144.10,149.95,142.25,149.95,600,149.95
2014-08-06,149.90,150.20,145.55,145.95,1000,145.95
2014-08-05,151.00,151.00,143.05,143.05,1200,143.05
2014-08-04,141.95,143.85,141.95,143.85,1800,143.85
2014-08-01,141.25,141.25,137.00,137.00,200,137.00
2014-07-31,141.15,141.85,141.15,141.85,200,141.85
2014-07-30,130.10,139.95,128.90,139.95,300,139.95
2014-07-29,135.60,135.60,135.60,135.60,000,135.60
2014-07-28,135.60,135.60,135.60,135.60,000,135.60
2014-07-25,132.55,142.95,132.25,135.60,900,135.60
2014-07-24,135.10,142.00,135.10,137.55,1200,137.55
2014-07-23,145.00,145.00,139.05,139.05,100,139.05
2014-07-22,142.00,142.00,142.00,142.00,000,142.00
2014-07-21,140.20,145.00,133.55,145.00,000,145.00
2014-07-18,138.40,140.20,138.35,140.20,100,140.20
2014-07-17,145.00,145.00,145.00,145.00,100,145.00
2014-07-16,139.05,139.05,139.05,139.05,100,139.05
2014-07-15,146.00,146.00,146.00,146.00,000,146.00
2014-07-14,146.00,146.00,146.00,146.00,000,146.00
2014-07-11,146.00,146.00,146.00,146.00,000,146.00
2014-07-10,146.00,146.00,146.00,146.00,000,146.00
2014-07-09,146.00,146.00,146.00,146.00,000,146.00
2014-07-08,141.75,148.50,141.75,145.00,1200,145.00
2014-07-07,141.30,142.05,141.00,141.50,700,141.50
2014-07-04,146.00,146.00,146.00,146.00,000,146.00
2014-07-03,137.00,148.95,135.90,148.95,300,148.95
2014-07-02,143.00,143.00,143.00,143.00,000,143.00
2014-07-01,144.00,144.00,144.00,144.00,000,144.00
2014-06-30,143.55,144.95,142.45,144.50,1100,144.50
2014-06-27,149.90,149.90,149.90,149.90,000,149.90
2014-06-26,144.00,149.65,144.00,149.65,100,149.65
2014-06-25,144.50,150.00,144.10,149.95,1100,149.95
2014-06-24,150.50,153.00,147.30,150.00,2800,150.00
2014-06-23,142.55,150.50,142.55,150.50,000,150.50
2014-06-20,143.35,143.35,143.35,143.35,000,143.35
2014-06-19,150.00,150.00,150.00,150.00,000,150.00
2014-06-18,149.40,155.00,149.40,155.00,200,155.00
2014-06-17,157.00,157.00,157.00,157.00,500,157.00
2014-06-16,163.65,163.65,157.00,157.00,700,157.00
2014-06-13,154.95,155.90,154.95,155.90,1500,155.90
2014-06-12,148.50,148.50,148.50,148.50,000,148.50
2014-06-11,137.05,150.00,137.05,141.45,1100,141.45
2014-06-10,144.50,144.50,141.50,143.90,100,143.90
2014-06-09,145.40,145.40,145.35,145.35,500,145.35
2014-06-06,150.00,152.20,144.20,152.10,500,152.10
2014-06-05,145.00,145.05,145.00,145.00,200,145.00
2014-06-04,140.05,150.00,140.05,144.60,1100,144.60
2014-06-03,155.00,157.00,143.60,145.70,2800,145.70
2014-06-02,157.00,157.00,141.95,149.00,1400,149.00
2014-05-30,150.00,155.00,147.20,152.50,1700,152.50
2014-05-29,162.70,162.70,140.00,148.80,600,148.80
2014-05-28,129.60,149.85,129.60,148.95,3500,148.95
2014-05-27,120.00,124.90,115.10,124.90,800,124.90
2014-05-26,120.45,126.00,120.45,124.95,2400,124.95
2014-05-23,113.50,129.60,113.50,120.30,500,120.30
2014-05-22,115.00,127.90,110.35,118.60,3200,118.60
2014-05-21,111.90,116.95,110.05,115.85,400,115.85
2014-05-20,103.40,103.40,103.40,103.40,000,103.40
2014-05-19,103.20,109.80,102.65,103.40,500,103.40
2014-05-16,115.75,115.85,100.05,102.10,400,102.10
2014-05-15,101.00,111.60,101.00,105.00,400,105.00
2014-05-14,103.00,113.70,103.00,113.70,000,113.70
2014-05-13,110.00,120.00,102.80,102.80,500,102.80
2014-05-12,120.00,120.00,109.80,109.80,100,109.80
2014-05-09,103.00,110.45,103.00,103.00,200,103.00
2014-05-08,100.00,109.95,100.00,102.00,200,102.00
2014-05-07,102.75,110.00,102.75,110.00,000,110.00
2014-05-06,112.50,112.90,112.50,112.80,100,112.80
2014-05-05,107.95,111.90,102.70,102.70,000,102.70
2014-05-02,113.70,113.70,113.70,113.70,000,113.70
2014-05-01,113.70,113.70,113.70,113.70,000,113.70
2014-04-30,113.70,113.70,113.70,113.70,000,113.70
2014-04-29,113.40,113.40,113.40,113.40,000,113.40
2014-04-28,113.40,113.40,113.40,113.40,000,113.40
2014-04-25,103.65,103.65,103.65,103.65,000,103.65
2014-04-24,103.65,103.65,103.65,103.65,000,103.65
2014-04-23,102.60,106.00,102.60,103.65,200,103.65
2014-04-22,107.50,107.50,107.50,107.50,000,107.50
2014-04-21,102.30,102.30,102.30,102.30,000,102.30
2014-04-18,110.20,110.20,110.20,110.20,000,110.20
2014-04-17,101.10,113.40,101.10,110.20,000,110.20
2014-04-16,101.60,106.00,101.60,103.20,200,103.20
2014-04-15,109.80,110.00,106.00,106.00,400,106.00
2014-04-14,107.00,107.00,107.00,107.00,000,107.00
2014-04-11,108.05,110.00,107.00,107.00,600,107.00
2014-04-10,113.90,113.90,113.90,113.90,100,113.90
2014-04-09,104.20,114.95,104.20,114.95,100,114.95
2014-04-08,110.00,110.00,110.00,110.00,000,110.00
2014-04-07,118.80,118.80,105.35,110.00,300,110.00
2014-04-04,107.95,108.00,107.00,108.00,200,108.00
2014-04-03,100.80,100.80,100.15,100.20,000,100.20
2014-04-02,103.10,112.00,101.05,101.50,400,101.50
2014-04-01,110.90,111.00,110.90,111.00,100,111.00
2014-03-31,104.00,114.30,104.00,109.95,2000,109.95
2014-03-28,104.00,104.00,104.00,104.00,000,104.00
2014-03-27,103.65,103.65,98.25,100.00,600,100.00
2014-03-26,103.00,109.75,95.00,95.05,2100,95.05
2014-03-25,105.50,105.50,105.50,105.50,000,105.50
2014-03-24,109.90,109.90,105.50,105.50,000,105.50
2014-03-21,98.45,110.95,98.45,109.30,300,109.30
2014-03-20,107.90,107.90,103.25,103.65,100,103.65
2014-03-19,97.30,107.65,97.30,98.15,400,98.15
2014-03-18,96.50,110.75,96.50,108.00,200,108.00
2014-03-17,101.20,101.20,101.20,101.20,000,101.20
2014-03-14,100.00,114.50,100.00,101.20,200,101.20
2014-03-13,100.00,108.00,100.00,108.00,000,108.00
2014-03-12,108.60,114.55,98.00,99.15,1100,99.15
2014-03-11,118.00,119.00,107.15,108.10,1500,108.10
2014-03-10,119.00,119.00,119.00,119.00,000,119.00
2014-03-07,124.90,124.90,118.00,119.00,100,119.00
2014-03-06,115.00,121.00,115.00,120.35,100,120.35
2014-03-05,112.50,119.00,111.50,117.95,400,117.95
2014-03-04,114.75,114.75,114.75,114.75,200,114.75
2014-03-03,108.05,116.45,108.05,109.30,100,109.30
2014-02-28,110.55,111.00,110.50,111.00,100,111.00
2014-02-27,111.90,111.90,111.90,111.90,000,111.90
2014-02-26,112.40,119.00,111.90,111.90,400,111.90
2014-02-25,114.55,120.00,113.35,114.10,300,114.10
2014-02-24,117.25,123.55,115.20,116.55,1200,116.55
2014-02-21,121.95,125.10,120.00,120.05,800,120.05
2014-02-20,124.00,124.25,117.25,119.20,900,119.20
2014-02-19,121.35,121.40,114.55,120.45,500,120.45
2014-02-18,124.35,124.35,113.55,115.65,1400,115.65
2014-02-17,118.45,118.45,118.45,118.45,100,118.45
2014-02-14,112.85,112.85,112.85,112.85,000,112.85
2014-02-13,118.80,118.80,118.30,118.30,100,118.30
2014-02-12,113.75,124.40,113.60,124.40,100,124.40
2014-02-11,108.90,119.45,108.85,119.45,000,119.45
2014-02-10,109.00,114.30,103.95,114.30,100,114.30
2014-02-07,108.90,109.10,108.90,109.10,100,109.10
2014-02-06,119.95,119.95,113.40,114.55,100,114.55
2014-02-05,119.00,119.00,119.00,119.00,700,119.00
2014-02-04,119.15,119.15,119.00,119.00,000,119.00
2014-02-03,125.00,125.00,125.00,125.00,000,125.00
2014-01-31,126.50,126.50,126.50,126.50,000,126.50
2014-01-30,126.85,126.85,126.50,126.50,100,126.50
2014-01-29,143.95,147.00,133.10,133.10,500,133.10
2014-01-28,140.00,140.00,140.00,140.00,000,140.00
2014-01-27,140.00,140.00,140.00,140.00,000,140.00
2014-01-24,140.00,140.00,140.00,140.00,000,140.00
2014-01-23,140.00,140.00,140.00,140.00,000,140.00
2014-01-22,142.50,142.50,140.00,140.00,000,140.00
2014-01-21,139.00,139.00,139.00,139.00,000,139.00
2014-01-20,139.00,139.00,139.00,139.00,000,139.00
2014-01-17,139.00,139.00,139.00,139.00,000,139.00
2014-01-16,144.00,144.00,144.00,144.00,000,144.00
2014-01-15,144.00,144.00,144.00,144.00,000,144.00
2014-01-14,145.35,145.35,145.35,145.35,000,145.35
2014-01-13,145.35,145.35,145.35,145.35,000,145.35
2014-01-10,145.35,145.35,145.35,145.35,000,145.35
2014-01-09,145.35,145.35,145.35,145.35,000,145.35
2014-01-08,145.35,145.35,145.35,145.35,000,145.35
2014-01-07,138.95,138.95,138.95,138.95,000,138.95
2014-01-06,138.95,138.95,138.95,138.95,000,138.95
2014-01-03,138.95,138.95,138.95,138.95,000,138.95
2014-01-02,138.95,138.95,138.95,138.95,000,138.95
2014-01-01,138.95,138.95,138.95,138.95,000,138.95
2013-12-31,138.95,138.95,138.95,138.95,000,138.95
2013-12-30,138.95,138.95,138.95,138.95,000,138.95
2013-12-27,138.95,138.95,138.95,138.95,000,138.95
2013-12-26,138.95,138.95,138.95,138.95,000,138.95
2013-12-25,138.95,138.95,138.95,138.95,000,138.95
2013-12-24,138.95,138.95,138.95,138.95,000,138.95
2013-12-23,138.95,138.95,138.95,138.95,000,138.95
2013-12-20,138.95,138.95,138.95,138.95,000,138.95
2013-12-19,138.95,138.95,138.95,138.95,000,138.95
2013-12-18,138.95,138.95,138.95,138.95,000,138.95
2013-12-17,138.95,138.95,138.95,138.95,000,138.95
2013-12-16,138.95,138.95,138.95,138.95,000,138.95
2013-12-13,138.95,138.95,138.95,138.95,000,138.95
2013-12-12,138.95,138.95,138.95,138.95,000,138.95
2013-12-11,138.95,138.95,138.95,138.95,000,138.95
2013-12-10,138.95,138.95,138.95,138.95,000,138.95
2013-12-09,138.95,138.95,138.95,138.95,000,138.95
2013-12-06,138.95,138.95,138.95,138.95,000,138.95
2013-12-05,138.95,138.95,138.95,138.95,000,138.95
2013-12-04,138.95,138.95,138.95,138.95,000,138.95
2013-12-03,138.95,138.95,138.95,138.95,000,138.95
2013-12-02,138.95,138.95,138.95,138.95,000,138.95
2013-11-29,138.95,138.95,138.95,138.95,000,138.95
2013-11-28,138.95,138.95,138.95,138.95,000,138.95
2013-11-27,138.95,138.95,138.95,138.95,000,138.95
2013-11-26,138.95,138.95,138.95,138.95,000,138.95
2013-11-25,138.95,138.95,138.95,138.95,000,138.95
2013-11-22,138.95,138.95,138.95,138.95,000,138.95
2013-11-21,138.95,138.95,138.95,138.95,000,138.95
2013-11-20,138.95,138.95,138.95,138.95,000,138.95
2013-11-19,138.95,138.95,138.95,138.95,000,138.95
2013-11-18,138.95,138.95,138.95,138.95,000,138.95
2013-11-15,138.95,138.95,138.95,138.95,000,138.95
2013-11-14,138.95,138.95,138.95,138.95,000,138.95
2013-11-13,138.95,138.95,138.95,138.95,000,138.95
2013-11-12,138.95,138.95,138.95,138.95,000,138.95
2013-11-11,138.95,138.95,138.95,138.95,000,138.95
2013-11-08,138.95,138.95,138.95,138.95,000,138.95
2013-11-07,138.95,138.95,138.95,138.95,000,138.95
2013-11-06,138.95,138.95,138.95,138.95,000,138.95
2013-11-05,137.80,137.80,137.80,137.80,000,137.80
2013-11-04,137.80,137.80,137.80,137.80,000,137.80
2013-11-01,137.80,137.80,137.80,137.80,000,137.80
2013-10-31,137.80,137.80,137.80,137.80,000,137.80
2013-10-30,137.80,137.80,137.80,137.80,000,137.80
2013-10-29,137.80,137.80,137.80,137.80,000,137.80
2013-10-28,137.80,137.80,137.80,137.80,000,137.80
2013-10-25,137.80,137.80,137.80,137.80,000,137.80
2013-10-24,137.80,137.80,137.80,137.80,000,137.80
2013-10-23,137.80,137.80,137.80,137.80,000,137.80
2013-10-22,137.80,137.80,137.80,137.80,000,137.80
2013-10-21,137.80,137.80,137.80,137.80,000,137.80
2013-10-18,145.00,145.00,145.00,145.00,000,145.00
2013-10-17,145.00,145.00,145.00,145.00,000,145.00
2013-10-16,145.00,145.00,145.00,145.00,000,145.00
2013-10-15,145.00,145.00,145.00,145.00,000,145.00
2013-10-14,145.00,145.00,145.00,145.00,000,145.00
2013-10-11,145.00,145.00,145.00,145.00,000,145.00
2013-10-10,145.00,145.00,145.00,145.00,000,145.00
2013-10-09,145.00,145.00,145.00,145.00,000,145.00
2013-10-08,145.00,145.00,145.00,145.00,000,145.00
2013-10-07,145.00,145.00,145.00,145.00,000,145.00
2013-10-04,145.00,145.00,145.00,145.00,000,145.00
2013-10-03,145.00,145.00,145.00,145.00,000,145.00
2013-10-02,145.00,145.00,145.00,145.00,000,145.00
2013-10-01,145.00,145.00,145.00,145.00,000,145.00
2013-09-30,145.00,145.00,145.00,145.00,000,145.00
