Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,229.60,236.00,221.00,230.70,25600,230.70
2014-12-22,227.00,235.85,221.30,229.60,21300,229.60
2014-12-19,222.00,230.00,220.00,227.40,26700,227.40
2014-12-18,215.10,229.95,215.10,223.70,22800,223.70
2014-12-17,213.50,228.00,213.00,223.00,20800,223.00
2014-12-16,214.25,225.00,209.00,217.65,27900,217.65
2014-12-15,219.00,220.00,210.00,217.40,20200,217.40
2014-12-12,215.60,226.40,211.00,219.60,20800,219.60
2014-12-11,264.45,264.45,212.00,215.55,22600,215.55
2014-12-10,219.70,225.00,218.00,220.40,25100,220.40
2014-12-09,218.80,225.00,216.00,219.65,25300,219.65
2014-12-08,220.40,221.50,216.00,218.75,20400,218.75
2014-12-05,219.70,220.60,210.00,220.50,10800,220.50
2014-12-04,217.50,220.00,210.00,219.65,10600,219.65
2014-12-03,212.50,225.00,210.00,221.00,10500,221.00
2014-12-02,212.60,225.00,205.00,210.45,12700,210.45
2014-12-01,218.10,224.00,210.00,215.85,11000,215.85
2014-11-28,208.00,222.15,208.00,214.50,11200,214.50
2014-11-27,205.90,222.00,203.00,208.55,10400,208.55
2014-11-26,200.00,219.95,196.70,205.20,10100,205.20
2014-11-25,204.00,225.10,180.00,194.00,10900,194.00
2014-11-24,208.00,227.95,201.00,209.90,10100,209.90
2014-11-21,212.50,225.00,208.30,213.10,13600,213.10
2014-11-20,212.95,222.00,210.00,212.35,10200,212.35
2014-11-19,212.50,225.00,208.10,212.05,10100,212.05
2014-11-18,171.15,219.95,171.10,215.45,13300,215.45
2014-11-17,221.00,221.75,200.10,210.85,10700,210.85
2014-11-14,218.00,220.40,213.00,220.30,27400,220.30
2014-11-13,210.00,222.75,210.00,215.05,10200,215.05
2014-11-12,219.00,223.60,215.00,220.40,10800,220.40
2014-11-11,235.00,250.00,210.00,217.55,10700,217.55
2014-11-10,248.50,248.70,228.00,229.40,10000,229.40
2014-11-07,251.40,251.40,241.00,244.00,10100,244.00
2014-11-06,251.40,251.40,251.40,251.40,000,251.40
2014-11-05,254.10,255.00,248.50,251.40,10400,251.40
2014-11-04,253.85,253.85,253.85,253.85,000,253.85
2014-11-03,252.30,254.90,252.05,253.85,10000,253.85
2014-10-31,250.00,258.50,243.60,251.70,20500,251.70
2014-10-30,245.00,250.65,235.00,247.05,10500,247.05
2014-10-29,262.00,262.40,249.00,249.35,10000,249.35
2014-10-28,270.00,270.00,255.00,257.75,10700,257.75
2014-10-27,275.50,277.00,262.50,266.25,10100,266.25
2014-10-24,261.30,261.30,261.30,261.30,000,261.30
2014-10-23,261.30,261.30,261.30,261.30,000,261.30
2014-10-22,267.35,268.00,260.00,261.30,11000,261.30
2014-10-21,261.00,265.95,259.00,265.55,10900,265.55
2014-10-20,265.50,266.00,242.10,258.15,10200,258.15
2014-10-17,269.50,270.30,262.80,263.80,10400,263.80
2014-10-16,273.50,278.00,249.00,269.95,11600,269.95
2014-10-15,273.15,273.15,273.15,273.15,000,273.15
2014-10-14,282.75,282.75,258.65,273.15,13400,273.15
2014-10-13,295.50,296.50,282.00,287.35,10200,287.35
2014-10-10,298.20,298.90,291.30,296.25,10100,296.25
2014-10-09,297.15,298.00,297.00,297.40,10300,297.40
2014-10-08,296.50,296.80,266.10,295.40,11600,295.40
2014-10-07,296.50,296.75,293.50,295.65,10200,295.65
2014-10-06,295.35,295.35,295.35,295.35,000,295.35
2014-10-03,295.35,295.35,295.35,295.35,000,295.35
2014-10-02,295.35,295.35,295.35,295.35,000,295.35
2014-10-01,310.00,310.00,291.00,295.35,10300,295.35
2014-09-30,310.60,311.10,295.50,297.05,10800,297.05
2014-09-29,302.00,314.80,301.00,305.50,10500,305.50
2014-09-26,294.00,306.95,293.05,300.00,9400,300.00
2014-09-25,288.00,292.45,288.00,292.45,5500,292.45
2014-09-24,275.00,288.50,275.00,278.55,10600,278.55
2014-09-23,272.00,274.95,268.50,274.95,9200,274.95
2014-09-22,243.00,265.00,243.00,262.60,13800,262.60
2014-09-19,255.50,255.60,245.00,255.30,13800,255.30
2014-09-18,258.00,258.00,245.70,248.50,14400,248.50
2014-09-17,265.50,266.80,254.00,258.60,10200,257.90
2014-09-16,268.80,269.50,265.00,267.05,10300,266.33
2014-09-15,274.10,275.15,272.00,274.55,12700,273.81
2014-09-12,271.05,285.00,271.00,272.70,10500,271.96
2014-09-11,280.00,290.95,270.50,273.85,9500,273.11
2014-09-10,270.60,279.15,269.50,277.10,11300,276.35
2014-09-09,265.80,270.00,265.00,265.90,10000,265.18
2014-09-08,247.60,270.00,247.60,262.75,17100,262.04
2014-09-05,255.00,261.05,254.25,260.60,3100,259.89
2014-09-04,245.80,253.70,244.00,248.65,5100,247.98
2014-09-03,244.35,244.35,221.15,241.65,10200,241.00
2014-09-02,232.75,232.75,232.75,232.75,200,232.12
2014-09-01,221.70,221.70,221.70,221.70,300,221.10
2014-08-29,211.15,211.15,211.15,211.15,000,210.58
2014-08-28,211.15,211.15,211.15,211.15,4800,210.58
2014-08-27,201.10,201.10,201.10,201.10,500,200.56
2014-08-26,185.00,191.55,185.00,191.55,3000,191.03
2014-08-25,180.15,183.20,180.00,182.45,10400,181.96
2014-08-22,169.95,175.00,169.85,174.50,10200,174.03
2014-08-21,163.00,167.40,160.00,166.75,21900,166.30
2014-08-20,155.50,163.55,154.70,162.80,50900,162.36
2014-08-19,155.50,155.90,148.10,155.80,11400,155.38
2014-08-18,154.50,155.35,154.00,154.50,11400,154.08
2014-08-15,154.40,154.40,154.40,154.40,000,153.98
2014-08-14,151.80,154.60,149.00,154.40,20100,153.98
2014-08-13,151.00,154.95,148.20,151.95,19400,151.54
2014-08-12,151.10,152.50,150.45,151.50,12700,151.09
2014-08-11,151.50,151.85,149.00,151.55,17600,151.14
2014-08-08,150.50,150.95,150.00,150.55,34800,150.14
2014-08-07,151.50,152.80,150.00,150.00,9800,149.59
2014-08-06,151.10,155.00,150.00,151.80,11900,151.39
2014-08-05,145.00,151.75,145.00,150.70,12800,150.29
2014-08-04,142.00,145.00,134.35,144.55,10800,144.16
