Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,155.00,155.50,152.25,153.20,1176900,153.20
2014-12-22,156.40,158.75,155.00,155.80,358200,155.80
2014-12-19,152.50,158.40,152.15,157.65,1269100,157.65
2014-12-18,150.00,155.00,149.50,153.60,1005900,153.60
2014-12-17,144.00,148.05,138.80,147.25,1409100,147.25
2014-12-16,151.50,151.75,141.90,144.70,2536600,144.70
2014-12-15,152.00,155.10,151.50,153.40,985900,153.40
2014-12-12,157.85,158.00,152.15,153.45,1092200,153.45
2014-12-11,154.00,157.00,151.60,155.60,518900,155.60
2014-12-10,154.50,157.20,153.60,154.20,465000,154.20
2014-12-09,158.40,158.60,152.60,154.40,588400,154.40
2014-12-08,164.50,164.75,157.50,159.15,653700,159.15
2014-12-05,166.20,167.70,162.90,163.25,531400,163.25
2014-12-04,170.15,171.30,165.15,165.75,520300,165.75
2014-12-03,172.50,173.20,168.00,168.85,543200,168.85
2014-12-02,167.20,172.50,166.10,171.40,655800,171.40
2014-12-01,174.00,175.10,165.55,167.20,500600,167.20
2014-11-28,173.90,175.20,172.10,173.90,596000,173.90
2014-11-27,169.40,176.40,168.85,172.65,1743200,172.65
2014-11-26,165.35,169.75,162.30,169.15,638100,169.15
2014-11-25,166.00,166.40,158.90,165.50,717800,165.50
2014-11-24,162.20,168.00,162.00,165.55,1130200,165.55
2014-11-21,157.00,161.00,156.05,160.15,1101200,160.15
2014-11-20,155.25,157.60,154.20,156.05,745600,156.05
2014-11-19,157.10,160.30,154.10,154.85,939700,154.85
2014-11-18,157.00,160.65,154.65,155.40,712600,155.40
2014-11-17,156.90,159.00,155.65,157.95,528900,157.95
2014-11-14,151.95,159.00,150.95,157.40,1259700,157.40
2014-11-13,152.50,154.50,149.60,151.95,1404900,151.95
2014-11-12,152.40,153.60,150.90,151.65,559300,151.65
2014-11-11,152.95,154.85,150.00,151.45,867200,151.45
2014-11-10,157.35,157.35,151.80,152.35,624200,152.35
2014-11-07,157.00,160.40,154.80,156.05,1630000,156.05
2014-11-06,156.80,156.80,156.80,156.80,000,156.80
2014-11-05,163.95,163.95,155.40,156.80,598700,156.80
2014-11-04,163.50,163.50,163.50,163.50,000,163.50
2014-11-03,163.90,165.90,160.75,163.50,588600,163.50
2014-10-31,160.00,164.10,158.95,163.20,830300,163.20
2014-10-30,157.00,161.50,154.50,160.40,864800,160.40
2014-10-29,148.00,158.20,148.00,156.65,1224800,156.65
2014-10-28,147.50,148.85,144.75,147.85,522000,147.85
2014-10-27,150.00,151.50,146.70,147.40,492700,147.40
2014-10-24,148.45,148.45,148.45,148.45,000,148.45
2014-10-23,148.45,148.45,148.45,148.45,000,148.45
2014-10-22,149.90,150.95,145.50,148.45,705800,148.45
2014-10-21,148.00,151.00,147.20,148.05,832500,148.05
2014-10-20,144.50,147.55,142.05,146.25,1277300,146.25
2014-10-17,143.50,144.00,138.40,139.70,1024100,139.70
2014-10-16,151.00,151.15,141.50,142.90,968300,142.90
2014-10-15,151.15,151.15,151.15,151.15,000,151.15
2014-10-14,151.20,155.15,147.50,151.15,981000,151.15
2014-10-13,150.00,151.90,147.60,151.05,580300,151.05
2014-10-10,156.00,156.00,149.55,150.20,752100,150.20
2014-10-09,150.90,158.50,150.90,157.75,1030700,157.75
2014-10-08,147.30,149.70,145.75,148.80,685200,148.80
2014-10-07,154.95,154.95,147.50,148.40,634800,148.40
2014-10-06,155.15,155.15,155.15,155.15,000,155.15
2014-10-03,155.15,155.15,155.15,155.15,000,155.15
2014-10-02,155.15,155.15,155.15,155.15,000,155.15
2014-10-01,157.80,158.15,152.75,155.15,588500,155.15
2014-09-30,158.50,163.00,156.10,156.80,776500,156.80
2014-09-29,158.60,161.40,153.25,159.50,915500,159.50
2014-09-26,147.30,158.75,146.10,157.40,1097700,157.40
2014-09-25,154.70,155.50,139.60,149.55,2344300,149.55
2014-09-24,155.10,162.30,148.80,156.30,2480500,156.30
2014-09-23,163.65,164.00,155.25,157.05,471800,157.05
2014-09-22,165.00,165.35,160.25,162.05,400200,162.05
2014-09-19,163.40,166.10,162.35,164.30,439000,164.30
2014-09-18,161.00,165.00,159.35,163.05,480400,163.05
2014-09-17,162.00,163.30,157.10,160.55,748300,160.55
2014-09-16,161.90,165.75,160.00,160.30,593200,160.30
2014-09-15,168.00,168.60,162.80,163.40,697400,163.40
2014-09-12,172.90,173.40,167.10,168.60,558800,168.60
2014-09-11,172.30,175.25,171.60,172.55,400300,172.55
2014-09-10,170.95,174.80,170.20,172.60,377700,172.60
2014-09-09,173.00,174.80,169.55,172.40,1229900,172.40
2014-09-08,169.00,174.00,168.40,173.60,611300,173.60
2014-09-05,169.45,172.35,166.05,167.75,643800,166.75
2014-09-04,174.00,174.45,166.00,169.20,692200,168.19
2014-09-03,173.60,177.00,173.25,175.15,881700,174.11
2014-09-02,176.50,177.40,173.55,174.45,789200,173.41
2014-09-01,171.40,178.95,169.35,176.20,1908300,175.15
2014-08-29,170.10,170.10,170.10,170.10,000,169.09
2014-08-28,172.30,173.75,169.30,170.10,696900,169.09
2014-08-27,172.00,172.95,168.40,172.00,869500,170.97
2014-08-26,159.80,171.60,158.00,170.65,2418400,169.63
2014-08-25,183.00,184.95,160.80,164.65,2251600,163.67
2014-08-22,178.00,184.10,178.00,182.05,1259100,180.96
2014-08-21,179.00,182.30,176.60,177.85,674400,176.79
2014-08-20,180.70,183.00,179.40,180.30,898400,179.23
2014-08-19,182.00,185.55,180.00,180.85,935800,179.77
2014-08-18,177.00,185.10,176.25,182.30,635200,181.21
2014-08-15,178.50,178.50,178.50,178.50,000,177.44
2014-08-14,180.00,183.45,175.85,178.50,1724600,177.44
2014-08-13,185.75,185.75,177.50,180.00,574200,178.93
2014-08-12,186.10,187.30,183.25,185.65,358800,184.54
2014-08-11,185.00,187.90,184.35,185.50,468500,184.39
2014-08-08,187.00,187.90,180.80,184.05,617900,182.95
2014-08-07,191.00,193.25,188.50,189.25,602700,188.12
2014-08-06,194.80,196.45,191.00,191.65,802300,190.51
2014-08-05,191.25,196.00,189.10,195.35,1441000,194.19
2014-08-04,185.00,192.50,184.10,190.25,1166200,189.12
2014-08-01,189.95,194.50,183.20,184.50,961500,183.40
2014-07-31,193.85,194.95,188.50,191.60,892700,190.46
