Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,43.00,43.00,43.00,43.00,000,43.00
2014-12-22,45.10,47.00,42.10,43.00,300,43.00
2014-12-19,48.25,48.25,48.25,48.25,000,48.25
2014-12-18,49.45,49.45,48.60,48.60,000,48.60
2014-12-17,40.00,42.00,40.00,42.00,2500,42.00
2014-12-16,45.00,45.00,44.90,44.90,100,44.90
2014-12-15,46.05,47.00,45.00,47.00,000,47.00
2014-12-12,50.00,50.00,45.55,45.60,200,45.60
2014-12-11,49.75,49.75,48.95,48.95,100,48.95
2014-12-10,46.25,53.00,46.20,49.70,200,49.70
2014-12-09,46.60,50.80,46.60,50.80,300,50.80
2014-12-08,50.00,50.00,50.00,50.00,000,50.00
2014-12-05,44.00,55.00,44.00,50.00,400,50.00
2014-12-04,48.80,48.80,48.80,48.80,000,48.80
2014-12-03,48.80,48.80,48.80,48.80,000,48.80
2014-12-02,48.80,48.80,48.80,48.80,000,48.80
2014-12-01,48.80,48.80,48.80,48.80,000,48.80
2014-11-28,54.40,54.40,48.00,48.80,300,48.80
2014-11-27,52.95,52.95,52.20,52.55,000,52.55
2014-11-26,45.50,45.50,45.30,45.40,000,45.40
2014-11-25,45.15,45.20,45.15,45.20,200,45.20
2014-11-24,48.75,48.75,48.75,48.75,000,48.75
2014-11-21,50.00,51.90,47.85,48.75,500,48.75
2014-11-20,41.50,52.00,41.50,49.20,3100,49.20
2014-11-19,52.40,52.40,48.45,50.25,500,50.25
2014-11-18,44.35,54.65,44.35,52.45,2300,52.45
2014-11-17,53.95,53.95,47.95,51.95,600,51.95
2014-11-14,51.55,54.80,50.00,53.70,1400,53.70
2014-11-13,52.00,54.85,51.10,52.40,900,52.40
2014-11-12,54.00,54.95,50.55,53.25,200,53.25
2014-11-11,54.00,58.00,53.50,54.00,1900,54.00
2014-11-10,57.90,57.90,51.25,52.95,2000,52.95
2014-11-07,46.35,56.50,46.35,55.80,5700,55.80
2014-11-06,52.05,52.05,52.05,52.05,000,52.05
2014-11-05,49.50,55.00,49.00,52.05,6100,52.05
2014-11-04,53.10,53.10,53.10,53.10,000,53.10
2014-11-03,50.00,54.60,49.00,53.10,5300,53.10
2014-10-31,44.10,50.00,44.10,48.95,2200,48.95
2014-10-30,48.75,48.75,48.00,48.00,000,48.00
2014-10-29,43.50,47.95,43.15,44.55,700,44.55
2014-10-28,49.70,49.70,49.50,49.50,000,49.50
2014-10-27,44.05,48.00,44.05,46.95,300,46.95
2014-10-24,48.70,48.70,48.70,48.70,000,48.70
2014-10-23,48.70,48.70,48.70,48.70,000,48.70
2014-10-22,43.30,48.75,43.30,48.70,200,48.70
2014-10-21,45.25,45.25,45.25,45.25,000,45.25
2014-10-20,47.00,47.00,42.65,45.25,400,45.25
2014-10-17,48.00,49.80,45.05,46.50,1600,46.50
2014-10-16,45.00,45.00,43.95,44.00,500,44.00
2014-10-15,45.80,45.80,45.80,45.80,000,45.80
2014-10-14,40.50,46.60,40.50,45.80,100,45.80
2014-10-13,42.00,48.00,41.10,42.65,1400,42.65
