Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,590.00,590.00,590.00,590.00,600,590.00
2014-12-22,720.00,720.00,720.00,720.00,11400,720.00
2014-12-19,600.00,600.00,600.00,600.00,600,600.00
2014-12-18,735.90,735.90,735.90,735.90,000,735.90
2014-12-17,735.90,735.90,735.90,735.90,11400,735.90
2014-12-16,613.25,613.25,613.25,613.25,4500,613.25
2014-12-15,757.50,757.50,511.05,511.05,600,511.05
2014-12-12,631.25,631.25,631.25,631.25,27600,631.25
2014-12-11,526.05,526.05,526.05,526.05,000,526.05
2014-12-10,526.05,526.05,526.05,526.05,000,526.05
2014-12-09,526.05,526.05,526.05,526.05,000,526.05
2014-12-08,526.05,526.05,526.05,526.05,000,526.05
2014-12-05,526.05,526.05,526.05,526.05,000,526.05
2014-12-04,526.05,526.05,526.05,526.05,300,526.05
2014-12-03,637.90,637.90,637.90,637.90,43800,637.90
2014-12-02,531.60,531.60,531.60,531.60,000,531.60
2014-12-01,531.60,531.60,531.60,531.60,000,531.60
2014-11-28,531.60,531.60,531.60,531.60,000,531.60
2014-11-27,531.60,531.60,531.60,531.60,000,531.60
2014-11-26,531.60,531.60,531.60,531.60,000,531.60
2014-11-25,531.60,531.60,531.60,531.60,3900,531.60
2014-11-24,514.80,514.80,514.80,514.80,000,514.80
2014-11-21,514.80,514.80,514.80,514.80,000,514.80
2014-11-20,514.80,514.80,514.80,514.80,7800,514.80
2014-11-19,429.00,429.00,429.00,429.00,000,429.00
2014-11-18,430.00,431.00,429.00,429.00,20400,429.00
2014-11-17,440.00,440.00,435.00,435.00,15000,435.00
2014-11-14,441.00,441.00,441.00,441.00,000,441.00
2014-11-13,440.00,441.00,440.00,441.00,13500,441.00
2014-11-12,445.00,445.00,445.00,445.00,6000,445.00
2014-11-11,450.00,452.00,450.00,450.70,8700,450.70
2014-11-10,451.00,454.00,448.00,454.00,24000,454.00
2014-11-07,450.00,451.00,450.00,451.00,13500,451.00
2014-11-06,463.35,463.35,463.35,463.35,000,463.35
2014-11-05,438.00,520.00,435.00,520.00,24900,520.00
2014-11-04,434.15,434.15,434.15,434.15,000,434.15
2014-11-03,437.00,437.00,434.00,434.15,23400,434.15
2014-10-31,437.00,437.00,436.00,436.50,24300,436.50
2014-10-30,435.50,436.10,434.00,434.10,32100,434.10
2014-10-29,435.00,435.50,435.00,435.50,15600,435.50
2014-10-28,446.00,446.00,435.80,435.80,24900,435.80
2014-10-27,436.00,440.00,436.00,440.00,5100,440.00
2014-10-24,435.00,435.00,435.00,435.00,000,435.00
2014-10-23,435.00,435.00,435.00,435.00,000,435.00
2014-10-22,435.00,435.00,435.00,435.00,4500,435.00
2014-10-21,427.00,431.00,427.00,431.00,24600,431.00
2014-10-20,425.00,426.00,424.50,426.00,12600,426.00
2014-10-17,515.00,515.00,417.00,417.00,14400,417.00
2014-10-16,515.00,515.50,514.00,515.50,16800,515.50
2014-10-15,513.10,513.10,513.10,513.10,000,513.10
2014-10-14,514.00,514.00,513.00,513.10,32700,513.10
2014-10-13,516.00,516.00,515.00,515.00,14100,515.00
2014-10-10,518.00,518.00,517.00,517.00,9300,517.00
2014-10-09,521.00,521.00,519.50,519.50,14400,519.50
2014-10-08,518.00,518.50,518.00,518.50,11400,518.50
2014-10-07,520.00,521.00,519.00,519.90,30900,519.90
2014-10-06,522.00,522.00,522.00,522.00,000,522.00
2014-10-03,522.00,522.00,522.00,522.00,000,522.00
2014-10-02,522.00,522.00,522.00,522.00,000,522.00
2014-10-01,519.00,522.00,519.00,522.00,18900,522.00
2014-09-30,521.05,521.05,521.05,521.05,600,521.05
2014-09-29,525.00,525.00,523.00,524.50,24300,524.50
2014-09-26,550.00,550.00,530.00,530.00,31500,530.00
2014-09-25,540.00,540.00,539.00,539.35,12300,539.35
2014-09-24,550.00,550.00,550.00,550.00,000,550.00
2014-09-23,520.00,617.00,520.00,550.00,45600,550.00
2014-09-22,517.00,520.00,517.00,520.00,3900,520.00
2014-09-19,516.50,516.90,516.50,516.90,24900,516.90
2014-09-18,516.00,517.00,516.00,517.00,13800,517.00
2014-09-17,511.00,511.00,510.00,511.00,18600,511.00
2014-09-16,511.00,511.00,509.80,510.40,24300,510.40
2014-09-12,510.00,510.00,509.00,509.50,25200,509.50
2014-09-11,514.00,514.00,512.00,512.25,17700,512.25
2014-09-10,514.50,515.70,514.50,515.70,6900,515.70
2014-09-09,514.00,514.50,514.00,514.50,12900,514.50
2014-09-08,515.00,516.10,515.00,515.95,30600,515.95
2014-09-05,515.00,515.00,514.10,514.25,24300,514.25
2014-09-04,516.00,516.00,515.00,515.15,29700,515.15
2014-09-03,514.00,610.00,514.00,514.90,49500,514.90
2014-09-02,510.00,515.50,510.00,515.50,9000,515.50
2014-09-01,515.50,516.00,513.00,516.00,64200,516.00
2014-08-29,514.50,514.50,514.50,514.50,000,514.50
2014-08-28,515.00,515.10,514.00,514.50,44700,514.50
2014-08-27,515.00,515.50,515.00,515.25,36900,515.25
2014-08-26,510.00,515.15,510.00,511.10,28200,511.10
2014-08-25,520.00,520.00,519.00,519.00,25200,519.00
2014-08-22,532.00,532.15,532.00,532.10,41100,532.10
2014-08-21,520.00,620.00,519.00,520.00,11400,520.00
2014-08-20,529.00,532.00,524.00,524.00,15300,524.00
2014-08-19,515.15,532.00,515.15,532.00,11400,532.00
2014-08-18,539.00,542.00,538.05,541.45,60900,541.45
2014-08-15,537.00,537.00,537.00,537.00,000,537.00
2014-08-14,525.00,540.00,525.00,537.00,29100,537.00
2014-08-13,538.00,538.00,535.05,537.00,12900,537.00
2014-08-12,560.00,560.00,536.35,536.45,15000,536.45
2014-08-11,530.00,537.00,530.00,537.00,17400,537.00
2014-08-08,526.00,535.00,526.00,535.00,11100,535.00
2014-08-07,555.00,575.00,525.00,567.50,34500,567.50
2014-08-06,530.00,531.00,529.00,529.50,47700,529.50
2014-08-05,600.00,600.00,511.00,552.65,39000,552.65
2014-08-04,562.00,562.00,561.00,561.50,30900,561.50
2014-08-01,562.00,562.10,555.00,561.65,29400,561.65
2014-07-31,560.90,560.95,560.80,560.80,14400,560.80
2014-07-30,510.00,565.00,510.00,562.05,71400,562.05
2014-07-29,560.00,560.00,560.00,560.00,000,560.00
2014-07-28,563.80,563.80,559.20,560.00,46800,560.00
2014-07-25,564.80,564.80,563.00,563.00,31800,563.00
2014-07-24,565.00,565.00,564.25,564.30,15900,564.30
