Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,59.65,59.65,59.50,59.50,100,59.50
2014-12-22,55.40,58.90,55.40,58.90,100,58.90
2014-12-19,55.65,56.95,55.50,56.00,1300,56.00
2014-12-18,53.50,55.10,53.50,55.10,400,55.10
2014-12-17,52.00,52.00,52.00,52.00,000,52.00
2014-12-16,46.50,52.50,46.50,52.00,700,52.00
2014-12-15,56.00,56.00,51.25,53.15,1900,53.15
2014-12-12,57.50,58.00,52.75,57.50,1400,57.50
2014-12-11,60.00,61.40,56.05,58.75,21300,58.75
2014-12-10,60.00,62.00,50.20,61.55,109400,61.55
2014-12-09,61.50,61.50,59.60,61.05,200,61.05
2014-12-08,59.15,59.50,59.05,59.50,100,59.50
2014-12-05,62.90,63.00,61.00,61.25,1000,61.25
2014-12-04,61.25,61.60,58.95,60.00,1400,60.00
2014-12-03,61.05,62.00,61.00,61.85,2800,61.85
2014-12-02,61.95,62.00,61.00,62.00,1600,62.00
2014-12-01,65.80,65.80,57.00,62.00,500,62.00
2014-11-28,61.10,61.25,61.00,61.15,400,61.15
2014-11-27,61.50,61.50,61.00,61.00,4500,61.00
2014-11-26,60.50,63.40,60.50,61.40,800,61.40
2014-11-25,63.00,63.00,60.30,60.30,1300,60.30
2014-11-24,63.45,65.00,62.90,63.35,900,63.35
2014-11-21,65.90,65.90,64.25,64.25,2000,64.25
2014-11-20,68.30,68.30,65.35,65.35,500,65.35
2014-11-19,66.50,67.80,65.35,66.50,1400,66.50
2014-11-18,68.80,68.80,66.15,66.35,2300,66.35
2014-11-17,67.20,68.05,65.55,67.50,2300,67.50
2014-11-14,68.10,69.20,66.25,69.10,11200,69.10
2014-11-13,68.60,72.00,68.50,71.65,1300,71.65
2014-11-12,69.05,70.00,69.05,70.00,600,70.00
2014-11-11,69.65,71.00,68.40,70.00,3000,70.00
2014-11-10,68.00,71.50,68.00,71.00,2600,71.00
2014-11-07,62.10,74.45,62.10,70.65,2200,70.65
